,comments
0,康康真的太想松鼠了太可爱了
1,真的假的，康辉回来了？
2,武汉加油！！！
3,武汉加油！
4,武汉加油
5,武汉加油，中国加油！
6,we are Chinese people！
7,中国加油！武汉加油！
8,武汉加油
9,武汉加油
10,武汉加油
11,武汉加油 中国加油
12,武汉加油
13,武汉加油
14,中国加油
15,武汉加油
16,中国加油
17,加油
18,武汉加油！
19,好
20,亲人们加油 武汉加油 中国加油 
21,武汉加油
22,加油
23,China
24,眼睛红红的，是滤镜吗
25,武汉加油！！
26,武汉加油
27,武汉加油
28,武汉加油
29,武汉加油
30,武汉加油
31,武汉加油武汉加油
32,武汉加油
33,武汉加油
34,武汉加油
35,武汉加油
36,武汉加油
37,武汉加油
38,武汉加油
39,武汉加油！！！！！！
40,武汉加油，中国加油
41,武汉加油！
42,武汉加油
43,武汉加油
44,武汉加油
45,武汉加油
46,加油！！！！
47,我们都是中国人
48,武汉加油，中国加油
49,武汉加油
50,中国加油
51,武汉加油
52,武汉加油
53,武汉加油
54,武汉加油 中国加油
55,武汉加油
56,加油
57,武汉加油
58,武汉加油中国必胜
59,终能过去的！
60,武汉加油。
61,加油
62,武汉加油
63,加油
64,武汉加油
65,加油！
66,武汉加油中国加油
67,武汉加油
68,武汉加油
69,中国加油，武汉加油
70,武汉加油
71,武汉加油
72,武汉加油~
73,中国加油
74,加油
75,武汉加油中国加油
76,加油鸭
77,幸入华夏中！武汉加油
78,幸入华夏中！武汉加油！
79,武汉加油！
80,武汉加油！
81,武汉加油
82,武汉加油
83,武汉加油
84,中国加油武汉加油
85,武汉加油
86,武汉加油
87,武汉加油
88,武汉加油
89,武汉加油！
90,武汉加油
91,康辉老师的眼睛都红了
92,武汉加油
93,武汉加油
94,加油
95,武汉加油
96,武汉加油！
97,武汉加油，中国加油！
98,“人死了，就变成一个星星。”“干嘛变成星星呀？”“给走夜道儿的人照个亮儿……”
99,武汉加油
100,武汉加油
101,武汉加油
102,武汉加油
103,天佑阿中，创造奇迹
104,武汉加油，中国加油
105,武汉加油，中国加油
106,武汉加油
107,加油！
108,武汉加油啊
109,武汉加油
110,武汉加油
111,中国加油！
112,哈哈哈
113,武汉加油
114,一起加油！
115,加油种花家
116,眼睛红的
117,武汉加油！
118,武汉加油
119,中国加油！
120,武汉加油！
121,武汉加油！
122,武汉加油！
123,武汉加油！
124,武汉加油
125,4月4日一日游4.4
126,武汉加油
127,武汉加油！！！
128,逝者安息，中国加油！
129,主持人看起来刚刚哭过
130,三月后再看，武汉赢了
131,武汉加油，中国加油
132,加油
133,中国加油，武汉加油
134,武汉加油
135,武汉加油 中国加油！
136,武汉加油
137,中国加油！
138,武汉加油
139,武汉加油武汉加油
140,武汉加油！
141,奥利给，淦就完了
142,中国加油
143,武汉加油
144,中国加油
145,中国加油，世界加油！
146,武汉加油
147,武汉加油
148,武汉加油啊！
149,武汉加油
150,武汉加油！
151,中国加油，武汉加油
152,武汉加油
