,comments
0,这记者什么表情
1,20201108重看这个视频，像是经历了一辈子…
2,国士无双
3,李奶奶注意身体
4,老院士明确决断
5,国士无双
6,女神
7,绍兴人
8,国士无双
9,国士无双
10,赤脚医生
11,李兰娟院士是绍兴的哈哈哈
12,语言表达能力有待提高
13,国士无双
14,李院士讲话不快，但一字一顿的，保证不出错
15,这是我女神
16,武汉人，谢谢李兰娟院士！！
17,国士无双
18,伟大的决定
19,绍兴口音 感觉慈溪那边也差不多我高中化学老师就这口音但和宁波不一样
20,您辛苦了
21,武汉加油
22,女神啊啊啊啊啊啊
23,女神
24,大佬啊
25,大神
26,大神级别
27,大神
28,武汉加油
29,中国加油！
30,4月4日，回看这个视频，不觉已经两个月过去了。真是英明的决定
31,武汉的人民得罪你了吗
32,国士无双
33,回过头来，这类专家的研判太有担当了
34,加油中国
35,说的真客观理性
36,4.8!
37,国士无双！我们绍兴人！
38,中国加油！
39,武汉加油！！！
40,武汉加油
41,已经控制住了！
42,一切听党指挥
43,国士无双
44,武汉加油
45,武汉加油！
46,致敬
47,中国加油！！！
48,武汉加油！！！
49,武汉加油
50,武汉加油，中国加油，世界加油！
51,太有气质了
52,四月四日的我，在全国即将解葑之际，为逝去的同胞和英雄致敬
53,女神，您好
54,巾帼不让须眉
55,杭州话绍兴话都分 不清就不要秀IQ了。
56,你才杭州的！李院士绍兴人。
57,致敬
58,国士无双
59,众志成城，武汉加油，中国加油！
60,巾帼不让须眉
61,武汉加油
62,武汉加油
63,前面质疑记者的，董倩姐姐是从武汉爆发最严重一直坚持在武汉采访的记者，不需要你质疑
64,4.4日 春天来了
65,武汉加油！中国加油！
66,武汉加油！
67,用不了
68,中国加油
69,国有一老如是，是为一宝天赐
70,中国加油武汉加油
71,加油
72,中国加油
73,中国加油！！！
74,医护人员辛苦了
75,加油加油
76,中国加油
77,武汉加油！
78,我有国士，天下无双！
79,武汉加油！
80,讨厌这个记者，每次都咄咄逼人的
81,浙江口音
82,武汉加油
83,武汉加油
84,武汉加油！中国加油!
85,为李春兰院士鼓掌，国士无双
86,控制传染源，切断传播途径，保护易感人群
87,武汉加油
88,武汉加油
89,中国加油武汉加油
90,2020年4月4号的过来，说一句我们等到了春天
91,武汉加油
92,上海人？
93,武汉加油！
94,武汉加油
95,临绍小片
96,我们赢了我们赢了
97,中国加油 武汉加油
98,中国加油
99,巾帼不让须眉
100,武汉加油！
101,中国加油!武汉加油!
102,加油
103,刚默哀完
104,加油！
105,中国加油
106,加油
107,中国加油
108,中国加油
109,她上海人吗
110,武汉加油！！！
111,武汉加油 中国加油
112,武汉加油
113,这才应当是让人崇拜的偶像
114,为逝者默哀
115,武汉加油
116,致敬
117,武汉加油
118,抗疫临近成功前来考古！
119,女神！！！！！！！！
120,武汉加油
121,熟悉又温暖的浙江口音
122,e武汉加油，中国加油
123,中国加油，战胜疫情！！！
124,中国加油，战胜疫情！！！
125,中国加油，战胜疫情！！！
126,武汉加油！
127,中国加油，战胜疫情！！！
128,中国加油，中国必胜！！！
129,中国加油中国加油中国加油中国加油中国加油中国加油中国加油中国加油中国加油中国加油中国加油中国加油中国加油中国加油中国加油中国加油中国加油中国加油中国加油中国加油中国加油中国加油中国加油！！！
130,中国jiaoyo
131,马上了
132,国士无双
133,武汉加油！！！！！！！！！！！！！！
134,主持人一直在武汉，值得被敬佩
135,现在要解封啦~谢谢老太太~
136,国士无双
137,武汉离解封也不久了
138,大佬
139,湖北已经好几天没有啦，谢谢您，河南人对您表示衷心感谢祝福，身体健康。
140,李院士向你致敬！
141,国士无双
142,院士有魅力！
143,xugou=如果，啊啊啊浙江女神!
144,初二生物？
145,李奶奶可是浙江省绍兴人
146,致敬！
147,国士无双！
148,主持人没问题
149,加油
150,国士无双
151,武汉加油
152,中国加油
153,武汉加油
154,武汉加油，中国加油
155,国士无双！
156,国士无双
157,国士无双
158,国士无双
159,研究是行，您倒是快点出解药啊
160,武汉加油
161,武汉加油！
162,是国士无双！
163,人家是绍兴人
164,口罩不带？
165,这是老天给的一个教训，不要再快吃东西了
166,国士老奶奶很可爱，想么一口
167,国士无双
168,国士无双
169,国士无双
170,列位，这是首位提出武汉封城重大决定的专家，国之栋梁
171,绍普
172,武汉加油
173,哈哈，同绍兴，我听着也是绍兴口音
174,早几天好了，我们会理解的
175,武汉加油
176,刻不容缓
177,武汉加油
178,封城这真的可以
179,武汉加油
180,绍普
181,苏州话的感觉
182,武汉加油
183,武汉加油
184,奶奶太可爱了
185,加油
186,董倩姐姐也是个厉害的人
187,要有壮士断腕的决心
188,武汉
189,武汉加油
190,武汉
191,浙江加油
192,浙江加油
193,是初二下生物。。
194,战术后仰
195,敲重点
196,武汉加油
197,敬佩李院士！
198,江西加油
199,爱国！呆家里！
200,武汉加油！中国加油！
201,李兰娟院士是浙江绍兴人
202,绍兴老乡
203,武汉加油
204,武汉加油
205,武汉加油
206,浙江人啦，弹幕不认识？
207,安徽人李兰娟
208,李兰娟是安徽老乡
209,武汉加油！
210,武汉加油!
211,武汉加油！
212,武汉加油
213,中国加油
214,武汉加油
215,武汉加油
216,武汉加油
217,武汉加油
218,武汉加油
219,中国加油
220,这不是关心的表情吗计较这没用
221,浙江出栋梁之才
222,亲切的浙江口音
223,武汉加油
224,中国加油
225,武汉加油！
226,武汉加油
227,糖糖冲鸭
228,糖糖冲鸭
229,武汉加油！
230,太早了老百姓不理解
231,武汉加油
232,祖国加油
233,划重点，今年地生必考
234,举国之力抗击新型肺炎
235,武汉加油！！
236,武汉加油
237,武汉加油！
238,武汉加油！
239,武汉加油
240,武汉加油
241,武汉加油
242,武汉加油
243,武汉加油
244,我们学校还要我们回去拿书
245,武汉加油
246,中国加油，战胜疫情
247,武汉加油
248,武汉加油
249,这主持人表情服帖了
250,武汉加油
251,武汉加油，中国加油
252,武汉加油
253,武汉加油奥里给
254,武汉加油，中国加油！
255,加油
256,全中国加油！打败疫情！
257,人类必胜
258,人类必胜
259,武汉加油
260,武汉加油
261,jhjhjfff
262,加油
263,，，，，
264,ww
265,人生第一次在家宅着不用被骂
266,中国加油！武汉加油！
267,武汉加油！中国加油！
268,道理就是  太早了无知百姓会抱怨 只有事实摆在眼前 他们才知道害怕
269,武汉加油
270,中国加油
271,武汉加油
272,武汉加油
273,武汉加油
274,浙江的
275,武汉挺住，中国加油
276,口音跟我奶奶差不多哈哈哈
277,国士无双
278,传染病学中，控制传染的措施永远是这三个
279,??
280,对于传染病，永远是早发现早隔离早治疗
281,向李兰娟教授致敬
282,浙大的教授 工程院院士 李奶奶请您也保重，中国现在需要您
283,奶奶好
284,武汉加油
285,武汉加油
286,武汉加油啊！
287,江浙口音
288,中国加油，武汉加油
