,comments
0,你是最可爱的人
1,加油！
2,加油
3,辛苦了
4,早日康复!!!
5,谢谢
6,加油
7,加油
8,加油！
9,一定会好起来的！
10,加油
11,加油！
12,加油
13,加油
14,加油
15,加油
16,加油！
17,加油啊
18,加油！
19,加油
20,加油
21,好好休息，祝你早日康复。也祝疫情早一点被打败。
22,加油
23,中国加油！
24,中国加油！
25,加油！
26,加油！
27,加油！
28,加油
29,加油
30,加油
31,加油
32,加油
33,加油
34,加油！
35,加油！
36,加油！
37,奥利给。加油
38,加油加油
39,加油
40,我就有点想骂那些医闹事件的人了
41,早日康复，加油！
42,致敬
43,加油
44,加油
45,加油
46,加油
47,加油！
48,加油
49,加油
50,加油
51,加油武汉
52,加油
53,加油
54,加油！早日康复
55,加油加油加油
56,加油 祝早日康复
57,加油
58,注意身体啊
59,加油
60,早日康复
61,加油
62,加油
63,加油！
64,加油
65,加油
66,祝早日康复
67,致敬
68,弹幕护体
69,加油，你是英雄
70,愿逝者安息，愿祖国昌盛，永远铭记奉献生命在一线的白衣天使
71,加油加油加油！
72,早日康复！
73,加油，早点好起来
74,加油！
75,加油
76,加油，辛苦了
77,加油
78,加油！！
79,加油
80,感谢你们，致敬！！！
81,感谢你们！致敬！
82,加油！
83,早日康复
84,加油！
85,加油
86,加油！！
87,加油
88,加油！
89,加油
90,早日康复
91,恭喜
92,加油！
93,加油，早日康复！
94,加油！
95,加油
96,加油！祝您早日康复!
97,加油！
98,加油
99,加油
100,加油！！！
101,加油！辛苦了！
102,加油
103,加油！
104,早日康复
105,早日康复
106,加油
107,加油
108,加油！！！
109,加油
110,加油！
111,加油！祝您早日康复
112,愿逝者安息愿生者奋发愿祖国昌盛
113,加油！祝早日康复！
114,早日康复
115,加油
116,加油
117,加油
118,加油
119,我看到了天使！！！！
120,在此向所有的一线医护人员以及抗疫英雄致敬！
121,加油!
122,加油
123,加油！！！
124,加油
125,致敬
126,早日康复
127,加油！
128,加油
129,加油
130,加油
131,加油
132,加油
133,加油
134,加油
135,加油
136,致敬
137,加油！！！！！！！！！！
138,加油
139,加油加油加油加油！
140,加油！！！！
141,快点好起来
142,加油！
143,加油
144,加油！
145,加油！
146,加油！
147,还是别了！回家休假吧
148,加油。
149,加油加油
150,加油加油!
151,加油
152,加油
153,加油
154,加油
155,加油！
156,加油
157,加油
158,加油呀！
159,加油
160,加油
161,休息
162,请你休息
163,加油！
164,加油！
165,早日康复
166,天哪 好心疼好心疼
167,加油加油
168,加油，白衣天使！
169,加油
170,加油加油，一定可以的！
171,加油
172,加油！！
173,加油
174,加油
175,加油
176,加油加油加油加油加油加油加油加油加油加油
177,加油！祝姐姐早日恢复健康！
178,加油
179,加油
180,加油
181,你行
182,武汉加油
183,加油
184,加油
185,巾帼英雄，希望你康复
186,巾帼英雄
187,加油！
188,加油
189,致敬
190,一定会很快好起来的加油
191,加油！加油！
192,加油，奥利给
193,加油
194,加油
195,加油
196,加油
197,祝早日康复
198,一定要好起来鸭
199,加油
200,加油
201,加油
202,加油
203,加油，白衣天使。加油武汉
204,加油！一定会康复的
205,加油
206,加油
207,加油 祝您早日康复
208,加油！
209,加油，早日康复。
210,早日康复
211,加油！
212,加油
213,致敬
214,武汉加油!武汉奥利给!
215,加油！奥利给!
216,加油
217,加油
218,能不能休息一下
219,加油！
220,加油！
221,加油
222,中国加油
223,武汉加油
224,加油
225,加油
226,加油！
227,加油加油加油
228,加油
229,加油！
230,加油！
231,加油！
232,加油
233,加油
234,武汉加油！
235, 加油，奥利给！
236,加油
237,加油
238,武汉加油
239,加油，等你归来
240,加油
241,加油
242,加油
243,加油 
244,加油
245,加油
246,加油！
247,加油
248,加油
249,必胜
250,加油！！！！！！  辛苦了(≧∇≦)/
251,加油，早日康复！
252,早日康复
253,加油
254,加油
255,加油
256,加油加油加油
257,伟大
258,。。加油加油
259,加油！
260,加油
261,加油
262,加油！
263,加油
264,加油加油
265,英雄
266,加油
267,加油
268,加油
269,加油，爱你，你是最美的！
270,加油
271,加油
272,加油天使，你不是一个人在战斗。
273,加油啊！
274,这样的你真美
275,感动
276,致敬
277,早日康复
278,加油
279,加油，早日康复！！
280,加油
281,加油
282,加油！
283,加油
284,加油
285,致敬
286,早日康复
287,早日康复
288,致敬！
289,加油！加油！
290,加油
291,加油
292,加油
293,加油！
294,武汉加油！
295,加油!
296,加油！
297,加油
298,加油
