,comments
0,吉野家好啊
1,叔，口罩！！！
2,？？？？？
3,现在是2021年1月16日，探古！！！！
4,万物理论的bgm诶
5,帅了帅了
6,??????????????????
7,2020-12-24
8,全抗性+1
9,？？？
10,？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
11,这的敌人是病毒啊
12,叔你最帅！
13,叔你最帅！
14,我说疫情稳定后怎么把王冰冰整出来了 原来是洗你这块地哈哈哈哈哈哈啊哈哈
15,？？？？？？
16,宝鸡啊啊啊啊啊啊啊
17,？？？？？
18,帅
19,?????????????????
20,????
21,？
22,2020.11回看，真是不容易，致敬！
23,脸最大的吧
24,这是加大的
25,点赞
26,辛苦了
27,吉野家打钱
28,？？？？
29,董倩老师
30,台里还是靠谱的啊
31,？？？？？？？？？
32,？？？？？？？？？？？？
33,董倩吧
34,帅
35,致敬
36,这时候还是很泪目
37,阿姨们？
38,U1S1
39,叔最帅了！
40,是你的脸大
41,平安回来
42,哈哈哈哈哈哈哈哈哈哈哈
43,哈哈哈
44,把口罩带着，是帅的（bushi）
45,? ? ? ? ? ? ?
46,这位哥应该是有口呼吸的习惯吧
47,就你没带
48,哭了
49,？？？？？
50,???????
51,那么问题来了，穿山甲到底说了什么
52,！？？
53,今天是8.2号才敢看这个视频
54,？雨雨雨雨雨雨雨雨
55,融合升华
56,回归dab
57,新年快乐
58,叔
59,丑了丑了
60,每次看这个视频都会很感动
61,？？？？
62,？？？
63,···········这么好的么
64,？？？
65,真是又哭又笑的
66,想念大武汉
67,哭了
68,？？？？？？？？？？？？？？？？？？？？？？？？？
69,？？？？？？？？？？
70,哈哈哈哈哈哈哈哈哈
71,董倩
72,你们辛苦了
73,5月份再看还是泪目
74,叔辛苦了
75,？？？？？？？？？？？？？？？？？？？？
76,？？？？？？？？
77,¿
78,¿
79,梦开始的地方
80,霍尼韦尔勒耳朵
81,北京大爷局气！
82,都快泪目了，突然猝不及防
83,抗性提升
84,？？？？？？？？？？？？？？？？？？？？？？？？？？？
85,哈哈哈哈哈哈哈哈哈哈哈
86,笑死了
