,comments
0,辛苦了
1,哈哈哈哈哈哈感觉不要脸
2,2021年过来考古
3,厉害了大爷
4,慌了
5,哈哈哈哈哈哈哈
6,因为你拿着摄像机
7,因为你拿着摄影机？
8,戴口罩也是保护自己！
9,太危险了吧、
10,？？？？？？？？？？？？
11,？？？
12,干嘛呢你
13,？？？？
14,像是暗访的
15,我妈也是环卫工人，疫情最严重的时候也天天上班那几天老担心了
16,不是不是哈哈哈哈哈哈
17,战地记者确实是狠
18,辛苦了
19,哈哈哈哈哈哈笑死我了
20,嗨~现在武汉早就熬过去了
21,这个转场....
22,哈哈全员出动了
23,辛苦了！
24,辛苦了
25,事实上我们确实是依靠着这些普通老百姓完成了堪称不可能的任务。
26,好人一生平安
27,辛苦了
28,东北的
29,辛苦了
30,不行啊
31,hhhhhhhhhhhh
32,哈哈哈哈哈哈
33,像看神经病样
34,无情摆手
35,2020年11月26日再回顾
36,被打断腿的吧
37,家门口……绝了
38,叔你酱紫不好
39,死 亡 搁 浅
40,辛苦啦！！！
41,致敬！
42,加油
43,长得帅？不存在不存在
44,打你
45,危
46,戴口罩啊
47,辛苦了
48,哈哈哈哈哈哈
49,记者也是他的工作，大家都很辛苦好吧
50,人家刚刚在室内
51,人家在室内吧
52,哈哈哈哈哈哈
53,看着看着就想哭了
54,钓鱼执法
55,根本就不会接近你的
56,医生的话我就去  这句哭了呀
57,会被诛九族
58,记者
59,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
60,？？？
61,？？？？
62,？？？？
63,哈哈哈哈哈哈哈哈哈哈哈哈
64,美国都不戴口罩，你带啥
65,为啥怼镜头
66,辛苦了
67,辛苦了
68,美国170万回访
69,辛苦了
70,辛苦了
71,辛苦了
72,辛苦了！
73,大叔实在人
74,心疼。。。
75,哈哈哈哈哈哈哈哈
76,他真的相信你是什么便衣的
77,哈哈哈哈哈哈哈哈哈哈哈哈
78,和哈哈哈哈哈哈哈哈哈哈哈哈
79,和哈哈哈哈哈哈哈哈哈哈
80,哈哈哈哈哈哈哈哈哈哈或或或或或
81,一边咳嗽一边买的那个，绝对隔离了你
82,群星城！！！
83,玩命呢这2333
84,央视巡视组
85,这有个傻子没戴口罩
86,辛苦了
87,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
88,危
89,哈哈哈哈哈哈哈没有没有没有
90,标准的对人不对事呀！
91,拍摄报道就可以不戴口罩？？？信息量太大......
92,辛苦了
93,外卖小哥：莫挨老子！
94,大爷：你果然是来检查的
95,战术摆手
96,哈哈哈哈哈哈
97,辛苦了
98,哈哈哈哈哈哈哈哈
99,啊哈哈哈哈
100,哈哈哈哈哈哈哈哈哈哈反驳
101,群星城地下的超市，三个月没去了
102,叔 胆真大
103,辛苦了
104,hahahahaha
105,？？？？
106,问送外卖的在送什么也是可以
107,壮士走好
108,辛苦了
109,确实是搞检查的
110,哈哈哈哈哈看着很虎
111,哈哈哈哈哈
112,你咳嗽一下试试
113,辛苦了
114,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
115,哈哈哈
116,叔，没对焦啊
117,隔离！
118,武汉是真的干净
119,会上B站
120,双层口罩可还行
121,害怕
122,央视发的
123,危
124,会被关在羊圈里围着打
125,离你远点
126,危
127,群星城对面吗
128,会上b站
129,一路走好
130,买得到口罩了？
131,辛苦了
132,辛苦了
133,辛苦了
134,辛苦了
135,会被抬走
136,都封城了还不严重呢
137,你拿这个相机，，，，
138,哈哈哈哈哈哈哈哈哈哈哈
139,辛苦啦
140,我们这大小超市都会让你戴好口罩测量体温，不然门都不让进
141,憋气真实
142,会上b站
143,弹幕里的各位看视频发布时间，大年初二，那会宁们还搁家里聚着吃牛肉呢吧？
144,有人吗
145,辛苦啦
146,真实
147,真实
148,赶紧否认
149,可能大家都追你是坏人
150,会上B站
151,不帅哈哈哈哈哈哈哈
152,辛苦了
153,有必要？
154,辛苦啦～
155,叔你真是个勇士
156,哈哈哈哈
157,叔，你还在吗
158,不要不要
159,你要干啥，别
160,辛苦了
161,辛苦了
162,辛苦了
163,23333
164,23333333
165,不要玩梗行不行，，，
166,危
167,辛苦了
168,辛苦啦
169,辛苦啦
170,哈哈哈哈
171,摄像机暴露了
172,狼人
173,辛苦了
174,何必呢
175,幸苦了
176,辛苦了
177,我广西这边不带超市进不了的
178,弹幕笑死我了
179,武汉加油！
180,武汉加油
181,辛苦了！ 
182,辛苦了
183,辛苦了
184,武汉加油！
185,您辛苦啦！
186,一鞠躬
187,辛苦了
188,带上快!
189,危
190,辛苦了
191,辛苦了
192,辛苦了
193,驻俄罗斯首席大记者
194,谢谢
195,辛苦了
196,辛苦了
197,你像个暗访的你知道嘛？？？
198,仿佛在裸奔
199,？？？？？？
200,还是有点松懈啊，不管什么人只要不带一律平等对待
201,疯狂试探
202,胆子大哦
203,怕遇上傻子，肯定躲远远的
204,不行！！！！！
205,您幸苦了
206,会上B站
207,上b战
208,大爷火眼金睛
209,辛苦了
210,辛苦了
211,中国加油
212,中国加油
213,哈哈哈哈哈
214,辛苦
215,不知道最后感染了没
216,医生的话就去
217,辛苦了
218,连忙挥手
219,玩命呢
220,叔颜值过关啊
221,哈哈哈哈哈哈哈哈
222,？？？？？？？？
223,辛苦了
224,辛苦了
225,会上Ｂ站
226,危
227,辛苦了辛苦了
228,危
229,叔啊，祝你平安
230,辛苦了
231,？
232,不戴口罩牢底坐穿
233,辛苦了
234,罗森吧
235,会上B站
236,加油
237,会上新闻
238,破坏队形
239,辛苦了
240,会被隔离
241,辛苦了
242,辛苦
243,辛苦了
244,辛苦了
245,医生的话我就去 
246,哈哈哈哈哈哈
247,逗
248,哈哈哈哈哈哈哈哈哈哈哈
249,打脸了
250,玩火烧身
251,？？？？？？？
252,会上B站
253,哈哈哈哈哈哈哈哈哈哈哈哈哈
254,哈哈
255,这
256,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
257,钓鱼执法
258,危
259,辛苦了
260,辛苦了
