,comments
0,其实点外卖风险更高。外卖员每天接触的人太多了。
1,穿鞋？
2,痛苦面具
3,都是最平凡最可爱的人
4,大开大合
5,亿点点
6,叫一个？
7,死亡搁浅啊
8,死亡搁浅
9,武汉加油！
10,加油！！！！！
11,病毒和饿死，叔选择了不饿死
12,hellohello摩西摩西
13,敢
14,敢点就敢吃
15,我不害怕哈哈哈哈哈哈有点心疼又有点
16,正常武汉人家里吃饭
17,此画面配上台标 好像新闻频道
18,七月回来看 那段日子可太不一样了
19,。。。。。。。。。。
20,丑了丑了
21,新年快乐
22,人武汉人都不点外卖了
23,大开大合
24,正道的光
25,我绝对要吃
26,淋雨
27,"hello hello hi ,请给我舞台"
28,还点吗 还点吗 还点吗
29,还点吗
30,龟龟
31,饿了么打钱啊
32,吃啊，都饿了，等着看丑呢（滑稽）
33,出门不穿鞋？？？？
34,老       本         行
35,23333333
36,给塑料袋消个毒就行了
37,升华了
38,有个东西叫做闭门器，小朋友们
39,怕啥，戴上口罩可劲造
40,大开大合
41,？？？？
42,第二遍
43,主要是太饿了，说别的没用。
44,饿了吗给你广告费了吗
45,丑了
46,真香口水都流下来了
47,真实还算
48,报菜名
49,就是饿了
50,吃啊
51,饿了
52,哈哈哈哈哈哈哈哈
53,武汉加油
54,武汉加油！
55,两公里很近可还行
56,饿了
57,紧致套娃
58,哈哈哈哈
59,饿了
60,为什么我笑的这么厉害
61,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈hello hello hello
62,真香
63,武汉加油
64,北子哥是你吗
65,这个口罩现在也不好买啊
66,真香警告
67,来个烤鸡……吧
68,猛士
69,我好饿
70,饿了
71,辛苦了
72,武汉加油
73,加热再吃
74,土子哥？
75,死也不做饿死鬼
76,？？？？？？？？？？？？
77,加油
78,武汉加油，加油加油
79,不是刺身是熟的啊
80,哈哈哈哈哈哈哈哈哈
81,我好饿
82,嘶溜～（吞口水）
83,别吓到小哥了
84,烤饺子?
85,您点的病毒一份 麻烦下来搜下
86,武汉加油
87,真香
88,饿了么打钱
89,含着泪吃了两大碗
90,武汉加油！
91,hellohellohello
92,这次穿鞋了吗
93,武汉加油
94,外卖小哥：你不要靠近我啊！
95,哈哈哈哈
96,门？？？
97,我东北去那办事的时候就路过那
98,饿了么打钱！！
99,加油
100,那你点啥
101,你到底点了多少
102,美团打钱
103,全是肉
104,光明万丽？！就在我家对面啊！
105,你说的人家害怕
106,新年快乐
107,几个？
108,你想要恰独食！
109,这个枕头
110,武汉加油！
111,我流口水了...
112,好叫一个
113,敢阿
114,不敢吃
115,我好饿
116,加油
117,宁这是公私两不误啊
118,加油
119,你吃过人家就巨好吃？
120,饿了
121,饿了
122,还是饿了
123,吃啊
124,腰子
125,兄弟们揍他就完了
126,有病没病
127,咽口水了
128,武汉加油
129,饿了吗打钱
130,停不下来了
131,哈哈哈哈哈哈哈
132,哈哈哈哈哈哈哈哈哈哈或
133,其实没事
134,武汉加油
135,武汉加油
136,好过分
137,我看饿了
138,武汉加油湖北加油！内蒙古加油！辽宁加油！吉林加油！黑龙江加油！北京加油！天津加油！河北加油！山东加油！山西加油！陕西加油！河南加油！安徽加油！江苏加油！浙江加油！福建加
139,辛苦了
140,老兵了
141,都煮了吧哈哈哈
142,吃了别进医院，就行了。不要添麻烦。
143,我为什么要饿着肚子看您撸串
144,我傻了
145,好帅
146,卧槽好帅
147,天下大同
148,吃的有什么事
149,6个枕头
150,烤饺子？这玩意儿也能烤？
151,敢点的人自然敢吃，不敢吃也不会去点，我就是属于敢吃的那一类
152,出门不穿鞋啊哈哈哈哈
153,？？？？
154,还要穿衣服裤子呢
155,丑了丑了
156,武汉加油！
157,加油！
158,giao
159,加油
160,？？？
161,辛苦
162,中国的东西再怎么不好吃也能吊打大部分毛子餐馆
163,笑着笑着泪目了
164,不光要穿上口罩，还要把鞋带上（狗头）
165,春节不打烊？？
166,。。。。
167,瑟瑟发抖
168,武汉加油
169,。
170,武汉加油！中国加油！世界加油！
171,冬将尽，春可期。山河无恙，人间皆安。
172,我饿了
173,吃吃吃
174,小哥被吓到
175,吃这么多？
176,加油
177,烤串也需要时间吧
178,刚才关门了吗？
179,丑了
180,膜拜大佬哈哈哈全程高能你是魔鬼么？老天有眼心态崩了
181,点都点了 我的妈 点之前 就应该想这个问题 
182,真香
183,？？？？？什么还有第二个
184,看饿了
185,哈哈哈哈哈哈土子哥的有被笑到
186,武汉加油
187,？？？
188,武汉加油，中国加油
189,不敢
190,武汉加油
191,加油
192,用苹果怎么了
193,不吃得饿着啊
194,危
195,武汉加油，中国加油
196,你说呢hhh
197,看饿了
198,主要是忍不住
199,吃
200,武汉加油
201,是我就吃完在打算
202,武汉加油
203,真香
204,万物皆可烤
205,真香
206,我饿了
207,加油！
208,饿了么打钱
209,不愧是你
210,武汉加油
211,武汉加油
212,哈哈哈哈
213,加油
214,那么多啊，吃的完吗
215,怪蜀黍哈哈哈哈哈哈
216,？？？
217,武汉加油
218,加油
219,HeLLO
220,没人？
221,武汉加油
222,哈哈哈哈哈
223,"Woc,无情，好馋人"
224,同款花花公子
225,白酒啊
226,中国加油
227,武汉加油
228,烤的肯定慢啊
229,吃呀
230,。
231,武汉加油
232,武汉加油！
233,自己加热就好
234,辛苦了
235,粘酒吃（滑稽）
236,都送到嘴边了你问我敢不敢吃？
237,中国加油，武汉加油
238,武汉加油 中国加油
239,饿了么打钱
240,加油
241,别装了，哈喇子也流出来了
242,武汉加油
243,你平时出门不穿鞋
244,丑了就好吃
245,央视新闻？
246,想吃就说
247,愿逝者安息，愿生者奋发，愿祖国昌盛
248,武汉加油
249,武汉加油
250,坏了，把我看饿了
251,没买到口罩才买的防毒面具。。。。
252,双下巴！！！还吃！！！（虽然我也是，哭唧唧）
253,正常武汉人不敢吃啊qqqq
254,同意
255,75%酒精消毒就行了
256,记住现在的头发
257,3 月28号回来再看，感慨啊
258,你就是饿！！！
259,武汉平时高峰期的外卖时间差不多也1小时
260,没想到叔打电话也是哈喽哈喽哈喽
261,奥利给配央视违和感满分
262,哎，外面下雨啦……小哥辛苦了
263,外卖小哥辛苦了
264,外卖小哥辛苦了
265,饿死了么
266,饿了
267,下雨了
268,馋了
269,我带口罩说话走路也喘气。。
270,哈哈哈哈哈哈哈哈
271,我带这种口罩旁边都是漏的
272,差不多得了
273,过分了哦
274,土子哥？
275,这怕啥
276,大开大合
277,你叫啊
278,keai
279,hahaha
280,？？?
281,你以为不用做吗
282,这是央视记者？
283,丑了
284,致敬
285,我在汉口天天点外卖
286,为什么有英勇就义的感觉
287,非战斗人员请撤离
288,叔还想着吃哈哈哈
289,啊啊啊啊啊，叫了
290,怎  么  点  了  那  么  多
291,真的不敢接也不敢吃
292,哪就融入呀，这防疫时期我不点外卖呀...
293,大开大合
294,再加一遍热啊
295,加热
296,我点过  武汉外卖贼快
297,吃！大开大合
298,丑叔回归老本行了？
299,战时记者真牛
300,新年快乐，武汉加油
301,叔注意安全
302,Hellohellohello 
303,饼叔要注意安全啊！！！！
304,小哥有点帅呢
305,叫不到外卖，可以在酒店吃泡面！！
306,问题武汉人也不点外卖啊，
307,我敢 
308,加油
309,大开大合
310,hello～
311,主要是饿
312,终于是美食博主了，奥利给！
313,辛苦啦
314,。
315,喷点酒精在外面，里面是熟透了
316,有点帅
317,主要也是饿了
318,加油！
319,就伏特加/即答
320,你为什么会有这么多枕头！
321,我怕病毒，更怕饿……
322,问题是买不到口罩……
323,广州都叫不到外卖了……
324,?????
325,左上角央视新闻哈哈
326,??????????????
327,正常价好评
328,奥利给！
329,可以晾它2个小时再吃
330,嗯
331,真香
332,中国加油
333,武汉加油
334,吃播
335,哈哈哈哈哈多吃点
336,与子同袍
337,？？？第二个
338,打钱
339,新年快乐
340,我们这里外卖都不开了
341,央视吃播
342,奥力给哈哈哈，一起面对疾风吧
343,我不害怕
344,我的餐也到了
345,点完了
346,不愧是美食区up主
347,你可以包装袋消毒一下
348,重 操 旧 业
349,我们这除了便利店外卖都停了
350,加油武汉
351,你不还在I吃吗哈哈哈
352,？？？？？别说了我饿了
353,这是央视吃播吗
354,我每天给双倍
355,我去徐东
356,真香
357,牛油太好吃了
358,你上个视频还戴两口罩呢
359,我丑叔可是央视驻外战地记者，哼！！！
360,我丑叔可是央视驻外战地记者，哼！！！
361,我丑叔可是央视驻外战地记者，哼！！！
362,哈哈哈哈哈哈哈哈
