,comments
0,2021年1月10日
1,弹幕的你不怕是么？
2,还有三分钟就是2020年最后一天 希望大家都好
3,那段时间闻到酒精味真的有安全感
4,武汉加油！
5,红红火火恍恍惚惚
6,哈哈哈哈哈哈
7,老一辈的经历过物资紧缺时代，对物资的转运速度有了解，知道在全面封锁的情况下大宗物资不可能迅速抵达。
8,我一般都吃他们的
9,他有一期节目里面说自己用SKII神仙水。
10,什么叫叔上央视了，他本来就是央视的人。
11,移动支付真的是新时代最伟大的发明。
12,隔岸观火，太平洋对面1470万了
13,公费逛超市~
14,哈哈哈哈哈哈哈
15,哈哈哈哈 真实！
16,武汉加油
17,哈哈哈哈哈哈哈哈哈哈哈哈哈
18,锅包肉给热干面加油
19,老人真的是有经验，我以为年过完了就好了，以为顶多到十五
20,旺旺快给央视打钱
21,封城76天，2个半月
22,9月份来回看，真是感慨万千
23,哈哈哈哈哈哈哈哈哈哈哈
24,嚯，老子上超市从没有这种排面啊
25,有排面
26,排名
27,八月一号了，
28,哈哈哈嗝
29,武汉加油
30,奥利给
31,刚刚内样好像吴昕
32,真好
33,来了
34,这就是小姐姐啊，弹幕阴阳怪气个啥
35,五斤脂肪预订
36,您不是美食博主吗？
37,检查呢
38,牌面
39,奥里给
40,疫情前就有拒收现金的现象了
41,两层口罩，喘气否？
42,假公济私，哈哈哈哈哈哈哈哈哈
43,和哈哈哈哈哈哈哈哈哈哈哈哈
44,奥利给haop
45,混进了奇怪的东西
46,这个面膜很好用
47,同款面膜！
48,五月
49,太短了叔
50,奥利给
51,要买xl的面膜
52,全球了
53,口罩是医疗器械，超市不会随便卖的
54,真实
55,浪起来了
56,哈哈哈哈哈哈哈哈哈哈
57,大开大合
58,大开大合
59,04.16考古
60,石泽研究所最爱
61,哈哈哈哈哈
62,武汉加油
63,4.8好，。武汉解封了
64,武汉解封啦，但是全世界开始爆发……
65,哈哈哈哈哈哈哈哈哈哈哈哈
66,这不是上次那家吗
67,CCTV的排面还不把所有库存上架咯！
68,武汉加油
69,上期那家
70,第一次见到有嫌弃钱的
71,你退半步的动作是认真的吗？
72,应该发配手套
73,你吃他们的啊！
74,武汉加油
75,我恭喜你发财
76,你吓到别人了!
77,哈哈哈哈哈哈哈哈
78,武汉加油
79,哈哈哈哈哈
80,原来叔是央视的
81,哈哈哈哈哈哈
82,同款口罩
83,哈哈哈哈哈哈
84,哈哈哈哈哈哈
85,排面！
86,南充米粉给热干面加油
87,啊哈哈哈哈哈哈
88,武汉加油加油加油
89,武汉加油
90,武汉正在好起来，加油
91,这个面膜我也有哈哈哈哈哈
92,浪味仙
93,热干面加油哦   烩面挺你
94,没事你就呆着
95,我们这边盒马给一次性手套
96,大叔脖子呢
97,叔有排面了啊
98,央视的谁不紧张呀，明目张胆的调查
99,最多两个月那个说对了。
100,武汉加油
101,哈哈哈哈哈哈哈
102,向伟大的逆行者致敬
103,4月份了终于要结束了
104,哈哈哈哈，排面
105,钱：我脏
106,哈哈哈哈
107,武汉加油
108,我妈也有这种的面膜诶，是同事从日本
109,彩色！！！！！
110,百醇！
111,精致猪猪男孩
112,武汉加油
113,武汉加油
114,想不到还是个精致boy
115,精致的猪猪男孩
116,哈哈哈哈哈哈哈哈哈
117,再见 来自4.4的悲伤 加油 奥利给
118,叔带一个口罩，盖不住全脸啊(狗头)
119,我已经四月四号了
120,小姐姐？
121,哈哈哈哈哈哈哈哈
122,吓的大家全部起来消毒
123,武汉加油！
124,哈哈哈哈哈哈
125,冲冲冲
126,结果辣条10块钱一包
127,武汉加油！
128,武汉加油
129,武汉加油
130,武汉加油
131,咱这央视的  严肃点
132,我去 在我家附近的群星城
133,双重bgm
134,4月了
135,武汉加油
136,武汉加油
137,细节做的很好
138,武汉加油
139,武汉加油
140,哈哈哈哈哈哈
141,好焦急
142,武汉加油！！
143,哈拉少
144,早茶给热干面加油
145,早茶给热干面加油
146,内容过于真实
147,升华了
148,快来水!!我也要
149,爱死这些零食了
150,饿了555
151,cd机
152,加油，奥利给！
153,哈哈哈哈哈哈哈哈这个比喻很真实
154,加油
155,央  视  记  者
156,奥力给
157,奥利给？
158,叔，人家是开门迎宾呢
159,武汉加油
160,武汉加油
161,旺旺仙贝打钱
162,哈哈哈哈
163,武汉加油
164,太形象了
165,武汉加油
166,4月了马上解葑了！
167,一大早（指11:08
168,武汉加油！
169,快三个月了
170,哈哈哈哈
171,说一个星期的，请你出去
172,哈哈哈哈
173,武汉加油
174,武汉加油
175,加油！！！
176,恭喜你精彩
177,加油
178,武汉加油
179,店主好像戴了两层口罩
180,武汉加油
181,哈哈哈哈哈哈哈哈哈哈哈哈
182,哈哈哈哈哈
183,佛跳墙为热干面加油！！！！！！
184,武汉加油
185,约了一家
186,武汉加油
187,武汉加油
188,俩口罩？
189,雀斑美人为武汉加油
190,东西还是挺多的啊
191,哈哈哈哈哈哈哈
192,真就两个月了
193,hi
194,承包空屏
195,承包空屏
196,武汉加油
197,叔呀，你那个皮肤除了整容其他的真的救不了，别难为面膜了
198,当他比2的时候，我还以为是两天。
199,加油
200,排面
201,叔，真实央视记者啊
202,姐姐?
203,武汉加油
204,奥利给
205,钱都不接触！！？我来接触！
206,哈哈哈哈哈哈哈哈哈
207,加油
208,哈哈哈哈哈哈哈哈
209,武汉加油武汉加油
210,哈哈哈哈哈哈哈哈
211,恭喜你发财
212,武汉加油
213,约还行
214,特难受
215,哈哈哈哈哈哈
216,孤独
217,武汉加油
218,太难了
219,？？？
220,？？？
221,？？？？？
222,哈哈哈哈哈哈哈
223,武汉加油
224,奥利给！
225,哈哈哈哈哈哈哈哈
226,武汉加油
227,老人家真厉害，竟然一语中的
228,武汉加油
229,讲究
230,武汉加油
231,好像混入了个奇怪的东西
232,23333
233,四月了
234,央视记者
235,？？？？？？
236,恭喜你发财
237,加油加油加油(ง ˙o˙)ว
238,美汁汁
239,武汉加油
240,Cd机
241,真实
242,古德耐特
243,排面
244,哈哈哈哈哈哈哈哈哈
245,哈哈哈，活的真精致
246,敷面膜？
247,武汉加油
248,武汉加油
249,那肯定的，你是记者，他们能不紧张吗？
250,武汉加油
251,。？
252,哈哈哈哈哈
253,武汉加油
254,武汉加油
255,武汉加油
256,武汉加油
257,排面！！！
258,歌曲还停留在春节期间
259,武汉加油
260,武汉加油
261,我怀疑你在打广告
262,我家小区电梯也是两小时，我们这还没严重疫情，武汉加油
263,4月4了，全网哀悼
264,加油！ 武汉加油！
265,面膜很正常的
266,四月份le
267,哈哈哈
268,武汉加油
269,四月四号来的
270,？面膜供不应求？生活必需品？
271,一个星期这
272,你事真多
273,就是馋
274,叔你咋来了
275,武汉加油
276,旺旺打钱
277,四月了
278,看见大家过得好就好
279,武汉加油
280,武汉加油
281,武汉加油！
282,武汉加油
283,哈哈哈哈哈哈哈哈哈
284,三个月啊。
285,加油加油加油！！
286,现在都4月了诶
287,加油加油
288,哈哈哈哈哈哈哈哈哈
289,武汉加油
290,到冬天世界能好就不错了
291,排面
292,谁说拒收了。阅读理解有问题。
293,武汉加油
294,我饿了。。。。
295,哈哈
296,差不多2个月
297,武汉加油！
298,把人家吓着了
299,以下品牌请给央视打钱 
300,夏天要来啦
301,蹭吃蹭喝°~
302,听到背景音乐了，hhhe
303,你可是记者啊哈哈哈
304,还能吃点面膜
305,新闻上看到了哈哈哈哈哈哈
306,真实了哈哈哈哈哈哈哈哈哈
307,哈哈哈哈哈哈哈哈哈
308,武汉加油
309,真实
310,昌乐一中为武汉加油！
311,武汉加油
312,武汉加油！中国加油！
313,丑
314,真实
315,排面
316,武汉加油w
317,武汉加油
318,旺旺再次打钱
319,旺旺打钱
320,哈哈哈哈哈哈
321,武汉加油
322,你这张老脸，啥面膜也补不回来了
323,哈哈哈哈哈哈哈哈
324,武汉加油
325,哈哈哈哈哈哈哈嗝
326,口罩带阀，没常识啊
327,武汉加油
328,哈哈哈哈哈哈哈哈哈对对对
329,武汉加油中国加油
330,叔是央视战地记者好像
331,哈哈哈哈哈哈哈哈哈排面
332,还是熟悉的场景，一切没变，加油，武汉加油
333,那个阿姨好厉害啊
334,4.4 再来看
335,武汉加油
336,[呆]
337,恰饭？
338,提安娜
339,中国加油，武汉加油
340,你吓到人家了
341,巴适
342,武汉加油！
343,武汉加油
344,哈哈哈哈哈
345,。
346,恭喜你精彩 恭喜你发财
347,别摸口罩外面
348,你咋还打广告呢
349,手套啊
350,武汉加油!
351,配个手套？
352,武汉加油
353,武汉加油
354,我看见过！
355,慌张
356,哈哈哈哈哈哈哈哈哈
357,武汉加油
358,物资不行
359,加油
360,CD机
361,我也想吃！！
362,武汉加油
363,哈哈哈哈哈哈哈哈哈
364,春游更贴切好吗哈哈哈
365,武汉加油
366,额
367,ggg
368,武汉加油
369,四月份了
370,wa
371,武汉加油
372,武汉加油
373,武汉加油
374,哈哈哈哈
375,武汉加油！
376,武汉加油
377,武汉加油
378,哈哈哈哈哈哈哈
379,群星城楼下的北京华联
380,中国加油！
381,叔好呀
382,清炖羊肉给热干面加油
383,哈哈哈哈哈哈哈哈
384,武汉加油!
385,武汉加油!
386,武汉加油
387,武汉加油
388,哈哈哈哈哈哈
389,我超有信心的
390,武汉加油
391,今天是哀悼日，全城鸣笛，致敬英雄！
392,排场
393,武汉加油
394,有，香菇炖鸡面
395,这个兰雀唯鲜超好喝
396,哈哈哈哈哈哈
397,。
398,武汉加油！！
399,武汉加油！！中国加油！！
400,加油武汉
401,武汉加油!
402,我有信心，相信中国！
403,哈哈哈哈哈哈
404,那个东西
405,哈哈哈哈哈哈哈
406,武汉加油
407,武汉加油
408,武汉加油
409,武汉加油
410,哈哈哈哈哈哈哈哈哈
411,哈哈哈
412,武汉加油！
413,武汉加油
414,酒精易挥发，一会儿就没味儿了
415,武汉加油
416,bgm好评
417,加油
418,加油！！
419,武汉加油！
420,武汉加油
421,我也很有信心！
422,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
423,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
424,对焦都能对歪来
425,张竣
426,真就两个月
427,又去群星城了
428,旺旺打钱
429,年味bgm
430,哈哈哈哈哈哈哈哈哈哈或
431,太形象了哈哈哈
432,哈哈哈哈哈哈哈哈哈哈或或
433,升华了
434,哈哈哈最喜欢去群星城
435,谜之聚焦
436,哈哈哈哈哈哈
437,武汉加油
438,物换机油
439,第一个阿姨预言帝啊
440,钱：不是说我是人见人爱吗
441,今天三月21了
442,我没有这种感觉，因为我妈每次都给我带一大包哈哈哈哈哈哈【骄傲叉腰】
443,大米面膜
444,都三月中旬了
445,以上零食打钱
446,好孤独的新年音乐
447,3月14号了
448,三月了
449,还能吃点面膜
450,后来就不这样了
451,加油
452,很曼妙
453,拒收人民币犯法的呀
454,叔本来就是央视记者啊
455,哈哈哈哈，叔眼馋别人家的零食了
456,叔？？面膜？
457,武汉加油！
458,一个星期的你乐观了，来自3月17号的回答
459,大开大合
460,我也爱
461,哈哈哈
462,哈哈哈哈
463,我也爱吃
464,武汉加油！
465,武汉加油，中国加油，世界加油！！！！
466,你要把人家都吓死了
467,哈哈哈哈哈哈哈哈哈哈哈哈哈
468,hhhhhhhh
469,小姐姐：我当时害怕极了
470,央视新闻哈哈哈
471,群星城啊
472,很真实的例子
473,哈哈哈哈哈
