,comments
0,买不到就别出门
1,美国欧洲已经浪费了中国争取的宝贵时间
2,市长加油
3,他做的可以了
4,l
5,艰难哦
6,为李文亮医生默哀
7,哦哟
8,新非典型肺炎
9,这也给日后出现这种事件做了一些经验
10,看市长的鞋子
11,武汉加油
12,加油
13,中国加油
14,武汉加油
15,。。。
16,。。。。。
17,这个责任和压力用的好
18,是个好市长，可敬
19,敢曝出问题，周市长可敬
20,？？？
21,加油加油啊！
22,经历过后  以后的预案  会更加全面
23,市长尽力了
24,加油啊武汉
25,大家只要团结我们一定可以度过难关的，加油中国人
26,算了不骂你了你也不容易哎
27,这问题有必要问吗？
28,加油
29,闭关是为了防止扩散，但是要做出这个决定，很艰难
30,实事求是，有啥说啥，好市长
31,武汉加油
32,市长已经不错了，
33,实话
34,看看市长鞋子上的土。。
35,这个市长是个俊杰
36,实际情况
37,周市长保重身体，疫情过后还需要您重振武汉经济
38,是这样的
39,武汉加油！周市长加油！
40,是个好市长
41,发现问题解决问题预防问题的出现
42,啊
43,侥幸心理要不得
44,首先是为了医护人员 其他人最好不出门
45,市长真的很实在了！加油啊
46,好什么啊~你就没车坐~一个社区多少人~3-5量你能干嘛
47,有些人不是不戴口罩，是没买到
48,社区工作人员是默默无闻的逆行者
49,市长加油
50,我终于能听懂一个市长回答问题  
51,鞋子边上的泥土。
52,加油加油加油
53,口罩戴对了
54,为什么不在春运至少封城
55,市长挺好的
56,戴口罩
57,单位要求上班怎么不出门
58,加油
59,市长加油！武汉加油！
60,加油！
61,抱有侥幸心理的人永远都会存在……
62,加油
63,实在
64,问来问去都是这几个问题。和当年非典的问题没多大差别
65,加油！
66,武汉加油！
67,对
68,市长眼睛布满了血丝
69,这个领导是好的有担当
70,很好的一个市长
71,看的出没休息好，脸都浮肿了
72,这个市长真的算很不错了
73,市长真的不容易
74,记者姐姐口罩！
75,武汉市市长加油！
76,没有硝烟的战争。
77,为了主持人的安全，戴口罩，负责的市长，心思缜密的好人
78,武汉加油加油加油！！！
79,有能力有担当，真英雄
80,在第一线，实时了解
81,武汉加油！中国加油！
82,有策略有力度
83,武汉加油！中国加油！
84,艰难的决定，了不起的决定
85,加油
86,确实
87,加油加油
88,无私奉献
89,武汉加油
90,眼角有泪
91,武汉加油
92,武汉加油
93,刚开始你这样就不会这样了
94,市长一直在一线，不容易了
95,买不到尽量少出门
96,我们这里有一例确诊病例就已经公交，公路停运，娱乐及商场停业业了
97,？？？？？
98,早点关不行吗？？
99,决定前的500万啊。。。
100,买不到别出门
101,海鲜市场本来违规，不算隐患？
102,武汉加油！！
103,武汉加油！！！！！
104,市长加油
105,加油
106,要是没这个市长  我们可能都没办法安心的在这看视频
107,市长也不容易
108,？？？？？？
109,市长也不容易，辛苦了，带领武汉加油！
110,这次带对了
111,打120嘛
112,有一说一
113,买不到口罩
114,市长要为多方面因素考虑也不容易
115,主持人戴口罩呀
116,未知的恐惧感
117,市长两眼通红，估计都没睡觉
118,加油
119,加油
120,有很多人都以为城市治理很简单
121,武汉加油
122,武汉加油
123,武汉加油
124,武汉加油
125,主持人不戴口罩!
126,看他鞋底的泥巴，加油
127,口罩瞩目
128,辛苦了
129,听到现在，眼角都出现泪水了，我个大男人的
130,讲出了很多细节，真的在一线奋斗得很辛苦了
131,买不到口罩
132,武汉加油
133,武汉市民家在武汉，他去哪
134,注意安全！
135,加油
136,市长注意身体健康！！
137,武汉加油！
138,口罩买不到怎么办呢
139,你们别脑补啦
140,武汉加油
141,武汉加油
142,怎么讲
143,市长很自责了
144,这个市长可以
145,市长是好市长
146,市长辛苦
147,武汉加油！
148,太突然了，怎么讲?
149,市长实在人
150,奥利给
151,市长挺坦诚的
152,先旺眼里有泪
153,武汉加油
154,正常现象，如果是暴涨才有问题
155,这个方法好
156,有潜伏期的
157,武汉加油武汉加油武汉加油
158,武汉加油
159,武汉加油
160,武汉加油
161,武汉加油
162,武汉人口1100万
163,武汉加油
