,comments
0,戴口罩好评
1,1
2,手里的医用一次性口罩它不香了
3,武汉加油
4,3M口罩好评
5,灰了
6,每次搞蝙蝠都会出事 你品你细细的品
7,英烈走好！
8,hh
9,嗯。
10,口罩好评
11,武汉加油!中国加油！
12,我想看日漫，为啥都没了
13,中国加油！加油！
14,我b站灰了
15,致敬我们伟大的逆行者向最美逆行者致敬清明时节 断魂无声 逝者安息 生者节哀向英雄致敬，一路走好。逝者安息。精神长存。你们是伟大的，向英雄致敬，人民英雄永垂不朽！向那些停在冬天的同胞
16,传染性高，狡猾
17,这是疾病什么敌我啊有没有搞错
18,开始敌人了
19,砖家
20,气溶胶
21,无症状也会传染别人
22,武汉加油
23,前面的，我们这边邳州一例大学生感染，21岁
24,露天办公很困难
25,大家要保护好自己
26,加油
27,加油
28,武汉加油
29,.
30,明白人
31,空旷原野清新的空气
32,说的太对了
33,加油
34,专家声音特别像成龙历险记里的一个人
35,赞同 赞同 赞同 
36,赞同
37,赞同
38,95的过滤直径也远比病毒直径大，都是防飞沫的
39,N90日常防护足够了
40,他们俩都戴口罩了
41,辛苦您了！！
42,这个摩托大哥没戴口罩，这可是病毒所在地啊！！！！
43,伪装性太厉害了
44,它的变化形式和速度都快于SA
45,的确普通发热门诊该设在室外开放空间去
46,呼吸阀在呼气时打开，吸气时关闭
47,病毒无处不在，草木皆兵啊
48,我也觉得是，潜伏期这么长……太狡猾了
49,3M 9002!划重点
50,刚去发热门诊，不是肺炎
51,东北的公园你试试
52,是的
53,说的有道理
54,武汉加油！中国加油！
55,冷啊
56,公园冷～
57,有呼吸阀是可以用的，已经辟谣了
58,可能是它的潜伏期久感染率高缘故
59,病毒都狡猾？
60,武汉加油
61,呃
62,记住口罩型号照着买  注意别买有呼吸阀的
63,这个主意非常好!为什么不露天办公
64,真的不要生病了这个时候
65,吓人
66,戴口罩好评！
67,9002的，可以防飞沫，其他的别想
68,好像前几天受采访的时候没戴口罩
69,额
70,武汉加油
71,讲真话真专家
72,怕了怕了拍了
73,曾光国家栋梁
74,我们对这个敌人越清楚，打击它就越容易！
75,kn90是防雾霾用，不是一线医护人员也有很好的防护
76,这个口罩有用的。说明书上说了。防病毒的~
77,浓度低的地方90也行
78,KN90的。
79,孩子传染的，你有证据么，哪来的消息
80,同款口罩
81,可以
82,这个可以啊
83,这个说的号
84,这个kn90的口罩
85,武汉加油
86,来了
87,症状太容易混淆了
88,现在都有小孩感染了。。。害
89,来了来了
90,3M有用的
91,冬季小感冒小发烧本来就多
92,辛苦了
93,好难
94,这个口罩管用吗？
95,是的
96,医生护士辛苦了
97,如何区分才是核心问题
98,的确，本身就和流感差不多
99,第一次来那么早。
100,武汉加油 中国加油
101,好
102,武汉加油
103,医生们辛苦了 加油 奥利给
