,comments
0,难搞
1,昂
2,加油
3,加油
4,奥力给
5,加油
6,全村也在发了
7,哈哈哈哈哈哈哈
8,说的对
9,不要说
10,我接到学校老师通知
11,我们老师也说了
12,我们都发了啊
13,真相要跑到谣言前面
14,真没准。
15,会！
16,哈哈哈哈
17,学校发
18,学校的学校发的
19,不信谣不传谣
20,加油
21,感谢
22,加油
23,加油！
24,老师在群里转了
25,我们学校发了
26,哈哈哈哈哈哈哈哈哈哈哈
27,拒绝谣言
28,我们已经不知道礼拜几了
29,我这也有
30,武汉加油加油加油加油加油加油加油加油加油加油加油加！中国加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油！
31,？？我们学校还发了 哈哈哈哈哈
32,老师发的……
33,我们班主任也发了
34,我们老师也发了
35,但高考不会延期啊，加油啊
36,我也发了，不过不是我先发的，是我们领导
37,哈哈哈哈哈哈
38,我看到转发到我的朋友圈了
39,会
40,我们也发了
41,我们也发了
42,我这里中学老师发了
43,我们教导主任也发了
44,我们学校也发了
45,家长发了……
46,我们学校也发了
47,学校都发了
48,我们班级通知群里也发了
49,我们老师也信了
50,真实
51,班主任发了
52,强者对线
53,我们学校也发了
54,我们老师也发了
55,我们班主任说的
56,都发了
57,我们老师发了
58,我们学校还发布了
59,我们老师也发了
60,支持
61,老师都发了
62,我们学校也发了
63,学校发了
64,学校发了
65,算我一个
66,班主任发的
67,那你什么时候采访呢
68,加油
69,加油
70,给我顶
71,我们老师发了
72,我们学校群也发了
73,我们学校也发了
74,造谣者，可恶至极！
75,学校发消息了
76,我们学校也发了
77,的确
78,直播中？
79,我们老师也让看
80,不造谣不传谣
81,我们班主任说的
82,学校发了
83,我们学校让看
84,我们班主任也发了
85,求一个BGM
86,嗯
87,我们老师也发了让我们看
88,哈哈哈哈哈哈哈都是这样嘛
89,哈哈哈哈哈哈哈哈哈哈哈
90,哈哈哈哈哈哈哈哈哈哈哈
91,我们也
92,真实
93,学校发的我还转到空间了。尴尬
94,我们学校也发了
95,我们班级群就发了真的很气愤为什么要造谣呢
96,我们班主任也发了
97,我班群通知的
98,造谣者要负责人
