,comments
0,在外面直接打开的啊
1,!!!!
2,叔的口罩看起来更好。。。
3,辛苦了
4,真的，感谢医务人员
5,我在电视上看过这段！原来是你！
6,辛苦了，致敬！
7,辛苦啦白衣天使们
8,谢谢你们
9,年底再回来看 也哭了
10,佩服饼叔
11,蹭吃蹭喝doge
12,这么饿肯定有味啊
13,我哭了，你们呢
14,？？？
15,此时的她们最美丽
16,我已经哭了
17,英雄
18,致敬英雄
19,加油
20,辛苦了白衣天使
21,脸上都勒出护目镜的轮廓了。。。
22,叔你坏
23,辛苦了
24,眼睛进砖头了
25,辛苦了
26,辛苦了
27,致敬最可爱的人
28,吃的都是够的，其实不够的是防护物资
29,九月了！过来回顾依旧感动！
30,9月11日凌晨回看，叩谢医护天使…
31,这么大脸对不上焦
32,9月了。希望诸位一切都好。
33,看着战士上战场的感觉
34,你还给人问哭了！！道歉！QAQ
35,辛苦了
36,我们胜利了
37,辛苦了
38,迟到的谢谢
39,我愿意送巧克力！
40,哭了
41,辛苦了！
42,又想蹭饭哈哈哈哈哈哈哈
43,又蹭一顿
44,辛苦了
45,辛苦！
46,多可爱的中国人民啊
47,太不容易了
48,天呐
49,太辛苦了
50,脸被勒的
51,辛苦了
52,眼神坚定
53,鼻子红了，，，，
54,辛苦了
55,辛苦了
56,鼻酸落泪了
57,您们太好看了
58,哈哈哈哈哈h
59,辛苦了
60,摸摸头，辛苦了小姐姐们
61,不胖不胖
62,辛苦了
63,哭撩哭撩
64,辛苦了
65,想到了我妈   我也一个多月没见了    她在中南医院
66,辛苦了
67,辛苦了
68,4月来看的 都过去了 你们是最棒的
69,这群人太可爱了
70,辛苦了
71,Q Q
72,加油各位！
73,致敬！
74,辛苦了
75,谢谢
76,可爱
77,吃的vc，增强抵抗力，一块多钱100片的那种
78,幸苦啦
79,辛苦了
80,？？？？？？
81,辛苦了
82,打开的盒饭总没有盖着的干净呀
83,英雄
84,辛苦了
85,坚毅的眼神！
86,辛苦了
87,辛苦了
88,辛苦了
89,致敬！辛苦了！
90,辛苦了
91,辛苦了
92,这不是浮肿，这是被口罩给嘞的。
93,哈哈哈哈哈哈哈
94,辛苦了
95,辛苦啦！姐姐！
96,致敬
97,辛苦了
98,谢谢
99,孩子会为您感到骄傲的
100,辛苦了
101,辛苦了啊 注意安全啊啊啊啊！！！！
102,叔生巅峰  被一群天使包围
103,辛苦了
104,辛苦了，太可爱了
105,给她买！
106, 白   嫖
107,辛苦了
108,真的辛苦了
109,辛苦了
110,辛苦了
111,唉～～～
112,那个说吃饭的就跟二货一样，他们就不用休息了，占吃饭的时间，还是休息的时间好？什么都不懂
113,因为这盒开过了啊....
114,这直男幽默
115,辛苦了
116,辛苦了
117,你还想蹭饭？
118,完，我叒恋爱了
119,辛苦了
120,我失恋了
121,脸都浮肿了，看我的流出了眼泪。
122,辛苦了
123,就别说透气了，这是搏命！ 致敬
124,辛苦了
125,蹭饭
126,辛苦了
127,我也感觉菜有点少。。。每天工作这么辛苦饭都少了点。。。。。。
128,加油
129,辛苦了
130,辛苦了
131,加油  辛苦了
132,泪目
133,辛苦了
134,幸苦了
135,辛苦了
136,辛苦了
137,加油呀
138,辛苦了辛苦了辛苦了！
139,辛苦了！
140,辛苦了
141,辛苦啦
142,辛苦了
143,辛苦了
144,加油，中国必胜，世界必胜
145,辛苦了为你们致敬
146,哥，这本来就是屏蔽用的，怎么可能透气
147,我哭了
148,辛苦了
149,武汉加油啊啊啊！！！
150,辛苦了
151,加油，辛苦了
152,泪目
153,辛苦了
154,辛苦了
155,辛苦了
156,姐姐不哭QAQ
157,眼睛进沙子了
158,？？？？？？
159,致敬最可爱的人
160,不胖
161,辛苦了
162,辛苦了
163,白衣天使们您们辛苦了
164,加油
165,。。。。。。
166,可爱的小姐姐
167,落泪了
168,辛苦了
169,辛苦了
170,武汉加油
171,辛苦了
172,你们是最伟大的人！最可爱的人！
173,辛苦了！
174,辛苦了！
175,天使们辛苦了！！
176,辛苦了
177,辛苦了！！天使们
178,白衣天使是最可爱的人！
179,听着就难受
180,辛苦了
181,哭了
182,辛苦了哭了哭了
183,你这口罩又又又又小了
184,哈哈哈哈哈哈辛苦了
185,辛苦了！！
186,辛苦了
187,加油
188,辛苦了
189,突然落泪
190,武汉加油！
191,辛苦了
192,闭嘴，让她们吃饭
193,叔？？？
194,泪目
195,辛苦了
196,中国必胜！
197,大哥，您这脸也太大了吧
198,4.4
199,辛苦了
200,辛苦了
201,饿了什么都好吃
202,辛苦了
203,加油，辛苦了！
204,我女朋友是护士，我骄傲
205,你们永远是最可爱的人
206,辛苦了
207,武汉加油中国加油
208,辛苦了
209,饭都凉了……
210,辛苦了
211,辛苦了
212,辛苦了
213,中国加油中国加油
214,致敬
215,辛苦了
216,向英雄致敬
217,辛苦了
218,菜好少
219,丑萌丑萌的，哈哈哈哈
220,都是女孩子啊
221,辛苦了
222,中华加油
223,武汉加油
224,不透气的
225,团结就是力量，加油！辛苦了！
226,武汉加油！
227,摸摸，辛苦了
228,辛苦了
229,武汉加油鸭
230,辛苦了
231,辛苦了
232,辛苦了
233,致敬
234,武汉加油
235,辛苦了
236,辛苦了
237,泪目
238,辛苦了
239,致敬
240,辛苦了
241,泪目
242,看着真的心酸又敬佩
243,加油
244,？？？？？？
245,辛苦了
246,辛苦了
247,辛苦了！
248,中国加油
249,看不了这个，哗哗掉眼泪
250,辛苦了
251,武汉加油！
252,辛苦了
253,辛苦了
254,这么点
255,辛苦了
256,辛苦了
257,辛苦了
258,辛苦了
259,爱你们
260,心酸
261,谢谢你们
262,辛苦了！
263,加油
264,中国加油，武汉加油！
265,武汉加油
266,辛苦了。
267,辛苦了，加油
268,你们辛苦了
269,加油
270,敏华
271,加油！辛苦了
272,辛苦了
273,你们都是最美的！
274,辛苦了
275,辛苦了
276,辛苦了
277,辛苦了
278,辛苦了！
279,幸苦了❤️
280,幸苦了
281,幸苦了
282,幸苦了
283,武汉加油
284,辛苦了
285,辛苦了
286,泪目
287,辛苦了 我们一定能战胜疫情 加油！
288,泪目
289,泪目
290,辛苦了
291,加油点赞
292,武汉加油
293,加油！
294,哭了
295,辛苦了
296,真的辛苦
297,致敬
298,加油
299,中国加油
300,肉少啊，小姐姐够吃不
301,武汉加油
302,辛苦了
303,辛苦了
304,辛苦了
305,辛苦了
306,辛苦了
307,辛苦了
308,都得一个月了多了这视频
309,护士姐姐们加油
310,辛苦了…………
311,辛苦了………
312,伙食还不错啊………
313,武汉加油，中国加油
314,已经到决胜阶段了
315,人民英雄！！！
316,辛苦了
317,天使们，你们辛苦了！！！
318,我在同济医院做过手术诶
319,中国加油！
320,你们辛苦啦！
321,辛苦了
322,不能上厕所也太辛苦了
323,幸苦了
324,辛苦了！
325,你们辛苦了！
326,辛苦了
327,辛苦了
328,辛苦了
329,辛苦了
330,加油
331,辛苦了
332,辛苦辛苦辛苦
333,辛苦了
334,辛苦了
335,辛苦辛苦辛苦
336,辛苦了
337,谢谢你们
338,不哭不哭
339,辛苦了
340,给她吃！！！
341,中国加油
342,辛苦了
343,加油！！
344,不胖不胖
345,辛苦了
346,致敬
347,辛苦了
348,辛苦了
349,中国加油，武汉加油
350,辛苦了
351,饿啊
352,太真实了
353,啊啊啊啊，想到了以前在医院的时候，现在离开这个岗位了
354,加油
355,加油
356,致敬
357,辛苦了
358,辛苦了
359,辛苦了
360,加油
361,辛苦
362,武汉加油，中国加油
363,辛苦了！
364,辛苦了  加油
365,辛苦了
366,辛苦了，小姐姐
367,辛苦了
368,辛苦了
369,辛苦了，加油
370,你们就是英雄！！
371,加油！！！
372,辛苦了
373,辛苦了
374,武汉加油！！！
375,辛苦了！
376,辛苦了！
377,疫情早点过去，让医护人员早点回家
378,幸苦了幸苦了
379,真的还挺心疼的
380,辛苦了辛苦了
381,辛苦了
382,泪目
383,辛苦
384,武汉加油！
385,辛苦了
386,武汉加油！
387,坐高铁，穿过一次防护服，下雨天，在室外五分钟就汗流浃背，头发丝都是汗水
388,加油加油！！！！
389,中国加油
390,辛苦了
391,中国必赢
392,中国加油
393,加油
394,天使姐姐们辛苦了！
395,辛苦了
396,辛苦了
397,啊突然发现我之前有看这段直播
398,辛苦了
399,辛苦了
400,up我给你两个币，给护士姐姐买个巧克力！
401,武汉加油！
402,辛苦了
403,辛苦啦
404,医护人员辛苦啦
405,中国加油，武汉加油！！！
406,辛苦了
407,别说了
408,这句话，我笑着笑着就哭了
409,中国加油，武汉加油，向前线所有的英雄们献上最高的祝福
410,辛苦啦
411,辛苦了
412,真的心疼，脸上都是护目镜的印子
413,辛苦了
414,辛苦了
415,辛苦了
416,哈哈哈哈哈哈哈好可爱
417,辛苦了
418,天使们辛苦了
419,感谢
420,感谢你们
421,真正的天使
422,辛苦了
423,央视新闻？
424,辛苦了
425,我们称之为·白衣天使！！！
426,两个月以后又看一遍，谁也笑不出来
427,辛苦了
428,辛苦了
429,?
430,您们辛苦了
431,人介吃饭别逗人哭啊
432,辛苦了你们是人民的守护者！致敬！
433,当时我看过！原来这是叔啊！
434,肯定不能透气啊
435,疫情过去看还是很感动
436,辛苦了
437,致敬！！
438,爱你们！
439,辛苦了！
440,辛苦了
441,辛苦了
442,辛苦了
443,辛苦了
444,辛苦了
445,辛苦了！
446,加油
447,心酸
448,辛苦了
449,人就是这样，自己扛着可以，一想到家里，泪就憋不住了
450,辛苦了
451,给你
452,辛苦了
453,辛苦了
454,辛苦了
455,好酷，都是英雄
456,你们辛苦了
457,这也太少了吧
458,？
459,666666
460,眼神真的是坚毅
461,辛苦小姐姐们了！
462,大家不出门，不染病就是对国家最好的贡献
463,辛苦辛苦 谢谢你们
464,辛苦了
465,辛苦了
466,辛苦了
467,辛苦了
468,会说话！
469,辛苦了
470,辛苦
471,泪目
472,美丽的南丁格尔小姐，你们辛苦了
473,不知道我的比喻对不对，我觉得医生很像“白衣长城”
474,辛苦了
475,?...
476,？...
477,口罩买错儿童的了，这是
478,背负着白衣天使的名称我不能输！！绝对不要低头！
479,白衣天使那是大白熊军医那只是迷彩熊而已都是为了我们遮风挡雨与死神抢人的白衣天使。
480,哪有什么白衣天使！只不过是一群年轻人穿着防护服学着前辈们的样子。在自己的岗位上治病救人！和死神抢人罢了。
481,白衣天使辛苦了！！！！
482,辛苦了
483,一说孩子这些坚强的人都忍不住了
484,看他们的脸真是辛苦
485,辛苦了！
486,一线加油
487,辛苦了
488,辛苦了！
489,辛苦了！
490,辛苦了！
491,辛苦啦！
492,辛苦了！
493,辛苦了！
494,辛苦，别哭
495,别哭
496,哈哈
497,丑叔原来是来蹭饭的
498,辛苦了
499,泪目了
500,加油哇
501,伟大
502,只希望所有人明白！医生护士不是服务员
503,太可爱了，加油。
504,辛苦了
505,辛苦了
506,辛苦了 最美丽的人
507,辛苦了~
508,加油~
509,致敬
510,加油
511,一定胜利
512,买，给你买
513,叔，你咋还蹭饭呢
514,这蔬菜也太少了！！！多加点吧补充维生素！
515,s码口罩好Q
516,真的看着都心疼了
517,辛苦了，保重
518,辛苦了，保重
519,辛苦了！泪目
520,这个护目镜看着很像是我做志愿者的那家工厂做的
521,泪目，她们好善良，和天使一样
522,哽咽感 难受啊
523,幸苦了
524,辛苦了
525,这么少
526,感谢你们
527,泪目
528,加油
529,太辛苦了
530,致敬
531,辛苦了
532,原来电视上出镜的是饼叔
533,加油
534,原来电视上出现的是饼叔的声音。
535,原来电视上看到的是饼叔。
536,辛苦了
537,女休息室。。。
538,辛苦了～祝平安
539,武汉加油
540,你们是真正的天使，谢谢你们，谢谢，辛苦了。
541,辛苦了
542,菜都冷了太不容易了
543,是阿
544,苦中作乐
545,辛苦了
546,加油。点赞
547,辛苦了
548,辛苦了
549,辛苦了
550,哈哈哈哈叔蹭吃的了
551,辛苦了 
552,辛苦了！！！
553,叔就是央视记者
554,辛苦了！加油！
555,为了李 文 亮我们也得加油
556,辛苦了，加油
557,甚至不能哭，哭了护目镜就看不见了  唉
558,辛苦了
559,致敬
560,张骏加油
561,辛苦了
562,辛苦了
563,辛苦了
564,辛苦了
565,UP主找地方哭去了，所以节目结束。
566,趁机吃了一份
567,辛苦了
568,辛苦了
569,加油！！！
570,辛苦了
571,亲苦了
572,辛苦了
573,戳到泪点了！
574,一呆就是数个小时！很辛苦！
575,辛苦了
576,辛苦了
577,哭了
578,哭了
579,辛苦辛苦
580,谢谢
581,巧克力
582,疫情赶紧结束！！！
583,辛苦了
584,辛苦了 祝平安归来
585,印子
586,谢谢你们
587,叔过分了 把人小姐姐都整哭了
588,加油，辛苦了
589,叔，辛苦了
590,辛苦了
591,给顶
592,武汉加油
593,辛苦了
594,泪目了
595,一点不胖那叫可爱
596,一点不胖，那叫可爱
597,像一线医护人员致敬
598,辛苦了
599,睡觉，团聚
600,叔，让小姐姐先吃饭吧
601,我哭了
602,辛苦了！
603,小姐姐们真的很苦，穿上防护服就不能脱了，厕所都不上，怕浪费，快些复工吧，一线急缺能用的防护设备，我是武汉人，为所有奋战在一线的工作人员打call。
604,这个小姐姐长得像阚清子
605, 泪目
606,辛苦了
607,加油
608,辛苦了
609,辛苦了
610,大哥就是央视的，。。。。
611,叔，你这个口罩是儿童版吧？哈哈哈哈狗头保命
612,辛苦
613,辛苦了 加油加油！
614,辛苦了谢谢你们
615,辛苦
616,谢谢你们
617,加油
618,叫
619,加油 致敬
620,哈哈哈哈哈哈哈哈
621,武汉加油
622,辛苦了
623,辛苦了
624,辛苦辛苦！
625,大开大合
626,辛苦了
627,辛苦了
628,猛男落泪  辛苦了 希望大家平安
629,这应该是护士长。
630,您真会聊天
631,不胖不胖！！你们是最美的！
632,谁是最可爱的人
633,终于有人带上护士了 谢谢您！
634,又有人拿砖头砸我眼睛
635,呜呜
636,不哭不哭，抱抱抱抱，我们会一直支持你们的
