,comments
0,中国已经胜利了
1,666
2,加油加油加油！一切都会好的！
3,现在我们渡过难关了
4,加油加油。
5,武汉加油
6,武汉加油
7,加油
8,武汉本就是个英雄的城市，中国本就是个英雄的国家
9,加油
10,要自信
11,中国加油
12,武汉加油，致敬英雄
13,武汉加油！
14,武汉加油
15,缅怀抗疫牺牲烈士和逝世同胞，武汉加油！中国能行！！！
16,帅死了 郭志坚！
17,中国加油
18,武汉加油！
19,中国加油
20,中国加油！
21,中国加油！
22,武汉加油！
23,中国加油
24,中国加油
25,加油加油加油加油加油
26,武汉加油，中国加油
27,武汉加油
28,武汉加油
29,加油
30,锻炼身体健康作息才是本钱
31,武汉加油！
32,4月4日前来考古
33,武汉加油！！！
34,藏币一年，用币一时
35,武汉加油
36,加油加油加油加油
37,武汉加油
38,加油
39,中国加油
40,武汉加油
41,武汉加油！中国加油！
42,武汉加油！
43,世界加油！
44,加油中国！！
45,加油！
46,武汉加油
47,加油
48,中国加油
49,加油！
50,希望疫情快快结束
51,加油，奥利给！
52,天哪要安全回家
53,武汉加油
54,武汉加油！
55,武汉加油！
56,中国加油
57,武汉加油武汉加油
58,武汉加油，中国加油！
59,中国加油！武汉加油！
60,中国加油！
61,中国加油加油加油！武汉加油加油！
62,加油加油加油
63,中国必胜！！！
64,中国加油
65,武汉加油
66,向英雄致敬
67,武汉加油！
68,中国必胜，武汉必胜
69,最难关已过，缅怀英雄
70,中国加油！！
71,武汉加油！！
72,加油！
73,加油
74,武汉加油！中国我爱你!
75,中国加油！
76,武汉加油！中国加油！
77,武汉加油！中国加油！
78,啦啦啦啦啦啦啦啦
79,武汉加油！祖国加油！
80,加油
81,武汉加油！
82,七万了
83,武汉加油！
84,武汉加油，中国加油
85,买不到口罩可以试着自己做
86,武汉 奥利给
87,钟老，一身正气
88,两万了
89,","
90,一定行！
91,爸妈要返程买不到口罩怎么办？！？！
92,现在两万多了
93,现在两万多
94,加油加油
95,武汉加油加油
96,现在14000多了
97,恭喜恭喜
98,恭喜
99,恭喜
100,中国必胜
101,武汉加油，中国加油，我们一定嬴
102,中国加油
103,武汉加油
104,这个主持人是？
105,湖北省加油！
106,中国加油加油加油加油加油
107,武汉加油！
108,这个哥哥好帅
109,武汉加油武汉加油武汉加油
110,武汉加油武汉加油武汉加油武汉加油武汉加油
111,武汉加油武汉加油武汉加油武汉加油
112,武汉加油武汉加油
113,武汉加油
114,武汉加油
115,7711了
116,老乡
117,武汉加油
118,武汉加油 中国加油
119,武汉加油
120,武汉加油
121,武汉加油！
122,武汉加油！！
123,武汉加油！中国加油！
124,加油
125,武汉加油
126,武汉加油，中国加油！
127,加油
128,加油武汉，加油China！！！！！！
129,武汉加油
130,加油
131,加油，
132,武汉加油！中国加油!
133,他们是英雄
134,7000了
135,武汉加油
136,武汉加油！
137,武汉加油，中国加油
138,武汉加油
139,7K了
140,7K了都
141,妈妈我在B站看央视呢
142,武汉加油
143,加油 要平安归来
144,武汉加油
145,武汉加油
146,中国加油
147,武汉加油
148,武汉加油
149,加油
150,武汉加油
151,武汉加油加油武汉加油
152,武汉加油！！！！
153,武汉加油，中国加油
154,武汉加油！
155,七千多了
156,现在七千多了
157,武汉加油
158,武汉加油
159,加油，中国
160,一线人员辛苦了，谢谢你们
161,武汉加油
162,加油加油啊
163,中国加油！
164,武汉加油 郭志坚好帅
165,中国加油
166,武汉加油
167,武汉加油
168,武汉加油！
169,全国人民陪着你，加油武汉
170,武汉加油
171,加油
172,武汉加油
173,武汉加油
174,武汉加油
175,武汉加油！祖国加油！
176,加油武汉
177,中国加油！武汉加油！
178,武汉加油！
179,想一线医护人员致敬
180,武汉加油！中国加油！武汉加油！中国加油！武汉加油！中国加油！武汉加油！中国加油！武汉加油！中国加油！武汉加油！中国加油！
181,武汉加油！中国加油！
182,武汉加油！中国加油！
183,武汉加油
184,武汉加油！
185,加油！
186,加油加油加油加油
187,武汉加油
188,武汉加油
189,武汉加油
190,加油
191,加油
192,武汉加油 中国加油
193,中国加油
194,武汉加油
195,中国加油！
196,武汉加油
197,武汉加油
198,武汉加油！
199,武汉加油，中国加油
200,武汉加油！！
201,加油
202,武汉加油
203,像湖南话
204,加油中国！！！
205,一切都会好起来的，加油
206,好辛苦啊
207,咱全身都是劲儿！武汉加油！
208,前排嘤嘤嘤
209,加油，奥力给！！！
210,武汉加油！
211,加油
212,武汉加油！
213,加油！我种花家！
214,武汉加油！
215,加油
216,武汉加油，中国加油！
217,武汉加油，中国加油！
218,加油
219,加油加油加油加油加油加油加油加油加油加油加油加油
220,加油
221,1
222,加油 武汉 加油中国
223,一定会赢
224,来了
225,武汉加油！中国加油！！
226,加油
227,武汉加油 中国加油
228,武汉加油
229,加油
230,武汉加油
231,一起过关鸭！
232,加油
233,武汉加油！中国加油！
234,中国能过关
235,武汉加油
236,，
237,加油
238,武汉加油！中国加油！
239,武汉加油！！！
240,请不要忘记这些统计数字后面是一个个同胞
241,i
242,一定能战胜疾病的！！！
243,死亡也100多
244,希望大家都平安！！
245,支持
246,热乎的 热乎的
247,好好好
248,武汉加油！！
249,武汉加油
250,加油，奥利给！
251,武汉加油中国加油
252,加油加油加油加油
253,武汉加油！
254,恭喜，同喜，加油啦。
255,武汉加油!武汉加油!
256,武汉加油
257,武汉加油！
258,武汉加油！
259,播放1!
260,加油！
261,加油
