,comments
0,全球4000万了
1,哈哈哈哈哈
2,皖南人觉得毫无压力
3,20200814回来考古
4,美国148万了
5,淮语表示没问题
6,全球200w了
7,武汉加油
8,广东人表示无压力
9,四月多了
10,辛苦了
11,看成sans了
12,辛苦了
13,100万前来考古
14,美国30万了，全球70万了
15,八万了
16,说绍兴口音的那个不要走
17,武汉加油!!!!!!!!!!
18,目前8万接近停止增长。
19,欧洲有些国家已经扔猫了，4月5号
20,0.5倍真的爽
21,全球快五十万了……
22,杭州人表示无压力
23,辛苦了
24,辛苦了！
25,白衣女神
26,全球110万了
27,美国已经27万了
28,美国已经27万了
29,8万二，建国以来最大疫情
30,辛苦了
31,李院士辛苦了，国士无双
32,油泼面为热干面加油加油加油加油
33,加强联防联控，构筑群防群治抵御疫情严密防线。
34,重视自身健康 做好自我防护
35,白哥，偶像
36,中国加油！人类加油！
37,105万了
38,全球105万
39,全世界都100多万了
40,武汉加油
41,美国25万了（4月4日）
42,四月四日，清明，全球已破百万了
43,100万了
44,小笼包为热干面加油！！
45,辛苦了
46,辛苦了，想你们致敬！
47,愿逝者安息，生者健强，勇者长存
48,今天是4.4，确诊非常少了，加油!!!!!
49,致敬！
50,武汉加油
51,恭喜
52,8万了
53,辛苦了
54,现在，全球确诊人数接近百万
55,世界加油
56,中国加油！武汉加油！
57,中国加油
58,现在结束了
59,奶奶辛苦了
60,武汉加油
61,加油
62,美国破百万了
63,主持人都哽咽了。。。张院长真的是国士无双
64,致敬
65,恰饭？
66,疫情结束前来考古，中国感染8万4全球感染100多万
67,全球一百万
68,全球一百万
69,河普
70,河南口音
71,美利坚加油
72,全球都有传播了
73,全球80万了
74,我在看下面的科比。。。哈哈哈。。
75,敬业啊
76,全国81000了，没错我没有打错，8万一，二月多
77,护士+保姆
78,超过了
79,生化危机?
80,兄弟萌这是1.29，看清楚了
81,我先来：武汉加油
82,0.5倍速很叼
83,你们全不配的病
84,辛苦了
85,辛苦了
86,李院士好可爱
87,热干面热乎着
88,热干面安排！
89,白哥好
90,加油！
91,武汉加油
92,乡音
93,结束了
94,考古 美国4/4今天28万了
95,山西人表示听不太懂
96,猝不及防
97,化学课代表在此
98,中国加油
99,煎饼果子为热干面加油（本人只有三级）
100,111
101,辛苦了
102,只要是中国大陆都能听得懂啦，偶尔个别字听的模糊
103,中国加油，世界加油
