,comments
0,油油，切克闹。
1,yo yo check now
2,武汉加油，中国加油
3,手语翻译老师要疯了
4,中国加油！
5,中国加油！
6,手语老师退出直播间
7,广权老师不愧是你！
8,武汉加油
9,shr
10,压an
11,武汉加油！
12,武汉加油
13,武汉加油
14,一年在等我回到。
15,奥利给
16,央视一宝
17,就是挺费手语老师
18,。
19,skr
20,武汉加油
21,武汉加油
22,您要
23,加油
24,skr
25,666
26,祝福中国加油武汉
27,武汉加油！
28,手语小哥哥：我好难
29,中国加油！
30,←手语老师
31,深痛哀悼！！！！！！！！
32,加油奥利给
33,skr
34,加油！
35,武汉加油
36,建议开启两倍速
37,skr
38,武汉加油
39,好 工 整 喔
40,加油武汉
41,加油武汉
42,武汉加油！
43,武汉加油
44,武汉加油
45,武汉加油
46,武汉加油
47,武汉加油
48,武汉加油
49,武汉加油武汉加油武汉加油武汉加油武汉加油武汉加油武汉加油武汉加油武汉加油武汉加油
50,武汉加油！中国加油！！！！
51,武汉加油，中国加油，世界加油
52,他来了他来了
53,武汉加油
54,加油加油!
55,skr
56,武汉加油
57,单押狂魔
58,武汉加油
59,武汉加油
60,有排面
61,武汉加油
62,武汉加油！
63,他来了
64,武汉加油
65,skr
66,skr
67,祝福中国，加油武汉
68,权叔的排面
69,武汉加油！！！
70,武汉加油
71,武汉加油
72,武汉加油
73,武汉加油
74,加油武汉
75,武汉加油
76,加油
77,武汉加油
78,祝福中国加油武汉
79,skr~
80,武汉加油！中国加油！
81,好工整啊
82,加油武汉
83,武汉加油
84,0.5倍
85,加油武汉
86,武汉加油
87,加油武汉
88,冲冲冲
89,skr
90,武汉加油
91,武汉加油
92,好帅
93,武汉加油！
94,武汉加油
95,一起打赢疫情防控阻击战
96,全民动员   消除隐患
97,致敬医护人员勇挑重担
98,我们祝福中国   加油武汉
