,comments
0,感觉好温柔
1,热干面
2,荣耀总部在武汉
3,声音很绵密
4,声音好温柔啊
5,有点儒雅的感觉
6,多亏京东啊哭
7,襄阳确实不好看
8,注意弹幕礼仪
9,没开到龙狙的不用想了
10,不要！禁哀悼！
11,悼念让我们相遇
12,发言人说快递小哥的时候好温柔
13,弹幕画风逐渐转移
14,前面的，极低就是说如果你游戏抽卡都很难出货，你这个就不可能了
15,我要看小姐姐
16,加油
17,武汉加油
18,武汉加油
19,中国加油
20,武汉加油
21,中国加油
22,声音真好听
23,。
24,嗯
25,无语
26,巴
27,瓜
28,..
29,病毒离开宿主存活不超过3小时
30,外柔内刚
31,温和的人让人舒服
32,人家有素质有内涵修养
33,长相处事柔和是素质高的提现
34,宽厚温和相面，一看就是好相处会体谅包容地人
35,长地也挺帅，不是那种凶地
36,好温柔儒雅的大叔…
37,老年佟大为呀！
38,我老了能这么帅就好了
39,听的确实很舒服
40,病毒生存需要载体，快递上能有啥，拿完快递洗手就是了
41,加油
42,声音好听
43,跟华春莹的感觉有点像 
44,没注意到头发是白的 
45,一拳一个嘤嘤怪
46,你中彩票的几率极低
47,这个小妞漂亮
48,极低就是不代表不可能是吧
49,武汉加油
50,病毒离开人体在空气中存货不了多久
51,人间美味啊
52,不错不错味道好极了
53,声微 饭否？
54,就是完全不可能，这是生物学常识
55,不是接触传染吗
56,病毒只能寄存于活体，所以快递无风险
57,感觉音轨不对
58,姐姐 你还敢啃指甲！
59,今天下午出去吃饭，路过一个女人正要求拒收快递
60,最右边的姑娘没戴口罩！还吃手！
61,我可以
62,我可以
63,都是买口罩消毒用品的啊，同比增长三分之二了
64,发现了，是声音
65,对，我听了半天，总是觉得有哪里很让我舒服。
66,发音真的很标准
67,口型对不上
68,疫苗出来就都好了！
69,快递会携带病毒的
70,声音好听，很稳
71,没说多低
72,低，但没说是多低！
73,极低？有可能？
74,加油！一起抗过去！
75,武汉加油
76,当官的都没带
77,年轻的时候应该很帅
78,人传人极低第二部
79,还是要小心，武汉加油。
80,风险极低不代表完全不可能。
81,真的好听，我以为专业配音的
82,央视主持人的级别了，都没停顿的
83,快递小哥加油
84,为京东点赞
85,好的
86,声音真好听啊
87,妈耶这发言人的声音
88,你们说过，不会人传人
89,太好了
90,加油
91,武汉加油
92,武汉加油
93,武汉加油
94,武汉加油
95,  真标准
96,辛苦了大家。
97,辛苦了大家。
98,嗯
99,那要是快递上有飞沫呢
100,加油武汉！
101,加油
102,这个声音 美
103,有点帅
104,戴口罩
105,终于看到有关部门了。。
106,热干面加油
107,我又可以购物了吗，最近都不敢网购了
108,画面滞后好几帧
109,中国加油加油！
110,武汉加油！！
111,还有不带的.....
112,加油
113,没币我点赞
114,没有银币了
115,武汉加油！
116,武汉加油武汉加油武汉加油
117,我会加油
118,嘤嘤嘤
119,他们不戴口罩会不会不安全
120,有一个记者居然没带。
121,头发白的 但感觉很年轻
122,直播
123,武汉加油
124,淘宝嘞
125,想问一下集美们，可以点外卖嘛，怕食物传染
126,武汉加油，不要怕快递
127,今天还在担心晚上看见这视频就放心了
128,这人口音很准
129,我也觉得声音温柔
130,穿西服很有型
131,真的好听
132,武汉加油 中国加油
133,反正就不网购
134,声音好温柔啊
135,加油
136,这口罩真实
137,可以，有水平，有文采，有口才
138,声音好听
139,好漂亮的小姐姐
140,加油
141,武汉加油
142,东哥好样的
143,声音好听呀，绵绵的
144,声音好好听
145,火车站的人员天天上班要坐火车和人员接触！路封了还叫上班！
146,這個發言人聲音好好聽
147,武汉加油！
148,声音好听
149,武汉加油!中国加油!
150,明白
151,中国加油武汉加油
152,武汉加油
153,声音好听
154,普通话好标准啊
155,武汉加油
156,他们那边还不够用，怎么忍心收那里的快递？
157,明白
158,声音真好听
159,前面的正是我想说的
160,声音好听
161,加油
162,小姐姐好漂亮！
163,他的声音很好听哎，也很让人安心
164,武汉加油！
165,给发言人点赞！
166,昨天我还在吃热干面，好好吃
167,但是如果是武汉的亲戚送来的衣服之类的东西
168,武汉加油
169,三联懂不懂
170,键盘侠们你们搞毛恁
171,怎么硬币那么少
172,赞这么少
173,好帅
174,声音好听
175,明白
176,明白
177,刚刚那个小姐姐没戴口罩！！！
178,湖北加油
179,加油！
180,加油！
181,武汉加油
182,嗯
183,武汉加油
184,武汉加油
185,新鲜热乎的弹幕
186,加油
187,武汉加油！
188,武汉加油
