,comments
0,老毒王了
1,毒力：生物性病毒的攻击力，简单比喻一下就像你吃的西瓜有些甜有些就不是很甜，甜性强度不一样
2,成本在那放着
3,说实话中医的一些理论不能认同
4,俗称安慰剂
5,你说的这是西医理论吧
6,我是中医黑反正
7,自身免疫力
8,轻症不需要治疗
9,毒力？。。。。
10,中西医的辩证思想不一样，所以想要中西医融合很难
11,在各自能治的病里，西医治急症比中医好，中医调理身体比西医强！
12,靠免疫力！赶紧加强运动健身
13,说实话，中药有些贵了
14,钢筋上课考试唯唯诺诺，跑这边重拳出击了
15,年轻不一定免疫力好
16,西医跟着中医
17,茶醋可治
18,看看这位是专家，如果你连中医基础知识都没有学过，不要在点评了好吗？并不会觉得你很智慧
19,列文虎克了解一下，兄弟，不能睁眼说瞎话
20,作用就是很大，有疑问？不被西方科学认可就应该质疑？知道什么叫jing
21,疑问个啥？不让说中国话？
22,仝小林
23,毒力=病毒的能力值，连中国话都听不懂了吗？
24,玄个毛啊玄？非得像西方科学家一样说话？你知道啥意思不就好了？
25,个人认为呼吸机应该是现代医学设备，而不能直接说说归于为西医吧
26,其实挺好的中医，就是黑子和滥竽充数多
27,这个姓真不会念
28,激素糖皮质有说是引水救火。易耗阴液，阴虚阳亢失眠烦躁痤疮毛发生长
29,仝小林消化代谢紊乱大师。
30,中医是神秘学
31,玄学
32,别屏蔽了，直接关弹幕食用更佳
33,起名起的太明白，显得很难相信
34,和病毒母体这个称呼差不多意思
35,它
36,建议屏蔽关键词毒力
37,他是叫人工小林么？
38,加buff
39,毒力?
40,毒力就是病毒的传染能力
41,说玄幻是因为你知识不够
42,为什么要把西医和中医割裂开来？不应该把中医局限在老式的中药治疗上面呀。中医也是在发展的呀。
43,你们去看当年的采访，过量用激素的人后来都生不如死
44,中国只有现代医学和中医，西医的说法很不准确
45,弹幕积点口德吧，都是专家组组长，仝是去了最一线的，不像某些只是屋里坐着讲讲话
46,仝小林院士是第一个提倡把战场从重症搬到门诊而后又进到社区，从源头止住病源的人！
47,中医的困难是，滥竽充数的多，利益纠葛的黑子多
48,现代医学
49,这记者前两个问题问的。
50,西医抵外，中医保内
51,第一批被感染的毒性很强
52,毒力指病毒致病性的强弱，医学生应该都知道
53,毒力是个专业名词
54,毒力是专业名词，不懂别哔哔了
55,你把毒力换成毒性就对了
56,中医为主听懂了吗？
57,中医救人又没害你，阴阳怪气的
58,皖医的骄傲
59,你们都是学医的？
60,这可能时今年高考的一个论点！！！
61,不要乱猜测好不好
62,被迫播放
63,玄学
64,中医是国家根本的，中医也要发扬光大，因为都是老一辈人的传承
65,tong
66,我姐以前打过极速，就迅速发胖怎么都减不下来
67,杠精退散
68,谁说中医没有瘟病防治了
69,手拿不住了啊喂，你快点
70,西医安眠是对抗，'中医是调和
71,一群杠精哈哈哈
72,我就觉得中医的针灸牛皮，穴位是中医独有的吧
73,不懂就听着，没事别逼逼
74,说明这些年轻人缺少锻炼体质弱。
75,毒力本来就是官方用语，不懂别瞎扯
76,中医都说不清楚。吹都不会吹
77,不许说话？
78,你问中医说中医有没有效？人家怎么都给你扯回来。
79,我来写采访作业了
80,学过免疫的就知道毒力了
81,中医可以保命
82,西医就仪器
83,古代人不长命的，你有考虑过古代社会的生存环境吗？
84,谣言止于智者，吼得大声该蠢的还不是蠢
85,中医就是：急急如律令，原力与你同在~
86,网上人均中科院院士，平常被人反驳的时候屁都不敢放
87,这些人不吃重要也会好的
88,前面说小姐姐的，平时不看新闻的吗
89,？？？？？
90,毒性强弱
91,中医调理是比较慢 跟西医治疗是不同的
92,很大的作用（
93,这就是你做记者的原因
94,股骨头坏死
95,中医治艾滋癌可以，治疗急病不行
96,问毒力是什么的建议先了解一下什么是吃饭
97,病毒毒株毒力，常见医学名词，有什么问题么？
98,毒力就是医学名词啊
99,毒力是什么
100,能做到大样本随机双盲吗
101,中医伤害不了西医，能治病就行
102,这哪里来的小学生，80年代没西医？
103,80年代没西医？
104,毒力是现代医学的概念
105,毒力就是致病性
106,我相信中医的力量，但是也不排斥西医，各有所长。
107,年轻人不一定体质就强啊
108,中医调养，
