,comments
0,注意看日期
1,【＋】
2,最后确诊8万多，国外大爆发了。。。4.4考古
3,我相信我的祖国！
4,我周末从不出诊，到了周一，病人要么好了要么死了
5,好几天是几天
6,China 
7,来了奥
8,加油
9,加油啊！大中国
10,4月4日
11,所有页面都是黑白 致敬
12,我爱你中国
13,加油
14,老外少的城市就没啥疫情
15,逝者安息
16,肠粉为热干面加油
17,加油！
18,加油！！
19,全变成灰白了
20,计算机网络学过的都知道，北京连北京肯定快
21,加油
22,人工手画的。
23,我们这农村都封了   不让别人进
24,专心致志的吃饭
25,现在天天都在小破站看新闻
26,1
27,潜伏期也能传染的大家注意
28,潜伏期也能传染的大家注意
29,潜伏期也能传染 大家注意
30,钱钱饭给热干面加油
31,实名制的优势
32,在其位说的没毛病，首先要认识，重视
33,潮州牛杂粿条为热干面加油
34,问问题就服老白！
35,这问题，问的关键！
36,好评
37,2-3，2800例
38,不要被吓到，因为以后还有更吓人的
39,今天4号，两万多了
40,97年
41,我23
42,病毒进化了
43,你确定？？？
44,？？？
45,别嬉皮笑脸的行吗
46,加油呀
47,会！潜伏期的也会逐渐确诊！
48,我相信国家，我不相信红十字
49,我89岁
50,公开透明
51,越来越多了
52,等14天左右确定人数
53,字幕组辛苦了
54,拖炉饼给热干面加油！
55,请收下我的膝盖
56,哈哈哈哈
57,然而还没到峰值
58,食不言 寝不语
59,啥意思????
60,秘籍：开启倍数 听讲- -
61,带走吃
62,羊肉泡馍给热干面加油
63,分波吃，吃完一波马上消毒才行，要不和一起吃一样
64,后遗症是用激素过多导致的，不是病毒本身
65,？
66,这不是逻辑学里面常见错误吗
67,实名制买票的好处体现出来了
68,中国加油！祖国加油！祖国万岁！新中国万岁！
69,我们这边的农村都封不路了不给外人进村的
70,白老师厉害
71,我们绍兴人
72,餐具。
73,的呐
74,不要吧唧嘴！
75,过去交通也没这么发达，城市人口没这么多
76,5G没有延迟
77,还是延长
78,买不到
79,刚好是封城差不多一周
80,我卡了
81,陈醋为武汉加油，中国加油
82,猫是可以传染的  ?
83,过万了
84,我想买口罩
85,哈哈哈~ 搞笑啊
86,不要出门~
87,ohhhhhhhhhhh
88,还骄傲了？？？
89,也就是能空气传播？？？
90,山东仍在隔离中
91,03年母亲是医护人员，如今我是医护人员，加油！
92,我们2号要返回公司所在地，在家隔离一周10号再上班，好担心返程路上
93,江苏好像是2-10号上班
94,武汉加油
95,问卡卡西老师啊
96,刚刚学完gis导论
97,[十]
98,字幕君呢
99,拌面扁肉为热干面加油
100,武大郎烧饼给热干面加油
101,刚才这段话已经被大量断章取义了！
102,分开吃饭
103,湖北2月14号
104,交流不开口，用手机不就好了
105,直播加字幕也太为难了哈哈哈
106,第二个方面 主要是
107,第二个方面 主要是
108,下降了60%多
109,运送旅客的下降 超过了60%
110,节后的这五天 初一到初五
111,这个发送量增长还是比较大
112,GPS加基站
113,当然了这个节前 我们 就是节前15天
114,运送的旅客是1.83个亿
115,这个春运目前，截止目前20天以来
116,累计到昨天为止，应该是20天了
117,应该是20天了
118,从元月十号春运到现在
119,目前累计已经超过200批次
120,第一时间向这些部门进行了提供
121,我们也是根据这些部门提出来的数据需求
122,各地的卫健部门需要找到这些在列车上密切接触的旅客
123,第二个方面 主要是
124,提供给各个省区疫情的防控部门
125,也通过18个铁路集团公司
126,旅客的这些信息  分省区进行了统计
127,特别是 疫情严重地区的
128,乘坐火车或者出行的
129,一品豆腐给热干面加油
130,这就是白老师
131,生动形象。
132,武大郎烧饼给热干面加油
133,［   +   ］
134,凉皮羊肉泡馍给热干面加油
135,换了个词
136,防范
137,(⊙o⊙)哇，真的好…
138,正态分布
139,专家确实厉害，白能问到的问题他肯定都碰到了。
140,河北延长一周
141,错峰去吃食堂员工怎么办？
142,应该是白岩松临时画的绿线
143,有个别字听不懂，哈哈
144,都用吸管吸粥吧
145,武汉加油！
146,疫苗审批不是一个批文要进行安全评估
147,瓦罐汤为热干面加油
148,但愿
149,我也赞成这个理论
150,估计出人数，跟大概上限
151,字幕君好评
152,实名制的重要性
153,干炒牛河为武汉加油
154,吴导在北京延迟基本没有
155,别跟非洲难民国比，一个月就一个月别难为情
156,好多公司本来就是这样安排吃饭的好吧
157,一米开外
158,你看看富士康多难
159,防毒面具
160,感染者发了个屁，滞留空气中，却让无辜者被空气中的粪便粒子感染了？
161,你说就说报就报，你笑什么？能不能严肃认真对待采访
162,相当于用生化武器摧毁一个欧洲小国
163,病被治好了还是会被感染
164,非常建议打包带走
165,我们出入超市，院子大门都要测体温，下高速也要测
166,要返程了，着急啊啊啊啊啊啊啊啊啊
167,我相信国家！
168,农村好多人无知
169,我只关心有没有后遗症
170,气溶胶呢？
171,03年我三年了
172,今天几号？
173,道口烧鸡为热干面加油
174,今天几号？
175,2003
