,comments
0,门好重
1,禁止套娃
2,地球不爆炸，我们不放假。
3,黄字，你以为你配吗？你也不配！
4,两个机位
5,许光汉？
6,禁止套娃
7,我看我自己
8,武汉加油！
9,武汉加油！
10,禁止套娃
11,可以可以
12,原来你平时头发都是自己抓的啊
13,这个人说的什么我根本没听进去，净看人了
14,禁止套娃
15,来看这个日常逼疯手语老师的男人
16,物武汉加油
17,武汉加油
18,武汉加油
19,武汉加油
20,权是Rap
21,我看我自己
22,我 看 我 自 己
23,亿米距离
24,。。。
25,。
26,我看我自己
27,祖国母亲伟大，一定可以完完全全的战胜新冠型肺炎
28,欧冠球
29,柳州人路过
30,武汉加油
31,权哥
32,一点进来吓一跳
33,好顺畅
34,看到广权叔心情缓过来了一点，前面的视频一看就鼻子酸
35,今天是投币日！
36,他来了
37,认真听讲
38,武汉加油
39,武汉加油
40,终于还是来了
41,啊这个饭厅
42,他来了
43,我打开哔哩哔哩，全是灰色的
44,气质真棒啊
45,加油
46,传统艺能
47,武汉加油！
48,武汉加油，中国加油
49,武汉加油
50,武汉加油
51,武汉加油
52,这个并不是他家哦。
53,中国加油
54,这个景点有点大，两分钟还没观光结束
55,这位导游有点可爱
56,不是5米么？
57,手语老师没来
58,权哥的毛巾权哥的毛巾
59,这不是权哥的家
60,这个福写的很有灵魂
61,权权权权权权权权权权权权权权权权权
62,禁   止   套   娃
63,开始了
64,朱广权看朱广权
65,声音好有磁性
66,是权儿家吗
67,广权儿
68,说喜欢权叔发型的我也是
69,武汉加油
70,权权下次不要关那么用力门要哭了
71,Skr
72,禁  止  套  娃
73,我看我自己。
74,开饭了
75,扫福啦扫福啦
76,是白了不是染的
77,来啦
78,这样显得广权叔快跟门一样高了
79,广权在看哪里  提词板吗哈哈哈
80,哈哈哈哈哈哈哈哈哈足球爱好者
81,应该不是广权家
82,这衣服之前录快闪穿过
83,哈哈哈
84,这是哪呀？
85,福字是谁写的？
86,泡面……
87,广权是在自己家晃吗哈哈
88,光权说我太惨了在家还要工作
89,套娃
90,原来你家长这样
91,帅啊权哥
92,男神广权
93,禁忌二重唱
94,足球不错
95,有中央空调是在酒店吧
96,广权儿瘦了又
97,欧冠足球
98,sure
99,怎么找
100,武汉加油！
101,朱广权真香
102,四舍五入我就算进过广权的家了
103,广权！！！
104,为啥弹幕不经过权叔的脸哈哈哈
105,给广权排面
106,他来了，他来了
107,终于有感觉了
108,哈哈哈
109,权哥，是你家吗
110,权哥哥
111,广权是球迷？
112,广权儿家吗？呀呀呀呀
113,别问我为什么不笑一本正经播报
114,武汉加油 ， 中国加油！
115,武汉加油，中国加油 ！
116,武汉加油 ，中国加油！
117,武汉加油， 中国加油！
118,武汉加油，中国加油！
119,关好重
120,有钱人啊
121,刚刚看错镜头了吗哈哈哈哈哈哈
122,ske
123,门挺疼的
124,套娃？
125,权叔好帅
126,背后乐谱
127,禁止套娃
128,禁 止 套 娃
129,禁止套娃
130,这不是广权儿家
131,我看我自己
132,在家拍都双机位
133,普通肺炎都要这样子的
134,我能在房间打几天几夜的游戏。。
135,广权！想你！
136,这绝对广权的家 看后面收集的球
137,亿米距离？hhh
138,rap呢
139,禁止套娃！
140,权叔！
141,武汉加油！中国加油！
142,桑巴荣耀
143,我看我自己
144,你说说你，要是当主持人的时候说话也这么满就好啦，嘻嘻嘻嘻
145,买不到口罩啊
146,哇哇哇
147,黄字借您吉言！
148,这是我和广权儿共同的家
149,我看我自己
150,这是谁家
151,不老不老，发色正好
152,一本正经播报
153,广权儿这身儿是不是过年的新衣服
154,好的
155,四舍五入我算是进过权叔家了吧嘻嘻
156,我看我
157,↓自闭患者↓         。
158,权哥在家里也不闲着，做《新闻联播》。
159,权叔！
160,你说得对
161,战术落座
162,有一说一，我喜欢广权儿的发型儿，简单炫酷
163,哈哈哈哈哈哈哈哈哈哈
164,5小时7万播放量，权叔排面
165,禁止套娃
166,福要倒啦叔
167,自己家吗？！
168,啥牌子的电视
169,啥牌子的电视？？？？？
170,帅啊！
171,我看我自己
172,不是白头发，是雪没化
173,权叔关门好大声233
174,我喜欢一本正经的权权
175,我喜欢一本正经的权权
176,这个福字
177,权权是自带流量的男人
178,不是广权家
179,权哥好帅
180,欧冠足球？？
181,朱广权
182,来了来了
183,？？？？？
184,我看我自己
185,广权广权
186,权叔
187,武汉加油 中国加油
188,权叔家吗？想住
189,白嫖失败
190,来了来了他来了
191,两个机位可太秀了
192,陌生人B比较让我担心
193,口罩.mov
194,我看我自己
195,战术位移
196,战术位移
197,那个福好可爱
198,W
199,？？？？？？？
200,加油
201,学会了，可是我没有口罩
202,好！
203,自闭了
204,前面的，我自闭了
205,你没戴口罩
206,我看我自己
207,到朱老师家了
208,好的，光圈
209,我已经回家一个月了
210,我扫出来个 富强福！！！
211,这是我权儿叔的家吗？
212,这是广全家吗
213,啊啊啊啊啊啊
214,世界杯欧冠用球，武汉加油？中国加油！
215,我看我自己
216,禁止套娃
217,押韵
218,影流之主
219,来了来了
220,套娃警告
221,开始
222,禁止套娃
223,我看我自己
224,我看我自己
225,不是染的
226,所以这是谁家？
227,他那不是白头发，是学没化
228,套娃
229,这是朱老师家吗！
230,好的权哥
231,这才是权式教学
232,来了
233,两个厕所
234,不，你不是
235,权权权
236,拿手好活
237,这是朱广权家吗？？
238,阳台山拍照留念《上阳台帖》
239,我看我自己
240,听广权的话，病毒远离我
241,二重奏
242,这是在权叔家里吗？
243,用一次性的
244,广权的头发是白了还是染的
245,广权
246,好的权叔
247,武汉加油
248,我看我自己
249,有内味了
250,我看我自己
251,他来了他来了他带着押韵走来了
252,好的
253,弹幕呢
254,这是你家吗权叔
255,我看我自己
256,要来了，要来了
257,要来了，要来了
258,要来了，要来了
259,我看我自己
260,小朋友写的不错
261,那个福有点懵
262,四舍五入就是到过他家了
263,来了来了广权
264,我 看 我 自 己
265,加油！！！
266,权哥来了
267,广权*2
268,okk
269,这是广权家？
270,朱广权家？
271,战术位移
272,战术位移
273,skr
274,两个机位
275,我拍我看我自己
276,两个广全
277,这是谁的家？？？？！！？！？！？
278,广全头发真的硬
279,广权来了
280,权叔家吗？
281,刚发的哇哇哇
282,好嘞
283,好的
284,居家权！！！！！！！
285,嗯嗯
286,我看我自己
287,单押开始
288,单押还是来了
289,这是广权的家吗
290,加油。
291,这是权叔家吗！
292,刚买了十瓶酒精
293,广权哥，帅！
294,真·我看我自己
295,好帅一男的
296,老了 头白了
297,666
298,怎么没有弹幕
299,怎么全程没有弹幕
300,没有弹幕？
301,学到了！
302,？？？？？
303,加油
304,朱老师是在家拍的这个……？
305,好
306,少出门，多宅家。武汉加油，中国加油。
307,???
308,弹幕测试
309,…
310,果然还是我认识的那个朱广权
311,武汉加油
312,禁止套娃。。。。。。
313,1
314,家里吗
315,武汉加油
316,发不了弹幕吗
317,权权家吗？
318,skr
319,好的
320,认真听讲
321,好的
322,rap走起
323,哈哈
324,热乎的
325,热乎的
326,？
327,我看我自己
328,我看我自己hhhh
329,这 是在家里上班吗
330,在座的诸位都不配感染冠状病毒
331,d
332,skr~
333,来了
334,两个我
335,2
336,我我看我自己
337,1
338,有人吗??
339,懂了
340,？
341,emm
342,加油
343,来了来了
344,是在家里拍的吗？
345,自闭
346,。
347,?
348,宿舍么这是
349,行行行都听你的
350,来了来了
351,武汉加油
352,好的权叔
353,他押了
354,自己看自己
355,武汉加油
356,来了来了
357,666
358,，
359,弹幕嘞
360,没人?
361,广权好帅啊啊啊，武汉加油
362,广权哥哥
363,来了
364,我看我自己！
365,赞赞赞
366,l
367,武汉加油！
368,热乎的！！
369,skr
370,学起来
371,啊啊啊啊
372,武汉加油
373,啊啊啊啊，广权
374,两个权哥
375,？套娃？
376,来了
377,哈哈
378,承包权叔！！！
379,我是不是第一？
380,.
381,我看我自己直播
382,1
383,来了来了他来了
384,武汉加油！湖北加油！
