,comments
0,恭喜发财
1,脸呢
2,lj
3,真特么恶心
4,别给它捐钱了，恶心
5,请公开物资分配
6,请公开透明谢谢
7,呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵何
8,眼神时不时像右瞟，典型说谎表现
9,一些?
10,呸
11,李强，你自己敢信你说的话吗
12,你自己敢信吗
13,你说的你自己敢信吗
14,口区 口区 口区
15,打什么太极
16,???
17,公开！！！！！
18,公开
19,他们不敢
20,公开透明
21,公开公开
22,滚下台
23,透明啊。
24,公开
25,公开
26,呵呵
27,公开
28,公开
29,公开
30,公开透明
31,只要公开化
32,公开
33,公开
34,公开
35,公开
36,公开公开，去向必须公开。
37,公开帐本
38,数字
39,你倒是公开啊
40,他们不看B战的吗
41,公开透明
42,解散
43,公开
44,公开
45,公开
46,不对应就退回去呀
47,公开公开公开
48,好
49,公开透明
50,公开
51,公开
52,公开
53,请公开预估需求和实际捐赠量
54,公开透明
55,公开
56,？？？？？？？？
57,公开
58,公开
59,公開
60,公开
61,你确定？
62,公开
63,呵呵
64,呵呵呵
65,建议关闭红十字会
66,公开透明！！！！
67,那你能做到百分百公开公正透明吗
68,公开
69,公开
70,公开
71,公开
72,公开公开
73,公开
74,全透明！！
75,公开，透明！
76,自从汶川之后，我就不再信你了
77,公开啊！
78,公开
79,有本事公开啊
80,呵呵
81,下台
82,公开公开公开
83,公开!!!!!!!
84,公开透明
85,请用数据说话
86,公开
87,公开
88,公开透明
89,公开公开
90,呵呵
91,这经验是差距吗
92,呵呵
93,公开
94,公开
95,满足个人需求的
96,公开
97,在说什么呢你
98,护眼护眼护眼护眼护眼护眼护眼护眼
99,透明
100,透明
101,透明
102,恭喜发财
103,公开
104,追责，
105,直接送医院门口
106,。。。。。。。
107,呵呵
108,拜拜了您
109,彻底失望了
110,公开
111,公开透明
112,公开，透明
113,公开
114,麻烦公开
115,公开
116,别说了。你们直接下台吧
117,公开
118,要不立即公开，要不立即下台
119,信じられない
120,公开透明
121,给爷爬
122,公开，透明
123,公开透明
124,还钱
125,我差点就信了
126,解散吧
127,以后都不用捐给红十字了
128,公开
129,公开！
130,所以就只捐这一点？
131,啧啧啧
132,呵呵
133,公开
134,？
135,爬出去
136,公开公开
137,公开公开
138,先公开再说
139,我呸
140,用进出台账，实际数据来说明！
141,公开
142,公开
143,公开！
144,缺少监督不可信
145,公开
146,公开
147,公开
148,公开
149,公开
150,公开
151,公开
152,公开
153,公开啊
154,说了啥？
155,恭喜发财！
156,鄂a
157,公开公开
158,公开
159,公开
160,全程要有记录 要落实到个人
161,公开透明
162,公！开！
163,公开
164,公开
165,红开
166,透明透明透明
167,公开
168,你确定吗？
169,公开公开
170,哦
171,公开
172,公开透明
173,不用公开了，我不会捐给你的，对了，把我捐的钱麻烦退一下，我去捐给韩红
174,不用你公开了，不捐给你了，我捐给韩红，哦，对了，把我捐的钱退给我
175,信用破产
176,公开
177,公开
178,公开
179,公开透明
180,公开透明
181,公示
182,公开公开公开
183,谁消耗掉的
184,一些？一些？一些？
185,请公开账目和物资，不要辜负了人民
186,公开啊
187,公开
188,公开透明
189,公开
190,公开
191,公开
192,公开
193,公开
194,公开
195,公开
196,公开
197,公开公开
198,公开
199,公开.
200,透明化
201,呵呵！
202,实事求是
203,公开
204,公开
205,公开
206,？？？？？？
207,公开
208,能够上链接受检查才信你
209,公开透明
210,隔靴搔痒呵呵呵
211,公开
212,公开
213,公开！！！！！
214,公开
215,公开！
216,逝者安息
217,公开透明！
218,呵呵
219,公开清单啊
220,公开
221,啧啧啧
222,公开公开公开
223,滚蛋
224,？？？公开啊
225,公开
226,公开呀
227,透明！！
228,不用你公开了，我不捐给你
229,????
230,？？？？？
231,公开！！
232,公开！！！
233,公开，公开，公开
234,净说些没用的
235,公开透明
236,HOW INTEREST！！！
237,呵呵
238,公开
239,公开啊
240,公开
241,公开
242,公开
243,去你红十字
244,公开
245,公开
246,公开公开公开公开公开
247,公开
248,李强:我说的什么我都听不懂
249,李强:我都不相信我说的
250,别想了，怎么可能公开，都是些见不得人的东西
251,我不信你们
252,公开
253,hetui
254,tui，laji
255,全国供不起一个武汉？
256,总共百亿捐款了吧
257,公开透明
258,口区口区口区口区口区口区
259,公开透明！
260,公开!
261,查明啊！
262,千万不要捐给十字会
263,公开
264,公开
265,公开
266,公开透明！！！！！！！！！？？？？？？？？
267,有本事公开啊，我们金融专业很乐意帮你算一算
268,我们捐的是医院，不是红十字的仓库
269,听听
270,公开！！！不要这些
271,，下次一定
272,公开透明！
273,你公开不就行了
274,？？？？？？？？？？？？？？？？？？？？？？
275,公开
276,公开
277,全中国人民有时间给你算，谢谢！
278,公开
279,你们还是人吗？你们对得起他们吗？
280,多种原因什么原因你说嘛！
281,我再也不会相信你们了。
282,你发你发给我们看啊。
283,专业度，效率，透明度都需要加强
284,公开透明
285,要捐可以，要透明
286,公开
287,你满足谁了
288,谁的消耗量？？
289,公开
290,怂货
291,你们对的起你们党的身份吗？
292,你们对的起党吗？
293,你们就是这么对你们党员的身份吗？
294,公开
295,公开
296,公开吧(　ﾟ皿ﾟ)
297,能不能说点人话
298,公开
