,comments
0,辛苦
1,绝情
2,哈哈哈哈哈哈哈哈哈哈哈哈哈
3,眨眼睛了，很疲惫
4,这个医生姐姐谈吐也很好  有气质 眼睛漂亮
5,“越简单越有利于消毒” 好心酸
6,辛苦了
7,好可怕
8,哈哈哈哈哈哈
9,江湖
10,辛苦了
11,辛苦了
12,是的，判断的很准确
13,有个问题，父亲呢
14,天呐
15,算不过来，统计绝对超多
16,辛苦了
17,shuoda
18,和哈哈哈哈哈哈哈哈哈哈
19,辛苦了
20,辛苦了！
21,辛苦了
22,辛苦了
23,叔眼睛都肿了啊
24,强制休息令应该出了
25,两个月后武汉解封了
26,辛苦了
27,我想看看虎子的
28,温柔的小姐姐
29,辛苦了
30,加油。  
31,加油
32,哈哈哈哈哈哈哈哈哈
33,辛苦了
34,辛苦了
35,感谢您
36,辛苦了
37,辛苦了
38,辛苦了
39,辛苦了
40,辛苦了
41,很心酸，现在他首先是个医生，只有很少的时间才是作为一个母亲，但她很坚强
42,辛苦了
43,儿子好理性
44,手都会洗坏，心疼
45,辛苦了
46,麻醉的呀 我感觉好自豪啊
47,辛苦了
48,辛苦了
49,辛苦了
50,辛苦了
51,谢谢你们
52,辛苦了
53,辛苦了
54,辛苦了
55,辛苦了
56,辛苦你了
57,辛苦了
58,愿星火永不坠落
59,这样也是为了孩子安全
60,害怕
61,想起了被监控支配的恐惧
62,还要害怕传染
63,辛苦了
64,加油加油加油加油！
65,辛苦了
66,辛苦了
67,辛苦了
68,可爱
69,可爱
70,辛苦了
71,辛苦了
72,辛苦了
73,辛苦了
74,加油
75,加油
76,辛苦了
77,我妈也是这么干的
78,今天在电视上看到这副画了
79,淦，鸭血粉丝给热干面加油
80,草，这不是我们班主任用的那种吗
81,鸭血粉丝给热干面加油
82,鸭血粉丝给热干面加油
83,鸭血粉丝给热干面加油
84,辛苦啦
85,妈妈好漂亮
86,辛苦了
87,加油
88,辛苦了
89,麻醉科是医生
90,我的眼泪不值钱
91,辛苦了
92,辛苦了
93,敲黑板，这个要考：一个哇塞等于50
94,辛苦了
95,辛苦了！加油！
96,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
97,辛苦了
98,辛苦了
99,辛苦了
100,辛苦了
101,希望我以后学有所成的时候也可以为了国家奋斗在一线
102,辛苦了
103,4.4辛苦了
104,辛苦了
105,辛苦了
106,辛苦了
107,mix3
108,无所事事
109,泪目
110,辛苦了
111,辛苦了
112,辛苦了
113,辛苦了
114,奥利给
115,辛苦了
116,辛苦了
117,辛苦了
118,致敬！
119,辛苦了
120,辛苦了
121,辛苦了
122,致敬
123,安排！这要洗秃噜皮了啊
124,辛苦了！
125,辛苦了
126,辛苦了
127,4月4日，今天全国哀悼，默哀3分钟，全国确诊病例只有2500多了。
128,确实有很多  不过大多数能自愈
129,辛苦了
130,辛苦了
131,加油
132,加油加油！
133,辛苦了
134,辛苦了
135,辛苦了
136,害怕
137,辛苦了
138,灰色
139,辛苦了
140,致敬！
141,辛苦了
142,辛苦了
143,辛苦了辛苦了
144,辛苦了
145,哈哈哈可可爱爱
146,辛苦啦
147,辛苦了
148,加油！
149,辛苦了
150,辛苦了
151,加油
152,hello hello
153,辛苦了
154,辛苦了
155,加油
156,辛苦了
157,辛苦了
158,辛苦了
159,辛苦了
160,辛苦了
161,辛苦了
162,辛苦了
163,辛苦了
164,辛苦了
165,辛苦
166,武汉加油
167,加油
168,哇，主页有点恐怖啊
169,辛苦了
170,辛苦了
171,辛苦了
172,辛苦了
173,辛苦了
174,全国的支援到了，她们就能轻松点了
175,辛苦了
176,感谢
177,辛苦了
178,辛苦了
179,是土象星座的那种性格
180,真实哈哈哈哈哈哈
181,哈哈哈哈哈哈哈哈
182,3.27了 已经连着三天零新增 谢谢你们
183,这是我的小名
184,辛苦啦
185,想看虎子的
186,辛苦了
187,伟大的母亲，伟大的中国女性
188,已经两月了，不知道你们休息了吗
189,好母亲，好儿媳，好妻子，工作也做的优秀
190,辛苦了
191,辛苦了
192,辛苦了
193,祖传对焦
194,是个小胖揍！
195,很宽敞 不错
196,辛苦了
197,辛苦了
198,今天3.15了，新增已经个位数了
199,辛苦了
200,麻醉工作很辛苦的
201,辛苦了
202,3月十一号了快结束了 加油
203,那是洗手衣
204,这里我真忍不住了
205,辛苦了
206,辛苦了
207,辛苦了 白衣天使
208,辛苦了
209,加油！一定要平安回家
210,好棒！
211,辛苦啦
212,致敬
213,加油
214,麻醉科人手稀缺
215,还想要水，
216,哈哈哈哈
217,怎么那么丑啊，哈哈
218,现在控制的特别好！今天2月28了！
219,我想看虎子的哈哈哈哈哈
220,我会心肌梗死
221,泪目
222,有点可爱
223,哈哈哈哈红红火火恍恍惚惚
224,辛苦了
225,再说亿遍！！叔本来就是央视记者！！！
226,辛苦了
227,好好看！！
228,不拜拜
229,人间真实哈哈哈
230,哈哈哈
231,好强
232,哈哈
233,辛苦了
234,麻醉巨累
235,更好
236,辛苦了
237,不拜拜
238,其实人家也是一个母亲
239,挺可爱的
240,辛苦了
241,画得好好哈哈
242,哈哈哈哈哈哈哈哈
243,感动
244,辛苦了
245,辛苦了
246,有点可爱
247,麻醉科最辛苦啊
248,辛苦了
249,辛苦了
250,辛苦了
251,这是丑叔
252,萤石
253,辛苦了
254,三星
255,23333
256,辛苦了
257,亲孙子2333
258,麻醉科很重要啊
259,平安！！！！
260,泪目
261,唉。。。。
262,辛苦
263,哈哈哈哈哈哈 全国都知道虎子丑了
264,都给我哭
265,233333
266,小哥也太可爱了
267,确实太可怕了
268,感觉随时都能睡着，太辛苦了
269,好温柔
270,太辛苦了
271,爱人也是医生吧
272,相信国家！不要再造谣了，大家的心理都一直崩着。
273,致敬❤️
274,致敬❤️
275,哈哈哈哈哈
276,笑着笑着就想哭
277,我慌了
278,理解
279,哈哈哈哈哈哈哈哈哈哈
280,我也很乐观
281,太可怕了
282,这是稀有兵种要珍惜
283,哈哈哈哈
284,好绝情哈哈哈哈
285,没啥手术要做，但是麻醉医生会气管插管，发热门诊需要他们
286,没啥手术要做，但是麻醉科都会气管插管，发热门诊很需要他们
287,给你吃的，估计你也不敢拿，省的尴尬
288,安排
289,虎子感觉有被冒犯到
290,老哥太棒了
291,语气和我的妈妈好像啊。。
292,好漂亮啊
293,忍不住就哭了
294,同款体温计
295,我家里也是这样的哈哈哈哈
296,手洗多了干得很
297,........
298,哇塞
299,战略外头
300,水也喝不了
301,再见
302,叔，注意休息呀，听着你想咳的声音
303,我想看虎子的
304,小弟弟肯定担心极了
305,辛苦您了
306,嗓子哑了
307,哈哈哈哈哈哈
308,亲妈没错哈哈哈哈哈哈
309,保安的眼镜，哈哈哈哈
310,辛苦了
311,看着就想哭
312,辛苦了
313,画得真好
314,嗓子哑了
315,辛苦了
316,麻醉同仁！！！！
317,叔注意安全
318,辛苦了
319,不拜拜
320,向徐卉老师致敬
321,突然想起了城之内
322,热干面，你一定能赢
323,辛苦了！
324,您们辛苦!
325,不说了，我们教室也是
326,这叔叔是谁
327,哈哈哈哈
328,我是虎子，我听见了
329,是的！
330,好可爱
331,哈哈哈哈哈哈哈哈哈哈哈哈哈
332,晚上睡觉也得带着啊？
333,辛苦了
334,好像连锁酒店
335,作为观众真是见笑边哭啊
336,好贴心啊小孩
337,辛苦了
338,辛苦了
339,辛苦了
340,麻醉科医学生感谢前辈
341,辛苦了
342,武汉加油!!
343,辛苦了
344,纽崔莱
345,辛苦了
346,辛苦
347,致敬
348,辛苦了
349,中国加油！
350,幸苦了！
351,哇，麻醉科！
352,医生说话又温柔，又理性
353,优秀
354,不错
355,致敬
356,辛苦了！
357,太温柔了
358,辛苦了
359,辛苦了
360,辛苦了
361,辛苦了
362,辛苦了。
363,辛苦了
364,比我好，我画得真的不能看
365,还可以 至少不是上下铺
366,看到妈妈平安回来鼻子一酸，差点泪崩
367,好像我女朋友，笑哭
368,辛苦了
369,辛苦了
370,辛苦了
371,辛苦了
372,辛苦了
373,好真实啊哈哈哈哈嗝
374,辛苦了
375,辛苦了
376,加油
377,辛苦了‘’
378,辛苦了
379,辛苦了
380,加油 谢谢你
381,哈哈哈
382,哈哈哈
383,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
