,comments
0,辛苦了
1,辛苦了
2,辛苦了
3,辛苦了
4,辛苦了
5,辛苦了
6,辛苦了
7,辛苦了
8,辛苦了，谢谢你们
9,致敬
10,有点可爱
11,辛苦了
12,辛苦了
13,致敬
14,辛苦了
15,辛苦您了
16,辛苦了
17,辛苦了
18,辛苦啦
19,致敬
20,辛苦了
21,辛苦了！
22,英雄辛苦了
23,辛苦了
24,辛苦了
25,致敬
26,致敬
27,加油 大家都在
28,向各位医护人员致敬！
29,辛苦了
30,加油
31,感谢
32,加油
33,辛苦了
34,致敬
35,辛苦了
36,辛苦了
37,辛苦了
38,致敬
39,辛苦了谢谢你们
40,致敬
41,辛苦了
42,辛苦了
43,辛苦了
44,辛苦了
45,向所有的医护人员致敬，你们辛苦了
46,泪目
47,辛苦了
48,致敬！！！！
49,连撤硕都不能上？
50,幸苦了！
51,辛苦了
52,辛苦了
53,谢谢你们！
54,医生们辛苦了
55,敬礼
56,谢谢你们
57,辛苦了
58,辛苦了
59,致敬
60,致敬
61,辛苦了
62,辛苦了
63,辛苦了
64,辛苦了
65,前方高能
66,瞧把这孩子瘦的
67,太不容易了
68,辛苦了，唉
69,辛苦了
70,感谢你们！
71,辛苦了
72,致敬
73,辛苦了
74,辛苦了
75,辛苦了啊！
76,感动
77,辛苦了
78,致敬
79,辛苦了
80,辛苦了
81,辛苦了
82,辛苦了
83,辛苦了
84,辛苦了
85,辛苦了 致敬
86,英雄啊 荣耀啊
87,辛苦了
88,都说这个影帝，那个影帝，就那个做了所能做的一切，永远也演不出来，几个字就让人流泪，心疼一线抗战的英雄，给医生致敬
89,辛苦
90,辛苦了
91,幸苦你们了 谢谢
92,辛苦了
93,致敬
94,辛苦了
95,谢谢你们，你们辛苦了
96,？
97,辛苦了  致敬
98,辛苦了
