,comments
0,bgm，仙剑三
1,帅
2,加油！
3,背景音乐
4,致敬
5,兵哥哥们要保护好自己呀！
6,加油！致敬
7,仙剑！
8,致敬英雄
9,这就是鲁迅先生说的:中国的脊梁。这盛世如您所愿
10,致敬！！
11,敬礼
12,武汉加油
13,致敬，武汉加油
14,加油
15,致敬最可爱的人
16,老美学着点
17,好！
18,致敬！
19,致敬
20,致敬
21,心疼了  心痛了  心累了  
22,致敬
23,致敬
24,致敬
25,人民的军队，人民的子弟兵
26,解放军
27,好!
28,肠粉加油
29,国之重器，共和国的脊梁
30,哈哈哈
31,哈哈哈
32,永远的最可爱的人
33,6666
34,嗯嗯，相信你们！兵哥哥也要保护好自己啊！
35,我们放心
36,当我红十字不存在？
37,加油，保重身体！
38,bgm是什么啊…
39,仙剑三
40,0014秒为什么带两个口罩，看起来里面是类似n95口罩外面套一层普通口罩。
41,解放军=定心丸，顺便挑衅十字会，你来啊。
42,帅
43,帅
44,哈哈哈bgm
45,注意安全
46,谢谢
47,盐水鸭为热干面加油，向人民子弟兵致敬，辛苦你们了
48,一句话把我说哭了
49,好一个誓死不退
50,不退
51,不退
52,少将？
53,仙凡之旅，解放军像极了当时拯救苍生的景天大侠！
54,解放军来啦，武汉有救啦！
55,看把国家和军队愁的，都绕过血色十字军
56,一定要保护好自己 一定要平安
57,这次总不用经过红十字会了吧
58,可以去拿大家捐了然后被红十字会扣押的物资么？
59,不退！
60,祝平安归来
61,中国人民解放军！说得好！
62,人民子弟兵万岁！中国必胜！
63,还得是军队
64,武汉加油！
65,是吴谦吗？
66,帅
67,还是人民子弟兵值得信赖，不愧是党缔造出来的队伍，感谢毛！
68,看到你们我们放心了
69,加油！！！！！
70,看到你们！我们放心了！
71,兵哥哥带好口罩注意安全
72,武汉加油
73,中国人民解放军从未叫中国人民失望
74,共和国的脊梁
75,致敬！
76,人类的赞歌是勇气的赞歌
77,仙剑三
78,给力！
79,哥哥，你口罩要对折一下再戴，这样紧一些。
80,2月12日疫情结束
81,武汉加油
82,致敬
83,声音好好听啊
84,勇敢者
85,你来，我们放心
86,仙剑奇侠传可还行
87,武汉加油
88,BGM，给力
89,武汉加油
