,comments
0,致敬！
1,人民功臣！
2,太通透了
3,人民英雄
4,太心疼了
5,老天爷 为什么不能给好人一个完美的结局
6,张院长一定可以创造奇迹
7,这是超负荷啊
8,记者怎么这么扎心呢
9,您会有奇迹的！会有的！！
10,唉，好友礼貌和教养
11,她是董倩
12,豁达
13,向死而生，生而伟大
14,他在告诉我们，这叫向死而生，还要重于泰山
15,一定会是很久很久
16,我愿意相信奇迹
17,致敬
18,致敬！
19,中国精神
20,哭了，加油！
21,勇士
22,希望会有奇迹
23,辛苦了
24,希望会有奇迹
25,加油，致敬！
26,敬佩
27,不容易
28,感动、敬佩、心酸
29,致敬
30,致敬
31,真正的偶像
32,感谢
33,感谢你
34,渐冻症
35,您长命百岁就好了
36,霍金
37,这个董莫不是个傻子
38,一定会是很久很久！
39,保重
40,霍金二十多岁确诊，又坚持了几十年。相信老院长
41,希望有奇迹出现。
42,会有奇迹一定会有
43,希望奇迹可以诞生
44,张定宇院长，武汉的英雄！
45,就是霍金的那个病 只不过霍金的严重
46,愿院长健康长寿
47,感动中国
48,祝福
49,怎么这么厉害
50,泪目
51,太佩服了
52,脊梁
53,加油加油
54,一定有奇迹
55,英雄致敬
56,院长加油
57,致敬
58,致敬
59,老天不公
60,时间的脚步放慢点
61,不会的院长不会的院长，霍金先生坚持的时间很长的
62,难受
63,致敬
64,一定会有奇迹❤️
65,一定会有奇迹，一定会很久很久❤️❤️❤️
66,一定要有奇迹发生
67,无愧于院长两个字。真的无愧
68,加油
69,祝您长命百岁
70,这才是我们指的去崇拜的人
71,想您致敬！！
72,致敬
73,了不起的院长
74,你是最棒的，保重张院长
75,长命百岁
76,伟大
77,谢谢，张院长
78,不愧是常年与死亡做斗争的人，能够这么坦诚的面对现实。
79,我哦哭了
80,看哭了
81,史蒂芬霍金二十几岁检测出来，他一直活到了70多岁，老院长加油！
82,致敬
83,感动中国
84,院长加油啊，照顾好自己
85,我不行了
86,哭了
87,渐冻症
88,哭了
89,致敬！
90,希望奇迹献给您
91,致敬天使
92,感谢白衣天使
93,10年啊，可能最后几年只能肺部活动
94,对啊，人生应该如此
95,金银潭院长张定宇
96,旁观的人比他自己还难受
