,comments
0,武汉加油
1,如果不是疫情，我也许不会知道这位伟人
2,加油
3,中国加油
4,辛苦了
5,中华民族永不屈服
6,辛苦了
7,国士无双
8,武汉加油
9,钟老不是广东的，但是会讲一口流利的广东话
10,国士无双
11,4月4！中国已近乎胜利！
12,武汉加油，中国加油，世界加油
13,钟老先生辛苦了
14,武汉必胜
15,加油
16,看什么小姐姐，看老帅哥
17,钟老爷子保重身体，国士无双，庆幸祖国有您
18,保重身体
19,武汉加油
20,加油钟爷爷！！
21,我是不是穿越了
22,……
23,辛苦了
24,武汉加油！
25,已经结束了，感谢给位白衣天使的付出
26,武汉加油
27,真•国士无双！
28,四月终于好起来了
29,国士无双
30,广东是非典的疫区好吧，所以广东才是最有经验的
31,石岐乳鸽的那位兄弟，你也是中山人吗
32,广东杏仁饼给武汉热干面加油
33,好像眼睛会呼吸的，所以才会起雾
34,广东白切鸡给你加油
35,国士无双
36,钟老先生注意身体祝您长命百岁，真的辛苦了
37,保重身体
38,国士无双
39,钟老加油
40,国士无双
41,国士无双
42,国士无双
43,用心良苦
44,钟院辛苦
45,钟院辛苦
46,钟老师辛苦了
47,武汉加油
48,钟老注意身体啊
49,7个硬币等的就是今天
50,早点结束疫情！加油！感谢你们！
51,钟老保重！
52,武汉加油！中国加油！
53,致敬白衣天使，致敬钟院士！
54,武汉加油！！！
55,加油！
56,国士无双
57,加油
58,加油
59,国士无双
60,保护好自己啊 ，钟老
61,国士无双
62,保重身体
63,致敬前线的英雄们!
64,哈哈哈感觉想跑
65,注意身体
66,加油加油
67,钟老保重！！
68,钟爷爷注意身体！
69,让他休息会好吗？他都八十多了！！！！
70,hydtftvuctctu
71,加油！
72,让他好好休息会儿
73,说白了人类抵抗太差
74,钟爷爷，中国的脊梁
75,幸苦了
76,钟老保重！
77,全国人民要稳住！
78,辛苦辛苦
79,注意身体啊
80,钟院士你是中国的英雄
81,钟院士加油
82,后面那人N95
83,奥利给
84,国士无双
85,国士无双
86,加油
87,愿钟老身体健康！
88,保重身体啊
89,注意身体
90,致敬
91,致敬
92,担担面给热干面加油
93,辛苦了，注意休息，致敬
94,辛苦了，注意休息
95,希望能让钟院士休息下
96,眼镜起雾了
97,国士无双
98,炒饭给热干面加油！
99,加油鸭
100,心疼他
101,武汉撑住
102,钟老加油
103,武汉加油！
104,加油！大家加油！
105,辛苦了 保重身体啊
106,豆汁儿给热干面加油！
107,原来钟院士戴口罩也起雾啊
108,保重身体！！！
109,我的生命将由你守护
110,注意身体呀，钟爷
111,加油q
112,国士无双
113,钟老是福建人
114,上海挺明显的
115,钟老同款口罩
116,这个好像是活性炭口罩 保护好自己
117,这个好像是活性炭口罩
118,记者挺好康的
119,国士无双
120,老师
121,现在出院的人比死亡的人上升更快了
122,武汉加油
123,加油
124,国士无双
125,加油
126,辛苦了
127,武汉加油
128,辛苦了！
129,钟院士这个好像是活性炭口罩吧
130,国士无双
131,温州
132,恩施合渣为武汉加油
133,前面的，上海才是最有经验的防疫城市
134,让国士休息一下吧，这每天研究病毒，还要每天接受采访
135,同款起雾
136,武汉加油！
137,等2月10号春运返程的
138,您别急，春运返程马上开始
139,你看见不就晚了。
140,致敬
141,辛苦了
142,武汉加油
143,武汉加油
144,广东其实最有防疫经验
145,这眼镜上的哈气太真实了
146,加油啊
147,钟老加油哦
148,湖北加油！武汉加油！黄冈加油！
149,国士无双
150,没病也就没了。有病就在医治了。
151,然而还有潜伏期传染
152,辛苦了
153,国士无双
154,国士无双，八十多岁老人还在为国为民，民之所幸，国之悲哀
155,好心疼呀，请您好好休息吧
156,请你注意身体注意安全注意休息
157,我们都敬爱你
158,注意休息
159,注意安全
160,注意身体
161,石岐乳鸽给武汉热干面加油
162,钟老您保重身体啊
163,广州也不少
164,钟老注意休息
165,武汉出不去的
166,他好帅啊
167,他好帅啊
168,祝愿钟老身体健康！
169,看看人家专家和记者带什么口罩 
170,鐘老您辛苦了，看到所有一線醫生護士真的很累。感恩你們的付出
171,鐘老好疲憊，感恩您第一時間赴前線，還有所有一線醫生護士你們辛苦了
172,压鼻梁一下就不起雾了
173,希望大家都能治愈好
174,红十字会太令人无语了
175,武汉加油！中国加油！
176,您辛苦了！谢谢您！
177,奥利给
178,迁安蛤蟆吞蜜给武汉热干面加油！
179,钟老加油！钟老注意安全啊。
180,麻烦不要带地域。感谢。
181,钟老辛苦了
182,口罩好像没戴好
183,武汉加油！
184,戴眼镜吃火锅比较尴尬
185,哎
186,云南一百多了
187,洋芋粑粑给热干面加油！
188,一定保重身体！！！！！！！！！！！！！！！！！！
189,国士无双
190,院士您不冷么
191,放过钟老吧，让他休息一下
192,钟老保重，注意保重身体
193,。
194,钟老用的普通口罩
195,钟老都用的普通口罩，红十字还截n95
196,别给钟老太大压力
197,钟老身体健康
198,国士无双
199,以前采访过的问题就别问了，浪费人家时间
200,加油
201,钟爷爷都没医用口罩了。。伤心
202,感觉钟老说话有点喘
203,要注意身体啊
204,注意身体
205,男神男神
206,加油
207,声音好听
208,加油加油
209,加油
210,保护好自己钟爷爷❤
