,comments
0,预言家上线
1,加油加油
2,再难还不是挺过去了
3,我信了你的邪！
4,中国加油，武汉加油
5,武汉加油
6,汉秀
7,糖醋鱼给热干面加油
8,地铁太真实了草
9,群星城
10,省图
11,我信了你的邪！
12,武汉加油
13,解封啦
14,泪目
15,臭鳜鱼为热干面加油
16,虾籽面为热干面加油
17,我 信 了 你 的 邪 ！
18,武汉加油
19,臭干子前来支援热干面
20,清远乌鬃鹅为武汉加油
21,我信了你的邪
22,「如有密切观察者请提出特异现象」
23,蓝色字幕君在线导航
24,武汉加油
25,炕锅给热干面加油
26,13太保来了
27,武汉加油
28,武汉加油
29,我信了你的邪
30,武汉加油
31,武汉加油
32,武汉 加油！
33,武汉！
34,驴肉火烧等等我，还有一个
35,武汉加油!
36,.0000
37,现在武汉正在按下播放键，加油。
38,武汉加油！！！！！！！！！！
39,我信了你的邪
40,武汉加油
41,武汉加油
42,驴肉火烧为热干面加油助力！
43,加油
44,我信了你的邪！
45,我信了你的邪！
46,我信了你的邪！
47,我信了你的邪！
48,我信了你的邪！
49,我信了你的邪！
50,我信了你的邪！
51,我信了你的邪！
52,我信了你的邪！
53,我信了你的邪！
54,我信了你的邪！
55,我信了你的邪！
56,我要去武汉旅游，等我
57,武汉加油
58,手抓羊肉给热干面加油！
59,手抓羊肉给热干面加油！
60,武汉加油
61,刀削面等着热干面
62,中国加油！！
63,我信了你的邪！
64,武汉加油！
65,武汉加油！
66,武汉加油
67,武汉我们等你！
68,广东肠粉给热干面加油！
69,甘肃为武汉加油
70,这就是中国
71,担担面为热干面加油！
72,起了冒
73,深切哀悼抗疫烈士和逝世同胞
74,烩面胡辣汤为武汉加油
75,火锅给热干面加油！！！！
76,火锅给热干面加油！！！！
77,武汉加油
78,武汉加油
79,武汉加油
80,吃了吗？
81,武汉加油，中国加油！
82,羊肉粉给武汉加油
83,武汉加油中国加油必然胜疫情，加油！
84,武汉加油
85,武汉坚持
86,突然就哭了
87,武汉加油
88,武汉加油!
89,我爱你！祖国！
90,武汉加油
91,武汉加油！中国加油！
92,武汉加油！
93,武汉加油
94,我信了你的邪
95,小笼包为热干面加油！
96,武汉加油
97,永远都会等下去
98,我信了你的邪
99,加油
100,爱和希望比病毒蔓延的更快！！！！
101,泪目
102,lei m
103,武汉加油
104,武汉加油!
105,武汉加油!
106,武汉加油
107,武汉加油
108,泪目
109,。
110,武汉加油
111,上网课的时候老师特地给我们看，哭了哭了
112,肠粉为热干面加油！
113,加油！！！ 
114,4月4日全国公祭，武汉你慢慢好起来了！
115,武汉加油
116,武汉加油
117,羊肉泡为热干面加油！
118,武汉加油！！
119,武汉加油！中国加油！
120,武汉加油
121,武汉加油
122,武汉加油
123,重庆火锅为武汉加油
124,武汉加油
125,武汉加油
126,向英雄致敬！
127,武汉加油！
128,加油
129,武汉加油
130,武汉加油
131,武汉加油
132,武汉加油
133,武汉加油！
134,武汉加油！
135,干扣面给热干面加油
136,武汉加油
137,武汉加油
138,武汉加油
139,武汉加油
140,武汉加油！！！
141,武汉加油！！
142,武汉加油
143,武汉加油
144,不是老子信了你的邪么哈哈哈
145,泪目
146,小笼包为热干面加油
147,螺蛳粉为热干面加油！
148,武汉加油
149,武汉加油
150,武汉加油!
151,我信了你的邪！！！
152,武汉加油
153,中国加油，中国必胜
154,看了太让人感动了，不由得泪流满面。
155,我信了你的邪
156,热干面加油！！
