,comments
0,山东
1,我亲姐在疾控中心 从大年29到初六没有回过家
2,整活一流
3,哈哈哈哈
4,父母官啊
5,辛苦了！！辛苦了
6,辛苦了！
7,苏N为鄂A加油
8,我这每个乡自己封村
9,安徽人报道
10,我们这里是公安局开车一边播放一边巡村
11,「过年了」
12,「按理说」
13,亲爱的村民们，我是你们的书记
14,「全体村民请注意，全体村民请注意」
15,「蓝色字幕君在线导航」
16,我们赢了
17,陕西 浙江 加油
18,啥场面都见过 说的好
19,好熟悉的哪吧
20,陕西人路过
21,辛苦
22,4月5日回来看仍然感动
23,冲卡打一顿在报警
24,加油
25,我在我们村儿当了志愿者
26,安徽人报道
27,泪目
28,加油
29,陕西人报道
30,陕西话亲切
31,河北加油
32,没江西？
33,讲真，春节时期也是绝佳的隔离时间点，家家户户都有吃的，门一关，半个月不出门真没事
34,安徽人发来祝福
35,0576为027加油
36,安徽阜阳报告
37,啊啊啊啊啊啊啊河北
38,抓紧带上吧
39,河北
40,其实乡村真的没事啊特别是不严重的省
41,加油
42,2333
43,加油
44,我年初五的婚礼取消了
45,中国加油！
46,最朴素的语言，表达出最振奋人心的话。这就是中国吧。
47,山东话太亲切了
48,电脑主机
49,才几号，村里哪里来的口罩
50,我大河北
51,河北河北河北河北河北河北河北河北河北河北河北河北河北河北河北河北河北河北河北河北河北河北河北河北河北河北河北河北河北河北河北唐山
52,辛苦了！
53,不是防护挺迅速，是执行力度大
54,武汉路过
55,西安人报道
56,镇海楼为黄鹤楼加油
57,河北报道
58,加油
59,河南人来咧
60,陕西人报到
61,冀A报道
62,湖南人报道
63,大河北加油！
64,辛苦了
65,四川报道
66,最后一句泪目了
67,戴着口罩眼镜真起雾
68,i
69,四川报到
70,四川排面
71,辛苦了
72,四川人报到
73,三苏祠为武汉加油
74,他不叫村官，他叫人民公仆
75,事总会过去的
76,辛苦了
77,辽宁的排面！
78,加油
79,辛苦了
80,壮哉我大河北
81,我们这边差不多也这样
82,山东临沂人民发来加油
83,河南口音真好听，实在
84,河南的
85,前面的别跑，我也济宁的
86,山东
87,湖南报到！！
88,辛苦了
89,辛苦了
90,广东呢？
91,把我看哭了
92,制度优势
93,安徽涡阳！
94,安徽排面
95,辛苦了
96,安徽人报道
97,制度自信
98,玄神楼为黄鹤楼加油
99,晋J给鄂A加油
100,事总会过去的5.
101,会过去的
102,四川娇子给黄鹤楼扎起!
103,同上
104,制度自信？！！
105,佟湘玉的口音啊
106,保重身体
107,大辽宁
108,大湖南打call
109,前边儿说打电话的。一个一个打得多长时间？
110,商洛人报道
111,安徽人报道！
112,四川
113,8848
114,黑龙江报到！！！
115,我大河北
116,感谢
117,辛苦了
118,中国加油，武汉加油
119,甘a为武汉加油
120,我看着就想哭
121,如果温暖有颜色
122,川人
123,中国加油
124,辛苦了
125,哭了
126,我大四川话
127,安徽人来了
128,我商洛的
129,中国加油！
130,中国加油！
131,事总会过去
132,事总会过去
133,四川走过
134,吹爆我清河
135,清河？？？！？
136,山东大汉就是淳朴
137,加油
138,商洛人路过加一
139,陕西人来报道！
140,辛苦了
141,好亲切
142,辛苦了
143,彳亍
144,彳亍
145,婶儿～总会过去的
146,事总会过去的。
147,辛苦了，加油
148,辛苦了
149,辽宁老乡!
150,小     场     面
151,加油啊
152,河北加一
153,加油加油加油
154,中国加油！
155,河北报道l!
156,有朋自远方来，虽远必诛
157,陕西报道
158,我们这封村了
159,谢谢人民的好干部
160,辛苦了
161,加油
162,辛苦啦
163,辛苦啦
164,辛苦了
165,河南人前来报到
166,武汉加油，中国加油
167,事总会过去的
168,说没有河南的，我怎么听着都像河南话呢23333
169,辛苦了
170,事总会过去的
171,辛苦了
172,辛苦了
173,弹幕
174,世界级别的大片，每个人都是主角
175,辛苦了
176,大风  凯旋
177,江西
178,没我老家河南吗？
179,我们村子里也是这样的
180,陕西人在此
181,辛苦了辛苦了
182,河北人报道
183,中国加油
184,愿逝者安息，愿生者奋发，愿祖国昌盛，致敬英雄，为在前线奋战的医务人员致敬！
185,陕西人报道
186,中国加油！
187,中国加油！
188,粤X为大家加油！
189,中国加油
190,泪目QAQ
191,湖南为武汉加油
192,有时候不是没戴口罩，是根本买不到
193,河北报道
194,河北人报道
195,豫F为鄂A加油
196,加油
197,今天的风儿有点喧嚣
198,就在我们隔壁市哎
199,加油
200,辛苦了❤️❤️❤️❤️
201,辛苦了！
202,辛苦了
203,辛苦了
204,辛苦了
205,加油
206,加油
207,加油
208,加油
209,辛苦了
210,大河北
211,辛苦了
212,总有人杠
213,致敬一线工作者
214,说得好，事儿总会过去的
215,天津之眼给黄鹤楼加油
216,陕西西安报到！
217,河北的词好
218,来了 我家的来了 哎呀吗 开心就完了
219,大门一关 茶水一端 小眼一闭 小觉一咪
220,烟台人过来围观
221,这个声音稳啊
222,悬空寺为黄鹤楼加油
223,英雄的人民啊
224,河北人报道
225,辽宁路过，必须给我们大辽宁排面
226,"带病回村,不肖子孙ψ(｀∇´)ψ"
227,山东哥们好样的
228,事总会过去的
229,安徽的安徽的！！！！！！！！！！！！
230,我黑龙江排面
231,我黑龙江排面
232,辛苦了❤️❤️❤️
233,辛苦了
234,熟悉的口音，中国人民加油！
235,四川的
236,没有河南？
237,我们这   我的天
238,汉中人报道
239,           中国加油
240,黑龙江报道
241,0917飘过
242,河北朱广权
243,事总会过去的
244,这就是村支书
245,大河北！
246,全国一心，不要怀疑中国人的团结性
247,事总会过去的
248,自己喝
249,河北的路过
250,干了兄弟萌
251,此时此刻
252,中国加油！湖北加油！武汉加油！
253,我们这村干部天天转
254,陕西为武汉加油
255,莱州人听这声音太亲切了
256,辛苦了注意安全
257,辽宁人来了hhh
258,我们这大路小路都用土堆堵住了
259,口音亲切，都能听懂
260,没戴口罩是因为买不到了吧
261,好评好评
262,哈哈亲切
263,东北人为啥这么擅长写顺口溜23333
264,这么听话
265,四川路过
266,戴口罩也要买得到呀
267,山东话个好亲切
268,河南
269,河北加一
270,河北人路过!!!
271,招远口音！
272,中国加油
273,天佑中华
274,陕西扶风的来了
275,中国加油
276,辛苦了
277,辛苦了
278,辛苦了
279,事儿总会过去！
280,辛苦了
281,苏M为武汉加油
282,在央视看到自己市？？？
283,中国加油！
284,我们河南老家已经不让出家门了，全民战役啊
285,加油
286,我大莱州！！！
287,中国加油！！！！武汉加油！！！
288,50多度夸张了吧
289,沪B为武汉加油
290,东北hhhhh
291,我们村不给办酒席，年例也不给办
292,辛苦了，注意安全
293,加油！
294,多难兴邦
295,特殊情况，安全第一。完全理解
296,接地气，很实用
297,感谢这些为人民服务的人
298,真实
299,真实
300,看着看着就想哭，谢谢你们
301,我们弗兰人要加油啊啊啊啊
302,中国加油
303,事总会过去的
304,我大河北满分作文！
305,辛苦了，愿疫情快点好转
306,事总会过去的
307,莱州人来凑个热闹
308,加油
309,辛苦了
310,中国加油
311,机场的路过
312,初三就上高速公路出口设卡了
313,河北厉害
314,河南呢
315,河南的呢
316,就是因为这些好村长，才能把防疫穿到中国的每一个角落
317,武汉加油
318,村民有你他们好幸运
319,谢谢你，你是村民的好干部
320,武汉加油
321,武汉加油
322,武汉加油武汉加油
323,河南报道，武汉加油
324,河南村长！
325,哈哈 我听不出
326,辛苦了 这么冷的天
327,辛苦了
328,实在
329,辛苦啦
330,事总会过去的
331,辛苦了
332,麻窝村也这样
333,这次防护方面挺迅速
334,商洛人，辛苦了
335,大河北加油
336,为我们陕南打call
337,事总会过去的
338,事总会过去的
339,冀兔来报道！
340,陕西人来了
341,每天斗地主，豆都输完了
342,哈哈哈，好可爱，命要紧
343,注意安全！
344,任何困难都打不倒英雄的中华民族
345,我是一个党员
346,辛苦了
347,大河北加油全国加油
348,辛苦了
349,潜伏期和正常人一样的，但还是有传染性
350,我河北啊
351,辛苦了 注意安全
352,河北排面
353,辛苦了
354,满分
355,哈哈哈哈哈
356,不来一段河南rap吗
357,泪目
358,陕西报道
359,亲切的莱州口音
360,眼镜有雾看不见是因为自己没戴好
361,中国加油，武汉加油，莱州加油
362,中国加油！
363,我大莱州
364,哈哈哈哈哈哈哈哈
365,封路，封路，封路…
366,事总会过去的
367,中国加油
368,湖南来了
369,河北！
370,电厂的已经回厂里工作了，出不来了
371,事总会过去的
372,事总会过去的
373,制 度 优 势
374,超市得正常工作吧
375,我灵宝的完全听得懂
376,泪目
377,辛苦了
378,辛苦了
379,中国加油
380,我河北的
381,中国加油
382,辛苦了！
383,辛苦了辛苦了
384,事总会过去的
385,我想上班
386,中国加油
387,华北平原啊
388,我们老家也这样，进出村子都得量体温登记
389,西安人报道
390,陕西泾阳人报道
391,莱州加油
392,泪目
393,我们村也封路了，安心啊
394,维持社会运转的行业是要上班的
395,中国加油
396,陕西人报到
397,这口音太亲切了
398,我到河北省来
399,加油中国
400,事儿总会过去
401,这亲切的山东口意
402,加油 加油 加油
403,感觉和饼叔的后期真的像啊！
404,我也不想去，但不去空间站的材料就没人做了
405,谢谢
406,商洛人在此
407,事总会过去滴
408,安徽马鞍山的路过
409,湖南湖南湖南湖南湖南湖南湖南
410,中国加油！
411,事总会过去的
412,为祖国点赞
413,南宁娃子来咯
414,辛苦了！！？
415,商洛人
416,加油啊祖国
417,何为？
418,河北人路过
419,制度优势  中国加油！
420,事总会过去的
421,淮北➕1
422,乡下，特别是偏远的，最好不要戴3N的口罩，减轻物资紧缺
423,湖南来了啊啊啊啊啊！！！！
424,中国加油！事总会过去的。
425,一切都会过去的，加油！
426,鲁西南的听着也挺像
427,想去打牌吧！
428,带上口罩 戴好头盔
429,中国加油
430,我已上班4天，顺丰……
431,阿中哥哥加油
432,武汉加油
433,中国加油
434,事总会过去的
435,哈哈哈哈
436,辛苦了
437,中国加油！
438,河北加油
439,中国加油
440,都没戴口罩
441,河南人路过
442,安徽老乡来了
443,中国加油
444,中国加油
445,天佑中华！
446,陕西报道
447,打电话啊 就不用跑那么远
448,我也在上班，是一名城市管理者
449,一键三连必须哒
450,汉中人+1
451,莱州人前来凑热闹
452,事总会过去的
453,能发展到今天这一步确实是制度优势
454,辽宁报告
455,安徽阜阳！！！
456,辛苦了
457,辛苦了❤
458, 山东
459,我大莱州
460,王宝强的口音啊
461,辛苦了！
462,武汉加油，中国加油
463,这就是中国的执行力！ 此生无悔入华夏！
464,辛苦了
465,我家农村的电费都是网上交的！
466,这次农村反隔离城市 对疫情控制起到了不可磨灭的工薪
467,武汉加油
468,武汉加油
469,武汉加油
470,不要恐慌
471,加油
472,难怪大家奇怪商洛这么近 怎么没那么多疫情
473,辛苦了
474,事总会过去的
475,什么是制度优势啊
476,加油加油 制度自信 道路自信！
477,亲切的东北话
478,厉害了！
479,我爸也是在做这个工作
480,电厂工作人员辛苦了
481,河北排面
482,中国加油
483,陕E为武汉加油
484,事总会过去的
485,辛苦了
486,大河北
487,控制得越好，损失的越小
488,事总会过去的
489,陕西
490,好熟悉的声音
491,吉林人表示东北话很亲切
492,这莱州味儿
493,好多个药店连一个口罩都没有
494,这让大家知道防疫战要依靠人民群众
495,对于东北人来说，你们都是南方人
496,自己家都不让进
497,村里已经开始登记统一采购了，坐标河南
