,comments
0,iPhone X
1,长得好像我的高中同学
2,辛苦了，谢谢
3,加油
4,辛苦了
5,加油加油！
6,辛苦了致敬！
7,手机拿进去就拿不出来的，应该是在隔离区还有一部手机
8,好靓
9,我看上哪个背包了
10,致敬，感谢
11,颖子，加油
12,辛苦了
13,多加肉
14,姐姐好漂亮
15,辛苦了！
16,中华民族五千年，秉承中华精神，延续至今，多少大风大浪都闯过来了，这次同样会有惊无险，战胜新冠状病毒，勇往直前!
17,熟悉的早交班TAT辛苦了！！！
18,辛苦了
19,辛苦了
20,即使是印记也盖不住美貌
21,加油
22,好看
23,辛苦啦！致敬！
24,武汉加油，中国加油
25,加油
26,姐姐好看
27,辛苦了
28,可爱
29,手机要消毒
30,谢谢所有的医护人员
31,可爱的人加油，会好的！！！！
32,辛苦了
33,加油加油加油
34,辛苦了，致敬
35,一定可以的
36,辛苦了！
37,辛苦了
38,医学生路过，加油
39,辛苦了
40,看的好心疼
41,姐姐太好看了叭
42,武汉加油！
43,感谢你们做的一切，你们辛苦了
44,辛苦了
45,辛苦了
46,辛苦了
47,你们辛苦了！
48,加油啊！
49,辛苦了
50,出现了！！！最美的印记！！！
51,致敬天使哥哥姐姐们
52,加油
53,忽然想到一个办法，可以把估计会磨到的地方拿创口贴贴一下，希望姐姐每天好看
54,素颜都这么好看，爱了爱了
55,谁不是家里人宠在心尖儿上的小宝贝呢，对他们好一点吧
56,幸苦了
57,武汉加油(ง ˙o˙)QAQ画质感人
58,加油
59,手机也要消毒吧
60,加油
61,加油
62,姐姐好漂亮！！
63,小姐姐好好看
64,好美啊啊啊啊啊啊啊
65,不必称我天使，因为更多的天使没有翅膀
66,马上就热
67,需要自身免疫力来康复 伙食自然好
68,武汉口音亲切
69,辛苦了
70,太难受了
71,正压呼吸器，装备不错
72,辛苦了！
73,辛苦了！
74,我外婆外公一家也在武汉，听到这音调真亲切
75,好想哭 眼泪控制不住了
76,加油
77,加油加油加油加油加油加油加油！
78,真的真的这个家国有你们太幸运了
79,辛苦了❤❤❤
80,辛苦了！谢谢您们，您们最美
81,我们爱您们，您们辛苦了！
82,前面无聊的，注意你的言辞，你是个中国人
83,中国最tm令人尊敬，敬爱，传颂的人们!
84,丘比特
85,可爱
86,防护服真的很不合身，辛苦了
87,向英雄致敬
88,辛苦了
89,辛苦了
90,注意身体。。。
91,辛苦了
92,toyota..
93,姐姐咋样都好看！勒痕就是古代美女的面花
94,辛苦了，加油
95,加油！！
96,3M的丘比特 一套过万
97,加油！
98,好好看
99,辛苦了，加油加油！！！！！！！
100,辛苦了
101,加油，辛苦啦！！
102,加油
103,好美！
104,小天使加油~
105,你是最美的天使加油
106,加油~辛苦了
107,泪目
108,辛苦了！
109,更多的天使没有翅膀！
110,加油啊
111,辛苦了
112,感谢
113,武汉加油
114,辛苦了
115,姐姐好美
116,加油
117,辛苦了
118,加油
119,辛苦了
120,辛苦了！
121,加油
122,辛苦了
123,辛苦了
124,加油呀
125,加油
126,辛苦了 感谢
127,加油
128,流汗了，心疼
129,辛苦了
130,辛苦了
131,致敬白衣天使
132,加油
133,鸡皮疙瘩起来了
134,pl姐姐！
135,辛苦啦
136,你们辛苦了
137,泪目了，姐姐最美！！
138,真的很难过，是家里的宝贝，却也要上战场，致敬！
139,辛苦了
140,辛苦了！谢谢！
141,辛苦啦
142,辛苦了
143,辛苦了
144,辛苦了
145,感恩
146,加油！
147,泪目
148,加油加油加油
149,加油
150,泪目
151,辛苦了
152,加油
153,是的
154,辛苦了(≧∇≦)
155,可爱
156,辛苦了！！
157,加油
158,好看
159,心疼
160,加油，辛苦了
161,加油
162, 辛苦了
163,加油
164,看着就累
165,祝早日康复鸭！
166,辛苦啦辛苦啦
167,好可爱
168,辛苦啦注意安全
169,加油
170,漂亮阿 素颜这么美
171,白衣天使加油，中国加油
172,加油姐姐
173,加油！
174,辛苦了
175,辛苦了
176,都好年轻
177,熟悉的交班时间
178,好漂亮呀！
179,武汉加油
180,还好现在不是夏天
181,丰田打钱！
182,好看！！！！！！！！！1
183,小姐姐好好看
184,美    女     加油
185,美就是美，不在乎这些
186,不在乎这些
187,白衣天使
188,我老丈人
189,好美啊，比刘亦菲还美！
190,好美！
191,加油
192,手持机提挺方便
193,颖子加油
194,辛苦了最可爱的人
195,挺好看的
196,武汉挺住  武汉加油
197,天使在车上
198,交接
199,漂亮漂亮
200,丰田员工
201, 加油 辛苦了
202,祝你平安 我现在不会说别的
203,祝你平安 折寿祝你平安
204,丰田打钱
205,so biu特坲
206,辛苦了
207,小姐姐加油
208,加油
209,姐姐你好美
210,辛苦了
211,最美！
212,辛苦了，加油
213,好样的！
214,加油！好样的！
215,哈哈哈哈丘比特
216,好美！致敬！
217,手机也带进去？怎么消毒
218,我也可以
219,加油，早点出院
220,热干面加油！
221,要哭了 谢谢！
222,加油！！！！
223,致敬白衣天使！致敬老爸！
224,全家一生平安
225,好难啊
226,好漂亮
227,丰田打钱
228,真的不容易啊
229,又哭又笑
230,又哭又笑
231,又哭又笑
232,肯定得免费啊
233,会好起来的
234,加油呀医生
235,加油啊姐姐
236,祝早日康复啊
237,挺漂亮
238,组成病友
239,好漂亮
240,病人伙食这么好的吗
241,武汉加油！ 中国加油！
242,口罩不带，你漂了
243,记得手机消毒
244,哭了
245,叔叔加油
246,有一说一，是真的好看
247,伙食羡慕
248,辛苦你啦加油
249,辛苦了，谢谢
250,辛苦了，致敬！
251,医护人员加油
252,谢谢了
253,谢谢了
254,辛苦了，谢谢你们！
255,辛苦了，谢谢你们！
256,辛苦了，谢谢你们！
257,辛苦！
258,武汉加油！医护人员加油！
259,辛苦了，加油
260,武汉加油，谢谢医生护士们！
261,丰田大叔
262,辛苦了，亲爱的
263,赞
264,姐姐有对象了吗
265,加油
266,你们真棒！
267,可可爱爱
268,太不容易了
269,天呐，好辛苦
270,谢谢你!
271,武汉加油！
272,加油！
273,老爷子够年轻啊
274,爱了
275,辛苦
276,据说是穿了成人尿不湿在里面
277,武汉加油，湖北加油！
278,白衣天使加油
279,加油，胜利在眼前
280,漂亮的人！
281,漂亮！
282,颖子加油！！！
283,加油加油加油冲冲冲冲
284,前线医护都没有开始用普通N95了
285,PAPR 高等级防护
286,中气都挺足的，没问题！
287,天已经亮了，大夜班辛苦啊。
288,丰田打钱
289,健康出院！
290,我要哭了我的妈
291,你们辛苦了加油！
292,。
293,祝所有人早日康复
294,辛苦啦！也是个小仙女呀
295,辛苦了！
296,回答前面的，护目镜有眼镜架槽，是可以带眼镜的
297,加油加油！
298,祝早日康复啊
299,手机注意消毒呀
300,医护人员们辛苦了 武汉加油 中国加油！！！
301,加油加油
302,辛苦了，加油
303,愿康复
304,愿康复
305,愿康复
306,加油啊！
307,加油！武汉
308,加油！！！！
309,加肉啊！加肉!
310,加肉啊！加肉!
311,你们都会好的
312,祝你们健康
313,好可爱的人 加油！
314,好可爱
315,加油!
316,辛苦了！
317,辛苦了！
318,辛苦了！
319,辛苦了！
320,注意身体！
321,辛苦了！
322,湖北话稀饭就是粥
323,一定会好的
324,辛苦了！
325,哇，好漂亮！
326,哈哈哈哈
327,谢谢
328,武汉话 我哭了！
329,加油
330,致敬
331,辛苦了加油！！！
332,辛苦了
333,加油
334,！！！！！我的颖！
335,辛苦了
336,辛苦了
337,语速好快，靠谱
338,加油
339,三层手套还能打进去针是真的强
340,一看到他们突然觉得病魔并不可怕
341,武汉加油，中国加油！
342,辛苦了 谢谢你们♥️
343,辛苦了 谢谢你们扛住
344,加油
345,1.6.7?????????
346,太美了
347,好乐观
348,这个护士好像我前女友，她也是护士
349,人家跟爹妈住 一定也是单生
350,会好的 加油
351,加油！
352,武汉加油
353,辛苦了……好想代替他们受苦
354,仙女！！！！！
355,辛苦了
356,好好看
357,辛苦了
358,辛苦大家了
359,辛苦了
360,加油！
361,还有
362,哇，好漂亮
363,我想说：我单身！
364,都是家里的宝贝宝贝加油
365,最美护士姐姐
366,加油
367,辛苦了
368,真是辛苦了，白衣天使们
369,加油
370,辛苦了
371,辛苦了
372,辛苦了
373,哈哈哈祝早日康复
374,祝早日康复！
375,辛苦啦
376,加油！
377,你的手机……
378,辛苦了小姐姐
379,好看
380,加油
381,辛苦了
382,大家都要加油哦
383,颖子加油哦！
384,好好过早，早日康复
385,好早啊
386,好美丽！
387,谁不是家里的宝贝呢
388,.  +
389,加油！
390,加油！！！一定会好起来
391,武汉加油 中国加油
392,加油
393,加油
394,美美的小姐姐
395,武汉加油
396,辛苦了
397,加油！
398,辛苦了
399,加油】
400,加油！！！！！！！！！！！！！！
401,白衣天使
402,好可爱
403,加油！
404,突然有点羡慕
405,我心中的老鹿……嘿嘿(º﹃º )
406,漂亮啊啊啊
407,会好的
408,好可爱的眼镜
409,前线医护人员辛苦了！
410,早日康复
411,祝大叔早日康复
412,真的辛苦啦  我在家休息你们在前线拼命
