,comments
0,剪头发的意义在哪
1,加油，你们是最棒的
2,可爱的人
3,致敬
4,中国加油
5,你平安回来老子包一年的家务我哭了
6,加油
7,武汉加油
8,感谢有你
9,加油，你们最棒！
10,武汉加油，中国加油
11,加油
12,加油，天使们，加油武汉，打到恶魔（可恶的新冠状病毒），加油
13,武汉加油啊
14,还没开始看就哭了
15,辛苦了
16,你们这些想当英雄的死的好
17,没人逼他们这样做
18,加油加油加油加油加油加油加油加油加油
19,武汉加油
20,加油
21,武汉加油
22,武汉加油
23,辛苦了
24,中国加油
25,武汉加油
26,加油
27,致敬
28,啦啦啦
29,白衣天使加油
30,白衣天使加油！
31,来来来
32,加油武汉！加油中国！
33,辛苦了！
34,敬礼
35,致敬
36,中国人总是被他们之中最勇敢的人保护的很好！
37,加油！！！
38,武汉加油
39,加油！
40,英雄平安归来
41,武汉加油！
42,武汉加油
43,愿所有人，无所畏惧！
44,致敬
45,泪目
46,泪目
47,中国加油
48,武汉加油！
49,中国加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油
50,加油加油加油
51,加油，武汉加油，中国加油！
52,泪目
53,致敬
54,看简介，是武汉协和医院
55,加油
56,中国加油
57,湖北加油
58,武汉加油
59,加油加油加油
60,加油加油加油
61,致敬
62,致敬
63,你们真棒
64,太好哭了！！！感谢英雄！！
65,加油
66,谢谢！
67,加油武汉
68,白衣天使加油！
69,这句话泪目天哪
70,中国加油
71,武汉加油
72,中国加油
73,武汉加油
74,中国加油
75,武汉加油
76,中国加油
77,武汉加油
78,谢谢你们
79,哭给爷哭我们这眼泪不值钱
80,我等待这国泰民安的盛世
81,加油！
82,加油，平安
83,加油！
84,加油！
85,加油
86,加油
87,武汉加油！
88,泪目
89,泪目
90,武汉加油
91,致敬
92,武汉加油！
93,中国加油！！！
94,武汉加油！！
95,武汉加油
96,中国加油
97,致敬
98,武汉加油
99,wuhjy
100,哪有什么天使，只是一群和死神抢人的英雄
101,哪有什么岁月静好，只是有人在替你负重前行
102,加油
103,如果奇迹有颜色，那一定是中国红
104,加油
105,哭了
106,武汉加油
107,加油！
108,有你们真好
109,加油！
110,谢谢你为我拼过命
111,致敬
112,中国加油
113,致敬！加油！
114,武汉加油
115,武汉加油
116,向英雄致敬！
117,手机首页都是黑色默哀
118,中国加油！
119,中国加油
120,武汉加油
121,致敬
122,中国加油！武汉加油！
123,致敬英雄！
124,加油！
125,泪目
126,加油
127,致敬
128,加油
129,武汉加油
130,一年哪儿够呀，要一辈子
131,加油加油
132,谢谢你们
133,你们正在与怪兽较量，武汉加油，中国加油
134,感谢你们帮我们扛过了这一阵大风
135,加油 白衣天使们
136,感谢加油
137,武汉加油！中国加油
138,泪目
139,中国加油。武汉加油
140,加油
141,为抗疫人员，致敬！
142,武汉加油！中国加油！
143,中国加油
144,中国加油
145,武汉加油中国加油
146,武汉加油！中国加油！
147,武汉加油！中国加油！
148,加油
149,世界加油
150,武汉加油！
151,武汉加油
152,致敬！
153,武汉加油
154,中国加油
155,加油
156,加油
157,致敬
158,致敬
159,致敬
160,封面差评！
161,白衣天使最美
162,都要平安回来啊
163,中国加油！
164,加油！
165,中国加油！！！
166,加油
167,加油
168,致敬
169,加油！白衣天使们
170,致敬
171,武汉加油中国加油!!!
172,加油
173,加油
174,加油
175,加油
176,加油
177,加油
178,加油
179,加油
180,武汉加油中国加油
181,致谢
182,武汉加油中国加油
183,致敬！
184,泪目
185,武汉加油！
186,感谢白衣天使 你们是最棒的
187,这就是中国力量！！！！！！
188,加油，平安
189,加油！
190,武汉加油
191,必胜
192,武汉加油
193,致敬
194,加油
195,加油，白衣天使
196,武汉加油
197,武汉加油
198,加油！加油！
199,加油，加油白衣天使
200,加油
201,向你们致敬！
202,感谢！有你们真好！武汉加油！
203,我爱你中国，加油，武汉
204,致敬
205,愿你们平安
206,加油
207,武汉加油，与你同在
208,武汉加油
209,与你同在，武汉加油！
210,加油
211,加油啊！不要输！
212,武汉加油
213,武汉加油！中国加油！
214,加油！
215,致敬！！！！！
216,致敬
217,加油
218,武汉加油
219,加油
220,泪目，武汉加油！中国加油！
221,肉夹馍给热干面的加油！
222,武汉加油
223,武汉加油
224,武汉大学今年等我
225,每一位都是伟大的人，真棒
226,中国加油 武汉加油
227,我的国家真棒真棒
228,加油！
229,时间4月4日，致敬英雄。
230,谢谢
231,愿这只是一场梦，梦醒时分一切安好。
232,致敬
233,武汉加油
234,加油！！
235,加油！！！！
236,加油
237,致敬！！！
238,泪目
239,武汉加油
240,愿逝者安息，愿生者奋发，愿祖国繁荣发展。
241,致敬
242,加油
243,大爱热干面～（广东人民在此助力!）
244,武汉加油
245,加油，英雄
246,平安
247,加油中国，加油白衣天使
248,中国加油！
249,向白衣天使献上最高的致敬
250,武汉加油
251,武漢加油！
252,加油
253,加油
254,加油！
255,这就是中国当代女性的担当！
256,武汉加油
257,此后，只要生生平安，即使岁岁不见
258,加油
259,加油武汉
260,武汉挺住
261,加油白衣天使
262,加油！
263,武汉加油
264,谢谢
265,武汉加油，中国加油！
266,加油
267,谢谢！！谢谢
268,武汉加油，中国加油！！！
269,加油，武汉
270,中国英雄中国英雄
271,中国医生
272,加油！！！！
273,最后哭的还是那些最可爱的人
274,中国加油，武汉加油
275,武汉加油中国加油
276,烩面等热干面平安回家
277,武汉加油！中国是最棒的！
278,你平安回来，老子包一年多家务，我做哈
279,。武汉加油
280,白衣天使加油
281,湖北人民加油
282,黄鹤楼加油！！！
283,务必一个不少的回来啊
284,泪目男
285,各方加油
286,大家撑住，我们一定会胜利的
287,臭豆腐给热干面加油
288,马上好起来
289,加油
290,加油
291,武汉加油！
292,所有人都要活着回来
293,加油加油加油！
294,武汉加油！
295,平安
296,鼻子一酸
297,武汉加油，中国加油鸭
298,热干面，要加油啊！
299,我们可以战胜这一切！！！
300,谢谢有你们！
301,武汉加油  中国加油
302,武汉加油，中国加油，白衣天使加油！
303,武汉加油，
304,全国加油
305,泪目，武汉加油
306,爷爷哽咽了
307,中国！一定赢！
308,白衣天使！
309,中国红最美的颜色
310,牛肉面给热干面加油！
311,伟大的中华民族有强大的生命力，一定会克服这次困难的！
312,一定会好的！
313,大家想想1840—1945受列强欺负河山破碎时，甚至民族最危险的时刻，都有坚定的信念
314,白衣天使！
315,加油！中华民族一直有如此强大的生命力！
316,武汉加油，祝平安
317,武汉加油！中国加油！白衣天使加油！
318,朴树
319,中国加油！武汉加油
320,武汉要加油啊
321,泪目
322,武汉加油，中国加油
323,热干面加油
324,致敬
325,加油
326,武汉加油
327,泪目警告
328,加油
329,加油
330,加油
331,加油
332,我见过奇迹了 就是你们
333,武汉加油！
334,武汉加油！
335,武汉加油！
336,武汉加油？
337,武汉加油
338,伟大的逆行者
339,无所畏惧
340,加油
341,武汉加油
342,感谢你们的付出
343,武汉加油，中国加油
344,感谢白衣战士
345,我不担心，因为这次疫情回过去大家也都会平安！这次疫情过去之后谁也不许嫌弃谁
346,加油
347,中国加油！武汉加油！！
348,武汉加油啊！！！！！！
349,武汉加油，中国加油
350,中国加油！武汉加油！
351,中国加油
352,中国加油
353,加油呀
354,最美好的你们
355,中国加油
356,武汉加油
357,武汉加油！
358,中国加油！
359,武汉加油
360,武汉加油！！！！！
361,武汉加油！
362,暴风哭泣
363,武汉加油，中国加油
364,中国加油
365,加油
366,加油
367,加油，可以的
368,✊✊✊
369,加油
370,加油
371,加油
372,武汉加油
373,辛苦了
374,感谢
375,辛苦了
376,致敬！
377,感谢
378,加油
379,武汉加油
380,哇哦  bgm爱了
381,加油！！！！！！
382,武汉加油，中国加油！
383,武汉加油
384,中国加油 ！  武汉加油！
385,武汉加油，中国加油
386,武汉加油
387,一定要好好的喔
388,武汉加油
389,武汉加油
390,武汉加油加油加油！！
391,武汉加油
392,加油
393,中国加油武汉加油
394,致敬
395,武汉加油
396,武汉加油一定加油
397,这里真的哭了
398,武汉加油！
399,加油武汉 加油中国
400,加油！
401,加油武汉！ 加油中国！
402,加油
403,加油中国
404,加油武汉
405,中国加油
406,武汉加油！
407,加油！
408,加油！
409,加油！
410,加油中国！
411,加油武汉！
412,加油！
413,致敬
414,加油，白衣天使
415,武汉加油中国加油
416,加油
417,加油
418,武汉加油
419,协和？南宁的吗？
420,泪木
421,加油加油！
422,幸苦了！
423,加油！
424,加油
425,武汉加油
426,医务人员们辛苦了，你们一定能平安回来
427,武汉加油加油加油加油加油！
428,当我一微笑 所有的苦难 都灰飞烟灭
429,武汉加油！
430,武汉加油！
431,武汉加油
432,武汉加油！
433,给力
434,武汉加油，中国加油！
435,武汉加油
436,英雄
437,加油
438,都要好好的回来
439,武汉加油，中国加油
440,武汉加油！
441,朴树
442,武汉加油
443,武汉加油
444,都要平安回家
445,武汉加油 中国加油
446,武汉加油
447,武汉加油！
448,定能逢凶化吉 遇难呈祥
449,如果奇迹有颜色，那一定是红色！加油武汉！加油中国
450,有一说一，武汉加油！！！
451,武汉加油
452,武汉加油
453,点赞致敬
454,加油
455,武汉加油
456,谢谢你们，辛苦了
457,加油
458,致敬
459,加油
460,武汉加油
461,加油武汉
462,加油
463,武汉加油
464,加油
465,加油！！！！！！！！
466,加油
467,加油武汉，加油中国
468,武汉加油
469,武汉加油
470,加油！加油！加油！
471,加油！
472,加油
473,天佑中华！
474,看到这里泪崩了555
475,加油！！！
476,武汉加油！中国加油！加油！
477,加油武汉！加油中国！
478,加油
479,一定要平安
480,武汉，加油
481,武汉加油
482,武汉加油
483,武汉加油⛽
484,武汉加油
485,泪目
486,武汉加油
487,武汉加油!中国加油!
488,武汉加油，中国加油
489,武汉加油，中国加油
490,武汉加油，中国加油
491,武汉加油！
492,哭了
493,加油
494,辛苦了
495,最美与最帅的天使
496,为什么我眼睛湿湿的
497,致敬
498,武汉加油
499,要平平安安!
500,"武汉加油,中国加油,白衣天使加油"
501,武汉加油
502,加油！
503,武汉加油
504,谢谢。
505,加油，武汉加油中国！
506,加油！
507,武汉加油
508,加油！
509,中国加油！
510,加油，加油
511,加油，平安归来
512,致敬！
513,武汉加油
514,泪目
515,武汉加油！！
516,武汉加油！
517,很快就会好起来的
518,中国加油！武汉加油！
519,辛苦了
520,他们真的很伟大
521,没有后顾之忧
522,加油
523,鼻子一酸
524,加油加油
525,鼻子一酸
526,致敬
527,好美，最美
528,武汉加油
529,中国加油，湖北加油，武汉加油
530,你们是最美的天使
531,武汉加油！中国加油！
532,加油！我的祖国
533,我爱中国
534,加油
535,武汉加油
536,武汉加油！！
537,过桥米线等热干面回来
538,武汉加油，中国加油
539,中国加油！
540,武汉加油
541,加油
542,中国加油
543,加油
544,加油！
545,武汉加油！中国加油！
546,加油！祝平安
547,泪目
548,感动
549,武汉加油   中国加油   大家保护好自己！
550,武汉加油
551,武汉加油
552,致敬
553,刚从那兔哭完过来，没想到刚转就又哭了
554,加油！
555,加油
556,武汉加油！！中国加油！！！
557,武汉加油！！！！！
558,朴树？
559,加油中国！加油武汉！
560,武汉加油！
561,中国加油
562,武汉加油
563,武汉加油
564,武汉加油
565,武汉加油
566,加油！！！
567,加油！
568,武汉加油
569,武汉加油
570,武汉加油！！！加油！！
571,加油
572,加油！
573,谢谢你们
574,加油
575,武汉加油
576,武汉加油 中华必胜 英雄平安
577,泪目
578,泪目
579,加油
580,眼泪哗哗的
581,看哭了
582,向英雄致敬
583,武汉加油！
584,加油武汉！
585,武汉加油！
586,不用@网易云了，已经有了
587,哭了
588,武汉加油
589,祈福武汉
590,武汉加油
591,中国加油!武汉加油！
