,comments
0,这是村子吗。。。。
1,村？？？
2,嘿嘿嘿
3,真的毒瘤
4,我一度以为这个话筒是特效做的
5,话筒好发型
6,参加宴席是我没想到的
7,来了来了晋江毒王
8,前面的俺也靖江
9,长乐人表示惶恐
10,全员中奖
11,以为我耳机坏了
12,我耳机坏了？
13,开除国籍
14,考古
15,独孤博
16,真大孝子
17,你们耳机都坏了，快换吧←_←
18,法外狂徒张三？
19,还某某，这种人就应该写进历史遗臭万年
20,张三
21,这个一定是不听话乱走
22,我耳机坏了
23,水头在这里道歉了
24,毒斗罗
25,丫丫丫丫
26,害怕
27,外地回村，不肖子孙
28,河南的？？？？？
29,在隔壁区，當時聽到嚇死
30,我是江苏靖江的！
31,晋江……？？
32,。
33,毒王
34,毒瘤
35,横幅：今天到处串门，明天肺炎上门
36,这个村真的富
37,我就住他们对面一个十字路口
38,这村好富有啊
39,真的毒王
40,英灵镇？？
41,高手
42,坏透了
43,毒王
44,给张姓丢脸
45,这。。。。
46,这个人在村里呆不下去了
47,这话筒有点东西
48,他自己当时根本不知道，当时国内除了武汉根本没什么消息
49,我就住这
50,我想起来了，是那个准备欺师灭祖那个吗
51,金井的害怕
52,泉州人吓了一跳
53,毒王啊
54,害怕们把公屏打在兄弟上
55,晋江毒王
56,我裂开了
57,大家注意安全
58,带病回村 不孝子孙
59,可把家里人害惨了
60,牢底坐穿安排上。
61,我学校在晋江。。
62,好亲切的普通话
63,防碍公共卫生罪
64,？？？
65,这是村？？
66,地标晋江
67,我的天啊，不敢相信
68,我离这个村就十几公里
69,唉 把整个家族的名声都掉了
70,似你！张三！
71,晋江真的……
72,像这种人，疫情过后他就基本跟死人没什么两样了，不止他自己，他的家人，亲戚都会受到连累，以后在社会上都活不下去了
73,真得严惩
74,！！！！！！！
75,？？
76,什么镇？
77,张三
78,这个话筒
79,总台，还有分台嘛
80,故意传播
81,所以明知道疫情严重，为什么还要拜宴席
82,会
83,前方高能
84,无期吧
85,看晋江进来的
86,现在我们家附近小区都这样
87,我很害怕那种个体免疫并携带病毒的人。。。其实现在进出小区测体温有用吗？出去不足一小时回来就能测出来？
88,额
89,厉害了
90,因为这个人我们这边被封了
91,22号还没有那么严重
92,不会吧 我兄弟？
93,话筒发型不错
94,你们康康话筒的发型
95,这三千人还得劳动几千名医生=_=
96,我20号还在这边吃了两碗面线糊来着
97,本来就不该搞宴席
98,治好了估计也有后遗症
99,移动打钱
100,兵粮寸断
101,我的天
102,话筒发型好帅
103,唉
104,那买东西怎么办
105,又不是农村都搞宴会，看样子是个县城
106,666
107,吐痰的那个人
108,裂开了
109,在现场，真的我住加排隔壁
110,我在龙湖镇
111,晋江蝙蝠侠！！！
112,一个……一个……一个……一个……
113,他也不知道呀
114,离我家二十公里…
115,我大福建的有钱人。。村比我们镇大。
116,如果不是你们这些弹幕，我购物车里面都蓝牙耳机就下单了
117,这个真的，都不知道该说什么
118,毒王！！！！！三星练精
119,说全名！
120,漳州人报道
121,晋江毒王
122,麦克风是不是防风的鸭
123,这是村子？
124,这个话筒
125,是个狼人
126,是个狼人
127,没有感染3000人，是参加了一个3000人的宴会，传染了几个
128,不肖子孙
129,。
130,建瓯人慌了
131,我以为我手机喇叭坏了
132,福建晋江住民向大家道歉
133,这个话筒很真实了
134,弱小和无知不是生存的障碍，傲慢才是。
135,福建人瑟瑟发抖
136,来自福建泉州人民的道歉
137,不是超级传播者，而是故意传播者，可以被判刑
138,什么情况
139,真害人害已
140,注意量词，别用“位”
141,不是武汉回来的，也不应该举办宴会啊 办宴会的有责任
142,同龙湖镇
143,严惩！
144,有90人左右坐一桌……
145,我的天
146,吓人
147,话筒为什么有这么多毛毛
148,嗡嗡响
149,福建人给大家谢罪了
150,我以为我手机喇叭坏了
151,没
152,福建龙岩漳平路过
153,静电
154,3000人的宴席，我的天
155,可拍的流水席
156,强大
157,名字打出来啊？
158,ಥ_ಥ怎么多人感染
159,那是放风的吧
160,skr
161,我的耳机......
162,话筒头发都比你们多
163,他是不是谁派来的
164,我们村的。。
165,我以为麦坏了
166,前排提示耳机党摘掉左耳耳机
167,天啊，连麦克风都感染了吗，一直沙哑啊
168,本身就不该举行千人宴吧
169,他知道发热而且还隐瞒了自己从哪来
170,优秀的副镇长
171,话筒静电？
172,我以为耳机坏了¬_¬｀
173,他说自己是菲律宾回来的什么别太怪他
174,哪里不是这样
175,福建24号晚上才一级响应
176,我以为我喇叭坏了
177,加阿呈问问情况
178,晋江富得流油
179,22号已经很严重了
180,22号我们什么都不知道
181,话筒发型乱了
182,道德败坏
183,晋江毒王
184,你管这叫村？
185,慕名而来
186,回来不是错，关键是隐瞒
187,就在隔壁城市，瑟瑟发抖
188,晋江...........
189,晋江大毒王
190,厉害…
191,晋江人路过。
192,还坐滴滴到处去喝酒
193,吃了三个宴席
194,他还到处敬酒
195,111
196,...
197,28号还聚餐？
198,话筒的发型有些凌乱
199,他还去别的村逛了
200,我裂开了……
201,886
202,我喇叭啊，要坏了
203,不许姓张！
204,江苏靖江人吓了一跳
205,怕是要退出宗族
206,超级传染源！
207,超级传染源 ！
208,金井人表示慌了
209,22号已经很严重了
210,麦克风的问题
211,泉州人路过
212,上新闻了
213,下新闻了
214,？？？？？？
215,我耳机坏了？？？？！！！
216,我手机坏了
217,无语
218,如果让你重新来过
219,国家早就不让聚会，疫情这么严重自己心里没点数吗
220,我以为耳机坏了……
221,办宴会这件事本来也有问题
222,我还以为我耳机突然坏了
223,我老家，也是这样
224,我们市的
225,全损音质
226,这一下把全宗祖的都害了，以后也就不用再参加宗族活动了。
227,是的 一个人传染3000人
228,名场面
229,我的耳朵
230,话筒？？？？
231,参加聚会的人也有问题，这个时候还聚餐
232,将来有何脸面再见江东父老
233,将来有何脸面再见江东父老
234,央视也注册bilibili，好接地气呀
235,前方高能
236,22号连武汉才采取措施，其他省更不用说了
237,福建人民道歉了
238,超级传播者?
239,村里真的很难
240,人品有问题
241,怀疑耳机坏了，还准备买新的～
242,开除宗籍
