,comments
0,致敬
1,感恩
2,致敬
3,您辛苦了！
4,国士
5,为什么还在冲锋，请回家吧，盛世安好
6,太辛苦了
7,国士无双
8,致敬
9,辛苦了！加油！
10,您们辛苦了
11,我有国士，举世无双。
12,国士无双
13,辛苦了
14,保重身体！
15,致敬！
16,致敬！辛苦了！
17,国士无双
18,白衣天使辛苦了
19,致敬白衣天使
20,国士无双
21,辛苦了！
22,辛苦了
23,不舍昼夜
24,巾帼英雄
25,您们幸苦了
26,奶奶辛苦了，医护人员们都辛苦了
27,国士无双
28,向您致敬
29,感恩 辛苦了李奶奶
30,保重身体
31,致敬！
32,国士无双
33,国士无双
34,心疼李奶奶，注意身体啊
35,辛苦了！感谢你们
36,国士无双
37,国土无双！
38,注意身体
39,谢谢李院士
40,国士无双
41,真正的女神！！！致敬
42,国士无双
43,辛苦了
44,4月4日，向您们致敬
45,国士无双
46,祝院士奶奶一生平安
47,国士有双！还有一个钟爷爷！
48,国士有双！别忘了还有一个钟爷爷！
49,辛苦您了
50,保重身体
51,辛苦了
52,致敬!
53,我们绍兴出的名人太多了
54,绍兴人好吗
55,国士无双
56,奶奶您辛苦了！
57,伟大
58,致敬
59,致敬
60,致敬致敬致敬致敬致敬
61,致敬致敬致敬致敬致敬
62,致敬致敬致敬致敬
63,国士无双
64,国士无双
65,我想成为像你们那样的人啊
66,国士无双
67,国士！
68,加油，注意身体，有你们真好。
69,英雄
70,杭州口音
71,国士无双
72,国士无双
73,辛苦了
74,辛苦了
75,国士无双
76,国士无双 您辛苦了
77,辛苦了
78,凡人之躯，比肩神明
79,致敬
80,国士无双
81,致敬
82,巾帼不让须眉
83,辛苦了
84,国士无双！！
85,加油！
86,国士无双 国民女神
87,0.0天天在b站刷这些新闻看，在家也没看过电视新闻
88,前面清明的等等，我也是4.4
89,国士无双
90,国士无双
91,国士无双
92,一定要保重身体！
93,国士无双
94,辛苦了
95,国士无双
96,辛苦了
97,辛苦了
98,致敬
99,e
100,谢谢！！
101,辛苦了！！谢谢您！！
102,国士无双
103,辛苦啦
104,辛苦了
105,保重身体，李奶奶
106,国士无双!
107,祝李奶奶长命百岁！
108,愿奶奶身体健康
109,李兰娟院士及团队，你们辛苦了！
110,辛苦了
111,国士无双
112,国士无双
113,辛苦了
114,坐标4.4，我今天都哭好几回了，太感人了，英雄加油 ，逝者安息
115,国士无双！
116,国士无双
117,浙江口音！
118,医护工作者辛苦了！
119,国士无双
120,谢谢!
121,奶奶辛苦了
122,辛苦了
123,辛苦了
124,国士无双！辛苦了
125,奶奶注意身体啊！
126,国士无双
127,国士无双
128,您辛苦了
129,辛苦了
130,不是岁月静好，只是有人在为我们负重前行
131,请一定保重身体！！！爱您
132,我每天都不睡觉我骄傲了吗
133,国士无双
134,向英雄敬礼
135,致敬！
136,辛苦了致敬！
137,辛苦了
138,国士无双！
139,辛苦了
140,国士无双
141,国士无双
142,辛苦了
143,辛苦您了
144,国士无双
145,国士无双
146,辛苦了！
147,辛苦您了
148,致敬 国士无双
149,致敬！
150,国士无双
151,国士无双
152,向英雄致敬
153,辛苦了奶奶
154,国士无双！
155,感恩有您
156,女神！
157,感谢您！
158,要好好的
159,国士无双
160,国之脊梁
161,绍兴口音亲切哈哈哈
162,李院士绍兴骄傲
163,加油！！！
164,致敬英雄们
165,国士无双
166,谢谢您！！辛苦了！！！
167,国士无双
168,国士无双
169,辛苦了！
170,女神
171,辛苦辛苦
172,奶奶，辛苦了
173,国士无双
174,辛苦了奶奶
175,致敬！
176,国士无双
177,保重身体
178,谢谢您！国民奶奶
179,致敬
180,致敬
181,国士无双
182,辛苦了
183,保重身体啊
184,和钟院士双剑合璧
185,辛苦了
186,这才是我辈学习的榜样
187,国士无双
188,注意身体!
189,注意身体!
190,加油武汉
191,奶奶注意身体，照顾好自己
192,太辛苦了！休息一下啊
193,请您好好休息，为了更好的工作研究
194,巾帼无双
195,国士无双，巾帼不让须眉
196,婆婆注意身体
197,中国脊梁
198,国士无双
199,泪目
200,辛苦了
201,国士无双
202,肱股之臣
203,致敬一线
204,辛苦啦
205,辛苦了。
206,谢谢您
207,太伟大了，一定要注意安全，尽量多休息啊
208,我们绍兴人
209,我们不需要英雄，我们需要一线的卫士保重自己的身体！
210,什么时间能研究出疫苗啊
211,经验无价啊
212,注意身体
213,太敬业了
214,辛苦了谢谢你们！
215,我有国士，天下无双
216,休息一下吧
217,一定要多注意点身体
218,注意身体啊
219,希望早日战胜疫情
220,哇哦
221,辛苦了T^T
222,保重呀，李奶奶辛苦了，要保重身体呀
223,哎，70岁了还到处为国为民
224,祝平安
225,国士无双，中国加油
226,辛苦了！！！
227,太辛苦了！
228,运满满给多少钱 我货拉拉给十倍！
229,辛苦了！❤
230,我一直以为她是杭州人，原来是绍兴的(？)
231,浙江人
232,真的希望你们多休息一下
233,谢谢辛苦了
234,要注意身体！！！
235,国土无双
236,国士无双
237,注意休息啊
238,国士无双
239,国士无双
240,天呐，注意注意身体
241,国士无双 致敬
242,国士无双
243,李院士是病原专家，钟院士是呼吸专家，各司其职
244,李奶奶加油！
245,我的天，太辛苦了
246,说到儿子好开心，哈哈哈
247,您辛苦了！
248,保重身体
249,人民英雄
250,请您一定要保重身体
251,请好好休息
252,口音听着有点上瘾
253,辛苦了！！！
254,李奶奶才是中国的脊梁
255,国士无双
256,奶奶辛苦了，要注意身体啊
257,奶奶辛苦了，要注意身体啊
258,这个笔真实了
259,幸苦了
260,注意休息
261,国土无双
262,保重身体！
263,国士无双
264,谢谢李奶奶
265,国士无双 致敬
266,全万不要累垮了
267,辛苦你们了
268,辛苦了最美天使
269,看哭了 奶奶要好好的
270,中国加油，武汉加油
271,全是院长，院长都上了
272,国士无双
273,国士无双
274,国士无双
275,和时间赛跑的女人最美
276,国士无双
277,注意休息啊
278,国士无双
279,国士无双
280,老一辈医务工作者的坚持、坚定、坚信！
281,我们年轻一代要尽快成长起来啊1
282,院长辛苦了
283,自愧不如 呜呜
284,辛苦了！
285,加油中国
286,国士无双
287,人人都有黑眼圈
288,好伟大
289,您一定要注意身体！
290,辛苦你了！
291,辛苦您的奉献
292,国士无双
293,国士无双
294,国士无双
295,幸苦了
296,辛苦您了
297,您们辛苦了！
298,希望国家可以有更多的这样的人才
299,辛苦啦
300,前线的都辛苦了
301,国士无双
302,照顾好自己身体啊，
303,辛苦了！
304,保重身体呀！
305,累我
306,国士无双
307,奶奶一定要保重身体啊
308,国士无双，让李院士好好休息，不要累倒了。
309,辛苦李院士
310,萧山？学好地理浙江绍兴夏履桥人
311,辛苦了，注意身体
312,谢谢奶奶为我们披肝沥胆，驱散阴霾
313,奶奶要好好休息啊！！
314,致敬，辛苦了
315,身体健康
316,致敬感恩 
317,加油，也要注意身体
318,向所有一线医护人员致敬
319,保重身体
320,您是神
321,祖国感谢您
322,国士无双
323,谢谢您 李奶奶！
324,国士无双
325,国土无双
326,国士无双！
327,国士无双
328,额头瞩目
329,国士无双
330,辛苦啦
331,多睡一点儿
332,国士无双
333,奶奶辛苦了
334,您要注意身体啊
335,您要注意身体啊您要注意身体啊  要休息啊
336,辛苦了奶奶
337,国士无双
338,注意身体健康
339,国士无双，致敬！
340,保重身体健康啊！
341,这个口音熟悉
342,口音熟悉
343,熟悉的口音
344,李奶奶注意身体
345,保重身体啊
346,谢谢您！！！！！！
347,您辛苦了
348,就爱听奶奶讲话
349,感谢奶奶！
350,辛苦了！
351,值得赞扬，但是国家需要给予相应的奖励和保障
352,国士无双
353,保重身体
354,国士无双
355,这些才是明星
356,杭州萧山人，口音是萧绍片的
357,辛苦了！
358,您辛苦了
359,国士无双
360,注意身体啊
361,视频会议可以吗
362,李院士不要太辛苦了！泪涌～感动。
363,辛苦了一线工作人员
364,国士无双
365,奶奶辛苦了
366,奶奶辛苦了
367,保重
368,奶奶也要好好休息呀
369,保重身体
370,国士无双
371,国士无双
372,国士无双~！
373,加油，谢谢您
374,国士无双
375,吾有国士，天下无双
376,辛苦了，请您一定要保重身体！
377,一定要保护好自己！
378,辛苦了！
379,自古江浙沪出人才
380,国士无双
381,666
382,国士无双
383,好像是绍兴柯桥人
384,辛苦了！
385,国士无双
386,辛苦了，李院士
387,请注意身体呀
388,李院士辛苦了！！
389,专业
390,国士无双
391,看哭了
392,注意休息
393,要保重身体呀！！！
394,厉害厉害 
395,李奶奶，保重，国家需要你
396,我们能做的就是没事不要出门
397,其他医生也一样
398,心疼又无奈
399,加油，保重身体
400,国士无双
401,奶奶辛苦了
402,这谁能受得了！我今年30都熬不住
403,建议和钟老合作
404,国士无双
405,我初一，每天也睡三小时，一字期了
406,。
407,我初一，每天也睡三个多小时
408,李兰娟院士一定要注意身体
409,看的出来很疲惫啊
410,让李奶奶注意休息，休息好才能指导
411,辛苦了 致敬
412,国士无双！
413,求您了一定要好好休息啊！！！
414,国士无双
415,国士无双
416,注意身体呀
417,在一线抗疫的各位英雄一定要平安啊，照顾好身体
418,向英雄致敬
419,注意身体
420,国士无双
421,保重身体！！！
422,国家的脊梁
423,国士无双
424,李奶奶您辛苦了
425,注重身体啊，只睡3h不行的
426,李老师，保重自己
427,国士无双
428,国士无双
429,奶奶注意身体啊
430,英雄
431,硬核广告
432,也请保护好自己
433,这个口罩带呼吸阀 需要注意下
434,她真的是奶奶了，她只能结合知识安排给年轻人去实施
435,以后是不是能在B站看新闻联播了
436,辛苦啦！您一定注意休息！
437,保重身体啊！
438,保护好自己啊
439,感谢！
440,都是英雄
441,挂帅出征 国士无双
442,辛苦了，致敬
443,一直都在说疫情的问题，太敬业了
444,请一定要保重身体啊
445,奶奶辛苦了
446,请一定保重身体
447,请一定保重身体啊
448,巾帼英雄
449,我们绍兴的奶奶T^T以您为楷模
450,辛苦了，李奶奶
451,国士无双！
452,辛苦了！
453,灿若星辰
454,国士无双～！
455,李院士国士无双，另外她也不缺钱哈，树兰医疗集团所有人
456,致敬！加油！保重！
457,李奶奶一定保重身体
458,中国的脊梁！
459,李院士挺住
460,国士无双！
461,李奶奶辛苦
462,希望年轻人能顶上去
463,保重身体！希望所有医护人员保重身体，！
464,国士无双
465,国士无双
466,国士无双
467,国士无双
468,三小时这个岁数能行吗
469,国士无双
470,感谢所有医务人员
471,辛苦了～
472,辛苦啦 致敬
473,辛苦您了！！致敬！！
474,李奶奶最高
475,望李奶奶保重，国士无双
476,辛苦了！！！
477,国士无双
478,泪目了！
479,。。
480,睡眠一定要充足啊！！！！
481,国士无双
482,国士无双
483,国士无双
484,注意身体呀
485,向老人家致敬！
486,像老人家致敬！
487,这位一定要活500年！
488,国士无双
489,辛苦了！！！
490,这样的人才配千万亿万薪水 小鲜肉们不配 真的
491,太辛苦了
492,李奶奶您辛苦了
493,旁边医生的眼睛都是红的，可见睡眠严重不够呀
494,辛苦了！！！
495,人民英雄
496,一定要注重身体，好好休息
497,保重身体
498,谢谢您！辛苦了！
499,国士无双
500,国家栋梁
501,国士无双！
502,保重身体
503,国士无双
504,武汉加油  中国加油
505,国士无双
506,保重身体
507,国士无双
508,谢谢您
509,辛苦您了
510,国士无双
511,她是神
512,国士无双
513,谢谢李奶奶
514,注意身体
515,我们浙江人的骄傲
516,现场教学医生
517,祖国不会忘记!
518,吾有国士 天下无双
519,70岁的人了这么熬撑不住啊
520,就像当年的将军一样，深入一线
521,辛苦了希望您平平安安
522,国家栋梁
523,国家栋梁
524,院士加油！
525,国士无双
526,李院士加油
527,辛苦了，李奶奶
528,该好好休息一次了
529,多喝水。
530,我大浙江！李奶奶国士无双
531,请注意身体
532,国士无双
533,应该给个国家勋章！
534,注意身体啊注意身体啊！
535,感谢李奶奶
536,保重身体
537,所以大家没事不要乱逛，就是我们该做的
538,千万别这样呀，自己好了才能保护更多的人呀
539,感动中国，国士无双！
540,国士无双
541,弱弱的问句，旁边的是郭德纲？
542,辛苦了辛苦了
543,奶奶辛苦了
544,绍兴人，不是苏州
545,感谢李奶奶
546,国士无双
547,北冰洋！義利
548,注意身体
549,国士无双
550,国士无双
551,真女神
552,诶，辛苦您了！
553,国士无双
554,李院士！辛苦了
555,谢谢您，您辛苦了！
556,谢谢您！
557,鼻夹没有捏，容易漏气
558,感谢你们！辛苦了！
559,您辛苦了！谢谢您！
560,辛苦了！
561,浙江的！绍兴人
562,国家脊梁
563,国士无双
564,这才是我辈楷模
565,国士无双
566,李奶奶保重身体啊！
567,国士无双！
568,李奶奶辛苦了
569,国士无双
570,辛苦了
571,辛苦了
572,辛苦了
573,辛苦了
574,辛苦了。注意休息。
575,黑眼圈……
576,李院士要保重身体啊
577,辛苦了
578,致敬！
579,国士无双
580,国士无双！
581,致敬
582,苏州老奶奶
583,国士无双
584,国士无双
585,辛苦啦，保重身体
586,李院年纪也很大 要陪养新一代公信力 面对未来
587,每个时代都有英雄，致敬
588,国士无双!
589,国士无双
590,"国人楷模,加油"
591,李奶奶辛苦了！医护人员都辛苦了！
592,国士无双！
593,辛苦了
594,辛苦了
595,英雄
596,老太太太可爱了，还不让说
597,国士无双
598,国士无双
599,注意身体啊
600,三个小时……要保护好自己啊
601,辛苦了
602,你们辛苦了！
603,国士无双
604,民族脊梁
605,辛苦李奶奶了
606,辛苦了！保重身体啊！
607,民族的脊梁
608,真是能力越大责任越大
609,三个小时的睡眠
610,最前线的奋斗者
611,国士无双
612,危重患者
613,国士无双
614,国士无双
615,共和国勋章走起
616,辛苦啦❤
617,保护好身体才能更好战斗!一定好好休息呀!
618,辛苦了
619,辛苦了
620,加油
621,国士无双！
622,有這樣的專家真好
623,辛苦了
624,民族脊梁
625,辛苦了
626,辛苦了
627,武汉加油，谢谢您和所有天使
628,辛苦了
629,保重身体
