,comments
0,辛苦了辛苦了
1,谢谢你们！
2,热干面加油！
3,我们很好，谢谢大家
4,武汉加油
5,加油
6,加油
7,武汉加油！
8,武汉加油！
9,武汉加油！
10,武汉加油！
11,武汉加油！
12,武汉加油！
13,武汉加油！
14,武汉加油！
15,加油加油加油
16,加油
17,热干面加油，胡辣汤为你打call
18,加油
19,保护好自己 加油
20,最美的人
21,中国加油！
22,加油
23,武汉加油！中国必胜！
24,武汉加油，中国加油
25,生活有你才热闹啊
26,煎饼果子为武汉加油
27,最近的日子艰难，辛苦了
28,杀猪菜为热干面加油
29,中国加油！
30,前面那个说不要重演的，这种没法预测的，只能祝愿祖国多难兴邦。
31,我们与武汉同在
32,中国加油！！武汉加油！！！！
33,太好哭了
34,加油
35,感谢你们，我爱你们
36,武汉加油，中国加油，我爱你们
37,人在荆州隔壁，武汉加油！
38,湖北加油！！！中国加油！！！
39,加油，挺住
40,加油
41,加油
42,武汉加油
43,加油！
44,加油加油
45,加油
46,我已经好几个月没出门了
47,我是湖北人，湖北加油
48,保重，最可爱的人们
49,武汉加油
50,武汉加油
51,武汉加油
52,加油
53,煎饼为热干面加油
54,等春暖花开，一起看樱花
55,我们爱你们
56,武汉人民加油
57,中国加油，可以挺过去的
58,热干面和樱花，加油
59,加油啊，一定要健健康康的
60,中国加油
61,武汉加油！！
62,谢谢你们
63,加油加油加油
64,中国加油
65,湖北加油！
66,驴肉火烧为湖北加油！！！
67,你们都是守护中国的战士。
68,武汉加油，中国必胜
69,不想说加油。 你们是最棒的
70,爱心
71,加油湖北，加油中国！！！
72,泪目
73,湖北加油！中国加油！
74,加油！
75,本视频禁止白嫖
76,湖北加油
77,加油！
78,热干面加油！
79,一来就泪奔
80,湖北加油
81,加油加油！
82,加油
83,致敬
84,湖北加油，武汉加油！
85,武汉加油！中国加油！
86,中国加油！武汉加油！
87,加油
88,加油！
89,不行了，开头就泪目了…有多少人留在了初春…
90,湖北仙桃人
91,湖北加油！
92,加油
93,武汉加油！
94,加油
95,加油加油加油
96,湖北加油
97,湖北加油
98,武汉人在这！
99,谢谢
100,吉林白山再为武汉加油
101,加油
102,还好，谢谢祖国
103,加油！
104,煎饼卷馓子为热干面加油
105,武汉加油！中国加油！
106,湖北加油
107,加油！！！！
108,中国加油！！！
109,加油
110,武汉加油，中国加油
111,rip
112,加油
113,"武汉身处水深火热,有些弹幕还关心视频来源"
114,每次看到一线抗疫人员就泪目了
115,武汉加油
116,武汉加油
117,吉林白山为武汉加油
118,襄阳加油！湖北加油！中国加油！
119,加油！会好起来的
120,武汉加油
121,湖北加油，把我们的英雄借给你们
122,湖北加油，感谢每一个为此付出的人们
123,我是湖北伢！湖北加油！
124,我是湖北伢！我为湖北加油！
125,辛苦了！
126,你们是英雄
127,加油
128,眼泪不争气，哎，，，
129,眼泪不挣钱
130,加油
131,武汉加油
132,一切都会好起来的
133,加油！
134,你们最棒
135,湖北相信你一定能挺过去
136,潜江火车站
137,土豆有我们大内蒙送去的！
138,加油
139,重庆小面为热干面加油
140,河北襄阳
141,笑了
142,武汉加油，祖国加油
143,烟台为武汉，湖北加油！！！
144,湖北加油 中国加油
145,平安
146,加油湖北
147,祖国加油！武汉加油！
148,菜苔!
149,大家一定要照顾好自己呀！！！
150,驴肉火烧为热干面加油！！！
151,武汉快快好起来
152,好心痛
153,武汉加油！中国加油！！！
154,烩面等热干面和其他的朋友平安回家！！
155,湖北加油
156,武汉加油！祖国加油！
