,comments
0,啊
1,123
2,今天3月2号已经床等人了
3,照片录音的那个，刚才专家有轻微晃动的，仔细看下
4,[+]
5,国家队可还行。。
6,还要等多久啊还在等啊
7,我发现我戴口罩的方式跟大佬不一样 慌了
8,[+]
9,我们想知道真相
10,你相信…
11,没卡...
12,强者发型？
13,论5G的必要性
14,主任发量
15,能听见就行
16,祖国加油
17,闭眼的。。。
18,卡了吗
19,到湖北省来
20,照片录音的那个根本没好好看吧
21,眼睛都不眨
22,*
23,+
24,啊？
25,动了
26,动了
27,辛苦了！武汉加油！
28,辛苦了！
29,拐点
30,试剂盒还是不够
31,？
32,这第二个问题都没有啊，四机壳还是不够
33,床呢？
34,说明是现场直播，不然不会有这种问题
35,上5G啊
36,这时视频连线？
37,。。。
38,武汉加油！！！！
39,热干面，加油
40,加油
41,动了动了
42,我也以为我卡了
43,只是卡了而已
44,动了动了
45,手动了
46,我看到他眨眼了
47,加油！
48,[ + ]
49,加油
50,不是照片，是网络卡顿
51,武汉加油
52,人刚开始都是动的
53,手动了。
54,手在动啊
55,条码发型，加油
56,早
57,卡了。。。。。
58,动了
59,说静止的 看看胳膊
60,[+]
61,哈哈哈
62,[ + ]
63,就是照片录音的
64,连线网络不好，反应慢
65,拉远景的…
66,这是个图片吧
67,［+］
68,武汉加油！
69,眼睛都没眨一下
70,武汉加油！中国加油！！
71,配音?
72,就是照片
73,中国加油！
74,你不说还好，一说我也觉得是照片配音，，
75,武汉加油
76,加油
77,对对对
78,啊
79,中国加油
80,好多人正在看呀嘀嘀嘀
81,武汉加油，中国加油
82,都静止
83,电话采访？
84,强者发型
85,最扎心的问题
86,加油中国，加油武汉！
87,武汉加油
88,武汉加油，中国加油
89,春天会来的，对吧？
90,加油啊！
91,武汉加油
92,确实
93,他在说话吗
94,本来我不觉得....现在我也看着像照片
95,都要做好自我防护
96,武汉加油，中国加油
97,加油
98,武汉加油  中国加油
99,？
100,加油
101,加油！！
102,国家队哈哈哈
103,武汉加油！中国加油！
104,武汉加油！中国加油！
105,加油
106,奋战到底，一战必胜
107,武汉加油
108,，，，
109,1分钟
110,武汉加油
111,来了！
112,加油呀加油呀
