,comments
0,权叔！排面！
1,18哭了
2,这回迟到不能跑着上学了
3,你没戴口罩
4,这个衣服好好看哈哈哈
5,啊啊啊啊啊啊朱广权
6,买的到吧
7,我们这里老是降温
8,对对对
9,用手机的角按按钮
10,20公里咋办
11,终于结束了
12,权
13,@钉钉
14,涨了好多粉啊
15,对同事负责！
16,酒精消毒
17,权哥儿
18,中国加油
19,淘宝口罩不是很多吗
20,哦，额
21,。
22,。
23,广权叔叔好久不见
24,见权进
25,好的
26,武汉加油，中国加油！
27,加油加油加油加油加油加油加油加油加油
28,好的好的好的
29,好
30,skr~skr~
31,我主页上所有推荐的视频居然都是黑白色的诡异
32,权
33,买倒是买得到就是贵
34,你咋没带妮@权叔
35,京东可以买了
36,周末宅家里，口罩已备全
37,口罩已备全，周末宅家里
38,24楼哭了
39,口罩药店可以预约，没有可以自制
40,。
41,记得多戴口罩！保护好自己
42,宿管在此
43,宿管在此
44,谁说三月的，这都四月了我都没开学
45,@loveplane
46,太喜欢这一身了怎么办！口罩戴起来！
47,这电梯墙真好看
48,你们的宿舍都好严格
49,要戴口罩儿
50,宿管表示：门口吃完再进来
51,权权权权权权权权权权权权权权权权权权
52,见权进
53,见权进
54,见权进
55,阜阳的真多
56,阜阳
57,押韵
58,押韵宣传
59,突然押韵
60,见权进
61,帅成权
62,我年级今天集中网上开级会
63,我们这里口罩网上预约然后去药店买
64,钉钉警告
65,高中可以啊
66,广权叔有点憔悴..
67,他要不消毒怎么办
68,只有单位发的少数口罩，外面没有呀。
69,酒精拼多多上有
70,买不到
71,买不到啊
72,辛苦了
73,哈哈哈哈哈前面那个自己打手语的 xswl
74,见权进！！！
75,为广权而来
76,阜阳
77,双押
78,他来了
79,买不到口罩了
80,买不到口罩
81,钉钉
82,一帮子学生凑什么热闹，开学时间不是推迟到3月了吗
83,先洗sou哈哈哈哈你也有嘴瓢的时候
84,洗sou哈哈哈哈哈哈哈
85,你怎么没带
86,口罩哪里来
87,买不到口罩啊
88,刷着广权各种视频不知不觉一个小时过去了。
89,能上班就好了，要恰饭啊
90,不出门省口罩哈哈哈
91,还是没有买口罩的途径
92,没口罩咋弄
93,我们背对背吃饭
94,特别喜欢开会的单位怎么办
95,我骑25公里啊？？
96,哪有那么多口罩
97,这脸好小
98,首先要等口罩厂复工，然后通物流
99,戴口罩骑车很闷的
100,该来的总会来
101,为啥没有押韵
102,不吃的那个！！带我一个！！
103,好的，视频上课
104,你的能买到口罩
105,1
106,我步行，得三天
107,买不到口罩
108,权叔！！
109,口罩“儿”
110,录视频要戴口罩
111,我用钥匙尖按电梯
112,老大
113,skr
114,食堂吃饭怎么办
115,武汉加油！中国加油！武汉加油！中国加油！武汉加油！中国加油！
116,不嫌烦，首先得让我们能买到口罩！
117,买不到
118,上学呢
119,建议您憋气
120,大阜阳！！！
121,买不到口罩怎么解？
122,买不到怎么办
123,买不到
124,买不到
125,12楼我也不坐电梯了
126,网上买了酒精也不知道什么时候才能送到
127,口罩买不到了呀
128,谢谢广权
129,喜欢广权
130,暖暖的广权
131,爱权!
132,问题是买不到口罩啊
133,大家都想带口罩 可是真心无奈啊 没有口罩了啊 求解
134,没口罩让单位发
135,买不到口罩怎么出门上班和上学啊
136,食堂吃饭怎么办
137,买不到啊~~~
138,手比脸白
139,网课
140,鼻子好大
141,他来了
142,背对背吃饭
143,11楼。。。
144,我怀疑体温计有毛病，今天测我34
145,跨市上班唉
146,骑共享单车要带一次性手套
147,loveplane！
148,步行。。。
149,权哥 你没戴口罩
150,我以为他要自己打手语了
151,我们食堂现在只能打包了
152,见封进
153,买不到啊
154,没那么多口罩怎么办？
155,口罩用完了
156,红外线这个是干啥的。
157,上课该怎么办
158,真的买不到口罩啊！！！！！！！！！
159,这快递到什么时候才能送到
160,买不到口罩
161,上学呢？
162,话说您为啥不戴口罩（手动滑稽）
163,买不到口罩
164,小区不允许租户返回啊
165,人员流通根本防不住，最好还是继续隔离
166,卖光了
167,买不到
168,你也得带啊啊啊
169,步行上班我怕走到公司都下班了
170,牙签带一盒按按钮
171,真的买不到口罩
172,广权帅
173,买不到口罩了
174,233
175,哈哈
176,买不到阿
177,大连的别走！！
178,买不到
179,没有口罩
180,买不到口罩啊
181,买不到口罩，也没有口罩
182,那么口罩哪里买?
183,阜阳！！！
184,昌航，laolao
185,我们单位建议吃饭带回宿舍或者办公室，尽量别在食堂聚集吃饭
186,win7
187,买不到怎么办
188,口罩买不到啊
189,权哥真帅！
190,太贵了！
191,二十公里，，，步行，，，这怕是等我到了就下班了
192,为权叔增加弹幕
193,啥都买不到哦
194,可以
195,不上班了
196,没食堂怎么办
197,我决定中午不吃了
198,49层。。
199,买不到
200,买不到
201,权哥i你
202,没口罩，买不到
203,宿管:你敢带回来！？
204,买不到口罩
205,用手肘按按钮
206,啊哈重庆的，大连也没单车
207,为什么我们是对着脑门儿
208,你好热呀
209,权叔
210,84都买不到了
211,大家加油！
212,辛苦啦！！
213,说的真轻松
214,买不到可杂整
215,那上学那
216,那上学那
217,大家注意安全！
218,买不到
219,课堂上全程佩戴口罩?
220,买不到啊
221,自带计数君
222,买不到口罩
223,买不到
224,戴口罩能防病毒但是全世界都买不到口罩最后依然是要上班
225,移步换景式录像，让我想起青年大学习
226,24小时都买不到
227,没口罩，买不到
228,买不到啊啊啊
