,comments
0,我是来找素材的
1,身为中国人是我这辈子唯一拿得出手的骄傲
2,因为陆军只有直升机，空军的医生没陆军多
3,牛肉干为热干面加油
4,武汉必胜！
5,临汾给武汉加油！
6,牛肉丸子面给武汉热干面加油！
7,武汉加油！
8,武汉加油
9,武汉加油
10,青团为武汉加油
11,麻糍为热干面加油
12,酿豆腐给热干面加油
13,竹升面为热干面加油
14,竹升面为热干面加油
15,时间20.20 04 04日
16,一定会好起来的！
17,架子肉为热干面加油！！
18,云吞给武汉加油
19,加油！加油！
20,周黑鸭:热干面加油
21,佛跳墙给热干面加油
22,灌汤小笼包给热干面加油
23,过桥米线给热干面加油
24,大连海蛎子给武汉热干面加油
25,武汉加油
26,武汉加油
27,陕西羊肉泡馍给热干面加油
28,陕西羊肉泡馍给热干面加油
29,陕西羊肉泡馍给热干面加油
30,加油
31,加油
32,       我给你们
33,土笋冻为武汉加油
34,武汉加油
35,加油
36,加油
37,加油
38,武汉加油
39,这就是我的国家
40,凉面给我武汉加油
41,冷吃兔给武汉加油
42,武汉加油！
43,你是我向往的英雄城啊，你怎么能倒下
44,中国必胜！！！
45,加油加油
46,今天b站怎么回事?
47,武汉加油！
48,世界格局已经开始重新洗牌，东方必定重新崛起
49,春天了 武汉回来了
50,螺蛳粉为热干面加油
51,我们赢了
52,海南粉给武汉加油
53,驴火给热干面加油！
54,Come on china! 
55,坚持住。
56,宫保鸡丁为武汉加油
57,老友粉给热干面加油
58,粤西簸箕炊为热干面加油!
59,朝天锅给热干面加油！
60,朝天锅给热干面加油！
61,中国加油
62,石家庄为武汉加油
63,驴肉火烧为热干面加油
64,哈哈
65,武汉加油！
66,武汉加油。
67,猪脚粉给热干面加油
68,桂林米粉给热干面加油
69,泱泱大国岂能被这虫子打倒
70,武汉加油！！！！！！！！！！！！加油！！！没有什么撑不过去
71,老友粉为热干面加油
72,定位广西南宁，为武汉加油
73,武汉加油！！！！
74,武汉加油！！！！！！
75,愿中国不会再有疾病
76,加油！
77,火腿酥饼给热干面加油！
78,广东早茶为热干面加油
79,武汉加油，中国加油
80,中国加油！武汉加油！
81,蓝色迷彩服是中将
82,武汉加油！
83,谢谢你们为武汉拼过命
84,中国红有你们更加灿烂
85,致敬最美逆行者
86,武汉加油中国加油
87,武汉加油中国加油
88,武汉加油中国加油
89,武汉加油中国加油
90,武汉加油
91,武汉加油中国加油
92,武汉加油中国加油
93,幸而有你，最美逆行者
94,武汉加油中国加油
95,武汉加油
96,武汉加油，中国加油
97,武汉加油
98,加油武汉
99,湖南倒缸酒为热干面加油
100,烩面为热干面加油
101,锅包肉给热干面加油
102,武汉加油
103,武汉加油
104,螺蛳粉为热干面加油
105,感谢翻译君！
106,加油
107,感谢翻译君
108,武汉加油，中国加油。
109,武汉加油，中国加油。期待春暖花开，我们再聚武汉！
110,加油
111,加油啊
112,陕西油泼面为r
113,热干面，加油
114,肠粉为热干面加油！
115,中国加油
116,中国加油  自强不息！
117,武汉加油
118,猪肉大烩菜为热干面加油。
119,广西老表给武汉加油！
120,春暖花开，武汉归来
121,春暖花开，武汉归来
122,沙县拌面给武汉加油
123,宫保鸡丁为热干面加油！
124,油条为热干面加油
125,武汉加油！
126,武汉加油
127,螺蛳粉给热干面加油！
128,红字你好会，泪目，武汉加油！
129,胡辣汤给热干面加油！
130,卤面为武汉加油！
131,油馍给武汉加油
132,油膜给热干面加油
133,武汉加油
134,今天是家国
135,加油
136,肠粉为热干面加油！！！
137,武汉加油
138,4月了武汉好了
139,来了，神秘组织
140,武汉加油
141,感谢红色弹幕
142,唐山麻糖给热干面加油
143,手把肉给热干面加油!!!
144,武汉加油
145,武汉加油
146,驴肉火烧给热干面加油
147,加油!!!
148,武汉加油
149,武汉加油
150,加油
151,中国加油
152,武汉加油
153,武汉加油
154,加油
155,哈哈哈好亲切
156,武汉加油，中国必胜！
157,武汉加油!!!
158,武汉加油!!!
159,武汉加油!!!
160,加油，武汉
161,武汉加油
162,加油！
163,加油
164,以后一定要去一趟武汉！
165,加油！
166,武汉加油武汉加油武汉加油武汉加油武汉加油武汉加油武汉加油武汉加油武汉加油武汉加油
167,边疆烤串为热干面加油！
168,武汉加油！中国必胜！
169,赣南脐橙给热干面加油
170,赣南脐橙给热干面加油
171,感谢红字
172,串串香为热干面加油
173,加油！加油！
174,广东肠粉给热干面加油
175,武汉加油
176,加油啊挺住！！
177,锅包肉给热干面加油
178,加油加油 会好起来的啊！
179,兰州拉面给热干面加油
180,亲子丼为热干面加油
181,味千拉面为武汉热干面加油。
182,小鸡馒头为热干面加油。
183,粽子为热干面加油！
184,葱油饼为热干面加油！
185,肠粉给热干面加油
186,泡面加油
187,表白红字弹幕
188,中国加油！武汉加油！
189,串串香为热干面加油！！！
190,火锅为热干面加油！！
191,武汉加油
192,前方高能预警
193,武汉加油
194,加油
195,武汉加油，中国加油
196,武汉加油
197,炝锅面给热干面加油
198,牛肉面给热干面加油！！！
199,歌词字幕施工完毕，武汉加油，中国加油！！！！
200,and fight the power 比拼力量
201,to take charge 迎战敌军
202,time has come for us 是时候了
203,never waive 永不放弃
204,and their cause 以及他们为何而战
205,or the daring 之敌
206,heros foes 勇猛
207,never fearing 永不畏惧
208,all the suffering 所有苦难
209,we will raise our swords from the ground 拔起插于此地的剑
210,and their cause 以及他们为何而战
211,or the daring 之敌
212,heros foes 勇猛
213,never fearing 永不畏惧
214,all the suffering 所有苦难
215,and we will fight the war to end 血战至战争结束
216,we will hold our ground not back down 我们将誓守此地 绝不退却
217,we will hold our ground not back down 我们将誓守此地 绝不退却
218,standing still as they charge 坚守此处 因敌已冲锋
219,and fight the power 比拼力量
220,to take charge 迎战敌军
221,time has come for us 是时候了
222,never waive 永不放弃
223,to the gods we pray 我们向神祷告
224,and their cause 以及他们为何而战
225,or the daring 之敌
226,heros foes 强大
227,never fearing 永不害怕
228,all the suffering 所有苦难
229,and we will fight the war to end 血战至战争结束
230,we will raise our swords from the ground 拔起插于此地的剑
231,we will hold our ground not back down 我们将誓守此地 绝不退却
232,standing still as they charge 坚守此处 因敌已冲锋
233,加油
234,火锅为热干面加油
235,没有一个冬天不能逾越，春天将要来临
236,武汉加油
237,武汉加油，中国必胜！
238,等疫情好了，去武汉赏最美的樱花！
239,武汉加油！一定要挺住！你们是英雄！
240,全国人民都与你们一起
241,中国速度！
242,中国加油！武汉加油！黄冈挺住！
243,奇迹中国加油！
244,中国加油！
245,武汉加油
246,肥肠粉给热干面加油
247,串串香给热干面加油
248,烫干丝为热干面加油
249,山东煎饼给热干面加油！
250,贡面给热干面加油
251,大武汉在全力抗击疫情。震撼！！！
252,武汉加油，湖北加油
253,广东煲仔饭给热干面加油～～～～～
254,驴肉火烧给热干面加油
255,在老家的我在这看看武汉
256,再老家现在回不了家的我在这看看武汉
257,江苏人民给武汉加油
258,这个视角牛皮
259,牛肉为热干面加油
260,生煎包为热干面加油
261,烩面为武汉热干面加油~~~~~~~
262,速食面为武汉加油
263,小笼包给热干面加油
264,湖南米粉给热干面加油
265,烩面给武汉加油
266,臭豆腐为热干面加油！
267,新余麻花给热干面加油
268,臭豆腐为热干面加油
269,每天一听见这广播就知道要吃中饭了
270,隔离隔离隔离
271,奥利给奥利给，武汉加油
272,茶干为热干面加油
273,热干面感谢大家
274,热干面感谢大家
275,热干面感谢大家
276,我看到这个直升机了！在我家楼上飞过，我在武汉！
277,我一直生活在武汉，给我好起来！
278,肠旺面给热干面加油！这次战疫！我们一起！
279,三河绿之源公交为武汉公交加油！
280,厦门航空耶
281,欢迎回家
282,基本每天都能听到直升机
283,想念拥挤人潮的武汉
284,仙都酱板鸭为热干面加油
285,四季面条为热干面加油！
286,为啥空军飞机下来的战士穿的是陆军迷彩啊
287,各方加油
288,长沙带迅干给武汉热干面加油
289,看到我家了
290,我家附近
291,眼镜进陨石
292,黄色闪电
293,山东大葱为武汉热干面加油！
294,爱你们
295,煎饼为武汉加油
296,煲仔饭为热干面加油！！
297,强大的祖国
298,申港百叶为热干面加油
299,在家闲着也是为国家做贡献
300,伟大的中国人民一定会战胜任何困难
301,南昌拌粉为热干面有家！
302,还是邮政给力
303,大连蚬子给武汉加油
304,手剥山核桃为武汉加油
305,小炒黄牛肉为武汉加油
306,麻辣烫为热干面加油
307,广东早茶为热干面加油
308,河南烩面为武汉热干面加油
309,梅州腌面为武汉加油！！！
310,武汉加油!!!
311,真的是奋战
312,厦航！！！！福建为武汉加油！
313,真的泪目
314,中国无敌，武汉加油。
315,噗噗林酱为武汉加油
316,加油，挺住。
317,我心里有底了
318,烤冷面给热干面加油!
319,黑龙江为武汉加油!
320,专业技术等级达到三级就可以变成两叶一花
321,各方加油
322,每个人都在奋斗着，支持着
323,叉烧包为热干面加油
324,煎饼果子为热干面鼓劲助威！
325,肥宅和你一起抗击病毒
326,冒菜为热干面加油
327,利物浦哎
328,海南粉为热干面加油
329,潍坊肉火烧给热干面加油！
330,河南烩面给武汉热干面加油
331,山西刀削面为武汉加油
332,淮南牛肉汤为热干面加油
333,让我们一起温暖这座城市！加油中国，加油武汉！
334,欢迎回家！
335,没有什么困难能打倒伟大的中华民族的
336,福州太平面给武汉加油
337,加油吖！！！！！！！！
338,下一站，武汉！
339,广东烧鹅为武汉加油
340,四川锅盔给热干面加油
341,老干妈为热干面加油
342,戴口到哦
343,真的很震撼！
344,柳州螺蛳粉给热干面加油
345,武汉挺住
346,银耳给武汉加油
347,油条加油
348,协和医院加油，武汉加油
349,协和医院，中山公园。
