,comments
0,你用电，我用心。
1,红外测温是有误差的  还不小，全看各个厂家调节
2,疫区医院供电不能靠AI，断了就是大事故
3,每年给你们增加分红！辛苦了
4,加工资！加
5,加工资！
6,一大堆闲职电力部门！
7,电力部门有几个高学历？
8,我们这里电力部门个个都是土豪！
9,电力部门我去装修过，都是有钱的主
10,当网红？
11,我说你们都想当网红吗，工资还不够高？
12,我们国家能这么隔离，这些基础设施人员功不可没好吧
13,电，第一大能源
14,专业
15,哈哈，这只是城里的低压，城外还有高压呢。
16,床垫都不是统一的，真的惨，大家辛苦了
17,电厂没关系能进去吗
18,火力发电厂来了
19,十四中
20,又心疼又想笑
21,37.1正常？
22,AI目前只能代替一些服务类的，这种技术性工作暂时替代不了
23,告警
24,工作就是，一开始的激动过后总会变得枯燥的 
25,电网的待遇很好，其实份内工作做好就很不简单了
26,憔悴了
27,37.1怎么就正常了？我在家门口测体温37度都不会让我出门的
28,6666
29,好高级
30,大部分工作都很枯燥＋1
31,低烧是36。
32,加油！
33,电信通讯保障部也是这样的
34,大开大合！
35,之所以生活美好，是因为有人在背后为你负重前行
36,电气专业前来报到
37,辛苦了
38,辛苦了！
39,来了
40,唯58
41,逝者安息
42,我也想学这个专业
43,和我们的设备差不多
44,太不容易了
45,加油
46,伟大
47,辛苦了
48,辛苦了
49,加油
50,总有人在为我们负重前行
51,一眼看成马赛克
52,加油
53,辛苦了
54,敬礼
55,而我们再防疫一线卡点，执勤一个多月没任何保障。
56,辛苦了，加油
57,人力发电 hhhhhhh
58,过流，速断跳闸
59,电力工作者前来点赞！
60,医院吸氧机呼吸机ICU监测都是电力供应的，突然医院停电后果不堪设想
61,球场街天桥旁边，我楼下。
62,重大电气报道
63,这帮人至少都是电气强校的硕博，非常厉害
64,眼镜上的哈气~
65,国家电网啊
66,武汉电力设计人员前来点赞
67,环网柜
68,运检的是最累的
69,球场街，国网新大楼，每个月都得去一两次。
70,作为调度员科普一下，正常调度员培训要两年左右才有资格下令，正值的调度要甚至需要五年
71,别的网调过来不行啊，网络不熟悉，设备不熟悉
72,这类人对国家社会的贡献是不可估量的
73,这好像是十四中门口欸
74,所以现在要做智能电网和能源路由器啊
75,那多培养些呀
76,单母线分段
77,辛苦了
78,幕后英雄不枯燥！
79,不去发电厂看看？
80,电气工程及其自动化的集合！
81,辛苦了！
82,加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油
83,战场前线啊
84,万家灯火 南网情深
85,哪有那么多有意思的工作啊，大部分工作都很枯燥
86,像我这么厉害的还有57个
87,刚才的大部分为主调
88,别急着发视频，多休息
89,快到临界了
90,小心点
91,叔注意安全
92,来了
93,辛苦了
94,武汉加油！竖注意安全！
95,基本是一本电力大学的
96,我们也是国电南瑞的表，都是些大佬
97,以前都是军事化管理
98,那叫发热
99,哥，眼镜起雾了
100,58同城
101,辛苦了辛苦了
102,加油
103,辛苦了
104,可能得等到4月份。有转好
105,致敬！
106,说话起雾
107,一次系统图哈哈
108,休想打败我的生活
109,都瘦了
110,这是真技术工种了
111,电力不足生产减缓
112,武汉加油
113,电力专业！！！要努力成为你们的一员！！
114,河北电力报个道……在地调里帮过忙表示画面熟悉
115,向所有电力工人致敬!!!!!!!!!!!!!!!!
116,箱变
117,国家电网是刚
118,英雄
119,潮流计算
120,看口罩的带子，他应该是戴了两个口罩
121,这个结系到头顶哈哈哈
122,不是改的应该是本来就有
123,说真的，停电十秒都会觉得出大事了
124,配网是，高压不是。高压处理更麻烦
125,调度不一定是最累的，但一定是技术水平最高的。
126,才58个
127,你们辛苦啦
128,供水调度路过
129,冀北承德县电力前来加油
130,.+
131,其实有很多是ai的不可控因素存在
132,干这工作10年以上的，基本都有颈椎或腰椎病
133,调度是三班倒的。24小时不能停
134,这工作很枯燥，我也是干调度的。看着这屏幕只要正常就满足
135,备勤 但是有一说一 电
136,小哥哥好看
137,武高所前两年并入南瑞了
138,辛苦了，一站人员！包括您！
139,我明早上班也要把党徽戴上
140,为国家电网打call！！！
141,护目镜起雾，这口罩没密封好啊
142,咦居然年轻了
143,家工资才行
144,我爸妈都是
145,经研院来了
146,对还在一线为防疫贡献自己，发光发热的所有人致以最高的敬意
147,电力！！
148,这发际线....辛苦了
149,武汉之宝，简称汉宝
150,要哭了
151,我想入党
152,英雄，中国的英雄！！
153,看起来真的很辛苦
154,身为中国人骄傲
155,中国真的强
156,谢谢你们，辛苦啦！
157,我也会
158,其实我也会操作，不过我在南方电网
159,党 徽 加 分
160,看得见吗
161,肯定已经有AI了，但是也必须有人
162,湖北省调的给你们打call
163,以后是不是可以用人工智能替代这些岗位
164,张叔叔加油呀
165,中国的电力保障真的强
166,护目镜啊
167,我家对面诶
168,辛苦了，叔
169,说实话集中管理好多了，我感觉我们这种每天通勤2h的更难受
170,给国家电网打call
171,大部分工作都会沦为重复
172,我怎么才36
173,那挣钱哈
174,电力家属说一句，我家那位从过年一直都不在家，就去保电了
175,调度是老大呀
176,我们单位也是党员排上一线
177,眼镜+hu mu j
178,每个人也不同吧
179,老徐？？
180,党徽
181,37.1????
182,叔有故事。
183,北京给武汉同事打call！加油！
184,这，
185,党徽
186,调度需要硕士？浪费啊，ai也可以
187,医院一般自有发电机，起码可以保证生命维持仪器正常运行
188,叔是不是太累了啊，照顾好自己呀
189,离远点，小心飞沫传播
190,天呐
191,37.3开始算发烧。
192,致敬啊
193,我就是干检修的
194,华电漯河电厂报道
195,大学学的东西可以秃头的
196,人民电业为人民
197,峻老弟
198,哈哈哈哈叔你咋这样呢
199,37.3才低烧
200,我天
201,？
202,我在肿瘤医院陪床，37，1被赶回家
203,要健康阿
204,叔瘦了……
205,三星英雄
206,有些村走地线还得挖开
207,都是硕士起步
208,党员加油，党员先上！
209,ai调度，出事故算谁的，跟ai驾驶一样，撞人了算谁的
210,操作简单，但是知识专业，出问题专业了才能解决，不然看看武汉
211,叔，加油。
212,害怕
213,6班3倒
214,叔带的蓝色丁晴手套不行 换成乳胶的吧
215,正常体温是37.3以下
216,14中！我的母校！55555
217,这个是觉悟，
218,朴实无华
219,调度还是需要高水平的
220,叔～
221,换AI呢？
222,电力人永远站在一线！武汉加油！祖国加油！
223,这个测的也不是很准
224,来啦叔
225,磁能反应炉？
226,这个只是一部分。。。很小的一部分
227,这个主接线感觉见得有点少
228,有的是当兵或者考进去的
229,一侧高压一侧低压
230,走地线的
231,变压箱
232,头发都涂了。
233,变电站
234,辛苦了辛苦了
235,明明没瘦
236,叔都憔悴了
237,加油加油
238,暂停看报文
239,37.2算发烧
240,37.1
241,d5000
242,我们这边调度也是被集中管理啦
243,58名，好少的数字
244,这难道不是我大十四中？
245,武汉市调至少系统专业985硕士
246,叔，瘦了
247,瘦了
248,加油加油！真的辛苦了！
249,粉丝怎么都不涨☹️
250,国网的同事加油，我是隔壁南网的
251,叔你去哪啦
252,你能看见我？
253,叔好辛苦
254,叔！！
255,还有我们变电运检啊
256,我也是电网的，我在电科院，加油。
257,不是所有人都可以待在家里
258,饼叔棒棒棒！
259,叔都瘦了！
260,现在医院单位都是必备UPS的
261,35.6的你正常吗
262,党徽
263,不同位置标准不一样
264,帅
265,正常温度36-37，37.1要看情况，如果刚运动什么的高一点问题不大的
266,辛苦了向你们致敬！
267,向武汉大调度致敬 ！！！我也是调度，要上夜班真的很辛苦
268,不可替代？厂家程序上位机控制逻辑全程撸过来比调度可熟悉多了
269,这能看见吗？？？？
270,你瘦了
271,自动值守啊
272,你就差0.2就被隔离了
273,调度的这群人，开会的时候就趾高气昂的，现在看开果然有道理。
274,调度很辛苦的
275,这是出汗气化了，就算是糊也不能擦
276,医院很多设备关系患者生命，停上几分钟可能人就没了
277,同款红马甲。
278,国网河北电力前来加油
279,在电力系统工作的都很辛苦，无论是现场的还是调度的
280,wu武汉加油武汉
281,幕后英雄！
282,武汉加油，湖北加油，胜利属于我们
283,运维班比调度忙多了！！！！！！！
284,还有发电的
285,华电电气报到
286,电力局最吃香
287,叔终于来了
288,平均每个人每天会发现100多条预警，算轮班就更多了，还是一刻不停的盯着，太累了
289,我妈妈就是变电站的设计师，虽然不起眼但真的很重要
290,华电学子前来报到！
291,辛苦了，致敬，谢谢你们的付出
292,没有下雪吗
293,党员在先，致敬
294,很好，加油
295,终于更了
296,叔这个身型体温在37度算正常了
297,腋下的和平均体温不同的
298,调富帅还是辛苦
299,致敬！辛苦了
300,都一样，没休息过
301,向前辈们致敬
302,来辽来辽
303,电气的来实习啦
304,加油加油
305,这口罩戴的不行啊
306,口罩白带
307,这护目镜要看不见路了要
308,致敬，谢谢你们！
309,市调而已，没有谁是不可替代的
310,厉害
311,注意安全哈
312,注意安全(ღ˘⌣˘ღ)
313,他是星际玩家
314,好强
315,哈喽哈喽哈喽
316,3m 6112护目镜
317,辛苦了师父们！！！！！
318,徐老师是你吗
319,感觉这护目镜对近视人员太不友好了
320,同期线损表情异常欣慰
321,辛苦了，向你们致敬！
322,可以啊
323,重要电力用户
324,医院一般都是4电源
325,方丈！
326,眼睛都红了，注意身体啊
327,你们是背后支持，也一样可以发光发热，
328,同电力调度员默默观看
329,前辈们好！
