,comments
0,加工资
1,想啥呢，还编制。。。
2,大开大合
3,？
4,他说的是工资。。年底奖金六七万起步，十万不等
5,好强
6,武汉话，亲切
7,社区工作者不一定有编制的
8,我要哭了
9,投币投币
10,工勤人员
11,饼叔，你眼睛咋成一条缝了
12,加油！！
13,宝玉行为
14,我们女同志们真的了不起
15,病倒了先考虑别人。。
16,好感动
17,感动
18,？
19,湖北是五奖年底发
20,街道办才是事业编
21,致敬！
22,辛苦了
23,太少了
24,泪目，多好的人民啊
25,合同工
26,社区不是公务员
27,加油 武汉加油
28,这不就是万家宴那个小区吗
29,逝者安息
30,？？？
31,了不起
32,辛苦了
33,我哭了
34,加油加油加油加油加油加油加油加油加油加油
35,你们知道吗他们没编制工资低但是活都是他们干的
36,火速入党！
37,加油加油
38,前面的，妈妈真棒！
39,这个姐姐太棒了
40,加油加油加油加油加油
41,泪目
42,有编制的退休金比你们高一倍以上
43,致敬社区工作者！
44,致敬社区工作者！
45,致敬社区工作者！
46,致敬社区工作者！
47,致敬社区工作者！
48,致敬社区工作者！
49,致敬社区工作者！
50,致敬社区工作者！
51,他们的工作很辛苦的，每天都要巡逻，有纠纷就得调解
52,辛苦了
53,泪目
54,真的是贡献
55,辛苦了
56,辛苦了
57,叔真的暖心
58,叔
59,叔您要是被绑架了就睁开眼睛
60,加油
61,理解万岁
62,小姐姐，加油加油加油
63,看着我有你们没有我戴着别扭
64,够男人
65,哈哈哈哈哈
66,你遮不住自己的脸
67,帅
68,辛苦了
69,加油
70,辛苦了
71,转正！
72,给她入！
73,大叔这是戴了一个塑料袋吗
74,国家栋梁
75,姐姐你真好看
76,借
77,辛苦了
78,谢谢你们
79,乡贤治理的典范
80,辛苦了!致敬!
81,天使保重啊！
82,凭什么一群明星唱唱跳跳都能十几万，而真真正正为人民服务的才2000！
83,这过分少了吧！
84,网格员都是聘用的，工资真的不高
85,好像外星人
86,辛苦了
87,注意安全
88,理解万岁
89,虽然很少吧，但是作为一个学生1个月不能老宅在家，好想也做这个，自己赚点外快，还可以帮忙
90,武汉加油
91,叔又有名额了 给他给他
92,向社区工作者致敬
93,这个眼睛哈哈哈哈哈
94,伟大
95,这是购买岗
96,武汉加油！
97,帅
98,辛苦了，叔
99,太感动了
100,中国加油！武汉加油！
101,加油
102,社工没有编制的，不是公务员也不是事业编，只是合同工
103,他们有补贴，很多
104,哎，好乐观！
105,前面专业社工学生+1，多点重视和体谅
106,？
107,这个小姐姐好像女胖胖
108,好像四川话
109,安排
110,梦幻联动
111,哈哈哈哈哈哈哈哈
112,帅
113,帅
114,帅
115,叔 眼睛呢
116,是他是他就是他，我们的小哪吒
117,加油
118,中国加油
119,默哀，感谢那些为了我们的国家和人民而献出生命的白衣烈士
120,让我们低头啊，默哀吧！
121,看到我家了
122,我就住百步亭！
123,感动！可爱的人！
124,中国加油，武汉加油
125,武汉加油！
126,大家都要平安！！！
127,理解万岁
128,辛苦了
129,辛苦了
130,冯小刚？
131,辛苦了
132,武汉加油
133,不刚想
134,2k够啥啊
135,对不起 但是这也太难看了哈哈哈哈哈哈
136,？？？？凭什么
137,哈哈哈哈哈哈
138,眼睛没了
139,天使
140,感谢
141,叔，你的眼睛呢
142,感谢！加油！
143,武汉收入就这样
144,这问得好真实
145,真实
146,为什么有红雷的感觉
147,社工！
148,伟大的社工！
149,很真实 我姑姑就是这样的居委会一员
150,忍不住了，哈哈哈哈哈哈哈哈(ಡωಡ)hiahiahia
151,最是那一回眸的风采
152,前方高能
153,用爱发电啊。。
154,你不干别人干他说的是真事
155,这个币投了
156,坐标江苏社区同两千
157,我姐姐也是，都很辛苦
158,太少了吧
159,这不是公务员啊顶多事业编
160,各位 绝大部分都不是体制内的 社聘工资很低
161,就在我学校旁边
162,n95对自己好 对别人不好
163,传说中的百步亭
164,在强国刷到这一段了  叔的声音一下就听出来了 力挺叔
165,是黄陂区的爷爷啊
166,叔居然在百步亭
167,这种时候还想着别人，泪目！！！
168,哈哈哈哈
169,真的好辛苦
170,加油
171,一线一般都是工资少的，没什么技术含量，但是服务性强。工资高了也容易被人钻空子
172,感觉居委会比物业更贴切居民生活
173,专业社工学生真的希望通过这次事件社工这个职业被重视
174,！情商真高！
175,您看得见路吗？
176,谢谢你！！！离你最近的一次叔！我就在百步亭片区！
177,热泪盈眶
178,叔还上了央视
179,加油
180,加油！！
181,加油
182,加油
183,我觉得现在这个阶段应该给这些一线人员发奖金
184,他会做嘛
185,姐姐你的思路好无私
186,nia。。。您的意思。。
187,心疼姐姐
188,不好意思，我没哭，只是眼睛里进砖头了
189,社区工作的既不是公务员也不是事业编 就是普通合同工
190,百步亭，我最喜欢的地方啊啊啊啊啊啊啊啊啊啊啊啊
191,有点心酸
192,111
193,应该给社区工作者加工资才对吧，医疗人员也一样的
194,这种时候工作的社区工作人员和医疗工作者，我觉得应该提高工资才对吧
195,和混口饭吃不一样的
196,不管叔是戴着还是摘了总会有人说 
197,社区的不是公务员
198,辛苦了
199,食贫道？！！？
200,必胜
201,加油
202,加油
203,姐姐加油
204,叔的问题又犀利又有人文关怀，不亏是专业记者
205,前面口罩的，请看第一集！
206,叔注意安全！武汉加油！
207,加油
208,加油
209,加油
210,哦
211,人民万岁\(≧▽≦)/
212,你是
213,你办成icu医生了
214,太可爱了
215,这阿姨戴的口罩很危险
216,社区工作者不算编制啊啊啊！谢谢你们
217,这么多人啊
218,发补助
219,没有啊
220,你可不能倒下
221,慎重
222,安排一下
223,安排
224,叔？
225,病倒了第一反应是不传染家人，这个大姐太好了吧
226,武汉加油！！！
227,理解万岁！！！共度难关！
228,好
229,姐姐好帅气
230,加油加油
231,对，不会病倒
232,就我一个人注意到另一栋房子吗？？？
233,社区居委啊
234,话疗
235,哈哈哈哈哈哈哈
236,社区很多都是没有编制的，真是在拼命
237,这就在我家后面
238,保护好自己！
239,辛苦了！
240,有点少了
241,哈哈哈哈哈哈哈
242,叔，原谅我不厚道的笑了
243,在武汉确实很低了啊
244,赞
245,我也在社区工作，太难了
246,这是医生？
247,眼睛呢
248,辛苦了
249,打问号干嘛，就是这么多啊
250,加油！
251,真的应该提高社区工作人员的待遇，也提高从业者素质
252,他们没有编制的
253,叔真的值得敬佩
254,这个姐姐口罩戴反了
255,这可是武汉。。。2k也太少了
256,辛苦了
257,这是武汉呐！
258,我大表姐就是社区工作者，单洞路社区的
259,转正！转正！给她转！
260,人民对生活美好的向往，就是我们的目标。
261,泪目
262,泪目啊
263,这种社区工作人员本来工资就不高，不要疑惑
264,加油
265,哈哈哈哈眼睛呢
266,荣誉在，但是钱也得给到啊！
267,灵魂拷问
268,三洋站吧
269,够干啥
270,？？？？？？？？？？？？
271,而且社区工作人员全国大概都是2000多
272,刷啥问号啊，蛀虫有，但是这种为人民服务的人真的很多
273,致敬
274,央视东方时空来的
275,社区太难了
276,叔叔保重
277,有的时候，很多岗位真的是靠信仰
278,社区没有编制 哦
279,理解万岁！
280,哈哈哈哈哈
281,叔怎么眼睛睁不开了哈哈哈
282,加油！！！
283,一键三连给小姐姐，加油！
284,那你还是带上护目镜
285,丑了
286,辛苦了
287,食贫道大叔
288,居委会工作人员收入和当地经济水平有直接关系
289,居委会收入都不高，年轻人很少的
290,我哭了
291,这才是真正的医用级N95
292,而且平时没活啊
293,可是有编制啊
294,眼镜不是带着玩的啊....
295,别摘
296,加油
297,瞬间拉近距离
298,能不能给她们一点防护
299,捐口罩呀
300,不敢想
301,UP主感动到我了
302,兄弟，这个动作get到我了！做好自身防护啊！
303,2000+
304,你好
305,成都1800
306,？
307,这就是真正的党员
308,天呐
309,可爱可敬的小姐姐
310,Hhhhhhhhhhhhhhhhhhhh
311,没有特殊情况 平时还是可以
312,为你们加油
313,哈哈哈
314,别出来了等人走了再开门
315,这真的哭了，第一反应公公婆婆
316,所以现在百步亭到底怎么样？
317,给我入！！！！
318,姐们，你真妞，敬你
319,才两千多?
320,小姐姐好棒
321,是社会工作专业吗
322,我哭了 这种信念 值得尊敬
323,哈哈哈哈
324,叔你非要把人家弄哭.....
325,社区的不算公务员
326,因为不靠这个养家啊，如果要养家不会找这个工作
327,编外就是只有2000多啊
328,哈哈哈哈哈啊哈哈哈
329,给她多点钱吧
330,这也太少了点吧
331,好人
332,真正的党员!
333,为无产阶级先锋队致敬!!!
334,哈哈哈
335,？？？？？？？
336,社区没有编制的是两千多的
337,哭咯
338,平时不会这么忙的！这次病毒才会忙
339,武汉很棒
340,凝聚力
341,中国人真的很棒
342,社工挣得少，有累
343,幸苦了
344,幸苦了
345,幸苦了
346,叔，辛苦了
347,？？？
348,加油加油
349,父亲已经过世……唉……
350,你的眼睛呢
351,武汉加油 
352,必须入！！！
353,家里怎么养呀？
354,太少了！强烈要求涨！！！强烈要求涨！！！
355,涨一点吧………
356,这也太少了！
357,姐姐们真美
358,伟大
359,社工
360,头上套的是塑料袋吗
361,理解万岁
362,第一反应不是自己，诶……
363,哈哈哈哈啊哈哈
364,对不起我没忍住哈哈哈
365,加油叔
366,加油！真的要加油！
367,？？？？？？？？？？？？
368,哇 好棒阿！
369,病毒不管你尊重不尊重。我觉得眼镜没必要拿下来。
370,理解万岁
371,棒棒的
372,服务员都不只这点的 真是为人民服务了
373,真是为人民服务了
374,小姐姐就该长命百岁
375,武汉人哭了
376,好苦啊
377,图啥啊
378,？？？？？？？？
379,哈哈哈哈哈哈
380,？？？？？？
381,我看到了医用级的N95！厉害了
382,啊啊啊啊强大的小姐姐
383,真实，你们以为，等你们去了就知道
384,安排了(ღ˘⌣˘ღ)
