,comments
0,久啊
1,中国加油！
2,加油
3,地面
4,真的是
5,弹幕呢
6,加油
7,加油
8,加油
9,中国加油
10,武汉加油
11,加油!
12,666
13,武汉加油，中国加油！
14,mm
15,lwl
16,武汉加油
17,中国加油
18,加油
19,中国加油！
20,加油
21,加油
22,人民万岁！
23,武汉加油！中国加油！
24,加油
25,暖
26,明白
27,默哀
28,明白！
29,英雄一路走好
30,武汉加油中国加油
31,好样的
32,我安排的剧情希望大家好好享受！
33,中国❤加油，武汉❤加油
34,武汉加油，中国加油
35,加油武汉，加油湖北，加油中国
36,收到
37,中国加油！
38,好样的
39,不信谣 不传谣
40,哎
41,红
42,不止重庆，同批次还有湖北黄石托重庆一同购买的物资。
43,我家乡也捐了
44,大家都要加油！
45,广西骄傲
46,大理这件事与大理老百姓无关，我也为大理市卫的做法感到羞愧！
47,加油，奥利给！
48,抗击疫情就是没有硝烟的战争啊
49,娃娃菜为热干面加油
50,厉害
51,好，支持，威武，有希望了
52,山东人在这
53,武汉加油！中国加油！武汉加油！中国加油！武汉加油！中国加油！
54,武汉也一样、！
55,加油啊，武汉！
56,加油加油加油
57,云南人表示很丢脸，也很抱歉
58,李文亮医生走好
59,物资可是关乎性命的大事
60,我们一定能赢的！
61,四川四川
62,李文亮医生一路走好！
63,武汉雄起
64,感动了
65,主持人好瘦
66,李医生安息
67,加油，一定会过去的
68,加油加油加油加油
69,漂亮
70,李文亮医生一路走好
71,李文亮医生一路走好
72,我家乡捐蔬菜了
73,生在大国 是种幸福
74,今天这份跨越时空的感动！
75,字幕好评
76,问责+1
77,李文亮医生走好
78,文亮心痛
79,广西河池在哪？
80,人才
81,lwl
82,啊
83,作为一个四川人，真的很感激地震之后给予帮助的全国各地同胞
84,感恩
85,弹幕弹幕
86,可以弹幕呢弹幕呢
87,李医生
88,我现在在
89,一条心
90,，
91,我们这送了几车水果，主要是苹果
92,红
93,弹幕呢
94,GG
95,李文亮医生安息！
96,听得要泪目
97,呃呃
98,没有弹幕嘛
99,干的漂亮
100,红
101,浑身发麻
102,点赞
103,大爱中国！武汉加油！
104,哭了
105,谢谢你们！武汉加油！
106,云南也有
