,comments
0,注意你的手指
1,大家多玩手机少出去
2,谢谢字幕君
3,疫情已经控制住了，感谢医护人员
4,钟爷爷辛苦啦
5,手指怎么了
6,一定保重身体，我们等你凯旋归来！我
7,我想这个新增的病例呀
8,辛苦了
9,辛苦了
10,注意手指
11,武汉加油！中国加油！
12,注意身体呀
13,想想那些小鲜肉一想到就EX
14,钟老年龄大了，记者怕他听不清才打的手势，这就是不礼貌了？
15,啦啦啦啦
16,国士无双
17,钟爷爷辛苦了
18,钟院士辛苦了
19,辛苦了
20,666
21,国士无双！
22,导函数
23,辛苦您了 钟爷爷注意身体啊
24,钉钉时代前来考古
25,现在已经快结束了
26,辛苦啦
27,武汉加油
28,武汉加油中国加油
29,记者手像这样一点礼貌都没有
30,钟老辛苦了
31,国士无双
32,国士无双
33,辛苦了
34,国士无双
35,钟老辛苦了
36,钟爷爷憔悴了很多，辛苦了
37,加油
38,钟老辛苦了！我的男神！
39,钟老爷加油
40,我今天的封面是灰色的
41,抗疫的朋友们，辛苦了
42,辛苦了
43,钟老辛苦了
44,没有早，确实来了
45,对我也觉得手指是在比划曲线图
46,辛苦了
47,辛苦了！
48,钟老注意休息
49,加油
50,加油
51,武汉加油
52,钟老，祝你一切安好！
53,这么大年纪还要这么操劳
54,钟老，保重好身体，加油
55,钟院士辛苦啦！
56,辛苦了
57,这个眼袋。。。
58,钟老辛苦了，注意身体多休息
59,辛苦了！钟老
60,“钟南居士”
61,辛苦了
62,造化钟神秀
63,国士无双
64,辛苦了
65,辛苦了
66,字幕好评
67,注意休息！辛苦了
68,钟老保护好身体
69,要保重身体
70,那个两天让出一次的，我家也是
71,辛苦了钟老
72,辛苦辛苦
73,辛苦了，钟院士，辛苦啦
74,他说的话，我相信
75,明显憔悴了好多啊
76,钟老加油！钟老注意身体！
77,你的手？
78,钟老，注意身体
79,老师，辛苦了
80,加油加油加油
81,奥利给
82,钟老要好好照顾好自己啊
83,老爷子 辛苦了
84,隔离还是有效的。要不每个城市的感染都得比现在的武汉还严重
85,请您一定保重身体！
86,感谢野生字幕菌
87,这是哪个台的记者
88,把你的手给我收起来
89,把你手放下，谢谢
90,治好啊？，就行了。，
91,广东卫视
92,感恩中国
93,下次一定
94,钟老这个月太辛苦了，和刚上电视比憔悴不少
95,谢谢您辛苦了
96,辛苦
97,老爷子加油！奥力给！
98,院士，您辛苦了
99,我感觉还要很久才到
100,憔悴了
101,钟老太累了ಥ_ಥ  希望他没事
102,昨晚我看这个新闻了！
103,太不容易了 我们支持您 支持咱们国家
104,加油 辛苦您了
105,往哪拐
106,钟院士终于有N95
107,感谢野生字幕组
108,感谢野生字幕组
109,真的，感觉钟老头发有白很多，辛苦了！
110,钟老怎么看起来老了十年。
111,注意身体呀
112,钟老好憔悴，看着我眼睛酸。
113,愿病魔早日被战胜
114,拐点本来就是滞后概念
115,鐘老辛苦啦您注意休息啊……
116,武汉和其他地区明显感染体量不同，应该分别对待
117,您辛苦了！！一定要照顾好自己啊！！！
118,国士无双，加油
119,致敬钟老，保护好自己！
120,注意身体，辛苦了
121,钟老头发白得太快了。。
122,辛苦了！加油
123,钟老辛苦了！！
124,祝你早生贵子！ 永远存在！
