,comments
0,制造业才是国之根基
1,加油
2,加油
3,鼻子酸了
4,加油
5,厉害了我的国！
6,中国加油！！
7,加油
8,加油
9,弹药来了，突突它！！！
10,中国加油
11,武汉加油
12,武汉加油
13,太喜欢你们了！
14,武汉加油！
15,武汉加油
16,致以最崇高的敬意
17,王炸
18,今天清明
19,加油
20,加油，武汉！加油，中国！
21,;加油
22,加油！
23,加油
24,中国加油
25,母校
26,要流泪了
27,中国！全世界最团结的国家，没有之一
28,北协和，南湘雅，东齐鲁，西华西
29,加油
30,666
31,中国加油！
32,武汉必胜
33,武汉必胜
34,加油
35,加油
36,说的好
37,加油！！！
38,加油
39,对着新型冠状病毒瞄准了轰他娘的
40,4月4日再回来看看
41,壮哉我中华！
42,壮哉大中华
43,加油我大四川！！！
44,加油
45,中国加油
46,加油！！
47,壮哉我大齐鲁
48,武汉加油！！！！
49,灯火可亲
50,加油
51,外面在家里。
52,知道啦。
53,上海在要是。
54,上海在要是回。
55,加油！
56,漏油漏油
57,加油
58,加油战役 我们心都在一起啊！！！！！！
59,加油啊！！！！
60,战役加油！！！！！！！！
61,考古。
62,加油
63,加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油
64,加油
65,加油
66,加油加油加油加油
67,加油
68,加油加油加油
69,吃着火锅，唱着歌，冲呀！
70,泪目
71,1
72,加油
73,好
74,加油
75,浙江来了
76,中国人是真的强啊
77,春天已经来了
78,一个强大的国家表现
79,加油我山东！！！
80,武汉加油
81,加油
82,奥利给！奥利给！奥利给！奥利给！奥利给！奥利给！奥利给！奥利给！奥利给！
83,加油
84,加油！！！！
85,奥利给！！
86,春天不远了中国加油
87,冬天过去了春天还会远吗？
88,奥利给
89,太好了＼(^▽^)／！
90,四大医院
91,济南的别走，不久前还去齐鲁医院看了看里面的老房子。
92,冲冲冲
93,川大本硕博路过~
94,秋天已经过去了
95,帅！
96,制度优势
97,加油中国加油
98,女子！
99,川大华西医院是中国排名第二的医院，厉害了
100,虫鸭！
101,武汉加油  中国加油
102,泪目 加油
103,山东！
104,感动哭了
105,抗疫必胜
106,加油，等你回来，看春暖花开
107,好！
108,中国的组织动员能力+集中力量办大事的能力，我服
109,中国的动员能力世界一流
110,火力不足啊，再来点
111,活力不够啊
112,加油！等你们平安凯旋
113,为什么要几乎
114,加油加油
115,逆行者，必凯旋
116,冬天来了，春天还会远吗？
117,厉害了，加油
118,加油！齐鲁一出，疫病怵头！
119,奥力给
120,说得好
121,奥利给，加油
122,华西医院是成都最好最有名的医院
123,加油啊啊啊啊
124,奥力给，冲鸭，加油
125,一定要好好回来，我们等你们吃火锅
126,川人对华西的蜜汁信赖
127,武汉加油 中国加油
128,山东骄傲
129,加油啊！！！！！
130,一定能赢！加油！
131,华西厉害
132,四川大学医学院报道，确实会有很多山大交流生。
133,耶成都报道
134,山大！！
135,给我冲！
136,奥利给！！！！
137,我国必赢
138,加油加油加油！！！！
139,战胜病毒有希望
140,最美邂逅
141,节日过完了，该努力工作学习了，要做好防护呀，中国加油！
142,武汉，加油
143,好
144,好好好
145,好
146,齐鲁医院 大概是山东省第一梯队 排名前三的医院了
147,加油加油加油
148,四川人感到骄傲
149,口罩一秒钟能生产两个
150,好
151,中国加油，武汉加油。
152,川大研究生路过
153,川大研究生路过
154,奥利给
155,这鸡汤我干了
156,加油!!!!
157,看哭，加油
158,很快就春天了 加油加油加油
159,这场战疫一定会赢
160,奥利给
161,口罩呢？
162,山东人感到骄傲自信了！
163,妙
164,让世界见证中国人民抗疫战争的汪洋大海
165,能建就出疫苗，中国更上一层楼
166,湖北加油！武汉加油！
167,济南的来了
168,我们是亿众一心！
169,好了以后一起看樱花吧。
170,奥利给
171,天佑中华！武汉加油！
172,嗯
173,同志们，弹幕呢？
174,好
175,棒
176,啦啦啦啦
177,奥利给！加油加油加油
178,我大山
179,武汉加油武汉加油
180,.
181,冲！
182,加油呀，早日成功
183,战疫必胜！
184,中国加油！！！！
185,加油加油加油！
186,好
187,加油!
188,加油  加油
189,加油，武汉。加油，中国！
190,加油，我们必胜！
191,祝早日战胜病毒
192,第一，武汉加油！
193,武汉加油。。
194,壮大我齐鲁！！！
