,comments
0,白沟
1,高三时老师让我们看，写时评才有的写
2,都是英雄
3,承包我白
4,白老师你好
5,做好防护带好口罩
6,sry
7,估计有3000个人去世了，包括医生，病人和其他人员。
8,视频全是720p的，估计服务器工作量超标了。
9,我可以我可以厚
10,真，高ping玩家
11,来了
12,1
13,清明时节雨纷纷 举国哀悼祭亡灵 东方醒狮震天吼 世间莫忘负重人
14,清明时节雨纷纷 举国哀悼祭亡灵 东方醒狮震天吼 世间莫忘负重人
15,希望看到这条的朋友们都能够认真对待
16,复工感染算工伤吗
17,我想去学校
18,交流时间有限 紧急，肯定要就重点提问重点回答
19,感觉是陕北人
20,是的
21,可能是紧张，因为第一次上央视
22,上下倒
23,感觉口罩是P的。哎
24,讲得很好
25,牛
26,学生党…哈哈…
27,好
28,。愛廖白岩松
29,说细节！哈哈哈哈，好评
30,武汉会好的
31,还是在家学点感觉好
32,可能真实太忙了
33,前后也叫倒哦
34,还上宽下窄呢，鼻梁那要捏紧塑形，不然漏风更没戴一样
35,20秒呀 就说给不给
36,哪天走具体要问自己的单位 每个行业不一样的
37,现在外卖是市场低谷？
38,服务业损失最大
39,说得好
40,一路走好
41,社区的干部，要求别太高了
42,口罩的钢丝卡口端应该鼻梁处明显上下颠倒了，况且拉开的褶子方向也能看出是倒的
43,时代楷模
44,[ + ]
45,问的很好
46,赞
47,现在4万了！
48,［+］
49,美
50,没有什么比命都重要
51,？？？
52,有风！
53,加油    武汉    加油    武汉
54,［+］
55,我们想要数字统计
56,iPad pro
57,口罩是真的买不到啊
58,说延迟的先了解一下物理延迟行不行
59,上下反了
60,物理延迟是避免不了的，顺便口罩带反了没人科普一下吗？
61,哈哈哈哈哈哈说细节
62,[+]
63,有
64,我也感觉挺好哒
65,我也是其中之一的
66,[+]
67,[+]
68,[+]
69,【+】
70,山西人
71,傻孩子们 就是旁边的一个演播室
72,北京已经有不少人了
73,这应该是减少了居民流动量，居家问诊
74,延迟还是她在想怎么回答问题？？？？？
75,这个速度真快！
76,然而我并不想回学校
77,      眨眼眨到快啊！
78,要复工了，好慌
79,和5G关系不大
80,闲鱼不想返工啊啊啊啊啊啊啊
81,替我们负重前行的人
82,哪来的风啊哈哈哈
83,2倍速真香
84,口罩带反了，哈哈哈哈
85,我也是其中之一
86,有能力的
87,能做到吗？
88,为啥还没有人给我打电话 我是不是被遗忘了
89,【+】
90,哈哈，现在，新闻特别好
91,我感觉这个部长非常实在，是个好部长
92,来金华都被关在房间了
93,穿啥防护服
94,说错了
95,我们这路还封着呢，哪来的返工潮
96,我们这路还封着的，不知道哪来的返工潮，大城市全开了
97,谁不是
98,不返工，吃什么，房贷车贷，奶粉钱
99,金属条在下，反了？
100,遇事不决，量子力学
101,武汉加油，奥利给
102,哈哈哈哈哈哈哈
103,口罩确实戴反了！！！
104,考点，做好笔记
105,有没有课代表
106,还是得等5g来拯救这个延时
107,认真听讲，不要交头接耳
108,一路走好
109,白岩松nice
110,还是学校好
111,感觉这个解释更接近真相
112,熊猫眼镜
113,我想返校，我不想用钉钉了
114,鼻子哪没金属，松的
115,口罩带倒了
116,买不到口罩
117,没有口罩啊
118,有，
119,我妈铁路上的，一星期前就复工了
120,你们真的秀，好好看直播
121,现在口罩都没有卖怎么复工啊，而且广东还颁布了口罩令
122,倒了不是反了
123,我国是工农联盟建立起的国家，农民工返程复工得重视防护对抗疫情
124,你可真是个人才
125,正名
126,233333
127,我也想回学校了，好想念学校
128,来了
129,fan馆，口音太可爱了吧！
130,白老师你好
131,为男神站街！
132,这眼镜也太秀了吧
133,是不是意味着要补课了
134,没反啊，上宽下窄
135,"傻孩子们, 不是网快,  是距离近"
136,河南贡献十分之一的农民工
137,我还是不说话了。
138,。
139,4的呢
140,大概都听不懂
141,为什么是99%
142,说好的简单点说呢……
143,这个延迟拿5g也没用好吗？
144,这就是5G吗？
145,都是粉色，粉红粉黄和粉蓝
146,用5G的话多好。
147,怎么错峰嘛？哪天走算错峰?
148,加油呀，一定能过去的~
149,语文老师要细节！！！
150,加油·
151,学生党在家葛优躺中。。。（捂脸笑）
152,5G  ？
153,黑眼圈吗？
154,嗯？
155,白岩松还不忘补充卫建委哈哈哈哈哈哈哈哈，有点可爱
156,为了完成作业的我卑微中
157,我在恶补22天的新闻
158,题词版
159,我也想会学校
160,英雄
161,我不能说话
162,我不能说话
163,看这个的，有民工兄弟吗
164,整个一个熊猫盼盼
165,没听出来啥
166,？
167,?
168,不少行业，你返程也开不了工
169,听不太懂
170,那你觉得呢
171,比如？
172,但确实现在很多普通人都买不到口罩该怎么办呢
173,眉毛和眼袋加起来像是一副眼镜
174,大多数农村普通民众都是没口罩的
175,这个网络延迟哦。。。
176,这个网络延迟啊。。。
177,我这郑州的，今天社区都打电话到家里来问了
178,白岩松
179,老白
180,口罩是反了
181,[+]
182,1
183,基数突然变大的原因吗
184,这才是重点，）
185,紧张
186,[+]
187,没得口罩
188,8
189,白岩松超帅
190,山西人？
191,医生 是让人尊敬的职业
192,工作细化了，很接地气
193,延迟好严重
194,桥西市场，太原人
195,[+]
196,[ + ]
197,问有岩松老师厉害啊，能听懂
198,［+］
199,默哀，各位烈士一路走好，这场仗，我们终会胜利！
200,都是英雄
201,好像口罩戴反了
202,用多长时间就迅速???
203,[＋]
204,北京有5g
205,5g是量子传输?
206,说话吐气往上，肯定有风啦
207,农村哪里有口罩
208,带着口罩，而且戴倒了。呼吸的空气全向上吹了吧，看来蛮紧张的。
209,口罩里外没反，上下好像反了。卡鼻梁的金属条在下面
210,小浣熊？
211,比如武汉有疫情？
212,可能天生就这样，我认识的阿姨也有老眨眼的
213,一看就是4G的
214,弹幕没人嘛？
215,好少人
216,听的好累
217,口罩倒了
218,应该是带密封眼睛弄得
219,二维码扫
220,各部门各单位只要做好自己的事 肯定能挺过去
