,comments
0,不愧是战地记者
1,还行？要脸不
2,别问了，问就是多喝开水
3,哈哈哈哈，实在
4,人家本来就是记者。。。
5,这个我在电视上看过
6,你哪位
7,3.............
8,叔，你比露脸时候帅多了
9,好辛苦
10,太不容易了，致敬
11,满意。。。
12,....
13,免费的还要求什么
14,满意啥啊
15,老八
16,加油
17,来了
18,致敬天使！！！
19,这采访有点尴尬
20,感谢国家
21,体育馆啊
22,挺好的了
23,塑料袋？
24,明白人，三观正实在
25,得了这病你满意吗
26,加油
27,早日康复，辛苦了
28,辛苦了
29,阿姨可能腿脚不方便
30,天使
31,鸡蛋减肥减肥减肥减肥
32,灰了
33,比我在家吃的还好，我要是患者，我都不想回家了
34,加油！
35,英雄
36,？？？？？？
37,明白人
38,可以
39,挺严肃的事儿，然而我流下了不争气的口水
40,希望疫情早起结束
41,加油啊！
42,胡萝贝
43,。
44,辛苦
45,辛苦了
46,哥实在！
47,心疼
48,祝您们早日康复。
49,有人伺候多好早日康复
50,有人伺候也可以早日康复
51,可能都不想回家了吧
52,吃的比我好
53,今天已经四月一日了
54,看不见我看不见我
55,叔你看得见吗
56,看过美国方仓，回来洗洗眼睛
57,您哪位请问
58,真的都不容易
59,23333
60,哇靠 浪费了啊
61,帅！
62,满意？？？？？？！！
63,哈哈哈哈哈哈哈哈
64,老铁们啊，撤硕~~~~
65,你说这午饭做得 行不行
66,明白人
67,实在
68,大哥明白人
69,太严实了吧。
70,说的就是这个理啊
71,一线人员真辛苦
72,不是记者说的话，是患者说的
73,。。。
74,可以配些轮椅！
75,已经很不容易了！做得很好了！
76,都不容易啊，就不要挑三拣四了
77,这眼镜要放外面才好呀
78,好可爱
79,南无阿弥陀佛
80,我爱你中国
81,真心不错，
82,致敬各个医护人员
83,病人不是不可以戴N95的嘛
84,来了
85,叔你能看见我吗
86,我觉得挺好的吃得比我好
87,加油！
88,这才是记者该做的！
89,叔注意安全！武汉加油！
90,大家都快点好起来啊
91,叔你能看着路嘛
92,好可爱的食物！
93,明白人！！
94,这大哥可以
95,心态好，恢复快！！！
96,心态正常！！！
97,比住不上院的强多了！！！
98,肯定觉得可以！！！
99,祝早日康复！！！
100,点心可爱！！！
101,盒饭不错！！！
102,保护好自己！！！
103,注意防护！！！
104,太难了！！！
105,中国速度！武汉速度！！！
106,全国各地医护人员出征武汉及援助医疗物资！
107,健康最重要！！！
108,祝早日康复！！！
109,就需要心理平衡！！！
110,早日康复！！！
111,方舱医院，又不是宾馆！！！
112,免费的午餐！！！
113,好人一生平安！！！
114,点心不错，好好保养！！！
115, 辛苦了！！！
116,武汉人说还行就是很好
117,三观很正啊
118,幸苦了
119,这才是第一线
120,这人一脸懵逼
121,加油
122,你是谁
123,唉奶奶早日康复！
124,这雾能看到路嘛
125,你谁？
126,加油
127,不容易啊 辛苦了 武汉加油
128,早日康复
129,辛苦了！
130,看不清了吧
131,有wifi吗
132,挺好
133,望平安
134,起雾了
135,医护人员辛苦了 谢谢你们
136,早日康复
137,早日康复
138,哈哈哈哈哈哈哈问题试卷
139,善解人意
140,注意安全
141,都收治了吗
142,辛苦了(≧∇≦)/
143,早日康复
144,早日康复
145,早日康复
146,哈哈哈哈哈
147,哈哈哈哈哈
148,这盒饭太乱了
149,加油
150,我们在家还吃方便面呢！
151,是的武汉人说还行就是还不错了
152,……
153,明白人
154,十天一个医院已经很厉害了
155,还WiFi你是魔鬼吗
156,护工也好难，很辛苦
157,还有的个表情面包
158,大哥真好
159,叔，辛苦
160,叔保护好自己
161,叔保护好自己
162,我感觉看着自己的有难受的感觉，太辛苦了，都是人民战士
163,看的感觉有点难受
164,不容易不容易
165,阿里巴巴捐的生活物资
166,。
167,阿里巴巴捐的
168,老年人状态不行
169,精神比我还好
170,每天顶一下饼叔
171,病毒赶快控制消除吧！都不容易.一线医护人员辛苦了
172,医护人员应该带硅胶防毒面具，眼镜就不起雾了
173,我妈妈也是一位白衣天使
174,白衣天使
175,回形针
176,猪猪包
177,病人也要加油丫
178,辛苦啦
179,叔，看得到吗？
180,武汉加油
181,撤硕
182,大哥早日康复
183,明白人，早日康复
184,注意安全
185,早日康复
186,哈哈哈哈哈哈哈
187,大哥明白人
188,还行吧还行吧还行吧
189,加油护士
190,啊 武理旁
191,刚才在cctv13看到叔
192,他并没有否定。。。不过说的话很实在
193,明白人
194,钢铁实在直男
195,认不出来了。。。
196,很不容易
197,加油
198,有wifi吗？
199,好可爱
200,????
201,雯，很想你，希望一切都好
202,做这些工作的人好辛苦啊！！！！！！！！
203,医护前辈保重
204,假如没有反对意见
205,武汉加油
206,武汉加油！中国加油！！！
207,明白人
208,这样的叔真帅【doge】
209,武汉加油！
210,祝早日康复
211,武汉雷神山医院加油
212,武汉火神山医院加油
213,加油
214,武汉人很多都是刀子嘴豆腐心，说还行就是满意了
215,人间天使是好样的
216,希望所有患者都能平安康复
217,希望所有患者都能平安康复
218,看哭了，心疼医护人员
219,明白人
220,辛苦了
221,人家在睡觉
222,您幸福吗？
223,哇 豪华
224,早日康复
225,吃的挺好的呀，
226,6666你医院住得满意吗
227,叔真不容易！不愧是战地记者
228,叔你看得到路吗
229,哈哈哈哈哈哈哈
230,哈哈哈哈
231,加油~!!!!
232,这个问题问得。。。。。
233,武汉加油！
234,妈耶，真可怜
235,老年人最危险
236,豆沙包可愛
237,同戴眼镜的想哭
238,加油
239,还行
240,豆皮老年人，治起来很困难的
241,来几台轮椅啊
242,辛苦了
243,身体虚弱的老人非常不好照顾
244,致敬！
245,祝您早日康复
246,明白人
247,哈哈哈哈。
248,加油
249,帅哥你谁（饼脸饼嘴）
250,姐明显没精神了
251,关键是蹲便不容易接触马桶边缘
252,蹲便舒服
253,医疗设备的安装不是一天能完成的
254,大哥注意身体！
255,轮椅在那
256,湖北加油，武汉加油
257,明白人
258,还是国家给力
259,疫情暴发的太快，医疗资源不够
260,有WIFI就行
261,辛苦了
262,好实在
263,5g网络
264,看的像哭
265,加油啊
266,还行!肯定不是一个满意的答复!明天的数字不是一个数字  是一个个家庭，希望政府加大救援力度。毕竟我们平民别的不看 生死是最基本的！武汉加油！
267,不好，眼镜进砖头了
268,有文化且有素质
269,这么近的距离，您可别中招了
270,有wifi
271,还行X2
272,免费得
273,注意到吃剩盒饭垃圾堆积着，希望摆两个垃圾桶，丢垃圾是干湿分离‘力所能及处减轻医护工作人员的负担
274,这里都是确诊的？
275,我只能说医护人员如果照顾老人那真的累特别的累
276,看不见的叔
277,太难了
278,辛苦了，加油
279,是你！
280,早日康复
281,完了，真不知道这是谁了
282,感觉这的很多病人心态都特好
283,辛苦了
284,早日康复！
285,稳
286,大哥真不错
287,真的好心疼这些人啊！祝你们早日康复！！加油！！
288,祝早日康复
289,祝大家都早日康复！
290,有充电有wifi我就能活下去
291,吃的真好
292,我国这种国家免费的，高质量的医疗方案，真不错，在其他国家你别想
293,说得对
294,谁来的？
295,拿督在这里比赛
296,武汉人说还行就是很好
297,老实人，但是说的在理
298,叔来了
299,叔
300,你谁啊
301,明白人
302,早点起点
303,啊，在这练过篮球
304,奥利给，加油!
305,工作人员辛苦！
306,还行三连
307,明白人！
308,疫情早点过去吧
309,A说得好
310,这个男的有点可爱，哈哈哈
311,来医院，还满意？这不是酒店
312,还行！
313,眼镜没有带！
314,听音识人
315,轮椅可以用吗
316,拎包入住
317,猪猪那么可爱
318,胡萝贝
319,这不是挺好的吗 比我想像的好多了
320,驾驭 都会好起来的
321,大家要相互理解 都不容易
322,每个人都能相互理解就好了
323,真的很真实
324,哈哈哈哈
325,敞亮人！就这心态，一定能痊愈！
326,多问几个人
327,可以备点轮椅
328,方舱，就是战时机动医院
329,真实
330,很真实了
331,4000床位是好几个医院加起来，不是这一个医院
332,- -之前就在这旁边，经常来这里逛
333,直男提问
334,三观很正啊
335,老哥 ，眼镜起雾了 ……
336,听声音辨认叔
337,课桌！！！
338,大哥明白人，早日康复
339,噗 满意？
340,饼叔你谁
341,每人还有床头柜，不错呀
342,早日康复
343,太不容易了，医生
344,怎么搞的？感觉他们不如小孩子
345,看着难受啊
346,我吃方便面呢，怎么办？
347,比我吃的好！我吃方便面呢
348,我的天
349,加油，早日康复
350,叔真的拼，这么近
351,这都是护工的活 护士真够累的
352,我的天 希望大家好起来
353,看就不要看了
354,怎么你去什么都让你赶上
355,工作人员太辛苦了
356,能收治就是幸运的了
357,吃剩的居然那么丰富，比我在家吃的还好
358,早日康复！加油同胞们
359,阿姨加油
360,过的比我还好
361,叔，你暴露了
362,真好了
363,理解万岁
364,在平时这算是护工的活儿，这儿的护士不容易啊
365,口罩没带好  …
366,。
367,挺干净的呀
368,有个防雾的镜布建议你用一下，亲测有效
369,早点康复
370,您幸福吗233
371,篮球场
372,。
373,该配几套轮椅
374,明白人儿
375,看到猪猪包
376,拎包入住
377,太真实了
378,轮椅啊
379,保护
380,太不容易了
381,这是轻症？？？
382,有wifi吗（狗头保命
383,快点康复啊武汉加油武汉挺住
384,武汉加油武汉挺住
385,哈哈哈哈哈
386,感觉大叔好可爱
387,有的吃还有医生护士真幸福
388,真幸福啊比我吃的好
389,武汉加油！！！！！
390,？？？？？？？？？？？？？？？？？？
391,三观真正
392,这话问的
393,早日康复！
394,人家不舒服 就让她好好休息吧。。
395,满意吗？
396,明白人
397,辛苦啦要保护好自己叔
398,这问得
399,太厉害了！ 太感动了！
400,太厉害了！
401,这条件很不错了！
402,干就完了
403,大哥明白人
404,问卷调查式
405,武汉加油 白衣天使加油
406,实在人
407,睡觉也戴口罩吗？
408,好危险
409,这还算轻症啊
410,装机猿？？
411,不容易！已经很好了
412,公共厕所的话，蹲的比坐的要卫生点
413,看到了吗，有手机的！！！
414,帅
415,希望早点过去啊啊
416,看来是的确什么都没有
417,已经很不错了，还准备怎么样？？
418,很不错了！加油
419,早日康复
420,这哥三观真棒
421,比我吃的还好
422,吃的不错
423,不容易
424,不同意啊
425,这样拍其实有点尴尬
426,护士真不容易
427,明白人
428,吃的也太好了
429,可怜
430,老八
431,三观好
432,三观好
433,谁？？？？
434,早日康复！
435,25个小时。。。
436,25个小时。。。
437,绝对危险，出来就得扔隔离房
438,大哥实诚人
439,文化人
440,文化人
441,真实
442,你们一起拍个很满意的照片就跟好了
443,您满意吗
444,你幸福吗
445,上海去了好多人建这个
446,你怎么才来
447,叔，辛苦了
448,帅哥你谁
449,呃呃呃呃呃，这谁啊！！！！
450,电视上是打了码的
451,需要男护士
452,有的吃，挺好的
453,辛苦了，医务工作者
454,眼镜起雾了口罩戴的不对哈哈哈
455,你是直啊
456,直男三连
457,突然发现那个桌子是课桌
458,祝早日康复！！
459,这里面都是确诊了的吧
460,加油加油！！
461,这是课桌？？...
462,明白人
463,方舱医院能直播吗？？？
464,叔 加油
465,叔有防护服吗，小心啊
466,你是谁？
467,早日康复
468,不容易啊
469,太不容易了
470,雷火双神
471,祝你早日康复
472,早日康复
473,过得比我还舒服
474,我有点想去
475,叔，注意安全
476,起雾了
477,叔你是不是有
478,确实是什么都没有
479,可以洗澡吗
480,我也是戴眼镜带上口罩老起雾特烦
481,看上去好冷  没暖气
482,希望早日康复
483,这问题问的
484,武汉加油中国加油
485,注意安全啊叔
486,大爷辛苦了！
487,大家一定要好起来！会好起来的！
488,叔…你眼镜起雾了
489,拎包入住
490,口罩没带好。。
491,哈哈哈要啥自行车
492,病人都是同一种病，在一起不会互相感染，看一下上次新闻1+1
493,加油鱼竿
494,比我在家吃的都好
495,你是谁
496,武汉加油啊！
497,哈哈实在 祝早日康复
498,叔你好
499,你是誰？
500,你是谁？
501,你是谁
502,你是谁
503,方舱医院只接轻度确诊
504,太不容易了！加油啊！
505,脸色都白了
506,身体健康！长命百岁！
507,短时间内真的不容易 互相理解吧
508,心酸
509,直男三连
510,???
511,心疼记者
512,感觉很好啊，小包子很好啊
513,电视里看到，听声音辨别叔
514,实在人
515,明白人
516,还行
517,说这这么好。我说不出来。
518,有WIFI吗
519,不容易啊
520,好精神啊
521,不错啊
522,互相理解
523,早日康复
524,哈哈哈哈哈哈心态好
525,哈哈哈哈
526,注意安全叔
527,叔，注意安全啊！
528,章鱼、乳猪、盐焗鸡、
529,叔保重身体呀一定保护好自己！
530,早日康复！
531,还行→没吃饱
532,伙食不错啊
533,谢谢叔
534,真实，明白人
535,看到生病的人就难受，希望大家快点好起来
536,就别打扰别人休息了……
537,怎么能说满意谁愿住这啊再好也不愿得病进来
538,还行？！！很好了啊！！！
539,这潮湿的天气，，病毒真会挑时候
540,这潮湿的天气，，病毒真会挑时候
541,本来担心没法充电
542,@回形针
543,护目镜可以喷除雾剂
544,明白人
545,叔叔好
546,叔真帅
547,辛苦哦咯嗯了
548,叔变帅了
549,加油鸭
550,该备个轮椅的
551,都不容易！！！！
552,叔
553,祝您早日康复！！！！！！
554,哈哈哈哈
555,233
556,这语气哈哈哈哈哈典型的武汉腔
557,这是确诊的轻症患者，叔很刚的
558,不容易啊
559,驻俄罗斯前战地记者
560,别倒下啊
561,真实……
562,早日康复
563,不容易啊
564,明白人
565,毕竟是免费的，已经很不容易了
566,祝早日康复
567,真实
568,有内味了
569,5000M差不多了
570,猪猪包好可爱
571,他好棒啊
572,叔加油！
573,今天看新闻听到熟悉的声音就哈哈哈
574,可行之策，比住不了院强啊
575,说是5G
576,要有信心啊大哥祝大家康复
577,叔注意安全
578,夺命连问
579,同款睡衣
580,事可真多，还行吧，有的吃就不错了，人要有感恩的心
581,很好啦
582,我们学校的体育馆欸……
583,明白人
584,大哥早日康复！
585,好人好想法
586,帅哥你谁
587,人人都这样想的话，世界咱们都能摆平
588,感谢祖国
589,不容易啊
590,给大家准备电视机
591,实在人
592,小猪猪～
593,像给叔来个雨刮～
594,医护人员真的不容易
595,国民素质提高了
596,唉 有点难受
597,叔，注意安全
598,早日康复
599,弄个轮椅啊
600,眨眨眼
601,应该是回房间吃，吃完带出来
602,叔？叔！
603,希望都能早日康复！
604,加油啊加油啊加油啊加油啊加油啊加油啊加油啊加油啊加油啊加油啊加油啊
605,说得好
606,实诚
607,明白人
608,我也想吃 猪猪包啊
609,我们的老师就在哪里 骄傲
610,祝您康复，这才是值得救的人
611,几个医护照顾那么多人！辛苦了！！
612,致敬医护人员！！！！
613,叔辛苦了
614,迷之难受
615,刚在电视上看见
616,几十个医护人员，上百病人
617,还行✖️2
618,叔，我也想当记者！
619,你幸福吗
620,我们学校就是汉阳区方舱医院
621,还行
622,还行吧
623,我们学校就是汉阳的方舱医院
624,我们的学校就是汉阳方舱医院
625,胡萝北
626,叔上电视啦
627,谢谢你们，要加油啊
628,有电有WiFi就可以活
629,在央视看到了
630,哈哈哈哈哈哈哈哈哈叔
631,不容易啊大家都
632,一定要好起来！
633,太真实了
634,哈哈哈，还行
635,有得住就不错了，还要啥自行车
636,讲真伙食比我家吃的还好
637,大叔？
638,看我看见谁了
639,辛苦了，叔
640,都不容易，尽量心平气和看开点能好过些
641,好帅
642,早日康复啊！
643,坚持住
644,还挺可爱哈哈
645,早日康复
646,？？？
647,你是谁
648,非常不错了，别的国家只会更混乱
649,这看得见吗
650,加油！！！！！！！
651,这是陕西人吧
652,很像沐上
653,中午一听就是叔！
654,真  无名英雄
655,够安全了
656,大家都不容易
657,666666
658,有觉悟
659,你谁
660,你能看见啥？
661,哈哈哈哈
662,包吃包住不要钱，已经非常好了
663,赶紧康复出院就好了
664,不走走更不好
665,早日康复
666,这脸色真的健康
667,明白人
668,希望赶紧过去
669,早日康复
670,同款睡衣
671,这里全是轻症患者
672,我们家附近
673,俺也想吃
674,你谁
675,好话
676,这是轻症？
677,大哥早日康复
678,前面加一 刚听到声音就感觉是 马上来了 哈哈哈
679,加油，快点好起来
680,你是谁？？
681,上新闻了  刚看了
682,刚在电视上看了
683,挺好
684,这个阿姨感觉有点严重
685,央视！
686,年轻人就是好
687,你上央视了！
688,我们同事在方舱医院，2个人管200轻症患者
689,竟然这么快住满了
690,叔 在cctv13看到你的vlog了啦！
691,能住在这的都非常幸运了
692,你谁
693,做得很好 跟家里不好比
694,医护人员在这个里面不容易
695,实在
696,难不成还给个五星好评？
697,早日康复
698,？？？
699,央视电视上给这个哥打码了
700,像陆夫人那个哈哈哈
701,大哥说的对
702,这个有点可爱
703,有点可爱
704,方舱好像就是专门收治轻症
705,盒饭肯定是有营养的，食材都好的，但是毕竟盒饭可能不一定好吃
706,方舱是指那个野战医疗车吧
707,小猪包
708,叔注意安全
709,早日康复啊
710,好人
711,好人
712,没有办法啊
713,哈哈哈哈
714,广州病历也基本长这样
