,comments
0,我好想认识她，叔你这画质也太糊了
1,害，我回不了家，破公司
2,生小孩子
3,张竣
4,？？？
5,在家打棒球
6,？？？？？？？？？？？？
7,当然打游戏啊
8,？？？？？？
9,家里有漂亮老婆的当然是炮火连天啦
10,声音有点像基轮是什么鬼
11,我卢本伟没有开挂
12,看成卢本伟+1
13,湖北加油！
14,武汉加油！
15,hhhhh十多斤
16,哈哈哈哈哈哈
17,正能量
18,？？
19,造人？
20,武汉加油
21,羽毛球？
22,只能看这个
23,真实
24,黑白画面看的眼睛难受
25,出门超市买菜呀
26,希望下次能把焦聚实了，这么好的题材，拍的画面拖后腿太遗憾了
27,在家模拟MC，有人像我一样无聊吗
28,不是武汉人但前一段宅家的时候大概看了100来遍父母爱情吧
29,真实
30,呵呵，上网课
31,加油
32,当然是打游戏 不过今天默哀 不玩啦
33,啥玩意儿都会灰了。
34,你别说还真的有点像卢姥爷
35,我的王者被封了
36,武汉加油
37,眼镜起雾了
38,武汉加油
39,武汉加油
40,羽毛球好像可以下楼打吧，不出小区就行
41,钉钉
42,？？？
43, 挑战不玩儿一天游戏成功。
44,武汉加油
45,lbw
46,叔！
47,噗哈哈哈
48,?
49,叔！！
50,加油！！
51,为什么弹幕在人物后面？刚答题。
52,？？？？？？
53,打羽毛球？？？？
54,带了口罩都是美女
55,这不细看像一个人
56,写作业
57,加油
58,加油
59,玩UT
60,老人的快乐
61,没事打打孩子？
62,我们小区都疯了
63,我想去吃西湖醋鱼了
64,看时间
65,长了十斤的我不想说话。
66,这个是2.8的视频
67,5
68,武汉加油
69,王者毒药
70,戚薇？
71,武汉加油
72,钉钉
73,中国加油
74,加油
75,？？？？？？？？？？
76,在家学习画画，收获很大～
77,除了不能去网吧跟我之前的生活没两样
78,武汉加油
79,医疗小哥肯定不缺口罩
80,武汉加油
81,LBW？
82,中国加油
83,孩子苦啊！
84,干什么取决有没有老婆
85,kan s j
86,↑打高尔夫可还行
87,加油！！！
88,？？？？？？？
89,当然是上网课啦！
90,当然是上网课啦！
91,王者打钱！
92,王者荣耀打钱
93,武汉加油
94,哇
95,加油
96,加油
97,.
98,加油
99,武汉加油，中国加油
100,换加油中国加油
101,波澜哥？
102,看父母爱情的别跑，我妈也在看！！！
103,加油，奥利给
104,武汉加油！！！ky起开
105,这是二月的
106,武汉加油中国加油
107,叔
108,不出门吃空气？
109,中国加油
110,2.8发的
111,6666
