,comments
0,坚持戴口罩
1,加油
2,60天没出门了。
3,武汉，爱了
4,加油啊！！
5,真棒
6,好
7,中国好棒
8,666
9,嗯
10,么么哒
11,我想上课
12,上学嘞？？
13,加油！！
14,呵呵 1月说造谣的也是这个大姐
15,加油
16,上网课真无聊
17,我想上学了
18,快开学啊
19,天天盯着手机眼快瞎了
20,中国加油
21,6
22,加油！
23,加油
24,武汉加油！中国加油！
25,加油
26,鸠啫
27,武汉加油
28,俩月没出门嘿嘿
29,加油武汉加油中国！
30,加油加油
31,加油加油
32,中国加油
33,建议为医护人员设立节日
34,加油
35,加油
36,加油
37,致敬
38,发挥会挥发
39,耶
40,好！
41,77
42,加油
43,18天没出门了
44,武汉加油！
45,那上学呢
46,拐点出现！
47,下降到个位数，就算差不多了
48,武汉加油
49,城堡空屏
50,加油
51,学生党表示我现在天天看盯着电脑，眼都快瞎了
52,中国真棒
53,武汉加油，中国加油呀
54,对的，所有人都在努力
55,太好了
56,武汉加油
57,武汉加油
58,武汉加油
59,对课堂的放纵
60,快点好起来
61,一切都会好的
62,天耀中华中国必胜
63,武汉加油中国加油
64,海霞小姐姐好美
65,加油，武汉
66,打算在家再躺半个月
67,盒马鲜生
68,好消息
69,好想出去啊
70,湖北加油
71,妙啊
72,拐点不是已经出来了？
73,中国，加油
74,有点人还没有找到
75,好好
76,好
77,中国！加油！
78,一定会好起来的
79,14天没出去过了
80,好消息
81,我要上学哈哈
82,太好了
83,好
84,好呀好呀
85,我要上班
86,bgm好像是国家宝藏的
87,已经出现“拐点”！我们正在一点点看到“光明”！
88,对！！！！
89,好消息
90,中国！加油！
91,我要上学
92,16天没出门了
93,来了没
94,学校开学才是真的控制住了
95, 我要上学
96,666
97,现在我们公司都是网上面试
98,不想上网课
99,奥利给
100,网络不是法外之地
101,等到了，感动，谢谢！
102,机智
103,想上学
104,学了做了不就有经验了……
105,找工作可以问一下能不能电话面试或者视频面试，特殊时期嘛
106,太好了
107,坚持✊
108,Nice!!!!!
109,加油加油加油
110,个别
111,nice
112,别说了，放我去上学
113,大家说说话，我好怕
114,好！！！！！！
115,5天没出门了
116,6
117,这个白色板子是啥
118,中国加油！武汉加油
119,我要到学校，家里不好。
120,好！
121,好消息
122,好
123,弹幕呢？
124,？
125,加油，中国！加油，武汉！
126,弹幕呢
127,找工作的呢？
128,加油吧
129,我来辣
130,明天返工了。。。。瑟瑟发抖
131,哈哈哈，机智呀
132,666
