,comments
0,广权叔！
1,朱广权排面
2,撒贝宁！
3,董卿！
4,康辉！
5,康主任！
6,小尼！
7,中国加油！
8,中国加油！
9,萌萌
10,月亮姐姐好美呀
11,撒老师啊
12,风清花盛月常圆，君子无双朱广权。
13,风清花盛月常圆，君子无双朱广权
14,风清花盛月长圆 君子无双朱广权
15,给权权排面
16,权权权权权权权权权权权权权权权权权权权权权权权权权权权权权权权权
17,思思思思思思思思思思思思思思思思思思思
18,萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌
19,萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌
20,萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌
21,萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌
22,萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌
23,萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌
24,萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌
25,萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌
26,萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌萌
27,啊啊啊啊啊啊啊啊啊康辉
28,海甜甜！！
29,朱广权朱广权朱广权
30,权儿！！！
31,和朱广权一起为武汉加油！
32,和朱广权一起为武汉加油！
33,朱广权携本家属给大家问好
34,武汉加油，中国加油！fighting
35,萌萌！！！萌萌！！萌萌！！
36,好喜欢夏丹阿长得真讨人喜欢 人美歌甜得丹丹
37,花盛风清月常圆，公子无双朱广权。
38,广权朱广权朱广权朱广权朱广权
39,权哥:我随便动动笔杆子!就把那些个街头孩子带飞了!skr skr rap god !
40,广权！！！！！！
41,朱广权朱广权朱广权朱广权
42,权权排面走起来！！
43,啊啊啊啊啊啊啊，君子无双朱广权！！
44,cp!!!
45,李梓萌！！！！！！！！
46,油泼面给热干面加油
47,撒撒居然不唱
48,花盛风清月长圆，君子无双朱广权
49,花盛风清月长圆，君子无双朱广权
50,花盛风清月长圆，君子无双朱广权
51,花盛风清月长圆，君子无双朱广权
52,卿卿卿卿卿卿卿卿卿卿卿卿卿卿卿卿卿卿
53,11月，现在大家有时候都可以不用戴口罩啦~
54,董卿卿卿卿卿卿卿卿卿卿卿卿卿卿卿卿卿卿卿卿卿卿卿卿卿啊啊啊
55,卿卿卿卿卿卿卿卿卿卿卿卿卿卿卿卿卿卿卿卿
56,卿卿卿卿卿卿卿卿卿卿卿卿卿卿卿卿卿卿卿卿
57,卿卿卿卿卿卿卿卿卿卿卿卿卿卿卿卿卿
58,卿卿卿卿卿卿卿卿卿卿卿卿卿卿卿卿卿卿卿卿卿
59,美国900万考古
60,啊啊啊啊
61,10月一切安好！
62,刚强老师！！！
63,权权权权权权权权权
64,前方高能预警
65,前方高能预警
66,广权
67,康帅
68,康康
69,刚强老师～
70,撒撒瘦了
71,权权权权权权权权权权权权权
72,月朗风清心亦清，万中无一撒贝宁
73,月朗风清心亦清，万中无一撒贝宁
74,月朗风清心亦清，万中无一撒贝宁
75,撒撒撒撒撒撒撒撒撒撒撒撒撒撒
76,月朗风清心亦清，万中无一撒贝宁
77,撒撒撒撒撒撒撒撒撒撒
78,撒撒撒撒撒撒撒撒撒
79,撒撒撒撒撒撒撒撒撒撒撒撒撒撒撒撒撒撒撒撒撒撒撒
