,comments
0,致敬！
1,我就是在这个医院治甲亢
2,怕麻烦她的同事们，病人角色的转换，她真是……致敬
3,平凡的人，不平凡的人生
4,这才是大爱啊
5,主持人只是在引导，她不问，我们怎么了解更清楚
6,您真的很伟大
7,哭死了
8,好漂亮
9,吃感冒药了吗
10,像白衣天使至敬
11,二更视频那个护士姐姐么
12,1
13,真的感人，致敬！
14,天佑好人呀
15,医疗资源当时崩溃的，只有全国援助后转好的
16,致敬！
17,好伟大！
18,致敬
19,那个不是测心率的吗我戴过
20,很棒呢
21,羡慕有爱人和孩子
22,这个是呼吸机的警报声
23,敬佩！
24,科室氛围好棒
25,真的伟大！很有责任感的老师!
26,心理很重要
27,瘦了好多
28,间断性发烧好特别
29,一线的男孩子帅帅哒
30,致敬
31,那个声音值班听久了真的会有阴影。。。
32,致敬
33,致敬
34,这主持人怎么回事啊？你时间紧也不能卡人家话吧
35,不奇怪，她是引导对方说观众应该听到的话
36,致敬！！！
37,而且她现在是最安全的人，有抗体了
38,急诊人本身就有一腔热血
39,她也是女儿，母亲，妻子
40,家人也担心她的安全
41,责任
42,战士
43,致敬
44,弹幕护体
45,背景音是呼吸机的声音
46,男护士好罕见的
47,这是不是免疫了，无敌了？
48,致敬！战士！
49,致敬
50,哇，这句有我们在
51,太伟大了
52,品德高尚的人
53,对望着，没有说什么话，心里却有千言万语
54,伟大啊
55,向白衣天使们致敬
56,你们都是好样的
57,做最坏的准备和最好的希望
58,应该成功免疫了
59,致敬
60,泪目
61,致敬
62,致敬
63,致敬
64,致敬
65,致敬
66,我哭了
67,果然上天会帮助天使
68,哇塞
69,我要哭了
70,泪目
71,天哪 我泪目了
72,致敬感谢❤
73,致敬
74,致敬
75,音无结弦之时，悦动天使之心。立于浮华之世，奏响天籁之音。
76,害怕的兄弟们把泪目打在公屏上
77,中国加油
78,感谢
79,感恩有你们
80,泪目
81,加油
82,后羿
83,樊凡
84,护士真的这样
85,辛苦！
86,护士超级辛苦 真的 
87,致敬致敬致敬
88,AB
89,致敬
90,那是心电监护的声音……icu里全是
91,流泪了
92,没人吗？
93,全体起立！！！
94,希望全世界抗疫胜利。包括不喜欢的某些国家。只有真正的胜利，才是对烈士的告慰
95,看到过一个视频讲述好了的患者，瘦20斤左右。身心煎熬太多了！
96,最美护士姐姐
97,姐姐棒棒哒
98,感觉是个美女姐姐
99,感染了还能做到康复后继续战斗，真的天使
100,太无私了
101,致敬
102,太无私了
103,致敬
104,三观！
105,这主持人真奇怪……
106,白衣天使们辛苦了！
107,辛苦了
108,向英雄致敬！你们辛苦了！
109,致敬
110,您是英雄，向您致敬！愿好人一生平安！！！
111,致敬英雄!
112,我同事昨天也是37.8
113,辛苦了
114,致敬
115,辛苦了
116,致敬
