,comments
0,要是能招志愿者就好了
1,客人hhh
2,这也太好了吧
3,羡慕了！
4,辛苦了
5,致敬
6,辛苦啦
7,幸苦了，
8,做熟还好说，毕竟大锅饭，分成6000份是真的愁
9,2020年底了，武汉好样的
10,这吃的也太好了
11,2000份真的是太累了
12,不错啊
13,国家这是豁出去了不计成本
14,青岛啤酒为热干面加油
15,辛苦了
16,哪个时候的物价的25的成本真的良心了
17,五花肉
18,辛苦了
19,我好像在电视看过
20,工作过的地方，第一天搬运床，第二天夜里搬运移动厕所
21,辛苦了 致敬！
22,辛苦了
23,加油！
24,刚刚我也没分清Up和厨师长太像了
25,戴着口罩没分清Up和厨师长2333
26,热干面！
27,感觉好麻烦
28,辛苦啦
29,致敬！
30,我今天分手了。。。
31,辛苦了
32,哈哈哈哈哈
33,辛苦了
34,真的不错
35,有点可爱1
36,哈哈哈哈
37,辛苦了！
38,辛苦了
39,这是军队标准了 25元成本 大概是 快餐店零售价 40多水平
40,辛苦了
41,辛苦了
42,看见刚才手机的频闪了吗。ｏｌｅｄ瞎眼屏慎用
43,感觉比美国现在的防护好
44,这场战役，每个付出的人都是英雄
45,这是央视新闻？？？？？？？？？这是央视新闻？？？？？？？？？这是央视新闻？？？？？？？？？这是央视新闻？？？？？？？？？
46,？？？
47,谢谢大哥
48,辛苦
49,辛苦了
50,谢谢他们的付出
51,这得多累啊太辛苦了
52,辛苦了
53,辛苦了
54,老友粉为热干面加油
55,不是售价25，是成本25
56,中国加油
57,辛苦了
58,辛苦啦
59,你别把镜头怼这么近
60,炸酱面来加油了
61,辛苦了
62,螺蛳粉为热干面加油
63,两荤一素，还有米饭，再加上牛奶水果25块钱，已经不算贵了好吗？
64,是的
65,中国不差钱不差事，武汉加油!!!
66,电视上看到了
67,我吃午饭才花14
68,辛苦了
69,辛苦了
70,辛苦了
71,我饿了
72,烧烤为热干面加油
73,i了i了
74,辛苦了
75,辛苦了
76,辛苦了
77,辛苦了
78,辛苦了！！！
79,锅子饼为热干面加油
80,辛苦了
81,辛苦了
82,猪肉粉条给热干面加油
83,再想想那些吵着喝矿泉水的 唉 泪点低
84,真的辛苦了
85,辛苦了
86,这工作量可不小啊
87,说的不太好，麻烦减掉
88,辛苦了！！
89,辛苦了
90,一天15万。。。。。。。。。
91,扒鸡给热干面加油
92,我要去当厨师！！！
93,辛苦了
94,说真的已经不错了
95,辛苦了
96,他说话太像孙红雷了
97,人都崩溃了
98,职业病“客人”哈哈哈哈
99,辛苦了
100,辛苦了
101,谢谢有你们
102,我饿了
103,辛苦了
104,辛苦了
105,辛苦了
106,辛苦了
107,辛苦了
108,辛苦了
109,不要钱的，可以了
110,辛苦了
111,辛苦了
112,加油
113,唉 心酸
114,辛苦了
115,辛苦了
116,辛苦了
117,狗不理给武汉加油了
118,不要钱吗
119,6666666
120,驴肉火烧加一
121,驴肉火烧加油
122,这就是中国啊。。。还有哪个国家可以做到啊
123,厨师们辛苦了！
124,厨师们辛苦了！
125,幸福！厨师们辛苦了！
126,辛苦了！
127,辛苦了
128,盐水鸭为热干面加油
129,一家方舱医院光吃饭 一天就得十五万 武汉这么多家 吃饭每天就得百万的开销
130,老友粉为热干面加油
131,此生不悔入华夏 来世还生种花家
132,铁锅炖为热干面加油
133,辛苦了
134,肉好多好丰盛
135,好多肉啊
136,辛苦了
137,辛苦了
138,天啊…有那么多人在为我们负重前行
139,辛苦了
140,我柠檬了
141,辛苦了辛苦了
142,辛苦了
143,辛苦了
144,2333
145,也是高强度
146,辛苦了
147,比学校食堂好多了
148,辛苦了
149,这眼泪不听话不争气
150,大哥有点肿啊
151,太辛苦了
152,辛苦了
153,胡辣汤为热干面加油
154,干炒牛河给热干面加油
155,谢谢，真的谢谢
156,谢谢你们
157,辛苦了
158,辛苦了
159,辛苦了
160,辛苦了
161,辛苦了
162,比我学校好太多了
163,叔辛苦
164,辛苦了
165,辛苦了
166,辛苦了
167,哇，厉害厉害
168,加油
169,辛苦啦！
170,煎饼为武汉加油
171,辛苦了！致敬！你们都是英雄！
172,辛苦了
173,辛苦了，真的辛苦了，谢谢你们！
174,哈哈中国是美食大国！真好
175,辛苦了
176,哈哈吃的
177,吃这么好
178,辛苦了
179,辛苦了
180,鲜花饼为热干面加油
181,过桥米线给热干面加油
182,辛苦了
183,饿了
184,火锅为热干面加油
185,辛苦了
186,辛苦了辛苦了
187,牛腩粉为热干面加油
188,泪目
189,辛苦了
190,羊肉泡馍肉夹馍给热干面加油
191,哇吃的挺好的
192,怎么算的？7.2秒
193,成本25，加上人工，调料，设备，场地费用，平时这一份得卖到40吧
194,你们真棒
195,做饭的人也很好^
196,太辛苦太累了
197,太辛苦了
198,辛苦了！
199,客人哈哈哈顺口啦
200,不错
201,成本25，病人拿到手里都是免费的，这就是中国！！！
202,辛苦了
203,辛苦了，谢谢你们的付出
204,葱烧海参为热干面加油
205,辛苦了！！
206,辛苦了
207,？？？？？震惊竟然吃的比我好
208,向你们致敬
209,辛苦了
210,辛苦了
211,辛苦了
212,谢谢你们辛苦了
213,辛苦了
214,烩面为热干面加油！
215,肉夹馍为热干面加油
216,中国加油！
217,辛苦了
218,比我在家吃的还好
219,辛苦了
220,辛苦了
221,牛蒡混沌为热干面加油
222,煎饼卷大葱为热干面加油
223,加油
224,武汉加油
225,胡辣汤给热干面加油
226,肠旺面给热干面加油
227,可以套娃
228,像极的我学校的那口盆
229,辛苦了！
230,辛苦了
231,我流口水了
232,热干面为热干面加油
233,辛苦了
234,武汉加油
235,辛苦了
236,辛苦了
237,试卷为热干面加油
238,我们食堂一餐也2000份
239,伙食不错
240,辛苦了
241,辛苦了
242,辛苦了
243,辛苦了！！
244,武汉伢很自豪
245,辛苦了
246,幸苦了
247,加油！！！！
248,辛苦了
249,辛苦了
250,感谢国家
251,辛苦了
252,辛苦了大家
253,过油肉为热干面加油
254,哈哈哈哈 你好
255,感谢。辛苦了 最可爱的人
256,感谢 辛苦了 最可爱的人
257,辛苦了
258,硬币必须有
259,给我们学校当厨师吧，啊啊啊啊啊
260,辛苦了
261,我靠，比学校都好，还免费
262,辛苦了
263,辛苦了
264,真的辛苦了！！！加油加油
265,辛苦了！
266,辛苦了辛苦了辛苦了啊
267,辛苦了
