,comments
0,高考还有11个月梦想是学医希望可以实现
1,火钳刘明
2,武汉加油
3,Beat是恶贯满盈。
4,谢谢你们为这黑暗带来的光亮！Uh！
5,报道
6,再来一遍
7,感谢有你们
8,感谢白衣天使
9,好感动
10,有感觉
11,词写的真好
12,谢谢你们带来的光明谢谢你们
13,都是天使
14,棒棒棒
15,冲冲冲
16,泪目
17,ohhhhhhhhhhhhhhh
18,感谢，加油
19,榜样
20,好听
21,感谢感谢感谢
22,泪目
23,泪目
24,这次一定！！！
25,武汉加油！
26,厉害了
27,双压 skr
28,泪目
29,泪目
30,白医报道
31,入学时的宣誓入解剖室前的宣誓还算数赤子之心还在
32,武汉加油
33,中国加油
34,泪目
35,中国加油，武汉加油！！！
36,加油加油
37,武汉加油，中国加油!
38,逝者安息，生者奋进，致敬所有英雄，感谢你们
39,感谢白衣天使，致敬所有抗疫英雄
40,中国加油，武汉加油
41,川R报道
42,真实
43,前赴后继
44,别怕
45,万能医学生✓
46,是天使啊
47,万能医学生✓
48,jonyj
49,我又来了
50,白衣天使真伟大
51,加油武汉 加油中国
52,加油！
53,感谢白衣天使
54,谢谢
55,泪目
56,感谢有你
57,请给医护人员多一分理解，少一些医闹和仇视，毕竟有些时候他们也真的是无能为力了啊
58,谢谢你们为这黑暗带来的光亮
59,长大我想成为你
60,中国加油
61,加油
62,太棒了
63,Hero in white
64,致敬
65,逝者安息，生者坚强，祖国昌盛，英雄不朽
66,向英雄致敬
67,加油！
68,嗯我不会后悔。
69,我会和你们一样优秀！！
70,准医学生报到！！！
71,长大了 我就成了你
72,武汉加油！！！！！
73,辛苦了！
74,我三连又没了
75,武汉加油！
76,加油
77,泪目
78,我好像看到我老师了
79,二刷
80,幸得有你，山河无恙
81,给力。
82,看了一眼作者学校，华西的
83,skr~
84,感谢白衣天使
85,武汉加油！中国加油！
86,顿顿！
87,希望疫情早早结束 抗疫英雄凯旋归来
88,加油加油
89,加油
90,谢谢
91,好听
92,华西口腔医学太难考了！！！
93,感谢白衣天使！
94,株洲？
95,加油
96,泪目
97,中国加油
98,给我上去！
99,加油！
100,安医大第一临床医学院临床专业前来报道
101,你币有了
102,加油
103,加油
104,加油
105,加油
106,加油
107,heroes        in           white
108,别走了外面的风那么大
109,武汉加油
110,一定好好看文献好好做实验好好在医院工作！
111,突然觉得学医付出的努力都是值得的
112,好听奥
113,厉害啊！
114,泪目
115,武汉加油
116,致敬
117,感谢白衣天使
118,致敬英雄！
119,再来亿遍
120,加油！
121,人民英雄永垂不朽
122,三连给个加油，中国加油，武汉加油
123,感动
124,加油武汉
125,感谢白衣天使
126,恶贯满盈？？
127,辛苦了
128,我永远敬佩逆行者
129,希望你们凯旋平安归来
130,Heroes Never Die.
131,向英雄致敬
132,致敬
133,中华没输过
