,comments
0,致敬
1,致敬
2,中国加油
3,致敬
4,致敬
5,致敬
6,致敬
7,辛苦了
8,加油
9,加油
10,致敬
11,致敬
12,致敬
13,致敬
14,中国加油
15,致敬！！！！！！！！
16,加油加油！胜利就在眼前！医护人员辛苦了！
17,致敬
18,致敬
19,对不起，我什么也做不了，但真的感谢你们
20,加油
21,加油
22,致敬
23,致敬
24,中国加油
25,致敬
26,直致敬英雄
27,致敬
28,致敬
29,致敬，那些最可爱的人
30,致敬所有抗疫工作者！
31,致敬 致敬
32,心疼
33,加油，平安归来
34,辛苦了！
35,致敬
36,致敬所有一线人员！！！
37,加油加油啊！！
38,致敬
39,武汉加油，中国加油
40,致敬英雄
41,武汉加油，中国加油
42,加油加油
43,致敬
44,加油
45,致敬
46,#AA55FF
47,武汉加油
48,致敬
49,加油
50,致敬
51,稳住 加油！
52,谢谢白衣天使们
53,致敬
54,武汉加油
55,加油
56,因为有你们 春天很好
57,中国加油
58,中国加油 中国加油 
59,致敬
60,致敬
61,加油
62,伟大
63,加油
64,考古。4.4
65,加油
66,致敬
67,奥利给
68,致敬
69,致敬
70,致敬
71,886
72,致敬
73,愿逝者安息，一路走好，英雄永垂不朽！中国加油
74,加油！必胜！
75,致敬
76,中国加油 武汉加油
77,加油白衣天使
78,白衣天使加油
79,哭死我了
80,奥利给
81,中国加油中国加油
82,致敬
83,谢谢你们
84,致敬每一位白衣天使！！！谢谢你们
85,致敬！！！
86,致敬
87,感谢
88,致敬
89,泪目
90,致敬
91,致敬！
92,致敬致敬致敬致敬致敬致敬致敬
93,致敬致敬致敬致敬致敬致敬致敬致敬致敬致敬
94,致敬致敬致敬致敬致敬致敬致敬致敬致敬致敬致敬致敬
95,没人吗
96,加油
97,致敬
98,我光弹幕了？
99,致敬
100,致敬
101,赞！
102,致敬!
103,我不知道你是谁 但我知道你为了谁
104,致敬
105,加油
106,向死去的和一直在一线抗议的白衣天使致敬
107,1
108,致敬
109,中国加油
110,辣酱
111,致敬
112,致敬
113,加油
114,敬礼
115,谢谢你们
116,加油！
117,休假那个不现实
118,一定要健健康康的
119,中国加油
120,致敬
121,中国加油
122,加油
123,致敬！
124,致敬
125,志坚哥哥
126,致敬
127,可怕的病毒
128,加油
129,致敬！
130,加油！
131,666
132,致敬
133,泪目
134,加油
135,人民英雄永垂不朽
136,致敬！我们美丽的白衣天使！
137,武汉加油！
138,致敬
139,加油
140,加油
141,致敬
142,4.4 英雄走好
143,加油！
144,中国加油，武汉加油
145,谢谢我的国家
146,他们是真正的偶像
147,抱！
148,致敬！
149,加油
150,2
151,中国加油
152,加油
153,致敬
154,加油
155,加油
156,加油!
157,加油加油
158,你们是最棒的！！
159,致敬
160,老公
161,致敬
162,致敬！（全体起立）
163,泪目泪目泪目泪目
164,说真的，我的屏幕也变黑了
165,致敬！
166,致敬
167,加油中国！！致敬
168,加油
169,致敬英雄！
170,致敬
171,致敬
172,加油
173,致敬
174,致敬
175,致敬
176,主持人帅大叔
177,yes
178,英雄不朽
179,希望一切按下归零键！加油！！！
180,加油！
181,谢谢你们
182,致敬英雄
183,致敬
184,致敬
185,致敬
186,致敬
187,致敬
188,致敬
189,致敬
190,致敬
191,致敬
192,加油
193,1
194,加油
195,哎
196,加油
197,致敬
198,谢谢你们
199,1
200,致敬
201,愿逝者安息，愿生者奋发，愿祖国昌盛，致敬英雄
202,"我的屏幕怎么变灰了,中国加油武汉加油"
203,真好
204,致敬，哪些可爱的白衣天使们
205,致敬
206,加油
207,怎么烫头了？
208,致敬
209,致敬！
210,加油加油
211,向白衣天使致敬！！！！！！！！
212,加油
213,中国加油！致敬天使们
214,加油啊！！！
215,加油
216,致敬
217,白衣天使
218,白衣天使
219,加油
220,1
221,辛苦了
222,致敬
223,加油，中国英雄！
224,致敬天使
225,心疼
226,归来无恙
227,加油
228,一定要多补一点
229,加油，致敬！
230,致敬，英雄
231,心疼(>﹏<)
232,1
233,为医务人员点赞
234,致敬英雄
235,致敬！！！！
236,致敬！
237,致敬！
238,医护人员加油
239,太应该了
240,这六个是烈士
241,武汉加油中国加油致敬
242,加油加油加油加油
243,致敬
244,致敬
245,致敬，加油！！！
246,致敬
247,致敬
248,致敬
249,加油
250,武汉加油
251,加油
252,加油加油加油加油
253,好
254,致敬！英雄
255,致敬
256,加油
257,加油！
258,致敬
259,武汉加油，医护人员加油，注意安全！
260,致敬
261,加油
262,钱给多多得。这些都是英雄！！！！
263,加油加油加油
264,2
265,安好!
266,致敬
267,致敬工作者
268,加油！
269,致敬！
270,致敬
271,武汉加油！中国加油！
272,加油！
273,。。。。致敬！
274,致敬
275,致敬
276,中国加油
277,武汉加油
278,加油
279,致敬
280,致敬！
281,加油 致敬
282,致敬
283,加油，中国！
284,武汉加油，向英雄致敬
285,加油按下归零键
286,致敬
287,建议：疫情结束后医护人员带薪休假两个月
288,致敬!
289,武汉加油
290,抱抱
291,致敬
292,加油加油加油！！！！
293,致敬
294,走好
295,加油加油
296,中国加油！中国加油！
297,致敬
298,奥力给！加油！
299,致敬
300,加油
301,武汉加油，中国必胜
302,谢谢你们！
303,致敬
304,致敬！
305,武汉加油
306,致敬
307,致敬
308,走好
309,加油！医护人员一定要保护好自己！
310,武汉加油 中国加油！
311,致敬，希望以后大家都能记得医护人员的付出
312,致敬！
313,致敬
314,加油
315,加油
316,zhijing
317,oye
318,事情感人，文案朴实
319,致敬
320,致敬天使们
321,加油
322,www白衣天使加油
323,加油
324,致敬
325,加油
326,加油
327,也向殡仪馆加班加点的工作人员致敬
328,中国加油
329,加油
330,致敬
331,一定要平安归来！
332,ohhhhhhhhhhhhhhhh
333,难受╯﹏╰╯﹏╰
334,致敬
335,加油
336,加油鸭
337,加油，中国
338,武汉加油
339,向医护人员致敬
340,致敬
341,奥利给
342,致敬！
343,致敬
344,武汉加油
345,致敬
346,心疼
347,加油加油
348,中国加油！
349,致敬
350,加油
351,加油
352,中国加油
353,致敬
354,加油
355,希望大家平平安安的
356,武汉加油
357,武汉加油，中国加油
358,致敬
359,医护工作者了不起啊！
360,致敬
361,加油
362,致敬
363,致敬
364,致敬医护人员
365,加油
366,必胜！
367,今天又多了两例治愈的了
368,致敬
369,致敬
370,啥也不说了致敬！
371,大多数都是好看的小姐姐
372,在家的第3周
373,呜呜，感动
374,加油
375,加油
376,加油
377,加油
378,加油
379,加油
380,加油
381,加油
382,中國加油！
383,致敬！
384,致敬白衣天使
385,致敬
386,节哀
387,加油加油！！！！！
388,致敬
389,致敬工作者！
390,致敬
391,致敬白衣战士
392,致敬！
393,郭志坚老师好帅！我可以！
394,武汉加油！中国加油！
395,致敬，一定要平安呀
396,加油加油
397,加油
398,加油！
399,好帅啊 哈哈哈
400,泪目
401,加油
402,眼睛进了沙子
403,致敬！武汉加油！中国加油！
404,致敬
405,致敬所有为了这场战役付出的战士们
406,致敬
407,加油坚持啊
408,加油！
409,武汉加油
410,白衣天使们，辛苦了！
411,武汉加油！
412,向奋战在一线的医务人员致以伟大的敬意
413,难过
414,致敬!
415,加油！
416,武汉加油  希望可以早一天看到他
417,致敬
418,心疼
419,大家一起加油啊
420,致敬
421,中国加油
422,武汉加油
423,加油啊
424,辛苦了
425,致敬一线人员！
426,中国加油
427,武汉加油
428,希望一切都赶快好起来。
429,辛苦了，谢谢你们！
430,武汉加油
431,致敬这些白衣天使！
432,一个都不少
433,武汉加油
434,致敬！请平安归来！
435,加油
436,大家都要健健康康～
437,常怀感恩之心
438,好
439,逝者安息
440,太帅了
441,加油！
442,精神上的压力才是折磨
443,中国加油啊
444,哀悼
445,致敬
446,中国加油！
447,加油！
448,加油
449,武汉加油
450,致敬
451,加油中国
452,，
453,加油
454,致敬
455,致敬
456,建议追认烈士
457,致敬
458,捐款没花掉的分给医务人员吧
459,致敬！辛苦了！
460,最美的人，值得最美的鼓励
461,唉。不过我们的国家真的很强大
462,1
463,可以给女性配备安全裤
464,加油啊！！
465,武汉加油
466,好帅
467,加油
