,comments
0,致敬
1,今天武汉解封
2,人面兽心的
3,还要播多久
4,致敬
5,祖国加油！
6,一名普通的武汉市民谢谢你们！谢谢！
7,左下角那个女人是给聋哑人看的
8,致敬
9,致敬致敬
10,4月4日报到
11,致敬
12,中国，加油。
13,致敬
14,中国加油，武汉加油，世界加油
15,看见我吗
16,致敬！
17,中国加油，全世界加油。
18,致敬！
19,武汉加油！湖北加油！全中国加油！！！
20,致敬。
21,致敬
22,武汉加油
23,武汉加油中国加油！
24,武汉加油
25,加油china!!!
26,武汉加油
27,加油
28,致敬！
29,致敬！
30,好厉害啊
31,新上任的武汉卫健委很有能力
32,为你们点赞
33,从治愈率高的地方调呀，多宝贵的经验！
34,加油
35,武汉加油
36,江苏支援了2492为医护
37,感谢！
38,左下角手语老师，是不是总和朱广权搭档那位
39,研究生要不
40,致敬
41,辛苦了  国家栋梁
42,致敬！
43,壮哉我华夏大地！
44,加油啊！
45,这么多人应该够了
46,还不包括军队的
47,加油
48,必胜
49,加油
50,应急办法更多了，执政能力增强了
51,武汉加油
52,何为大国
53,祖国加油
54,祖国加油！
55,加油
56,我来证明你开了弹幕
57,加油
58,666
59,手语老师咋了
60,生在大国的幸福
61,武汉加油
62,66666666
63,威武
