,comments
0,记者是董倩，面对面主持人呀
1,这哥们带着电脑是在远程办公吗
2,董倩，真的特别好
3,哇！董倩老师都直接上前线了！！
4,心态啊心态
5,一定要积极配合！相信一切都会好起来的！！！！
6,痛风和肺炎的药不一样的啊
7,加油！
8,其实跟致死率年龄段有很大关系，真就是大号流感，死亡率3%左右
9,弹幕区里太多无脑一级号
10,辛苦了！！！
11,好多层口罩
12,好多层啊！
13,辛苦了
14,相互理解相互包容
15,百善孝为先
16,看不到~23333
17,心态对病有一点的治疗
18,中国加油
19,中国加油！
20,上撤硕
21,加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油呀加油加油加油呀加油加油加油加油加油加加油加油加油加油加油加油加油加油加油加油加油呀加油加油加油加油加油加油加油加加油加油加油加油加加油
22,加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加
23,爱我中华
24,大妈受我一拜
25,好几层口罩。 
26,hi哈哈哈哈哈哈哈
27,三层口罩真可爱啊，为了防止传给别人
28,祖国加油
29,加油！中国加油
30,加油加油加油
31,加油加油加油加油加油加油
32,中国加油！武汉加油！
33,加油加油加油加油加油加油加油加油加油
34,武汉加油！
35,加油
36,加油
37,真实
38,辛苦了
39,加油
40,加油
41,孝顺
42,加油
43,累呀
44,实话
45,中国加油，武汉加油
46,敬礼！！
47,口罩没拉开
48,加油！
49,斗宗强者恐怖如斯
50,辛苦了
51,哈哈哈哈哈哈
52,加油，早日康复
53,武汉加油
54,这是心理疏导
55,jio
56,1
57,加油
58,没有可靠疫苗，现在这病只能控制靠自身抵抗力杠没
59,真实，这个沉不住气道出了贼多人心声哈哈哈
60,孝子！
61,致敬
62,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈，真实
63,治病的一大要素就是乐观心理，因为这样血液流动快，加升新陈代谢，好的会快一点
64,我总想看清他们的脸，但是看不到，泪目
65,加油！！
66,他带了多少口罩？
67,致敬英雄
68,阿姨加油！
69,加油
70,武汉加油！
71,中国加油
72,原谅我笑出了声
73,我感觉乐观很重要的
74,心态好精神都好一些
75,辛苦了，各位英雄，加油，注意身体啊。
76,这护士小姐姐看眼睛就知道很漂亮
77,哈哈哈哈，
78,加油
79,加油
80,患者们早日康复
81,真的很忙的
82,加油啊啊啊啊
83,赞！
84,女神
85,武汉加油
86,加油
87,默哀
88,中国加油！武汉加油！
89,武汉加油！中国加油！致敬医护人员！！
90,都不容易
