,comments
0,来看焦局长
1,来了
2,在读稿
3,岩松你好呀
4,比男官员说话快
5,+1
6,skr
7,自由散播了病毒，而责任，控制了病毒
8,我国没美国那种自由，但我国每个人都清楚自己的责任。
9,别说了，这是国家疾控中心最有经验的人才，回答个问题不像玩一样。
10,别说吃野味，美国大流感没人吃野味，鼠疫和天花都一样
11,个人建议用血清dna复制抗体，虽然有风险，但是速度最快
12,就算临床投入使用都要注意副作用，疫苗对很多身体抵抗力不好或者基因特定缺陷的人群，会是毒药
13,就可以得出什么时候感染，每个人的手机gps都会记录你的行进过程，甚至你和感染人的大数据接触都会找出来
14,培养一个合格的呼吸科医生至少要12-15年，还不算之前10年的读书时间
15,血浆有限，抗体dna分离需要时间，这是下策，容易产生溶血症
16,[+]
17,太多了
18,武汉                         加油
19,加油！
20,我终于可以发弹幕了
21,中国加油
22,眼镜不出雾气？
23,愿一切安好
24,来了
25,武汉加油
26,武汉加油
27,孝感汉川报道
28,孝感汉川报道
29,治病救人
30,999999
31,市内起什么雾？
32,武汉加油
33,呼吸机该给谁?
34,专业
35,47岁
36,我居然在这看新闻
37,(≧∇≦)/
38,加油
39,+1
40,咋避免？？
41,1.25倍说话显得正常
42,[+]
43,物资物资物资物资物资物资物资物资物资物资物资
44,床位OK了，设备还要加油
45,承包空屏
46,是不是因为基数太大了
47,热乎的
48,她眼镜歪了
49,QAQ画质感人QAQ画质感人
50,这个媒体人真的棒
51,这眼镜真好！
52,不知道……
53,武汉加油，加油加油加油加油加油加油加油加油
54,武汉加油，中国加油
55,加油
56,加油奥利给！
57,南昌加油
58,中国加油！武汉加油！
59,南昌人来了
60,不是说连花清瘟可以遏制吗
61,有点东西
62,天津人报道
63,来了
64,动物们有保障了
65,主要现在全是重症，治愈率自然就下降了！
66,准时报道！
67,准时报道！
68,厉害
69,真是人才
70,辛苦了
71,來了
72,慢是要说清楚
73,2020-3-6
74,说得好，2020
75,孝感城区人口才三四十万。。。
76,再放送
77,专科就可以学吧
78,笼统的法则不能涵盖纷至沓来的一切重要事件。
79,每个时代的状况都是特殊的，这使它自己考虑自己的行动和决定成为必要。
80,医生真不容易
81,太辛苦
82,［＋］
83,神仙去还有一个目的，监测病毒变异，一定要及时反应
84,一批成功免疫的医生去坐镇，神仙在场
85,病毒密度太高了
86,与中医药参与率底有一定关系
87,中医药参与率很低造成的
88,俺来也
89,我很想学医，但是大学考不上
90,还是设备床位不够
91,设备问题吗
92,加油孝感
93,中国加油，武汉加油
94,有预防疫情的药吗？
95,有预防疫情的药吗？
96,武汉加油
97,武汉加油
98,武汉加油，中国加油
99,来了
100,武汉加油
101,加油加油加油！！！
102,病人太多了
103,孝感加油
104,                           -
105,来了
106,这是实干家
107,武汉加油
108,这局长不年轻呀，已经快五十了，保养的好
109,真的是冒着生命危险救人
110,孝感人又来了
111,好官
112,中国加油
113,多会才开学？我突然怀念学校的一草一木
114,焦局长在非典时期就有突出贡献
115,那么年轻能当副局长，肯定是因为专业啊
116,很多医生护士都有悬壶济世的英雄主义情结
117,白岩松先生圈粉
118,我喜欢白岩松
119,来了来了
120,来了
121,疫情区和其他区是一回事么？没有可比性
122,怎么没弹幕
123,希望各个行业的领导都用相关的专家
124,天呐，只有一家三甲
125,因为她在空调房间里，没有温差，所以眼镜不起雾
126,因为去世的多为重症
127,来了
128,这个是专业局长
129,越是困难 越要抬头 我们会赢！ 中国加油💪
130,培养一个医生花费的时间太漫长  这是没办法的事情
131,80后开始扛旗了  正常
132,感谢医务工作者的付出
133,焦局长说的好不能提倡疲劳工作点赞，
134,。。。
135,说了实话啊 就是还要人还要东西
136,白岩松是真的说大实话
137,l
138,因为没有温差呀
139,人数没减，只是收治了很多临床病例
140,武汉，加油
141,武汉加油
142,武汉，加油！
143,武汉，加油！
144,呼吸机是最重要的
145,意味着病人都被发现了
146,后悔没学医了
147,不要客气
148,是个实干领导人！！！
149,是医学专业知识领导人！！！
150,焦亚辉说得有理有据！！！
151,除肺部，其它器官也严重破坏！！！
152,转移需要负压救护车，而且会威胁周围地区！！！
153,放任何人地方都一床难求！！！
154,前几天报道氧气已经很急需了！！！
155,大量需要氧气的病人，医院肯定捉襟见肘！！！
156,带耳机
157,你报考医，不代表能考的上啊
158,并不代表变好了，而是代表确诊的更多了，分母变大
159,这个黑眼圈 真的辛苦了
160,专业
161,别的省十几个医生盯着一个病人，武汉一个医生可能就得盯十几个
162,因为防护用品不够所以不敢频繁轮替
163,有，高考学医
164,游
165,加油，奥利给！
166,。
167,武汉加油！
168,人才啊 靠这样的人才能赢
169,据说疫苗研制需要8-10个月，不仅仅是做出来就可以，还要经过临床才能投入使用
170,别客气啊
171,现在是中药加西药
172,医疗资源跟不上，武汉医疗条件算好的，如果是普通地级市更崩溃
173,武汉首发，很多人起先不知道是个病耽误了治疗，再加上资料资源跟不上！
174,人多就不好照顾
175,无语，就不能直接回答么
176,。。。。说说实在话好不好
177,加油加油！
178,6666666
179,保护好自己才能去保护别人
180,看的我也哽咽了
181,轻症就重视治疗！
182,说得好
183,【+】
184,[  +  ]
185,非典的疫苗可是等了一年的
186,我喜欢这个人，开门见山告诉你是的，不拐弯抹角
187,我有同款小外套哈哈哈
188,+
189,[+]
190,[+]
191,说得好  后勤跟不上制度无法执行  
192,央视新闻居然开 弹幕了？
193,仅凭湖北省的医疗实力是远远不够，根本控制不了新冠病毒，只有团结全国才行
194,不去援助湖北，后果不堪设想
195,免疫力下降，病毒会趁虚而入
196,已经度过了初期，现在要稳住
197,武汉有一个医院院长感染病毒已经病逝了，唉！
198,只睡2小时，很危险啊！免疫力下降很容易感染病
199,直
200,孝心感动天下，这是孝感的由来
201,要么别人怎么能副局呢？肯定有本事嘛
202,［+］
203,最关键还是需要疫苗
204,新冠病毒很历害，肺变白了就完了
205,几万病毒感染者要是发生在日本，日本是很难控制住的
206,天佑中华
207,眼镜不起雾
208,他的眼镜为什么不起雾
209,不论在哪里，这样巨量的病人忽然出现，都会压垮医院
210,要出入证的
211,医疗资源还是紧张
212,2倍刚刚好
213,瑞德西韦昨天刚有消息，对轻症有点用，对重症不明显
214,连防护服和口罩都缺，呼吸机就更缺了
215,转移病人要负压救护车，哪有那么多车？
216,应该对医疗资源进行战略储备
217,真的喜欢白岩松，另外多谢这些义务人员，辛苦了！！
218,明显看着屏幕上的提示说的 你们真的搞笑
219,武汉加油
220,这个院长还不错
221,耳机
222,武汉加油！！！
223,泪目
224,以后新闻联播能有弹幕就好了
225,第一次看焦局长新闻发布会的时候就觉得她靠谱，希望她越来越好，也多识别任用多培养干部
226,[+]
227,许多省份都把最硬的那片龙鳞给了湖北了，我老家福州协和医院 附一医院 省立医院都是支援湖北了
228,他们已经是英雄了
229,[+]
230,【+】
231,来了老弟
232,专业
233,武汉加油
234,同学们我们要好好感谢医护人员是他们的坚持换来了我们的上学的机会
235,回答的好，焦
236,我现在才发现有些 [ + ] 竟然是弹幕
237,呼吸机加油
238,黑眼圈好重呀，要加油
239,高压氧舱是不是也不够
240,唯一的一个三甲医院？？孝感市？
241,为焦姐姐投的币 辛苦啦
242,彩排了
243,5G建设势在必行
244,[+]
245,因为基数大了
246,[+]
247,辛苦了
248,前途无量
249,加油
250,很年轻啊！
251,全屏就能调倍速了
252,1.25
253,我也在孝感，不出门真的很安全
254,超压工作免疫力会掉更容易感染，不能冒险
