,comments
0,国士无双
1,国士无双
2,致敬
3,跑车
4,。。
5,你特么跟我说这80多岁?
6,感觉他比我身体好，爱了
7,伟大啊
8,国士无双
9,国士无双
10,国士无双国士无双国士无双国士无双国士无双
11,国士无双
12,国士无双
13,国士无双
14,国士无双
15,国士无双
16,国士无双
17,国士无双
18,致敬
19,致敬
20,国士无双
21,国士无双
22,国士无双
23,国士无双
24,奇异恩典!
25,国士无双
26,国士无双
27,国师无双
28,致敬
29,国士无双
30,国士无双
31,这本书很厉害的
32,写本书也很厉害！
33,国士无双
34,国士无双
35,国士无双
36,国士无双
37,致敬！
38,国士无双
39,国士无双！
40,国士无双
41,bgm：奇异恩典！
42,奇异恩典！！！！！！
43,国士无双
44,男神
45,致敬 国士无双
46,致敬
47,国士无双
48,谢谢您，男神！
49,COPD
50,国士无双
51,国士无双
52,太强了
53,国士无双
54,国士无双
55,大家可以看看
56,国士无双
57,人家锻炼是为了救人
58,致敬
59,致敬！
60,国士无双
61,国士无双
62,我也要不白活
63,致敬
64,致敬
65,谢谢你，钟爷爷
66,致敬
67,国士无双
68,国士无双
69,国士无双
70,致敬
71,国士无双！致敬！
72,钟老五百岁寿辰前来考古！（狗头）
73,国士无双
74,国士无双
75,一家都是白衣天使
76,国士无双
77,国士无双
78,老当益壮
79,国士无双
80,厉害
81,国士无双
82,国士无双
83,希望国士身体健康
84,国士无双
85,国士无双
86,国士无双
87,国士无双
88,致敬
89,致敬
90,国士无双
91,国士无双
92,辛苦了！
93,致敬
94,国士无双
95,国士无双
96,国士无双
97,致敬钟老！
98,致敬！
99,自信一点，“明星”去掉引号。
100,所以，学生党同志们，报国的心要永恒哦！
101,强壮
102,国士无双
103,致敬    向您学习
104,致敬
105,国士无双
106,国士无双乾坤
107,国士无双
108,致敬
109,致敬
110,国士无双
111,国士无双
112,说真的，不希望他再奔波！希望他能颐享天年！希望后生晚辈们能多争气！替他们老一辈扛下祖国的未来
113,致敬
114,国之栋梁啊
115,国士无双
116,致敬
117,感谢，致敬
118,国士无双
119,国士无双
120,国士无双
121,国士无双
122,国士无双
123,国士无双
124,辛苦了
125,国士无双
126,国士无双
127,英雄一家
128,国士无双
129,致敬
130,国士无双
131,一个人的一生应该是这样度过的：当他回首往事的时候，他不会因为虚度年华而悔恨，也不会因为碌碌无为而羞耻 -----保尔柯察金
132,国士无双
133,一个人
134,中国加油
135,致敬钟老先生
136,伟大
137,我的天这身材
138,国士无双
139,国士无双，辛苦了
140,致敬 爱您
141,国士无双
142,国士无双
143,国士无双
144,国士无双
145,国士无双
146,虎父无犬子
147,我们也要努力！！！！报效祖国
148,向您致敬
149,国士无双
150,致敬
151,国士无双
152,国士无双
153,国士无双
154,国士无双
155,帅！
156,国士无双
157,国士无双
158,国士无双
159,国士无双
160,国士无双
161,致敬
162,大爱祖国
163,国士无双
164,弹幕安静认真看，嘘！
165,福建骄傲
166,国士无双
167,高中的学长！致敬！
168,国士无双
169,请您一定要长命百岁！
170,国士无双！冲锋陷阵！背水一战！
171,好强～～～
172,国士无双
173,国士无双
174,国士无双
175,国士无双
176,国士无双
177,国士无双
178,国士无双
179,国士无双
180,致敬，国士无双
181,国士无双
182,国士无双！
183,致敬！
184,致敬
185,国士无双
186,国士无双
187,国士无双
188,点赞
189,国士无双
190,国士无双
191,国士无双
192,致敬！！
193,❤️❤️❤️❤️
194,向您学习！！！
195,我白活了
196,我有国士，天下无双
197,国士无双。
198,国士无双
199,为人民服务
200,辛苦了
201,祝长命百岁
202,国士无双
203,致敬
204,国士无双
205,致敬
206,国士无双
207,国士无双
208,国士无双
209,国士无双
210,这才是真的英雄！！！
211,国士无双！？
212,武汉加油！
213,国士无双！
214,国士无双
215,能文能武
216,国士无双
217,大风起兮云飞扬，威加海内兮归故乡，安得猛士兮守四方。
218,国士无双
219,国士无双！
220,国士无双！
221,我们需要英雄，但不需要英雄牺牲
222,致敬钟院士！
223,国士无双
224,国士无双
225,国士无双
226,国士无双
227,致敬
228,国士无双！
229,这特么80多岁！！？？？
230,国士无双
231,致敬
232,致敬
233,致敬
234,国士无双
235,国士无双
236,国士无双
237,国士无双
