,comments
0,中医急救也可以，只是会的人不多
1,中医调身体环境
2,调理平衡
3,扶正辟邪
4,病入膏肓了
5,扁鹊
6,都是轻症
7,证
8,除湿
9,中医搞外科手术的时候还没有西医这东西
10,挡住脸帅多了哈哈
11,八段锦我会！
12,喝惯癍痧的广州人表示毫无压力哈哈哈哈
13,中药调理真的很管用 我妈不舒服看遍医生吃西药都没解决 后来看中医吃了开的中药几天就好很多了
14,啊！达原饮
15,半表半里！
16,中医本来有更好的发挥，可是现在中药市场也很乱
17,针灸好的都失传了
18,哈哈哈哈哈哈哈
19,中药止咳还行
20,大开大合
21,蹭吃蹭喝，我也要去
22,真说快死了打肾上腺素肯定比四逆汤来的快
23,急症不能靠中药，要靠针灸之类的手段吧
24,确定这次是真的难喝了哈哈哈哈哈哈
25,丑了 哈哈
26,叠甲 过
27,非常不可取
28,要不得
29,咋啥都喝啊
30,说自愈的那个 美国死了九万人了  美国人的体质  我不说你也知道吧
31,我现在还记得每天下了早课跑去水房盛热水泡袋装的中药
32,然后刚开始输液 但是反反复复上火 一个多月就又病 我妈就带我看了中医喝中药
33,17年冬天山西特别干燥 我当时高三住校免疫力差老生病 发烧咳嗽嗓子痛
34,.
35,比如外科
36,少阳
37,治病的人，不是人的病
38,丑了丑了
39,上中医的来看
40,前面说中医不科学的，何为科学
41,叔你一人分饰两角？
42,气阴两虚
43,还有多少人在上语文课？
44,还有多少人在上语文课？
45,还有多少人在上语文课啊？
46,中药好棒！！！
47,开始了
48,中西医融合你开玩笑呢两个理念都不一样
49,中医的理念是不治已病治未病
50,辨证治疗
51,艾灸的主要作用是驱邪这个邪说的是一些致病因素
52,加油
53,大开大合又回来了
54,能回家自己熬药效果更好
55,八段锦我也会嘿嘿嘿
56,我妈就是  不想吃西药觉得有副作用
57,同病异治，异病同治
58,这是现代医学啦
59,你看得见吗。。
60,防御力提升了
61,外治炎症，内补气血
62,心疼中医
63,说的在理
64,请问打？的人都是中医世家是吗？
65,致敬
66,我听说中西医结合是山西先用的
67,增加集体经济
68,有内味了
69,喝得老开心了
70,中药，唉
71,广东凉茶
72,兄弟
73,幸苦了
74,中医是宝藏
75,中药治本不治标，西药治标不治本
76,忽然想起小说里的中医。
77,美滋滋
78,干了
79,吴又可，隔离治疗 病从口眼鼻入开创者
80,被子太厚了
81,加油
82,苦
83,已带好口罩
84,双手托天理三焦
85,达原草果槟厚朴，知母黄芩芍甘佐，辟秽化浊达膜原，邪伏膜原寒热作。
86,自汗出宜桂枝汤
87,Ziha
88,贝爷都不敢喝的蜜汁中药
89,这个阿姨好可爱啊！
90,张文宏也是这样说的 谁的好用谁上 不分中西
91,对对对 现代和历史的结合 在哪个领悟都是适用的
92,中西结合才是王道呀
93,眼睫毛够长就可以当雨刷
94,中医是经验学，伪科学谈不上吧
95,哈哈哈哈哈
96,大家要记住，西医就出了呼吸机跟劳力
97,我们公司煎的中药
98,我们公司煎的药!
99,我们公司煎的中药
100,吴又可的达原饮！！！
101,加油
102,人是一个整体
103,大中医崛起！
104,大中医冲鸭！
105,我家也是哈哈哈
106,中医西医只是工具，最主要是治病
107,叔，你这……
108,辛苦了
109,加油
110,丑了
111,快病看西医，慢病看中医
112,甜哟
113,加油
114,寒热往来
115,西药的针对性强一点，中药是对疾病的治疗周期有明显积极的影响
116,中药是抗病毒的同时调理人，西药是直接抗病毒
117,看不下去了，中药是帮对抗病毒的同时调理人的状态，西药是直接去对抗病毒的
118,中医来了疫情就要结束了。
119,啊哈哈哈哈哈八段锦，大一表示正在学啊哈哈哈
120,中医
121,哪有预防？
122,英雄们请一路走好
123,广东人表示无压力
124,支持中医
125,艾条好闻
126,脸苦
127,武汉加油鸭！
128,中医治本，西医治标
129,啊，真香啊～哎呀
130,中医院士说了只能治疗轻症
131,艾灸除了不治病其他还好
132,重症千万别用
133,好苦啊感觉
134,武汉加油！！
135,精神小伙！！！
136,武汉加油！
137,我们这边完全没有酸酸甜甜的，我就是中药味
138,中医护我华夏千年 
139,呼吸机 不叫西医 那叫现代医学
140,哈哈哈哈哈哈哈哈high
141,哈哈哈哈哈哈哈可爱
142,支持中医药
143,我觉得是因为中医更复杂 复杂科学的建立总是漫长的
144,我觉得中药好喝。。。。我喜欢中药味。。。。我真怪
145,非常非常正确！
146,加了甘草
147,他们太辛苦了，一整天都要这样，太热了
148,致敬
149,中医药大学的听得津津有味
150,这是八段锦
151,致敬
152,你咋这么没见识呢
153,很有用
154,叔辛苦了
155,中医扶正祛邪啊
156,医护眼镜都起雾了
157,哈哈哈
158,丑了丑了
159,辛苦了辛苦了！
160,武汉加油
161,良药苦口利于病
162,有内味了
163,安慰你妹
164,广东省佛山市南海区中西医结合医院
165,中药有效，但是中医是伪科学 
166,哈哈哈
167,中药主要针对并发症，病毒本身没有特效药，靠调理人体本身免疫力
168,但是谁又跟你说纯天然就无毒害呢
169,广谱抗病毒也可以缓解啊 咋就现代医学只剩呼吸机了
170,别西医西医 这叫运用现代技术手段的现代医学
171,划重点：中药主要是调养
172,这几个人描画半天跟病毒感染也没什么关系啊
173,中药很多方毒副作用也很多啊 
174,不懂别装啊 抗生素是抗细菌的 治疗病毒疾病又用不到
175,人家不是说了中药不针对病毒 只是调节人体
176,没有特效药可以用广谱药啊 谁说只有中药能用
177,所以重症的都不用中药
178,驱邪？邪是什么
179,熏艾灸什么用？
