,comments
0,叔辛苦了
1,加油
2,憋坏了
3,电子化也要考虑不会使用电子产品的人群呀
4,社区的工作就是这样的，一般都叫上户
5,不知道我们现代化农业用的喷雾机行不行，就是这个的电动版，
6,八月来了
7,真的是历劫，全世界
8,真的辛苦了
9,致敬
10,辛苦了
11,辛苦了！！
12,辛苦了
13,左手加压 右手喷雾 他的节奏是 一呲呲 二呲呲 三呲呲~
14,押韵
15,说滴好
16,？？？
17,打农药的
18,怕这个时候去医院感染
19,辛苦啦
20,大开大合！！
21,辛苦了！
22,20年的抗洪也是很大的
23,辛苦了
24,辛苦了
25,后面大妈带口罩啊
26,还扥了一下手套
27,泪目
28,致敬
29,4月来的 你们胜利了
30,应该是弥雾机
31,有些特殊人群确实困难
32,hellohello
33,这么累，但凡有一点疏漏，也会被骂死，太辛苦了
34,致敬
35,事主不打码是不是也不太合适
36,辛苦了
37,太难了
38,辛苦了
39,辛苦了
40,这可真是功德无量啊！
41,哈哈哈哈
42,这不是喷农药的么，真的小米加步枪了
43,活菩萨
44,哈哈哈哈哈哈哈哈哈
45,好真实啊
46,真辛苦啊，致敬
47,电动的比这个重没办法
48,真真正正的不是一个级别、
49,辛苦了
50,都好
51,加油
52,辛苦了
53,在国外谁管你死活，感谢祖国
54,辛苦了
55,电动的重
56,在人间
57,这是真实的中国啊，也是伟大的祖国，愿伟大的祖国繁荣昌盛
58,太辛苦了了，理解吧
59,哈哈哈哈叔疫情过去你就瘦了
60,哇…………这么多…………
61,泪目
62,防水补漏瞩目
63,真的体会到，什么叫万众一心
64,辛苦了
65,你带的是超薄的
66,加油加油加油
67,辛苦了
68,加油
69,辛苦了，加油！
70,辛苦了
71,致敬辛苦了
72,辛苦啦
73,辛苦了，谢谢
74,这不是原来村里喷农药的东西嘛
75,写病历看不懂啊
76,已经赢了
77,加油啊
78,万松园的蟹脚热干面无敌!!!!!!!无敌!
79,辛苦了
80,辛苦啦
81,辛苦了
82,哈哈哈哈哈哈哈哈哈
83,这也太难了
84,辛苦了真的辛苦了
85,辛苦了
86,辛苦了，谢谢你们！
87,我才六十多斤
88,这里哭了……
89,武汉加油
90,辛苦了
91,太难了  哭死我了
92,辛苦了！
93,辛苦了
94,辛苦了，谢谢！
95,辛苦了
96,叔，加油
97,辛苦了辛苦了
98,辛苦了
99,还记得口诀不 
100,这个工作和领导能力有点强啊 各种数据情况明明白白
101,致敬！！！
102,还老子游戏
103,加油！！！！！！！
104,泪目！
105,辛苦了
106,辛苦了
107,辛苦了
108,辛苦了，加油
109,还得看病？太辛苦了吧
110,辛苦了叔叔
111,加油
112,小区物业啊
113,辛苦了
114,辛苦了
115,辛苦了辛苦了
116,我听成红雷哥
117,辛苦了
118,这楼里有病人这家还开着门
119,确诊了那栋
120,那个确诊好多那栋
121,太难了
122,该用对讲机
123,辛苦了
124,我去这楼盖的好科幻我喜欢
125,辛苦了！
126,筒子楼，老小区
127,我是武汉人，这不是市区口音
128,加油
129,辛苦了
130,辛苦了
131,辛苦了！～
132,加油
133,辛苦了
134,因为没有电梯，机器重，唉……心疼社区工作人员
135,希望大家配合一点，态度好一点，你花的是几分钟，他们却要几个月
136,加油
137,好辛苦啊
138,先赞后看是习惯
139,加油
140,致敬英雄
141,辛苦了
142,辛苦了
143,加油
144,武汉加油
145,说的太对了！
146,辛苦了！
147,辛苦了
148,加油！
149,辛苦了
150,当时护目镜不够
151,“正能量”
152,正能量
153,辛苦了
154,辛苦了
155,武汉加油，中国加油
156,辛苦了
157,加油！辛苦了
158,辛苦了，叔
159,辛苦了，都辛苦了。
160,哈哈哈
161,太辛苦了
162,中国加油
163,武汉加油
164,加油，致敬
165,辛苦了
166,致敬！
167,辛苦了
168,zhini
169,辛苦了！
170,x
171,辛苦了
172,加油 
173,武汉加油
174,叔辛苦了，给你个大大的拥抱
175,加油
176,加油
177,辛苦了
178,辛苦了！！！
179,心态超级好啊！！
180,加油
181,我天哪，为什么没电梯还盖这么高
182,刚才你们有没有听到持续几分钟的长鸣
183,叔必须有排面
184,真的辛苦
185,太难了
186,武汉加油！
187,真的辛苦
188,加油
189,武汉加油
190,武汉加油
191,武汉加油
192,辛苦了
193,辛苦了
194,真的好辛苦了，而且脾气也好有耐心
195,辛苦了
196,致敬！
197,致敬！
198,加油
199,加油
200,加油
201,辛苦了
202,辛苦了
203,辛苦了
204,辛苦了
205,辛苦了
206,辛苦了
207,辛苦了
208,辛苦了
209,帅了帅了
210,这个世界需要更多的英雄，感谢有你们。
211,致敬
212,心疼你们，加油
213,幸苦了
214,辛苦了
215,以后就可以说20年抗疫的精神了
216,辛苦辛苦
217,84泡腾片（笑哭）
218,万松园，这里好吃的店子多啊
219,我家以前就住这边
220,泪目
221,口罩太小了
222,世界大同
223,一定要心态好才行啊
224,真的难啊
225,加油
226,电动的更重，因为有电瓶
227,反正以后谁骂武汉社区网格员不好的我就帮忙骂回去！
228,上去在打下来啊
229,我愿意去
230,辛苦了。。
231,黄陂口音
232,新洲人
233,口罩：我都累歪了
234,辛苦了
235,农村打药
236,家里太难了
237,这个就是打农药的啊
238,啊外校高中!
239,雾化还不太好这药桶
240,加油
241,武汉精神
242,skr
243,辛苦了
244,尿毒症，不透析能拖一个月吧
245,辛苦了！！
246,辛苦了
247,这么高的楼没电梯？？？
248,加油
249,辛苦了
250,看哭了
251,心疼你们
252,哭了
253,棒棒的
254,难过
255,太辛苦了，心疼，心酸
256,辛苦了
257,我看的感觉都快崩溃了
258,我要是做这些，我能疯
259,哈哈哈哈哈
260,这不喷雾器吗？家里用来给农作物打药
261,太难了
262,辛苦了
263,在万松园住过两年不错
264,加油
265,我从农村回来发现家门口贴单子了，我这一个月没有新增了。
266,加油加油！
267,长征！
268,在家抽不行嘛？
269,电动也要考虑经费啊
270,辛苦了！
271,全国社区都是这种表格
272,全国都是这样问的
273,说的好！谢谢叔
274,辛苦了叔
275,必须有
276,硬打
277,谁在家里还戴口罩
278,说得好
279,嗯嗯
280,太难了
281,武汉加油
282,请一定保重身体
283,辛苦了
284,武汉加油
285,升华了
286,说的太好了
287,致敬
288,说的太对了
289,社区太难了
290,天天上门很辛苦的，何况是重灾区
291,辛苦了
292,我的天哪
293,太难了太辛苦了我的天
294,社区真的太难了
295,我的天
296,我的天
297,作为湖北人，这个月流了太多泪，太心疼了！
298,作为湖北人，这个月留了太多累，太心疼了
299,说的好！致敬所有中国人
300,泪目，武汉是英雄的城市，中华民族是英雄的民族
301,社区人员太难了
302,辛苦了
303,辛苦了
304,来人了不戴口罩？一群杠精
305,这好像就是农村打农药的。
306,中国加油！武汉加油！
307,叔好
308,勤劳可爱可敬的中国人!
309,我在别人视频里看见叔暗访百步亭，
310,注意防护啊
311,真的太辛苦了，不容易
312,不敢坐电梯
313,加油！可以可以的
314,你这雾气还能看得清路吗
315,这是农村打农药的喷雾器。
316,生活本身就是挺复杂的呀。
317,老小区。
318,辛苦了
319,辛苦
320,谁都知道有电动的但是重量以及数量也要考虑进去啊
321,武汉加油
322,加油
323,辛苦了
324,辛苦了
325,加油
326,农村用过
327,万松小区就是武汉的，有的很多老人本来就是黄陂人
328,老人微信订菜不会，不可能电子化，键盘侠太多
329,叔 真的瘦了
330,帽子一直在掉  好难受
331,加油
332,辛苦了
333,辛苦了
334,辛苦了
335,真是不容易
336,女性的伟大
337,电动的更沉
338,加油
339,真的瘦了
340,叔鼻子都歪了
341,武汉加油
342,我妈是精神科大夫，今年退休，平时有时候待在家里也得不断接打电话安抚病人，想办法解决病人买不着药的问题
343,武汉加油！
344,真的是历劫，辛苦了
345,哈哈哈哈哈哈哈哈哈哈哈哈
346,我那次跑了100个单元
347,各位武汉的人民，你们辛苦啦，加油
348,泪目 加油武汉
349,农用喷雾器
350,捐不捐是别人的决定，不需要你在这求别人捐，搞什么道德绑架
351,太难了
352,虚了
353,太辛苦了
354,好难
355,加油
356,辛苦了
357,很多老人不会用手机，这种摸排很有必要
358,致敬
359,致敬我们的英雄
360,哎呀，我也想帮忙呀
361,武汉太难了，武汉加油啊！
362,你为什你不戴口罩，我吃饭…
363,武汉加油
364,辛苦了
365,姐姐辛苦了
366,这种我觉得这样的特殊时期送到医院会安全很多很多
367,加油，武汉
368,辛苦了
369,致敬
370,辛苦了！
371,社区工作人员工资不高的
372,万松园那边都是老小区，贼累
373,加油武汉
374,加油
375,还有在那说口音的我佛了 抖什么机灵？你是语言学家吗？，？
376,坐标乌鲁木齐市 早在2.6号 所有小区全部封闭 不让出入 生活必需品打电话送 
377,看叔的护目镜，都是雾气
378,告诉大家一件事 坐标乌鲁木齐市
379,叔瘦了
380,加油
381,是真的
382,加油
383,武汉精神
384,太辛苦了
385,加油
386,向一线人员致敬
387,中国加油
388,武汉加油
389,中国加油！武汉加油！
390,有些活靠电子化还是不太行
391,有就不错了 还电动的
392,加油
393,电动的比这个重
394,你口罩没有戴好啊
395,难
396,唉
397,辛苦了
398,唉
399,辛苦了
400,辛苦了
401,辛苦了
402,辛苦了
403,太难了
404,派人没用，想想怎么更加高效的去排查，减轻负担
405,对于这种社区排查问题，不仅要小区工作委员会，物业也应该有些担当啊，
406,对啊，社区工作者也应该需要有医学背景
407,老爷子应该是中风的
408,这个时候如果家里有年轻人，把这种排查改为线上，可能会便利许多
409,姐姐眼睛没防护措施啊
410,哈哈哈哈
411,哈哈哈哈哈
412,太难了
413,辛苦了
414,加油！一定会好起来的 武汉加油 中国加油
415,辛苦了
416,太难了
417,加油
418,辛苦了
419,哈哈哈哈哈哈哈
420,真难啊
421,辛苦了
422,加油！
423,致敬
424,对雾炮车
425,泪目
426,可是如果旁边没有人，确实不需要戴口罩啊
427,亲切
428,希望大家都理解多配合多支持吧
429,真的太辛苦
430,太难了，这个工作
431,辛苦了
432,加油
433,辛苦了
434,看着像万松园附近的老小区
435,武汉加油
436,辛苦辛苦了
437,辛苦了
438,太难了
439,加油
440,一线医护比很多明星好很多倍
441,电动的要考虑重量啊 没电梯的地方
442,家人都不知道咋回事.......
443,致敬
444,辛苦了
445,说得太好了
446,致敬
447,辛苦了
448,这武汉话听的我想哭
449,想家了呜呜呜呜呜
450,加油
451,当年做人口普查的时候也是这样
452,辛苦了
453,武汉是一座英雄的城市
454,辛苦了
455,加油
456,加油中国加油中国加油中国加油中国加油
457,必须赢
458,那些说星辰很亮的人，那是你没有看见护士姐姐的眼睛
459,叔鼻子都歪了哈哈哈哈哈啊哈哈哈
460,叔，口罩太紧了，鼻子
461,好难啊，这生活
462,如果奇迹有颜色，那它一定是中国红，加油啊！！！！
463,哇，好难
464,谢谢你们，真的好辛苦，泪目～
465,多一些配合
466,说的很好
467,加油
468,真是辛苦了
469,加油！！！！
470,加油！！！！！！
471,天哪。
472,叔辛苦，回来请你吃大的
473,叔的鼻子都压歪了
474,叔排面
475,先 从楼上消毒
476,致敬
477,加油！
478,辛苦了
479,万松园里面的赵四热干面好吃
480,叔！加油！加油！加油！武汉加油！中国加油！
481,辛苦啦
482,辛苦了！
483,万松园吃宵夜的地方
484,渡劫
485,真实武汉人哈哈哈哈
486,好真实的一期。
487,历劫
488,我都看哭了。
489,辛苦了
490,哈哈哈哈哈
491,加油！
492,喘息声，好累
493,说了又来了，真的辛苦
494,弯管子口音
495,辛苦了
496,太难了，辛苦了
497,谢谢叔帮他们做事！
498,武汉加油
499,辛苦了！
500,辛苦了
501,哈哈哈哈哈哈哈
502,r
503,加油
504,爸妈不容易啊
505,别太累了注意身体
506,看的好心酸。。。太辛苦了，加油
507,好人有好报
508,叔，你口罩歪了
509,辛苦了
510,能背空瓶上去再用药片配吗？
511,加油
512,希望疫情过去社会善待一线的工作人员们
513,辛苦了！
514,太难了
515,这就是真正的英雄吧
516,叔这个大脸 显得口罩格外小哈哈哈（狗头保命）
517,太真实了，我爸也是感冒了老说自己没有病
518,加油
519,辛苦了
520,鼻梁骨都歪了
521,加油
522,历劫哈哈哈哈哈，又搞笑又辛酸
523,致敬工作人员
524,瞬间颜值飙升
525,点赞
526,辛苦了
527,辛苦了
528,辛苦了
529,扫码之前也要登记才能大数据。
530,电子化也很难啊，像这种工作，工作人员可以用电子化但是很多上了年纪的人不能够配合电子化呀
531,武汉加油！
532,叔说得对
533,英雄
534,哈哈哈
535,修道者，辛苦了
536,我们已经这样连续干了快一个月了 没有周末休息
537,历劫 太真实了 真的辛苦
538,不要太理想主义 电子化没那么容易
539,真的需要大家多理解配合社区工作人员
540,真的蛮艰辛的，加油，春天来了，等病情结束了，我们就出门耍
541,辛苦了
542,辛苦
543,辛苦了
544,道友
545,武汉加油
546,敬礼
547,武汉加油
548,辛苦拉
549,太难
550,向他们致敬，你们辛苦了
551,辛苦了
552,可以的
553,Wuhan武汉加油！
554,有电动的但肯定没那么大数量，所以能用的都上
555,泡腾片好喝不
556,辛苦了！
557,鲜艳的国旗
558,鲜艳的国旗
559,社区实习还有幸
560,多一些理解多一些关注多一些支持！！！
561,加油啊！！
562,太难了
563,辛苦了
564,一定会赢
565,肾透析呀，咋开药，唉，太难了
566,不服周！
567,叔帮我的城市消毒，太感动了，你币和三连都有了
568,武汉加油，
569,心态好
570,哈哈哈哈哈
571,武汉加油
572,哈哈哈哈哈哈哈
573,辛苦了
574,辛苦啦
575,叔瘦了好多啊
576,万松园美食一条街呀，全是好吃的。
577,敲门了，不知道有人来？
578,。。
579,这家人开门倒是戴口罩啊，我看着都着急
580,我能说没人敲我家门么？
581,一定能赢的
582,这个武汉话带有黄陂口音
583,辛苦了！！！
584,辛苦了
585,辛苦啦叔！
586,辛苦了
587,加油
588,这一家都是老人吗。。哎
589,辛苦了！！
590,可能是社区经费不足，买不起电动的
591,这是老社区
592,隔离完全没有浙江严格
593,靓靓蒸虾
594,辛苦了
595,白色的手套
596,这白色的手套好看
597,这白色的手套好看
598,心疼摄像师傅，机器太重
599,武汉加油
