,comments
0,白衣天使向你们致敬
1,泪目
2,这是我新疆的
3,武汉加油！
4,这句话戳中泪点
5,加油
6,武汉加油！
7,可爱
8,辛苦了
9,加油
10,谢谢你们
11,加油加油加油加油加油加油加油加油加油
12,你这么想回学校上课吗
13,国家电网加油
14,这三观很正
15,让她吃
16,致敬，感谢有你们
17,武汉加油
18,辛苦了！！！
19,辛苦了
20,这时候我会魔法的话，我第一次施的咒就是疾病远离！
21,前面的，鲁迅所在的当时不是现在，封建迂腐也是文学思想救的，别瞎扯
22,加油
23,听到没有！小兔崽子好好读书呦！
24,加油！加油！加油！
25,辛苦了！
26,感谢你们的付出，我们会等你们平安归来，加油！
27,平安归来!加油！
28,一定会的，加油！
29,加油！！
30,泪目
31,你想吃汉堡
32,加油！
33,加油，你们辛苦了
34,加油！
35,加油
36,辛苦了，同志们
37,一切都在慢慢变好，辛苦了
38,武汉加油，中国加油
39,加油，奥利给
40,江汉疫魔舞，白衣赴荆楚
41,武汉加油
42,祝福
43,鲁迅你错了，现在，学医能救中国人。
44,泪目
45,吃！吃大份的！喝！喝最好喝的
46,英雄们辛苦了
47,胡歌老婆过分了，
48,好人一生平安
49,胡歌男粉同意你当胡歌老婆了
50,我想上学
51,一定可以如愿的!
52,武汉加油！
53,加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油
54,我想去武汉看樱花
55,辛苦了
56,敬礼！！！
57,中国加油
58,泪目
59,天呐泪了
60,辛苦了！！！
61,感谢有你
62,辛苦了
63,辛苦了
64,加油武汉
65,嘿嘿。
66,辛苦了辛苦了
67,我想打死那个吃蝙蝠的
68,全面小康！！我们做的到的！！！
69,一切都会好的
70,武汉加油！！！！
71,加油加油加油加油
72,麻辣烫，火锅
73,辛苦了，加油加油加油！
74,尊重科学 尊重生命
75,加油加油！！
76,加油加油！
77,感谢你们的付出，平安归来
78,加油
79,中国加油！
80,重庆人想吃火锅QAQ
81,我想上学！去见厂长！
82,加油
83,辛苦了
84,加油
85,中国加油！！！
86,加油
87,加油
88,加油
89,致敬
90,还是为了孩子
91,还要还要
92,哭死我了
93,致敬
94,睡觉
95,年夜饭难受
96,加油
97,加油
98,我想整牙齿
99,你们辛苦了，加油-
100,武汉加油
101,泪目
102,一起吃着热干面，一起去看樱花。
103,加油
104,被迫观看
105,武汉加油！中国加油！
106,加油加油，你们一定可以的！！
107,加油
108,加油
109,我也想摘口罩
110,眼里进陨石了
111,泪目
112,辛苦了！
113,哈哈哈哈好可爱
114,加油加油
115,武汉加油!
116,武汉加油！
117,热心企业安排上
118,泪目
119,会好起来的呀
120,加油
121,让她喝!
122,加油
123,尊重科学，尊重事实
124,新农牛肉面打钱！
125,我真的还想再活五百年
126,加油
127,武汉加油
128,加油
129,加油！
130,加油啊！！！一定可以！！
131,大爱周黑鸭，真的好吃啊啊啊啊啊
132,胡歌在微博上@这位姐姐了呦
133,加油
134,赞
135,叔！！
136,武汉加油
137,一定要平安回来啊！！！！！！！
138,加油
139,辛苦了
140,我想吃炸鸡
141,叔
142,武汉是英雄的城市
143,好久没吃新农牛肉面了
144,中国加油
145,我送你呀
146,我先剪头发
147,我想在教室学习，遨游于书海，痛痛快快地刷数学题
148,等武汉好起来 我们一起去吃热干面看樱花！！！❤️
149,哭的不行了
150,疫情结束后想去武汉吃热干面
151,加油！
152,你们辛苦了
153,感谢你们…集全国人民的心
154,奶茶！
155,奶茶奶茶奶茶！
156,我想赶紧开学QAQ
157,麻辣烫
158,俺也想睡觉
159,吃火锅
160,司机师傅说的好
161,一定可以的！！加油！！！加油！！！
162,突然觉得自己很久没喝可乐了
163,一定是上学我喜欢学习学习使我快乐 哈哈哈哈
164,我想赶紧出去减肥！
165,武汉加油
166,我要去网吧狠狠的玩一把
167,新农好吃！
168,加油
169,加油
170,加油中国人！
171,一起看樱花啊
172,加油  生活一定会好的
173,去武大看樱花
174,打篮球
175,加油谢谢辛苦了！
176,去漫展把手办买个遍
177,去漫展
178,等到黑夜翻面之后是白昼
179,我想摘口罩
180,目标:考上武大  好好逛逛武汉
181,老外婆！！
182,我要去网吧！！！
183,加油加油加油！！！！
184,辛苦了
