,comments
0,awsl
1,宝贝儿，叫阿姨
2,天呐太可爱了
3,放音乐：骑上我心爱的小摩托…
4,awsl
5,好可爱！
6,我是云姐姐！
7,看视频我只看带带大石榴
8,宝宝我是你云哥哥，叫哥哥
9,宝宝乖，叫哥哥
10,宝宝宝宝我是姐姐！！快叫姐姐
11,妈妈爱你
12,叫姐姐！我是你云姐姐！
13,宝宝加油
14,哼，我从小就上央视，还有好多爸爸妈妈
15,我也不舍得眨眼睛
16,平安吖要
17,小宝贝好可爱，要平安长大哦～
18,祝小小宝贝出院
19,好巧我弟也叫石榴，不过他很幸运是个小鸡宝宝
20,太可爱了，我是你云阿姨呀
21,小石榴妈妈在这里～叫妈妈～
22,太可爱了！！！
23,我家宝宝也最爱做保健操了，小石榴好可爱
24,好可爱呀
25,真可爱真可爱真可爱
26,宝宝你好鸭，我是玛卡巴卡
27,要健健康康长大嗷～
28,可爱
29,哇啊
30,可爱
31,宝贝，叫哥哥
32,\(≧▽≦)/
33,我想到我儿子小时候啦，时间真快啊
34,太可爱啦
35,好可爱
36,叫叔叔
37,宝宝我来了！
38,宝宝内心：明明就是你们折腾人家，哼
39,云当了个妈
40,好可爱啊
41,第一次当母亲，有点激动
42,女爸爸来了女爸爸来了
43,我有孩子啦
44,男妈妈gun
45,好可爱鸭
46,好可爱！
47,妈耶
48,这也太可爱了吧……
49,叫男妈妈
50,啊呀呀奶娃好笑好可爱呀
51,小石榴你还可爱，姐姐好喜欢你
52,小石榴你好，我也是你云姐姐
53,宝贝你好呀，我是你云阿姨
54,云养娃
55,宝贝！！我是玉姐姐！
56,小石榴加油啊！
57,祝健康
58,叫阿姨~
59,我弟弟也叫石榴
60,云仙女姐姐来啦
61,可爱，健康顺遂
62,小宝宝好可爱
63,姐姐爱你！
64,妈妈爱你！
65,好可爱宝贝
66,小石榴小石榴，妈妈来了
67,可爱啊～
68,好活泼啊
69,辛苦了
70,啊我融化了
71,妈妈来了
72,宝宝有福
73,宝贝叫弟弟
74,好乖啊
75,拍娃睡觉的我泪目了
76,好可爱好可爱
77,加油
78,awsl
79,可可爱爱啊
80,半个月大的宝宝应该时刻被搂着的
81,我儿真可爱
82,半个月大的宝宝应该时刻被搂着抱着的，快点回复健康吧
83,我也想抱抱
84,叫姐姐
85,平平安安的长大
86,太可爱了，
87,可爱哦
88,被英雄包围的孩子
89,男妈妈来了！！！
90,太可爱了啊！！！！！
91,叫妈妈
92,人类幼崽好可爱
93,宝贝好可爱
94,可不敢睡成扁头了
95,awsl
96,太可爱了吧！！！！
97,楼上小孩就叫小石榴
98,好可爱
99,我有娃了
100,太可爱了，希望她能健康成长
101,你要健康快乐的长大呀
102,可爱
103,快叫姐姐嘤嘤嘤
104,可爱！！！
105,太可爱了啊，我心都化了
106,Lovely 
107,可爱
108,真可爱啊宝贝
109,乖乖，叫阿姨
110,云当妈
111,可爱的宝宝
112,太可爱了
113,宝贝，加油
114,想抱抱这个小可爱啊>3<亲亲
115,宝贝加油
116,这一堆医生围着
117,云当妈
118,好乖
119,叫哥哥
120,可爱
121,太可爱了！
122,太可爱了
123,宝宝，我是你云姐姐，快叫姐姐啊啊啊啊
124,可爱
125,么么
126,太可爱了！！骗我生娃
127,好可爱呀
128,软乎乎
129,加油，小可爱
130,宝宝好好长大哦！
131,宝宝你好，我还是你的云姐姐！
132,太可爱了吧！
