,comments
0,相互补充！
1,不是中医不行了，而是你不会用，是你不行
2,中医两千年来都可以治疗急危重症
3,加油
4,扯犊子
5,西医像医用酒精，比较纯，中医像粮食酿的酒，还有很多别的有用的物质
6,又见到前校长余艳红女士
7,西方束手无策
8,成都中医药大学
9,问啥药的，中药不是药种类对了就行的，针对不同症状，药量比例，增减一些特殊的药材是有差异的
10,看小图就知道是校长
11,重症和危重症患者的外周血淋巴细胞数量是偏低的，研究推测是由于大量淋巴细胞向肺部迁移
12,这。。
13,我去，我怎么说像我们校长
14,中医都快失传了
15,感谢视频不是灰色的 不然没法看了
16,岁月不败美人
17,余医生好美
18,加油
19,在这弹幕
20,父相补充
21,主要是连花清瘟啊，具体到个人，每个人的药方可能都有细微差别。
22,中药靠振奋人体免疫力发挥作用，西药靠杀灭病原体发挥作用
23,中医药加油
24,西医没有特效药，只能靠中药调理
25,附相补充
26,中医加油，勤求古训，博采众方！
27,中医冲啊！
28,中医也有精华
29,愿逝者安息，愿生者奋发，祖国加油
30,中医加油
31,校长优秀
32,中医加油！！！
33,前面要什么药的知道了没有:清肺排毒汤
34,提升免疫系统
35,弘扬中国文化！！发扬中医中药！！！
36,手语老师辛苦了
37,可是不用中药就是没有用中药好的快，尤其重症
38,中医黑出来啊
39,中医是国宝
40,中医加油…这是我们古人的智慧…
41,会越来越高的，已经有更好的数据了。
42,中医加油啊，我正在学习
43,中医药加油
44,振兴中医时不我待！
45,继承和发扬中医药迫在眉睫！
46,这很棒了，两天可以救更多人
47,才这么点，还得加油阿。
48,广东这边好像还分了几号药针对不同阶段的人群，紧急生产，
49,啥药啊？说啊！
50,疫苗不一定跟得上变异的速度，哎，中国加油！
51,没有特效药，只有靠免疫系统，所以中药调理目前效果挺好的
52,太好啦，激动，加油
53,加油
54,中西医各有所长，也各有所短，中西合璧最好
55,为所有奋战一线的中西医都点赞
56,中医加油，赶快建立自己的一套科学体系，有用就是好药
57,为我大天中校长张伯礼大大打call
58,太棒啦！
59,感谢各位医生了！希望疫情早日消失！！
60,中医治人
61,第二
62,疫苗按经验来说至少18个月
63,？
64,我们南医大亲爱的校长
65,疫苗有什么进展。
66,好事啊(✪▽✪)
67,人生天地间 中医药材取自于天地间 非西医的合成 效果棒棒棒 感恩我大中华中医
68,期待一个 II级 或者 III级的医疗证据（狗头）
69,第一
70,弹幕呢？
71,中药厉害了
72,中菽万岁，国魂千年
