,comments
0,十里丰
1,考古
2,狱警
3,加油加油
4,你以为狱警是铁人？
5,监狱也得和外界有交流啊，比如买个菜啥的。
6,二次刑罚？？？
7,监狱也不安全了
8,？！！！！
9,上学怎么办？
10,我的天
11,犯人也是人啊
12,！！！！！
13,天啦 这咋整
14,不管怎么说，还是那句话，中国加油！
15,怎么肥事？
16,怎么传染的？
17,好
18,，
19,，
20,？
21,，
22,复习
23,。
24,！
25,唉
26,唉
27,人员接触呗
28,哀悼
29,加油
30,明日黄花
31,咋感染上的?
32,?
33,中国加油！
34,?
35,！
36,唉
37,…
38,怎么搞的？
39,欣慰？你还是个人？？？
40,。
41,犯人我是人
42,。
43,？
44,这……
45,，
46,太难了
47,确实
48,‘
49,犯人是出不来，但是狱警可以进去，毕竟这病毒潜伏期都能传染
50,隔离也被感染了，，，
51,跟学校差不多密集
52,中国加油
53,怎么回事？
54,弹幕是精选的？？
55,唉
56,，
57,病毒怎么进去的？
58,！！！
59,中国加油
60,这……
61,唉唉
62,人群密集地区果然易感
63,天
64,怎么治？
65,？
66,中国加油
67,？！
68,武汉加油！中国加油！
69,隔离在隔离，双重隔离
70,学校
71,唉
72,？！
73,武汉加油，中国加油
