,comments
0,这把孩子吓得 说话都不利落了
1,保住饭碗要紧
2,66666
3,6666
4,……
5,官话套话
6,无症状的狱警也是有可能的啊
7,对不起，我不知道问题是什么？但是你问什么我都会说这些
8,监狱太集中了
9,加油
10,，
11,输入型？
12,因为重症的全得到了最好的治疗
13,左下角手语好评
14,也太多了
15,哇
16,长得像张怡宁
17,建议2倍速
18,屏幕前最安全
19,发标点符号的是什么nt？
20,你说他不内疚是不可能的，看稿也是对准确度负责，30岁的我是背不下来那么多数据，记忆能力不代表负责程度，不过有个基本了解是必要的
21,？？？？？？
22,？？？
23,1.25合适
24,两所都在沙洋啊
25,对官方工作人员保持尊重。别你又懂了！！给某些键盘侠们
26,套官话了
27,1.5倍正常速度
28,谁的责任?
29,？？？
30,谁的责任?
31,中国加油
32,理解，改好就行
33,搬出大人做挡箭牌
34,稿子？
35,手语老师很舒服
36,思考什么，这就是对这稿件念的
37,这是读稿子吗？
38,沉重和内疚...
39,唉唉
40,问题来了来了怎么办？
41,感觉这……确实没做好准备呗。
42,辛苦了
43,.......
44,？？？
45,1.5倍有点慢
46,这么多
47,这是老花镜，只看字用的，当然得这么戴！
48,1.25还是慢 得1.5
49,200
50,天哪
51,那为啥还会有这么多感染的？
52,病毒怎么进入的
53,病毒怎么到监狱里面去的
54,武汉加油，中国加油
55,警察太不容易了
56,我家离十里丰很近呐，开车几分钟就到了
57,前面1.5的，感谢感谢
58,山东人在这里给大家道歉了。
59,监狱人口密集吧，一个人感染很快就会扩散
60,？？
61,这
62,说内疚和沉重很正常啊，内疚和沉重是说这类事件较为合适的词啊
63,这个事情真的非常非常麻烦Ծ‸Ծ
64,……
65,等潜伏期过去可能就全确诊了吧。。
66,听得出很内疚了
67,如果非要觉得慢的话可以自己调两倍
68,。。。
69,隔离，送诊治疗这就是措施啊
70,山东都200多例？
71,那么震撼的吗
72,哇
73,？？？？？？？
74,沉重啊
75,……
76,这段是啥？
77,有潜伏期，测体温不管用啊
78,哦……
79,说真话就行，有问题就改
80,我的天啊
81,1.25刚刚女子
82,感谢1.5倍好多额
83,音画不同步？
84,？？？？
85,230是什么情况?
86,。。。
87,是犯人和狱警的总数
88,感觉他确实挺难过的
89,女子监狱就在胸科医院对面
90,无语
91,怎么传到监狱去了？
92,输入性 应该是狱警传给犯人
93,那么问题来了，怎么进去的？
94,吃饭运动都是集体的吧
95,天啊
96,监狱，精神病院，养老院，孤儿院这些都需要排查
97,山东瞬间增多TT
98,前排来围观
99,济宁邹城市的我瑟瑟发抖。
100,害怕
101,浙江这个是狱警带进去的
102,………………
103,这么多
104,我是在留置所上班，早已封闭式管理和上班了
105,"友情提示：回答记者问题建议1,25或1.5倍速观看"
106,建议1.5倍速食用
107,武汉感染人数占全国二分之一
108,保外治疗
109,你这个问题问的好
110,怎么传染的？ 犯人估计没有口罩的，人传人很快的
111,输入型？
112,啥
113,左下角这人没戴口罩
114,所以怎么感染的
115,这个病开始时间比预防时间早多了，等监狱反应过来挨得已经跑不掉了
116,山东怎么这么多
117,沉重的心情
118,从现在开始大家用1.5倍速观看
119,进度条撑不住了
120,.......
121,说话这么慢
122,武汉市女子监狱就在肺科医院对面
123,说真话就行
124,保外就医优秀
125,天
126,那是怎么染的？
127,武汉加油，中国加油。疫情早点结束吧
128,额……
129,。。。。
130,监狱多集体活动，隔离不及时传播很快的
131,1.5倍大概是正常语速（舒坦了）
132,？？？230
133,好不容易平静了几天
134,这是花镜，前面傻子
135,女子监狱我的天啊
136,女子监狱我的天啊
137,不知道怎么感染进去的，但是里面吃饭可能互相传播了
138,半天没到重点
139,可怕
140,太多了吧
141,我的天啊，
142,这么多
143,为什么？
144,为什么女子监狱会这么多 …………
145,谢谢！
146,我都不知该如何评价
147,唉
148,这个……
149,这种发布会不能说错话的 说话慢点有思考的余地
150,怎么突然转到这里了
151,比我们一个省还多
152,所以你的意思是……？
153,感染者多少是狱警，多少是在押人员
154,so？
155,可以发弹幕？
156,防治措施
157,怎么感染的？？
158,说重点
159,确实内疚
160,官方吐槽
161,内疚……
162,我的天啊
163,…
164,监狱同样需要防护，犯人也需要得到关注
165,这么多啊
166,？？？？
167,不用测体温么？
168,在现场
169,2倍速正合适
170,内疚
171,这眼镜戴的好奇怪啊
172,这怎么感染的…
173,求求前面弹幕了，人家不懂就你会，你去当后勤吧
174,离得远戴口罩听的清楚吗
175,230也太多了吧
176,这种事情要严肃对待
177,犯人买不到口罩吧？
178,沉重的...
179,啥都没说
180,距离因素加上通风和消毒因素，所以发言人没带口罩
181,前面的，工作人员也是封闭式上班的
182,。。。。。。。。。。。。。。。
183,这是做什么了
184,说这个？
185,感觉他好累
186,不是问措施的吗
187,不好意思，我忘了问题是啥了
188,为什么要戴口罩？
189,室内人多也要戴吧，你看这估计有30多人
190,不懂
191,1.25倍速才正常
192,沉重
193,.......
194,怎么回事
195,哎
196,1
197,负责人黑眼袋好深 
198,天啊
199,。。。。
200,这是怎么感染的。。。
201,我去…
202,你说话太慢了
203,………
204,。。。。
205,"说""内疚""很正常啊"
206,。。。。。。。。
207,。。。
208,疫情还未结束，大家还要继续努力，能宅就宅
209,终于可以保外就医了
210,？
211,隔离人群呢
212,之前我介绍我是济宁人，别人都不知道，我说我是曲阜孔子老家的，别人就知道了，
213,为啥不戴口罩
214,。。。。
215,……
216,戴口罩了么哇
217,额滴神
218,担心……
219,他语速好慢，手语老师都可以歇一会儿了
220,………
221,。。。。。。。。。。。。
222,没看出来
223,天啦
224,口罩？
225,这么多
226,。
227,这个距离不需要戴口罩
228,?
229,内疚
230,这么多
231,可以保外就医了
232,??
233,都是输入性？
234,希望疫情请尽快结束
235,。。。
236,太可怕了
237,看新闻涨知识
238,内疚....
239,。。。。。。。。。。。。。。。。。
240,室内戴什么口罩
241,防不胜防
242,。。。
243,..........
244,……
245,是你网不好吗？说话卡成这样
246,。
247,没有人吗
248,内疚？
249,啦啦啦
250,怎么弄的呢
251,这不
252,有人？
253,没人？
254,....
255,.
256,好
257,天
258,武汉加油
259,o ?
260,犯人太难了
