,comments
0,加油
1,真敢说啊
2,医生在就已经很好了
3,武汉加油
4,岂止是救命，人家是拼着自己命，救别人的命
5,感谢强大的综合国力和社会组织能力
6,中国必胜
7,医疗资源挤兑，一个地儿应付不来肯定
8,真的看哭
9,哎，哭了
10,哭了T﹏T我24负三千
11,妈妈厉害啊
12,保持距离不才是对的吗
13,静待春暖花开，众人平安
14,有点想哭
15,平安。
16,逝者安息。
17,不愧是央视记者
18,平安
19,武汉加油
20,真实的故事最感人
21,爱情不一定是两性的感情，还有大爱，深渊之后的希望
22,刘谋？PDD ？
23,半边天
24,这是鬼的董卿
25,平安
26,平安
27,武汉加油
28,QQ
29,平安
30,平安
31,加油
32,江西人路过
33,泪目
34,老表们好！！！
35,老表们好！！！
36,壮哉我大江西
37,壮哉我大江西
38,江西！！
39,加油
40,老表们好！！！
41,加油！！！
42,当时我害怕极了。
43,泪目
44,泪目
45,平安
46,祝好
47,我的天
48,加油
49,至暗时刻
50,我的祖国太棒了
51,中国必胜
52,哭了
53,一切安好
54,可爱
55,回馈帮助过他的人 很棒
56,美国今天30w了
57,想去武汉
58,武侯加油
59,中国加油 武汉加油
60,中国加油
61,平安
62,百分之二？别事后诸葛亮的看，你要是得了肺炎天天发烧出不过来气你沉得住气？
63,真实啊！
64,真实啊！
65,轻症开药回家自行隔离，重证优先住院治疗，没办法只有这样才能尽可能救更多人
66,我大江西老表
67,主持人不能柔软一些么
68,江西
69,武汉人民真的不容易，等于帮全国人民抗了病毒的威力
70,我靠我以为能忍住不哭，我还是哭了
71,自豪啊啊啊
72,我江西人！
73,加油
74,平安
75,平安
76,平安
77,江西人在这里！！
78,武汉加油 中国加油
79,平安
80,中国加油
81,心刺挠
82,平安健康万事如意
83,泪目
84,加油
85,这里我觉得医生正常，难道跟你亲密接触？
86,平安
87,加油
88,平安
89,中国必胜
90,人的情感总是复杂的，但也是因为这个让人感到生动温暖与力量
91,武汉加油
92,三观正！！
93,江西人骄傲
94,加油
95,平安
96,加油
97,谁说的物资充足？
98,泪目
99,平安
100,正宗武汉口音
101,泪目
102,加油
103,加油
104,加油加油
105,加油加油加油
106,辛苦了，希望以后万事顺遂
107,武汉人辛苦啦
108,大实话
109,望一切安好
110,加油
111,加油
112,妈妈真好
113,为母则刚
114,加油
115,这是真实的。
116,江西路过
117,我江西的医生
118,加油！！！！
119,泪目
120,加油
121,大难不死，必有后福
122,武汉加油
123,哈哈
124,董倩够了，会不会采访。本本主义的煽情
