,comments
0,辛苦了
1,也不至于采访的时候带着口罩吧
2,辛苦了！
3,中国，必胜！
4,辛苦了
5,本职工作，你有什么骄傲的，义不容辞是使命
6,抗疫必胜
7,加油！
8,666
9,人民的守护神
10,辛苦了
11,上面的红字你搞什么？
12,1
13,.
14,.
15,辛苦了
16,辛苦了
17,辛苦了
18,辛苦了，我们一定会赢的
19,幸苦了
20,辛苦了
21,辛苦了！
22,脸太大
23,中国加油！武汉加油！
24,加油
25,中国加油！
26,手语老师……
27,辛苦了辛苦了辛苦了中国一定可以的加油加油加油
28,辛苦了致敬
29,带的儿童口罩
30,这个局长级别高，
31,请问怎么用你
32,武汉加油
33,哪要你们谢别人，人民谢谢你们啊！
34,谢谢你们谢谢！
35,口罩有点小
36,致敬
37,辛苦了
38,辛苦了
39,第一是医生 第二就是警察 都不容易
40,警察辛苦 
41,辛苦了
42,辛苦了
43,人民警察辛苦了！
44,怎么用？
45,感动感动
46,孩子们，你们好
47,辛苦了
48,感谢！
49,感受中国力量吧！
50,幸苦了
51,辛苦了
52,辛苦了！
53,辛苦了
54,武汉加油。
55,硚口加油！过段时间回去！
56,辛苦了，加油！
57,黑眼圈
58,警察叔叔幸苦了
59,我是弹幕
60,加油
61,诶
62,加油~
63,政府效率，世界第一！
64,赞
65,沙发
66,辛苦了
