,comments
0,这个位置的人在为300张床位说太好，足见当时多艰难！
1,玩红警的，感觉被疯狂伊文....好方
2,中医牛。
3,必胜！！
4,头发在一点点变白
5,加油
6,中国加油
7,我看到了省中医院光谷院区，好久了
8,加油
9,辛苦了！英雄们！
10,对的，看看其他国家死亡率就知道了
11,彳亍
12,此生无悔入华夏，来世还做中国人
13,爱我中华
14,爱我中华
15,孙奶奶好厉害
16,奶奶厉害！向你致敬！
17,中国加油！
18,中国的公立医院才是主力军
19,中国就是能做到 美国就是做不到
20,善良永远都在，愿世界对善良的人永远温柔
21,德配其位
22,辛苦了
23,任何困难都难不倒英雄的中国人民！
24,全力支持中国，听从党的安排
25,真的很感动
26,这就是中央领导的魄力与决心！
27,辛苦了，致敬
28,天佑中华，华夏永存
29,您辛苦了
30,加油
31,加油
32,中国必胜 世界必胜
33,谢谢
34,4月4日来致敬！
35,辛苦了
36,每1%的成功 都是希望
37,武汉加油，中国加油
38,武汉将由中国加油
39,武汉加油，中国加油
40,武汉加油，中国加油
41,武汉加油，中国加油
42,武汉加油，中国加油
43,武汉加油，中国加油
44,武汉加油，中国加油
45,武汉加油，中国加油
46,武汉加油，中国加油
47,武汉加油，中国加油
48,武汉加油，中国加油
49,加油，加油，加油，流名：xy
50,从头到尾奶奶就是这一件衣服！
51,中国要到这个位置都要有资历的。不会有年轻人。
52,致敬
53,中国加油
54,想想特朗普我觉得我上辈子一定是个好人才能投胎到中国
55,这组织能力强啊。
56,这这工作能力很强。
57,黑龙江的，我骄傲了
58,哈尔滨铁路集团！
59,眼泪掉下来了！
60,到这个位置面对这个局面必须有经验有资历
61,上层决策到位，下面积极响应，各级联动协作，举国上下一心
62,把人民健康放第一位！我看着现在的西方想笑
63,神仙奶奶辛苦了！！！
64,北面
65,加油
66,辽宁口音暖心
67,与时间赛跑
68,国家不容易
69,加油
70,加油
71,中国加油!
72,辛苦了
73,辛苦了(≧∇≦)/
74,中国加油，我为你自豪
75,勇士
76,不容易啊
77,我们大福建的老书记
78,加油
79,致敬！
80,辛苦了！
81,这次疫情其实就是对国家力量的检测
82,哭辽
83,没有
84,加油
85,阻击战，其他事是保卫战
86,没有
87,没有！
88,加油
89,这个：太好了。我直接泪目
90,种花家国泰民安
91,国有需，民必行
92,国有需，民必行
93,辽宁口音，那句太好了，仿佛我的奶奶
94,孙奶奶虽然不是辽宁人，但是65年到05年一直在辽宁工作学习
95,只有中国能做到
96,武汉加油
97,中国已经经历过太多的苦难
98,为人民服务
99,这真的是中国，这也真的只能是中国
100,加油！
101,再来一次，武汉加油，中国加油
102,加油!
103,为人民服务！！！
104,辛苦了，我们一定就呆在家
105,年轻人在成长和历练 放心吧
106,中国加油
107,这个时刻将记录历史，那些默默为武汉奉献的人帮助武汉快速消灭病毒的人，历史会给他一个公正的回答
108,可爱的人
109,武汉加油！
110,武汉加油！
111,武汉加油！
112,武汉加油！
113,我们永远在你的背后
114,武汉加油
115,加油
116,中国的举国体制，目前来说各国最强的吧
117,感动
118,没有足够的资历也坐不上这个位置
119,中国速度
120,这真的只有中国才能做到
121,加油！
122,保卫大武汉
123,眼泪为什么这么不争气
124,保重身体
125,给了我学医的动力
126,终于看到副总理的视频了
127,武汉加油
128,际华？
129,你就少发工资或者不给工资咱也不能给国家添乱呀
130,中国好棒！加油！
131,爱我中华 祖国必胜！
132,加油，必胜
133,武汉加油啊
134,辛苦了
135,辛苦了
136,国家的力量，人民的希望
137,医疗人员辛苦了
138,副总理辛苦了。
139,中国必胜
140,孙副总理辛苦了
141,加油
142,孙副总理保重身体
143,其实说白了还是人员物资到位了  人均医疗水准上来了
144,我庆幸背后有这么一个强大的祖国
145,副总理辛苦了
146,有
147,国家有多爱人民，人民就有多爱国！
148,我们的国家有多强！看看我们的领导人在哪里！身居一线指挥调度！
149,领导力太强了！这就是中国！
150,死亡率这么低，绝对不是病毒毒性太低！而是中国手段强悍！！
151,中央就是霸气侧漏！永远和灾区人民在一起！
152,辽宁的呀
153,没有
154,加油
155,武汉加油，中国加油
156,赞..可是都是老人家在撑场面..
157,厉害！
158,大国力量啊
159,太不容易了
160,中国人民是不可战胜的
161,健康最重要
162,泪目
163,必胜
164,这口音好熟悉 辽宁的吗
165,真，真伟大
166,70岁了
167,乡音亲切
168,以前体会不到中国速度，现在体会到了
169,以前体会不到中国速度，现在体会到了
170,以前体会不到中国速度，现在体会到了
171,没有！！！！
172,中国人团结一致战胜病毒！
173,这是副总理
174,加油
175,万众一心
176,孙奶奶加油
177,武汉加油，中国必胜
178,辛苦了辛苦了
179,辛苦了
180,副总理帅气！！！！！！
181,这句话，我泪目了
182,总理加油
183,加油
184,注意黑眼圈。心疼。
185,"果断,给奶奶点赞"
186,必胜
187,老奶奶加油！
188,中国加油，武汉加油
189,国之骄傲
190,加油
191,加油
192,一定会好的
193,真的好辛苦
194,不容易啊，感动
195,国家，人民都好努力，感动
196,同款北面
197,感动！哭了！加油！
198,粉了……
199,年纪很大了，好心疼
200,感动
201,分管卫生健康的副总理
202,看哭了
203,说真的，我就不信打不赢这个肺炎！祖国势必把武汉抢回来！
204,自建国以来，我国总理总是能冲锋在前，急民之所急
205,北面
206,辛苦了！
207,孙副总理好
208,辛苦了
209,真的不容易
210,孙奶奶霸气！
211,中国必胜
212,祖国越来越好，武汉加油，中国加油！
213,孙总理，70岁了，还在奔波
214,孙副总理
215,副总理
216,这么大年纪了，还这么辛苦，真的不容易。
217,武汉加油，中国必胜！
218,武汉很冷的
219,副总理，好吗？前面的你在想什么？
220,辛苦了
221,这个奶奶是副总理
222,辛苦你们了！
223,这位奶奶经常在联播里看到
224,这个奶奶是我们的副总理
225,都辛苦了
226,北面咋了
227,刚刚发的啊
228,这个奶奶好厉害
229,北面
230,中国必胜
