,comments
0,中国加油
1,辛苦了
2,辛苦了
3,注意身体哦，辛苦啦
4,辛苦啦
5,钟老辛苦了
6,钟老辛苦了
7,钟老辛苦了
8,钟老辛苦了！
9,致敬
10,辛苦了
11,我打不过不敢
12,中国加油
13,辛苦了
14,真.没有人比你更懂病毒
15,钟老辛苦了
16,辛苦了
17,国士无双
18,武汉加油
19,眼睛都肿了
20,致敬
21,致敬
22,多休息啊
23,钟老辛苦啦
24,致敬
25,钟老辛苦了！
26,辛苦了
27,钟老先生辛苦了
28,辛苦
29,辛苦了
30,这才是全民偶像
31,辛苦了
32,辛苦了
33,国士无双
34,国士无双
35,眼睛……
36,国士无双，戏子误国
37,脸是肿了吧？
38,先生你要注意身体！
39,辛苦了
40,钟老辛苦了！
41,辛苦了，谢谢您
42,钟老辛苦了
43,欧克
44,国士无双
45,辛苦了
46,钟老辛苦了，要注意休息呀
47,国士无双
48,好丑
49,加油
50,一起打国士无双
51,钟老辛苦了
52,辛苦了，国士无双！
53,钟老，您年纪大了，注意休息，别搞垮了身体
54,致敬
55,辛苦了
56,辛苦了
57,辛苦您了
58,钟老没有川普看着憔悴
59,致敬
60,辛苦了
61,钟老辛苦了
62,谢谢
63,辛苦
64,国士无双！辛苦了！
65,老爷子辛苦了
66,.....
67,默哀深切哀悼抗疫烈士和逝世同胞
68,辛苦了
69,武汉加油
70,加油
71,辛苦了
72,功德无量！
73,国士无双
74,钟老不需要西方的诺贝尔奖
75,钟老辛苦了
76,加油！国士无双
77,武汉加油
78,武汉加油
79,武汉加油
80,国士无双
81,可能是熬夜奋战，脸上有点浮肿了。。。
82,辛苦了
83,终于可以发弹幕了
84,未来这几年的诺贝尔奖得主，不是我倒立洗头
85,国士无双
86,钟老辛苦了
87,辛苦了
88,老了很多啊
89,国土无双
90,要保重身体啊钟老
91,多休息
92,钟老，辛苦了，寿比南山
93,辛苦了
94,老了十岁，泪目
95,国士无双
96,加油
97,累了吧，休息一下求您了
98,英雄
99,史诗级英雄
100,武汉加油
101,注意休息
102,辛苦了
103,辛苦了
104,辛苦了
105,辛苦了
106,终于开始叫新名字啦 
107,＜———国民英雄
108,加油武汉
109,没说完全不会
110,身体健康
111,钟老辛苦了
112,钟老注意休息
113,钟老 头发白了好多啊 ，心痛
114,为武汉加油
115,辛苦啦！请保重身体
116,一定要休息好来
117,辛苦了❤
118,辛苦了
119,好好休息
120,辛苦啦
121,武汉加油中国加油！！
122,辛苦了
123,钟老辛苦了
124,钟老，辛苦了！
125,感觉钟老又挂帅之后憔悴了很多
126,钟老辛苦了
127,眼泡都是淤的
128,国士无双
129,要让他注意休息啊
130,苍老了，心疼
131,辛苦了！
132,钟院士辛苦了
133,辛苦了，注意休息啊！
134,国士无双
135,辛苦了
136,辛苦了
137,辛苦了
138,种爷爷一定身体健康啊啊啊！！！
139,辛苦了
140,钟老眼睛肿了
141,憔悴好多啊
142,钟老憔悴了
143,钟老辛苦了
144,辛苦了
145,保重身体啊！
146,辛苦了 看的出很疲惫
147,加油！
148,提一个小意见，钟老的意思是可能性小而不是不会
149,提一个小意见，钟老的意思是可能性小而不是不会
150,钟院士好憔悴，注意休息~！
151,钟老深深地佩服您
152,国士无双
153,加油啊
154,憔悴了好多
155,辛苦了
156,这一个多月太累了
157,注意休息
158,致敬老先生
159,钟老辛苦了
160,感觉一下子变老了好多！唉
161,辛苦了
162,眼睛都肿了
163,真的太累了
164,辛苦了
165,苍老了好多
166,钟院士老了好多啊
167,希望快快好
168,钟老辛苦了
169,钟老憔悴了，心痛
170,钟老看着有些憔悴……
171,？？？
172,老先生加油，中国必胜
173,加油武汉
174,太好了
175,国士无双
176,好
