,comments
0,我很荣幸我生在中国
1,666
2,山川异域，日月同天
3,加油
4,加油
5,加油
6,你的口罩呢
7,加油
8,加油
9,2020年我们过得去！
10,加油
11,家禽不好吃吗？硬要吃野味？野味真那么好吃早被古人驯养成家禽了
12,加油！！
13,l
14,加油
15,加油啊
16,6
17,加油！
18,我是中国人我骄傲
19,世界加油！！！
20,看见你就烦
21,加油
22,加油
23,加油
24,世界加油
25,加油
26,中国加油，中国必胜
27,世界必胜
28,加油
29,加油
30,13号开学。
31,加油
32,地球是一个村儿～
33,加油
34,加油啊！！！
35,666
36,感动
37,我是中国人，我骄傲
38,加油
39,身在中国，我很自豪，这是一个安全的国家
40,他们学不来啊
41,地球加油
42,地球加油
43,加油中国
44,中国的命运共同体赞！
45,加油
46,加油！
47,人家不听还骂你你说怎么办
48,别犹豫，犹豫就败北
49,盲猜有课代表叫抄作业
50,哎呦，不错呦
51,加油
52,哦，快开学了，我是一个在家更好的个例
53,加油中国
54,中国必胜
55,开学加一
56,就怕人家不听
57,今天又是宅在家里的一天，自豪
58,希望全世界都平安也希望其他国家一定要仔细的听取建议莫大意啊
59,加油
60,唉 跟着学都不会
61,加油！
62,山川异域，风月同天。寄诸佛子，共结来缘
63,日本加油韩国加油中国加油，全人类加油
64,加油！
65,地球大家庭加油
66,是啊，“山川异域，日月同天”，感谢日韩的友人们
67,希望出了治愈出院其他数量别涨了
68,同意
69,好啊
70,下个礼拜要上班了
71,哇塞！
72,加油
73,加油
74,顶！
75,快开学了
76,太好了
77,是的！
78,说得太好了，这就是大国的气度！！
79,加油
80,地球加油
81,加油中国！
82,加油
83,加油
84,加油加油
85,好看
86,热乎的
87,众志成城
88,加油！
89,不错不错
90,韩日要加油啊
91,开学
92,早点结束，我要和街上的人们说一声：早！
93,1
94,加油
